<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DEMZ.US,D,20201104,000000,20.893,21.033,20.725,20.821,16512,0
DEMZ.US,D,20201105,000000,24.871,24.871,21.122,21.252,12484,0
DEMZ.US,D,20201106,000000,21.41,21.41,21.082,21.186,9045,0
DEMZ.US,D,20201109,000000,21.917,21.997,21.788,21.798,7126,0
DEMZ.US,D,20201110,000000,21.579,21.579,21.43,21.497,5746,0
DEMZ.US,D,20201111,000000,21.49,21.554,21.41,21.517,5320,0
DEMZ.US,D,20201112,000000,21.41,21.519,21.191,21.3,5090,0
DEMZ.US,D,20201113,000000,21.539,21.641,21.521,21.641,5082,0
DEMZ.US,D,20201116,000000,21.868,21.907,21.848,21.907,2375,0
DEMZ.US,D,20201117,000000,22.355,22.355,21.798,21.867,3602,0
DEMZ.US,D,20201118,000000,21.927,21.927,21.798,21.798,1154,0
DEMZ.US,D,20201119,000000,21.589,21.719,21.589,21.719,1053,0
DEMZ.US,D,20201120,000000,21.699,21.699,21.572,21.572,312,0
DEMZ.US,D,20201123,000000,21.579,21.621,21.579,21.621,150,0
DEMZ.US,D,20201130,000000,21.737,21.809,21.737,21.809,351,0
DEMZ.US,D,20201201,000000,22.096,22.127,22.075,22.127,211,0
DEMZ.US,D,20201202,000000,22.126,22.182,22.126,22.182,1720,0
DEMZ.US,D,20201203,000000,22.236,22.236,22.126,22.126,785,0
DEMZ.US,D,20201204,000000,22.226,22.381,22.226,22.381,127,0
DEMZ.US,D,20201207,000000,22.424,22.424,22.397,22.397,300,0
DEMZ.US,D,20201208,000000,22.464,22.464,22.436,22.436,459,0
DEMZ.US,D,20201211,000000,22.405,22.405,22.405,22.405,317,0
DEMZ.US,D,20201214,000000,22.614,22.614,22.334,22.334,2071,0
DEMZ.US,D,20201215,000000,22.432,22.606,22.432,22.606,772,0
DEMZ.US,D,20201216,000000,22.614,22.674,22.614,22.674,648,0
DEMZ.US,D,20201217,000000,22.762,22.782,22.762,22.771,474,0
DEMZ.US,D,20201221,000000,22.584,22.612,22.574,22.612,1922,0
DEMZ.US,D,20201222,000000,22.653,22.653,22.574,22.576,3620,0
DEMZ.US,D,20201224,000000,22.624,22.63,22.624,22.63,204,0
DEMZ.US,D,20201228,000000,22.842,22.842,22.842,22.842,466,0
DEMZ.US,D,20201229,000000,22.643,22.725,22.643,22.725,1058,0
DEMZ.US,D,20201230,000000,22.782,22.782,22.713,22.77,816,0
DEMZ.US,D,20201231,000000,22.892,22.892,22.892,22.892,106,0
DEMZ.US,D,20210104,000000,22.603,22.623,22.603,22.622,1524,0
DEMZ.US,D,20210105,000000,22.752,22.752,22.703,22.743,400,0
DEMZ.US,D,20210106,000000,22.792,23.091,22.792,23.008,3968,0
DEMZ.US,D,20210107,000000,23.161,23.301,23.161,23.299,589,0
DEMZ.US,D,20210111,000000,23.241,23.251,23.241,23.251,295,0
DEMZ.US,D,20210112,000000,23.271,23.377,23.251,23.377,1243,0
DEMZ.US,D,20210113,000000,23.181,23.242,23.171,23.242,581,0
DEMZ.US,D,20210115,000000,23.131,23.131,22.842,22.903,3411,0
DEMZ.US,D,20210121,000000,23.361,23.421,23.361,23.401,1879,0
DEMZ.US,D,20210122,000000,23.221,23.25,23.197,23.197,2251,0
DEMZ.US,D,20210125,000000,22.912,22.912,22.912,22.912,607,0
DEMZ.US,D,20210126,000000,23.111,23.111,23.111,23.111,196,0
DEMZ.US,D,20210127,000000,22.631,22.631,22.624,22.624,454,0
DEMZ.US,D,20210128,000000,22.937,22.937,22.847,22.847,416,0
DEMZ.US,D,20210129,000000,22.314,22.314,22.314,22.314,1254,0
DEMZ.US,D,20210201,000000,22.443,22.797,22.443,22.759,787,0
