<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DGRE.US,D,20130805,000000,19.6408,19.6552,19.5397,19.5503,91472.20038308,0
DGRE.US,D,20130806,000000,19.4887,19.4887,19.2384,19.3135,25926.55927728,0
DGRE.US,D,20130807,000000,19.2172,19.3433,19.1104,19.1104,93717.063537107,0
DGRE.US,D,20130808,000000,19.327,19.5426,19.2461,19.4482,27045.355027806,0
DGRE.US,D,20130809,000000,19.5503,19.634,19.4184,19.6167,162512.094715,0
DGRE.US,D,20130812,000000,19.5715,19.6552,19.5503,19.5715,39666.866976638,0
DGRE.US,D,20130813,000000,19.7024,19.7322,19.6042,19.7159,60103.328258068,0
DGRE.US,D,20130814,000000,19.8998,19.9258,19.7939,19.8159,11192.112735532,0
DGRE.US,D,20130815,000000,19.6167,19.6167,19.3625,19.5503,25433.125682573,0
DGRE.US,D,20130816,000000,19.5426,19.5426,19.2461,19.2644,39196.287148423,0
DGRE.US,D,20130819,000000,19.0488,19.0488,18.5963,18.5963,23934.12636223,0
DGRE.US,D,20130820,000000,18.5655,18.6906,18.5655,18.6041,11263.790457711,0
DGRE.US,D,20130821,000000,18.4827,18.4827,18.0726,18.1834,40288.073902186,0
DGRE.US,D,20130822,000000,18.4038,18.4038,18.3027,18.3027,10263.418769915,0
DGRE.US,D,20130823,000000,18.3788,18.5251,18.3788,18.5241,2861.9148493031,0
DGRE.US,D,20130826,000000,18.4914,18.4914,18.2209,18.2209,20603.709299847,0
DGRE.US,D,20130827,000000,17.9437,17.9437,17.6346,17.6818,41071.334808311,0
DGRE.US,D,20130828,000000,17.7261,17.8339,17.6048,17.8262,8039.3317672438,0
DGRE.US,D,20130829,000000,17.9042,18.1525,17.6664,17.7993,5480.7487277398,0
DGRE.US,D,20130830,000000,18.0861,18.0958,17.8849,17.9311,26752.411293685,0
DGRE.US,D,20130903,000000,18.2527,18.2527,18.2527,18.2527,1215.404854332,0
DGRE.US,D,20130904,000000,18.0726,18.2267,18.0496,18.089,9377.3159145768,0
DGRE.US,D,20130905,000000,18.1892,18.1892,18.089,18.1092,23869.720293026,0
DGRE.US,D,20130906,000000,18.5241,18.6676,18.5087,18.6261,4293.3916777386,0
DGRE.US,D,20130909,000000,18.8957,19.2365,18.8957,19.0652,4359.8753620781,0
DGRE.US,D,20130910,000000,19.2316,19.5137,19.2316,19.353,10304.971072627,0
DGRE.US,D,20130911,000000,19.4482,19.4974,19.4482,19.4887,2450.5470524523,0
DGRE.US,D,20130912,000000,19.5426,19.5426,19.2461,19.2461,8917.1241620391,0
DGRE.US,D,20130913,000000,19.403,19.403,19.2548,19.3347,2973.0672590582,0
DGRE.US,D,20130916,000000,19.7592,19.8516,19.7197,19.7996,4113.6779685083,0
DGRE.US,D,20130917,000000,19.8824,19.8824,19.7891,19.7996,6982.864470786,0
DGRE.US,D,20130918,000000,19.7669,20.6544,19.5715,20.5928,62223.534503959,0
DGRE.US,D,20130919,000000,20.6717,20.7171,20.5023,20.5793,3546.4890364867,0
DGRE.US,D,20130920,000000,20.5928,20.5928,20.1799,20.2106,5700.9759321145,0
DGRE.US,D,20130923,000000,20.1106,20.1106,20.0884,20.0884,2102.5465172376,0
DGRE.US,D,20130924,000000,20.0826,20.0826,19.7034,19.9815,7916.7524742428,0
DGRE.US,D,20130925,000000,19.9748,19.9748,19.7034,19.7746,11163.026123634,0
DGRE.US,D,20130926,000000,19.9093,19.918,19.6495,19.7602,7134.5303756855,0
DGRE.US,D,20130927,000000,19.6495,19.6495,19.4482,19.4482,17195.381669878,0
DGRE.US,D,20130930,000000,19.2114,19.2471,19.119,19.1287,21560.451069795,0
DGRE.US,D,20131001,000000,19.4482,19.4599,19.4482,19.4569,1038.8075678051,0
DGRE.US,D,20131002,000000,19.7034,19.7034,19.4983,19.6967,2594.9413043772,0
DGRE.US,D,20131004,000000,19.7534,19.8613,19.7265,19.7679,15053.360465064,0
DGRE.US,D,20131007,000000,19.7265,19.7265,19.5648,19.6889,6226.6125614239,0
DGRE.US,D,20131008,000000,19.6495,19.6802,19.6418,19.6802,2074.4987129068,0
DGRE.US,D,20131009,000000,19.7602,19.7602,19.4569,19.6889,64367.633323909,0
DGRE.US,D,20131010,000000,19.8371,20.1116,19.8371,20.0576,28446.706436775,0
DGRE.US,D,20131011,000000,20.2328,20.2443,20.2328,20.2443,3181.8675801871,0
DGRE.US,D,20131014,000000,20.3435,20.4099,20.3435,20.4099,4618.5384464616,0
DGRE.US,D,20131015,000000,20.3445,20.382,20.1211,20.1905,7195.8200221861,0
DGRE.US,D,20131016,000000,20.1828,20.4032,20.1828,20.4032,8804.9329447162,0
DGRE.US,D,20131017,000000,20.4214,20.4985,20.3204,20.4821,10899.169001412,0
DGRE.US,D,20131018,000000,20.6207,20.6207,20.382,20.5303,15183.21141104,0
DGRE.US,D,20131021,000000,20.5745,20.5745,20.3445,20.3445,13106.635082997,0
DGRE.US,D,20131022,000000,20.6073,20.6756,20.5745,20.6304,2594.9413043772,0
DGRE.US,D,20131023,000000,20.4591,20.4591,20.229,20.305,4541.666686444,0
DGRE.US,D,20131024,000000,20.3127,20.3127,20.1664,20.2742,11810.203238377,0
DGRE.US,D,20131025,000000,20.1433,20.4349,20.1433,20.4349,5968.9882846082,0
DGRE.US,D,20131028,000000,20.229,20.5525,20.229,20.4821,3374.046980231,0
DGRE.US,D,20131029,000000,20.4908,20.5139,20.382,20.5139,2338.3558351293,0
DGRE.US,D,20131030,000000,20.2675,20.3762,20.2126,20.252,2467.1679735372,0
DGRE.US,D,20131031,000000,20.0345,20.1279,20.0345,20.0345,10625.962611079,0
DGRE.US,D,20131101,000000,19.8006,19.8959,19.8006,19.8959,3508.0531564779,0
DGRE.US,D,20131104,000000,19.892,19.9815,19.892,19.892,5712.4028153603,0
DGRE.US,D,20131105,000000,19.7178,19.7255,19.5484,19.5484,10123.179748261,0
DGRE.US,D,20131106,000000,19.6418,19.7265,19.6263,19.636,3115.3838958475,0
DGRE.US,D,20131107,000000,19.7823,19.7823,19.35,19.35,5840.1761462004,0
DGRE.US,D,20131108,000000,19.2249,19.3347,19.2114,19.3347,25694.905189659,0
DGRE.US,D,20131111,000000,19.2558,19.2731,19.1971,19.1971,6507.0906047313,0
DGRE.US,D,20131112,000000,19.2384,19.2384,18.9044,18.9044,11549.462538857,0
DGRE.US,D,20131113,000000,18.9044,19.171,18.9044,19.1604,4424.281431282,0
DGRE.US,D,20131114,000000,19.4482,19.4983,19.2249,19.4983,17647.262961873,0
DGRE.US,D,20131115,000000,19.5436,19.711,19.5436,19.6186,2856.7208114641,0
DGRE.US,D,20131118,000000,19.7534,19.8179,19.711,19.711,1817.913243659,0
DGRE.US,D,20131119,000000,19.8006,19.9016,19.5811,19.7486,1798.1758998707,0
DGRE.US,D,20131120,000000,19.636,19.711,19.2558,19.2558,12583.076068823,0
DGRE.US,D,20131121,000000,19.3625,19.4896,19.3625,19.4097,3242.1184191198,0
DGRE.US,D,20131122,000000,19.4339,19.4482,19.4339,19.4482,2467.1679735372,0
DGRE.US,D,20131125,000000,19.4184,19.4184,19.2558,19.2653,24134.616222816,0
DGRE.US,D,20131126,000000,19.171,19.2885,19.0488,19.2885,7398.387497908,0
DGRE.US,D,20131127,000000,19.2471,19.3347,19.171,19.2172,4281.9647944927,0
DGRE.US,D,20131129,000000,19.3625,19.3625,19.3625,19.3625,519.40378390256,0
DGRE.US,D,20131202,000000,19.3145,19.3145,19.0266,19.0266,10770.356863003,0
DGRE.US,D,20131203,000000,19.1104,19.1104,18.8437,18.9496,12977.822944589,0
DGRE.US,D,20131204,000000,18.8245,18.9563,18.6088,18.9429,6360.6187376707,0
DGRE.US,D,20131205,000000,18.8639,18.9631,18.7562,18.8669,10239.526195855,0
DGRE.US,D,20131206,000000,19.019,19.2558,19.019,19.2558,3892.4119565658,0
DGRE.US,D,20131209,000000,19.2384,19.3558,19.1046,19.119,20111.314512707,0
DGRE.US,D,20131210,000000,19.2885,19.3222,19.1634,19.3222,6226.6125614239,0
DGRE.US,D,20131211,000000,19.0488,19.0488,18.784,18.784,6360.6187376707,0
DGRE.US,D,20131212,000000,18.7253,18.9236,18.6955,18.8601,19923.290342935,0
DGRE.US,D,20131213,000000,18.8004,18.8245,18.7417,18.8004,5582.5518693847,0
DGRE.US,D,20131216,000000,18.8514,18.9785,18.8167,18.8871,40357.674009229,0
DGRE.US,D,20131217,000000,18.9708,19.0006,18.71,18.9496,47360.275823803,0
DGRE.US,D,20131218,000000,19.0006,19.4339,18.8582,19.2885,14922.470711521,0
DGRE.US,D,20131219,000000,19.0006,19.019,19.0006,19.0093,1687.0234901155,0
DGRE.US,D,20131220,000000,18.8784,18.9708,18.8004,18.8004,14406.183350321,0
DGRE.US,D,20131223,000000,18.9198,19.0902,18.9198,19.0353,10899.169001412,0
DGRE.US,D,20131224,000000,19.0555,19.1431,19.0555,19.1431,1160.3480532383,0
DGRE.US,D,20131226,000000,18.9775,18.9775,18.8235,18.8427,11771.767358368,0
DGRE.US,D,20131227,000000,18.9342,18.9342,18.9044,18.9274,7632.1192006642,0
DGRE.US,D,20131230,000000,19.0353,19.2653,19.0353,19.2172,30789.217502176,0
DGRE.US,D,20131231,000000,19.2894,19.3155,19.2653,19.3058,15523.940293279,0
DGRE.US,D,20140102,000000,18.9554,18.9554,18.681,18.681,8649.1118095454,0
DGRE.US,D,20140103,000000,18.681,18.6868,18.5222,18.5704,64867.299764023,0
DGRE.US,D,20140106,000000,18.4933,18.5,18.4779,18.4779,11123.551436057,0
DGRE.US,D,20140107,000000,18.5511,18.5539,18.4143,18.45,38052.560016269,0
DGRE.US,D,20140108,000000,18.5299,18.5299,18.3056,18.3056,6083.2571170668,0
DGRE.US,D,20140109,000000,18.3749,18.3749,18.0274,18.1699,15132.309840217,0
DGRE.US,D,20140110,000000,18.3451,18.5781,18.3451,18.5539,2069.3046750678,0
DGRE.US,D,20140113,000000,18.8331,18.8331,18.6156,18.6156,1035.6911451017,0
DGRE.US,D,20140114,000000,18.4865,18.7398,18.4865,18.7398,393.70806819814,0
DGRE.US,D,20140115,000000,18.8427,18.8427,18.5944,18.7013,9956.9705374121,0
DGRE.US,D,20140116,000000,18.7744,18.7744,18.5617,18.6733,5068.3421233212,0
DGRE.US,D,20140117,000000,18.5386,18.71,18.5386,18.6021,7243.6051703051,0
DGRE.US,D,20140121,000000,18.71,18.71,18.3913,18.4317,4787.8640800138,0
DGRE.US,D,20140122,000000,18.5944,18.7484,18.5781,18.7484,15132.309840217,0
DGRE.US,D,20140123,000000,18.6733,18.6733,18.2151,18.4221,6598.5056706981,0
DGRE.US,D,20140124,000000,18.191,18.191,17.8435,17.9504,29621.597795962,0
DGRE.US,D,20140127,000000,17.8734,17.8734,17.6414,17.7906,5303.1126336451,0
DGRE.US,D,20140128,000000,17.7828,17.7828,17.6981,17.6981,2384.0633681127,0
DGRE.US,D,20140129,000000,17.4036,17.5509,17.4036,17.5182,5687.471433733,0
DGRE.US,D,20140130,000000,17.7184,17.7184,17.5037,17.5682,17851.908052731,0
DGRE.US,D,20140131,000000,17.4026,17.5942,17.2178,17.471,25499.609366912,0
DGRE.US,D,20140203,000000,17.496,17.496,17.0157,17.0157,9937.2331936238,0
DGRE.US,D,20140204,000000,17.3776,17.5682,17.3776,17.5682,7729.7671120379,0
DGRE.US,D,20140205,000000,17.4797,17.4797,17.4036,17.4556,1022.1866467202,0
DGRE.US,D,20140206,000000,17.8887,17.9272,17.7743,17.9042,5962.7554392014,0
DGRE.US,D,20140207,000000,17.8512,17.9437,17.832,17.9437,1110.4852899837,0
DGRE.US,D,20140210,000000,17.859,17.859,17.6587,17.6587,3339.7663304935,0
DGRE.US,D,20140211,000000,17.6963,18.0515,17.6963,18.0197,7437.8621854846,0
DGRE.US,D,20140212,000000,17.9861,18.0515,17.804,17.8262,7228.023056788,0
DGRE.US,D,20140213,000000,18.0515,18.0582,17.7828,18.0582,1461.6022479018,0
DGRE.US,D,20140214,000000,18.2064,18.2969,18.2064,18.2969,7825.337408276,0
DGRE.US,D,20140218,000000,18.2921,18.2921,18.2449,18.2449,3601.5458375803,0
DGRE.US,D,20140219,000000,18.1468,18.1602,18.0823,18.0823,5111.972041169,0
DGRE.US,D,20140220,000000,18.0591,18.1852,18.0515,18.1785,7319.4381227549,0
DGRE.US,D,20140221,000000,18.1468,18.1468,18.1372,18.1372,775.98925315042,0
DGRE.US,D,20140224,000000,18.1862,18.3605,18.1708,18.3605,3414.5604753754,0
DGRE.US,D,20140225,000000,18.1285,18.1285,18.1285,18.1285,778.06686828603,0
DGRE.US,D,20140226,000000,18.0428,18.0428,18.0129,18.0236,2214.7377345605,0
DGRE.US,D,20140227,000000,18.1217,18.1612,18.0197,18.1612,6963.1271269977,0
DGRE.US,D,20140228,000000,18.4865,18.4865,18.0591,18.0823,4625.8100994362,0
DGRE.US,D,20140303,000000,17.8435,17.9437,17.7828,17.7993,18103.29948414,0
DGRE.US,D,20140304,000000,18.2064,18.2392,18.2064,18.2151,2816.2073163197,0
DGRE.US,D,20140305,000000,18.3681,18.4135,18.3441,18.3681,5091.1958898129,0
DGRE.US,D,20140306,000000,18.6579,18.7687,18.6579,18.7436,11184.841082558,0
DGRE.US,D,20140307,000000,18.6329,18.6396,18.4385,18.4385,2570.0099227499,0
DGRE.US,D,20140310,000000,18.2931,18.3451,18.2931,18.3451,5077.6913914314,0
DGRE.US,D,20140311,000000,18.4972,18.4972,18.3749,18.399,3406.250014833,0
DGRE.US,D,20140312,000000,18.1852,18.1852,18.0149,18.0149,1296.4318446208,0
DGRE.US,D,20140313,000000,18.0428,18.0428,17.7828,17.8339,34653.581654411,0
DGRE.US,D,20140314,000000,18.0139,18.2469,18.0139,18.2469,2556.5054243684,0
DGRE.US,D,20140317,000000,18.4317,18.4615,18.3094,18.3451,41847.324061461,0
DGRE.US,D,20140318,000000,18.4914,18.732,18.4914,18.732,3335.6111002222,0
DGRE.US,D,20140319,000000,18.4317,18.5944,18.399,18.399,1000.3716877963,0
DGRE.US,D,20140320,000000,18.2767,18.2767,18.2565,18.2565,2779.8490514465,0
DGRE.US,D,20140321,000000,18.5077,18.5077,18.4452,18.4452,1630.927881454,0
DGRE.US,D,20140324,000000,18.3499,18.5395,18.3499,18.3499,1322.4020338159,0
DGRE.US,D,20140325,000000,18.7253,18.81,18.6753,18.81,1359.7991062569,0
DGRE.US,D,20140326,000000,18.9304,18.9304,18.8534,18.8591,2578.3203832923,0
DGRE.US,D,20140327,000000,18.8976,18.9525,18.8889,18.9525,2638.571222225,0
DGRE.US,D,20140328,000000,19.0122,19.2701,19.0122,19.2701,1626.7726511828,0
DGRE.US,D,20140331,000000,19.3674,19.3944,19.3077,19.327,4958.2285211338,0
DGRE.US,D,20140401,000000,19.4627,19.4627,19.454,19.454,442.53202388498,0
DGRE.US,D,20140402,000000,19.4396,19.4801,19.4396,19.4801,510.05451579231,0
DGRE.US,D,20140403,000000,19.3857,19.3857,19.2509,19.3202,3770.8714711326,0
DGRE.US,D,20140404,000000,19.611,19.6793,19.4319,19.4319,2021.5195269488,0
DGRE.US,D,20140407,000000,19.6408,19.6408,19.61,19.61,1573.7934652248,0
DGRE.US,D,20140408,000000,19.8449,19.9373,19.7342,19.8006,2823.4789692943,0
DGRE.US,D,20140409,000000,19.8613,19.946,19.8613,19.8959,2697.7832535899,0
DGRE.US,D,20140410,000000,19.8179,19.8179,19.8179,19.8179,1743.119098777,0
DGRE.US,D,20140411,000000,19.7255,19.7948,19.688,19.7948,2105.662939941,0
DGRE.US,D,20140414,000000,19.7948,19.7948,19.635,19.712,4226.907993399,0
DGRE.US,D,20140415,000000,19.3405,19.6716,19.3405,19.4078,6696.1535820718,0
DGRE.US,D,20140416,000000,19.5118,19.7255,19.5118,19.7255,3736.590821395,0
DGRE.US,D,20140417,000000,19.7524,19.8699,19.7437,19.7437,3064.4823250251,0
DGRE.US,D,20140421,000000,19.8371,19.8699,19.7255,19.7457,3581.808493792,0
DGRE.US,D,20140422,000000,19.8536,19.8593,19.6967,19.7909,15912.454323638,0
DGRE.US,D,20140423,000000,19.7255,19.7255,19.611,19.6408,1187.3570500012,0
DGRE.US,D,20140424,000000,19.5791,19.688,19.5791,19.688,6643.1743961137,0
DGRE.US,D,20140425,000000,19.4155,19.4714,19.4155,19.454,1669.3637614628,0
DGRE.US,D,20140428,000000,19.4078,19.6253,19.4078,19.6253,3204.7213466788,0
DGRE.US,D,20140429,000000,19.6967,19.7034,19.6967,19.6967,1293.3154219174,0
DGRE.US,D,20140501,000000,19.6485,19.7881,19.6485,19.7881,871.55954938849,0
DGRE.US,D,20140502,000000,19.8613,19.8699,19.8276,19.8613,866.36551154947,0
DGRE.US,D,20140505,000000,19.7832,19.7832,19.6716,19.7342,4823.1835373192,0
DGRE.US,D,20140506,000000,19.6408,19.7948,19.6408,19.7746,1741.0414836414,0
DGRE.US,D,20140507,000000,19.919,19.919,19.919,19.919,4257.0334128654,0
DGRE.US,D,20140508,000000,20.1231,20.1596,20.0634,20.0749,8206.5797856604,0
DGRE.US,D,20140509,000000,20.0904,20.0904,19.996,20.0047,14965.061821801,0
DGRE.US,D,20140512,000000,20.1596,20.1924,20.0769,20.1693,55166.914695859,0
DGRE.US,D,20140513,000000,20.278,20.3637,20.2703,20.3637,7990.507811557,0
DGRE.US,D,20140514,000000,20.4167,20.4561,20.3936,20.4552,23397.062849675,0
DGRE.US,D,20140515,000000,20.2463,20.2703,20.1134,20.2232,4888.6284140909,0
DGRE.US,D,20140516,000000,20.3329,20.4936,20.3329,20.4936,4138.6093501356,0
DGRE.US,D,20140519,000000,20.4206,20.4936,20.4206,20.4936,8439.2726808488,0
DGRE.US,D,20140520,000000,20.2463,20.2694,20.0971,20.1846,1808.5639755487,0
DGRE.US,D,20140521,000000,20.3532,20.3532,20.3242,20.3242,689.7682250226,0
DGRE.US,D,20140522,000000,20.4321,20.486,20.3416,20.486,39742.699929088,0
DGRE.US,D,20140523,000000,20.4398,20.4783,20.3994,20.4321,1163.4644759417,0
DGRE.US,D,20140527,000000,20.278,20.3772,20.2232,20.2395,9327.4531513222,0
DGRE.US,D,20140528,000000,20.0614,20.3242,20.022,20.3098,4356.7589393747,0
DGRE.US,D,20140529,000000,20.4167,20.4167,20.3657,20.3762,2108.7793626444,0
DGRE.US,D,20140530,000000,20.2463,20.2463,20.0442,20.0614,4292.3528701707,0
DGRE.US,D,20140602,000000,20.1443,20.1443,20.0769,20.1433,2990.7269877109,0
DGRE.US,D,20140603,000000,20.1443,20.255,20.1443,20.253,2432.8873237996,0
DGRE.US,D,20140604,000000,20.1895,20.1924,20.1336,20.176,7383.8441919588,0
DGRE.US,D,20140605,000000,20.2858,20.3609,20.2627,20.3387,13738.230084223,0
DGRE.US,D,20140606,000000,20.5861,20.5861,20.4398,20.5726,3486.238197554,0
DGRE.US,D,20140609,000000,20.5987,20.6814,20.564,20.6727,5576.3190239779,0
DGRE.US,D,20140610,000000,20.6554,20.7103,20.5793,20.7103,14831.055645554,0
DGRE.US,D,20140611,000000,20.6063,20.6255,20.5668,20.5861,3501.8203110711,0
DGRE.US,D,20140612,000000,20.562,20.564,20.4214,20.4214,6065.5973884141,0
DGRE.US,D,20140613,000000,20.5793,20.5793,20.3772,20.4426,3356.3872515783,0
DGRE.US,D,20140616,000000,20.5273,20.5273,20.4071,20.4167,4376.496283163,0
DGRE.US,D,20140617,000000,20.3156,20.3772,20.255,20.3714,12305.71444822,0
DGRE.US,D,20140618,000000,20.3714,20.6112,20.3484,20.5188,4811.7566540733,0
DGRE.US,D,20140619,000000,20.6727,20.6814,20.5408,20.5408,3118.500318551,0
DGRE.US,D,20140620,000000,20.5428,20.6188,20.5428,20.6188,1809.6027831165,0
DGRE.US,D,20140623,000000,20.6467,20.6467,20.5303,20.6265,30244.882336647,0
DGRE.US,D,20140624,000000,20.6824,20.7498,20.5553,20.5678,13562.671605264,0
DGRE.US,D,20140625,000000,20.6035,20.6419,20.5938,20.6419,10226.021697473,0
DGRE.US,D,20140626,000000,20.5938,20.6265,20.5428,20.6035,7365.1456557383,0
DGRE.US,D,20140627,000000,20.6419,20.7036,20.5658,20.7036,6253.6215581868,0
DGRE.US,D,20140630,000000,20.7199,20.8171,20.6035,20.8171,20133.129471631,0
DGRE.US,D,20140701,000000,20.8835,20.8835,20.7748,20.8229,294329.50341649,0
DGRE.US,D,20140702,000000,20.8085,20.9,20.8085,20.9,2938.7866093207,0
DGRE.US,D,20140703,000000,20.845,20.9577,20.845,20.9337,89180.590888502,0
DGRE.US,D,20140707,000000,21.0501,21.1907,21.0414,21.1483,15742.089882519,0
DGRE.US,D,20140708,000000,21.2215,21.2927,21.1185,21.1185,9474.9638259505,0
DGRE.US,D,20140709,000000,21.3292,21.4323,21.3292,21.3784,3108.1122428729,0
DGRE.US,D,20140710,000000,21.1753,21.2292,21.1531,21.2292,7291.3903184241,0
DGRE.US,D,20140711,000000,21.0953,21.3062,21.0953,21.3062,24714.270845651,0
DGRE.US,D,20140714,000000,21.2435,21.3871,21.2435,21.3871,5289.6081352637,0
DGRE.US,D,20140715,000000,21.3004,21.3697,21.2215,21.3408,8018.5556158877,0
DGRE.US,D,20140716,000000,21.3871,21.3928,21.2349,21.3928,33605.424818496,0
DGRE.US,D,20140717,000000,21.1329,21.1993,20.9317,20.9471,14124.666499446,0
DGRE.US,D,20140718,000000,21.079,21.2609,21.0261,21.2292,13648.892633392,0
DGRE.US,D,20140721,000000,21.0934,21.3062,21.0934,21.3062,4048.2330917365,0
DGRE.US,D,20140722,000000,21.3976,21.5189,21.3976,21.4708,18143.812979284,0
DGRE.US,D,20140723,000000,21.5805,21.5805,21.4862,21.5275,2267.7169205186,0
