<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DGRS.US,D,20130729,000000,21.2381,21.3189,21.0964,21.1672,27227.668569711,0
DGRS.US,D,20130730,000000,21.277,21.2939,21.1573,21.2291,28423.640904162,0
DGRS.US,D,20130731,000000,21.4605,21.674,21.4605,21.5712,59054.768045087,0
DGRS.US,D,20130801,000000,21.8675,22.0272,21.7777,22.0272,106121.74298426,0
DGRS.US,D,20130802,000000,21.9483,21.9483,21.8356,21.9084,16993.233060574,0
DGRS.US,D,20130805,000000,21.9483,21.9842,21.8286,21.9842,117511.04867721,0
DGRS.US,D,20130806,000000,21.9164,21.9164,21.664,21.7607,22347.540049927,0
DGRS.US,D,20130807,000000,21.5872,21.6102,21.5184,21.5782,6254.5443374974,0
DGRS.US,D,20130808,000000,21.7997,21.8087,21.6481,21.7777,6974.3332194213,0
DGRS.US,D,20130809,000000,21.6999,21.7319,21.6481,21.683,2501.2162401116,0
DGRS.US,D,20130812,000000,21.5632,21.7937,21.5632,21.7927,9257.0063171103,0
DGRS.US,D,20130813,000000,21.8087,21.8675,21.6331,21.8575,9231.9440301352,0
DGRS.US,D,20130814,000000,21.8286,21.8286,21.7558,21.7607,7815.4235703045,0
DGRS.US,D,20130815,000000,21.7329,21.7329,21.277,21.3189,16109.035576093,0
DGRS.US,D,20130816,000000,21.2939,21.3189,21.2381,21.3029,5670.0918052389,0
DGRS.US,D,20130819,000000,21.2531,21.2939,21.0695,21.0695,5803.4231719462,0
DGRS.US,D,20130820,000000,21.0784,21.3817,21.0784,21.3777,5088.6467474173,0
DGRS.US,D,20130821,000000,21.3279,21.4196,21.1144,21.2221,13751.175617479,0
DGRS.US,D,20130822,000000,21.2291,27.1514,21.2032,21.4845,5852.5452544174,0
DGRS.US,D,20130823,000000,21.5094,21.5374,21.4526,21.5374,4588.403499395,0
DGRS.US,D,20130826,000000,21.5682,21.686,21.4735,21.4735,6690.6281308635,0
DGRS.US,D,20130827,000000,21.5752,21.5752,20.9488,20.9767,9800.3566987297,0
DGRS.US,D,20130828,000000,20.9867,21.0735,20.9867,21.0356,6860.049190815,0
DGRS.US,D,20130829,000000,20.9867,21.266,20.9867,21.1533,5105.6891025604,0
DGRS.US,D,20130830,000000,21.261,21.261,20.8391,20.8391,9260.0137915473,0
DGRS.US,D,20130903,000000,21.2909,22.1339,20.8869,20.9937,4383.8952376785,0
DGRS.US,D,20130904,000000,20.9937,21.2411,20.9937,21.1982,21346.051062403,0
DGRS.US,D,20130905,000000,21.2082,21.3139,21.2082,21.3039,8324.6892416378,0
DGRS.US,D,20130906,000000,21.0376,21.3627,21.0186,21.2331,10687.561657647,0
DGRS.US,D,20130909,000000,21.2909,21.5672,21.2909,21.5424,9468.5320191798,0
DGRS.US,D,20130910,000000,21.7039,21.7747,21.6291,21.7657,20292.432517971,0
DGRS.US,D,20130911,000000,21.7329,21.8247,21.7169,21.7169,16833.836915412,0
DGRS.US,D,20130912,000000,21.8147,21.8147,21.6431,21.6441,9891.5834233189,0
DGRS.US,D,20130913,000000,21.66,21.7439,21.66,21.7439,1759.3725456496,0
DGRS.US,D,20130916,000000,22.0082,22.0082,21.8346,21.8346,18692.456117483,0
DGRS.US,D,20130917,000000,21.8745,22.0082,21.8745,22.0082,10709.616470185,0
DGRS.US,D,20130918,000000,21.8875,22.2725,21.8346,22.2137,9866.5211363439,0
DGRS.US,D,20130919,000000,22.2575,22.2575,22.066,22.1339,56654.803444355,0
DGRS.US,D,20130920,000000,22.083,22.1149,22.04,22.04,6196.3998317153,0
DGRS.US,D,20130923,000000,22.0032,22.0032,21.9004,21.9174,917.27970328741,0
DGRS.US,D,20130924,000000,21.9254,22.2017,21.9254,22.101,4810.9566077336,0
DGRS.US,D,20130925,000000,21.9942,22.1787,21.9842,22.0122,16308.531380415,0
DGRS.US,D,20130926,000000,22.101,22.2087,22.0212,22.1598,12555.203283029,0
DGRS.US,D,20130927,000000,22.1598,22.1598,22.101,22.1368,13557.694762032,0
DGRS.US,D,20130930,000000,21.8296,22.2227,21.8296,22.1697,4922.2331619029,0
DGRS.US,D,20131001,000000,22.4022,22.4022,22.3743,22.4012,586.45751521654,0
DGRS.US,D,20131002,000000,22.3543,22.3832,22.3104,22.3104,4928.2481107769,0
DGRS.US,D,20131003,000000,22.3363,22.3363,21.9563,22.1498,5862.5701692074,0
DGRS.US,D,20131004,000000,22.079,22.2765,22.079,22.1688,5166.8410827796,0
DGRS.US,D,20131007,000000,22.0212,22.0212,21.9084,21.9413,8920.1691801654,0
DGRS.US,D,20131008,000000,21.7997,21.7997,21.5962,21.674,4928.2481107769,0
DGRS.US,D,20131009,000000,21.5562,21.655,21.4356,21.5632,4693.6651046903,0
DGRS.US,D,20131010,000000,21.9254,22.1498,21.9254,22.1428,1508.749675899,0
DGRS.US,D,20131011,000000,22.071,22.448,22.071,22.448,4568.353669815,0
DGRS.US,D,20131014,000000,22.452,22.6217,22.452,22.5857,6868.069122647,0
DGRS.US,D,20131015,000000,22.6217,22.6217,22.452,22.502,11111.615553265,0
DGRS.US,D,20131016,000000,22.6905,22.8042,22.6715,22.8042,23665.816344815,0
DGRS.US,D,20131017,000000,22.7333,22.9308,22.7333,22.9308,28738.423228568,0
DGRS.US,D,20131018,000000,23.1075,23.2291,23.0655,23.2291,15019.327338417,0
DGRS.US,D,20131021,000000,23.3418,23.3418,23.2002,23.2081,15115.566520402,0
DGRS.US,D,20131022,000000,23.3608,23.4186,23.2331,23.267,22265.335748648,0
DGRS.US,D,20131023,000000,23.1653,23.283,23.1025,23.2491,46301.071449215,0
DGRS.US,D,20131024,000000,23.2491,23.3928,23.2251,23.3159,23910.424265692,0
DGRS.US,D,20131025,000000,23.3328,23.3328,23.1653,23.3159,5978.8591807717,0
DGRS.US,D,20131028,000000,23.3748,23.5663,23.2401,23.3848,5625.9821801628,0
DGRS.US,D,20131029,000000,23.5992,23.6081,23.267,23.3159,8913.1517398124,0
DGRS.US,D,20131030,000000,23.267,23.267,22.9927,23.0865,34811.516608366,0
DGRS.US,D,20131031,000000,23.0625,23.2081,23.0625,23.0955,29054.208044454,0
DGRS.US,D,20131101,000000,23.0685,23.1913,22.7733,23.0017,7968.8047665919,0
DGRS.US,D,20131104,000000,22.899,23.283,22.899,23.2251,23678.848734042,0
DGRS.US,D,20131105,000000,23.0805,23.276,23.0017,23.2541,2812.9910900814,0
DGRS.US,D,20131106,000000,23.3518,23.3518,23.0256,23.0526,24959.030352728,0
DGRS.US,D,20131107,000000,23.1025,23.1833,22.7035,22.7035,9965.7677927651,0
DGRS.US,D,20131108,000000,22.9258,23.0346,22.9258,23.0256,16057.908510664,0
DGRS.US,D,20131111,000000,22.89,23.1214,22.89,23.1214,2952.3374056627,0
DGRS.US,D,20131112,000000,23.0955,23.1025,23.0346,23.0865,10902.094834154,0
DGRS.US,D,20131113,000000,23.0256,23.3289,23.0256,23.3289,2420.0144303123,0
