<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DGRW.US,D,20130524,000000,21.0063,21.1696,21.0063,21.1237,74067.569790349,0
DGRW.US,D,20130528,000000,21.3768,21.4625,21.2603,21.308,42551.932791574,0
DGRW.US,D,20130529,000000,21.1696,21.2055,21.06,21.1457,69675.338907651,0
DGRW.US,D,20130530,000000,21.1696,21.2603,21.1696,21.1955,59081.779987828,0
DGRW.US,D,20130531,000000,21.2503,21.2503,20.9464,20.9464,34856.744285088,0
DGRW.US,D,20130603,000000,20.9396,21.08,20.808,20.9993,21204.184793933,0
DGRW.US,D,20130604,000000,21.076,21.1457,20.8727,20.9784,37383.657458059,0
DGRW.US,D,20130605,000000,20.9117,20.9117,20.6776,20.6776,20926.093832902,0
DGRW.US,D,20130606,000000,20.6697,20.7901,20.558,20.7901,80185.570933014,0
DGRW.US,D,20130607,000000,20.9694,21.102,20.8539,21.102,46315.698181112,0
DGRW.US,D,20130610,000000,21.1457,21.1457,21.0421,21.06,44239.553389017,0
DGRW.US,D,20130611,000000,20.9037,21.0331,20.8727,20.8947,40852.264932281,0
DGRW.US,D,20130612,000000,21.0421,21.0421,20.7304,20.7593,29586.067225851,0
DGRW.US,D,20130613,000000,20.7314,20.9993,20.7024,20.9993,40945.631211616,0
DGRW.US,D,20130614,000000,20.9604,21.0371,20.845,20.8947,25650.628354954,0
DGRW.US,D,20130617,000000,21.051,21.1277,20.9037,21.0331,44269.671543641,0
DGRW.US,D,20130618,000000,21.051,21.2313,21.051,21.1786,77663.677452479,0
DGRW.US,D,20130619,000000,21.2055,21.2683,20.9217,20.9217,89802.297704525,0
DGRW.US,D,20130620,000000,20.7224,20.7821,20.3747,20.4316,96176.303161494,0
DGRW.US,D,20130621,000000,20.5311,20.6865,20.2671,20.4963,78251.985406139,0
DGRW.US,D,20130624,000000,20.2921,20.4176,20.1258,20.2951,53084.251463661,0
DGRW.US,D,20130625,000000,20.4554,20.4614,20.2831,20.4206,60200.167462873,0
DGRW.US,D,20130626,000000,20.3369,20.6507,20.3369,20.6168,94028.878736789,0
DGRW.US,D,20130627,000000,20.7304,20.7901,20.6687,20.7304,28916.440254705,0
DGRW.US,D,20130628,000000,20.7054,20.8568,20.6537,20.6707,48930.957940981,0
DGRW.US,D,20130701,000000,20.8887,20.9386,20.7811,20.7961,55704.530915968,0
DGRW.US,D,20130702,000000,20.9386,20.9415,20.6247,20.7344,40381.417781656,0
DGRW.US,D,20130703,000000,20.584,20.836,20.584,20.7543,22160.938172495,0
DGRW.US,D,20130705,000000,20.9107,20.9774,20.7463,20.9774,38575.33244269,0
DGRW.US,D,20130708,000000,21.093,21.1108,21.0063,21.05,84604.908154873,0
DGRW.US,D,20130709,000000,21.2313,21.2763,21.1577,21.2234,48212.137983951,0
DGRW.US,D,20130710,000000,21.2234,21.2852,21.1696,21.1866,111397.01457009,0
DGRW.US,D,20130711,000000,21.5083,21.5611,21.4446,21.5451,37482.043429832,0
DGRW.US,D,20130712,000000,21.5293,21.6736,21.4715,21.5293,34785.464652476,0
DGRW.US,D,20130715,000000,21.575,21.6208,21.5273,21.584,49260.249764873,0
DGRW.US,D,20130716,000000,21.5083,21.5371,21.4545,21.5013,61899.835322167,0
DGRW.US,D,20130717,000000,21.575,21.584,21.4545,21.5003,144534.01222613,0
DGRW.US,D,20130718,000000,21.575,21.6448,21.5293,21.593,38650.627829251,0
DGRW.US,D,20130719,000000,21.7205,21.7205,21.4545,21.5451,12771.101499153,0
DGRW.US,D,20130722,000000,21.574,21.6218,21.5183,21.5223,57288.7458492,0
DGRW.US,D,20130723,000000,21.5999,21.6816,21.4973,21.5501,50018.223322915,0
DGRW.US,D,20130724,000000,21.6428,21.6616,21.4436,21.4913,49831.490764246,0
DGRW.US,D,20130725,000000,21.4605,21.5362,21.3897,21.5283,54085.178135672,0
DGRW.US,D,20130726,000000,21.4893,21.5362,21.334,21.5283,35921.923020297,0
DGRW.US,D,20130729,000000,21.5143,21.5441,21.4087,21.4893,32585.835426422,0
DGRW.US,D,20130730,000000,21.574,21.6716,21.5143,21.566,77301.255658502,0
DGRW.US,D,20130731,000000,21.5999,21.7006,21.5362,21.5362,80267.893888987,0
DGRW.US,D,20130801,000000,21.7793,21.8529,21.7254,21.8281,164887.86112117,0
DGRW.US,D,20130802,000000,21.7842,21.8699,21.7344,21.8549,44746.542325192,0
DGRW.US,D,20130805,000000,21.8449,21.8978,21.8201,21.8629,103522.12107434,0
DGRW.US,D,20130806,000000,24.4737,24.4737,21.6756,21.7274,52184.722578884,0
DGRW.US,D,20130807,000000,21.592,21.7185,21.568,21.6916,44792.723495615,0
DGRW.US,D,20130808,000000,21.8529,21.8529,21.6716,21.7842,24660.745006304,0
DGRW.US,D,20130809,000000,21.7941,21.8121,21.6368,21.6976,29605.142057113,0
DGRW.US,D,20130812,000000,21.7006,21.7603,21.6368,21.7344,61527.374143315,0
DGRW.US,D,20130813,000000,21.7703,21.8201,21.6009,21.7842,54794.962646316,0
DGRW.US,D,20130814,000000,21.7603,21.7842,21.6746,21.6916,67244.803829477,0
DGRW.US,D,20130815,000000,21.5283,21.5362,21.324,21.3748,103367.51454728,0
DGRW.US,D,20130816,000000,21.3748,21.3987,21.2663,21.315,55277.857058791,0
DGRW.US,D,20130819,000000,21.334,21.3897,21.2473,21.2473,44702.369031743,0
DGRW.US,D,20130820,000000,21.2663,21.3818,21.1936,21.305,47161.014387566,0
DGRW.US,D,20130821,000000,21.2743,21.332,21.1337,21.1776,27388.445876771,0
DGRW.US,D,20130822,000000,21.2663,21.5223,21.2563,21.351,26863.386047822,0
DGRW.US,D,20130823,000000,21.4276,21.4525,21.349,21.4525,20475.325452027,0
DGRW.US,D,20130826,000000,21.4873,21.5352,21.3768,21.3798,43622.131219221,0
DGRW.US,D,20130827,000000,21.2005,21.2005,21.0103,21.0361,55492.69989511,0
DGRW.US,D,20130828,000000,21.0193,21.1317,21.0193,21.063,83211.441534259,0
DGRW.US,D,20130829,000000,21.0282,21.2005,21.0282,21.1158,32826.780663416,0
DGRW.US,D,20130830,000000,21.1806,21.1806,21.0023,21.051,16815.969665185,0
DGRW.US,D,20130903,000000,21.063,21.2363,21.0193,21.08,24877.595719599,0
DGRW.US,D,20130904,000000,20.9724,21.2961,20.9724,21.2553,17166.344197313,0
DGRW.US,D,20130905,000000,21.2822,21.332,21.2453,21.2453,65937.675918786,0
DGRW.US,D,20130906,000000,21.3569,21.3798,21.055,21.2363,30816.895811493,0
DGRW.US,D,20130909,000000,21.3569,21.5352,21.3569,21.5133,86904.931229675,0
DGRW.US,D,20130910,000000,21.8619,21.8619,21.5193,21.6606,36491.156142696,0
DGRW.US,D,20130911,000000,21.5651,21.6896,21.5521,21.6606,34068.652572421,0
DGRW.US,D,20130912,000000,21.6606,21.7593,21.6418,21.6706,12336.396134077,0
DGRW.US,D,20130913,000000,21.7334,21.7693,21.6488,21.7693,18053.82582024,0
DGRW.US,D,20130916,000000,22.0133,22.0133,21.8469,21.8689,37798.284053386,0
DGRW.US,D,20130917,000000,21.9107,21.9794,21.8968,21.9615,30932.348737553,0
DGRW.US,D,20130918,000000,21.9556,22.2234,21.8699,22.2026,37688.854758252,0
DGRW.US,D,20130919,000000,22.2524,22.2614,22.1617,22.1936,54227.737400893,0
DGRW.US,D,20130920,000000,22.2614,22.2614,21.9964,22.0133,19087.882462338,0
DGRW.US,D,20130923,000000,22.0701,22.0701,21.8848,21.9854,32181.248215971,0
DGRW.US,D,20130924,000000,21.9256,22.0372,21.8669,21.8948,16813.96178821,0
DGRW.US,D,20130925,000000,22.0372,22.0372,21.7911,21.8101,21247.354148894,0
DGRW.US,D,20130926,000000,21.8948,21.9615,21.8191,21.8758,38295.233604685,0
DGRW.US,D,20130927,000000,21.7583,21.8101,21.7493,21.7663,13341.338560038,0
DGRW.US,D,20130930,000000,21.6248,21.7324,21.587,21.6577,29379.255897431,0
DGRW.US,D,20131001,000000,21.8271,21.8748,21.7244,21.833,53895.433761539,0
DGRW.US,D,20131002,000000,21.6338,21.7583,21.596,21.6966,75889.718145114,0
DGRW.US,D,20131003,000000,21.834,21.834,21.5103,21.587,25102.477940792,0
DGRW.US,D,20131004,000000,21.5621,21.7493,21.5621,21.7414,14709.706718464,0
DGRW.US,D,20131007,000000,21.5411,21.6498,21.5411,21.5481,10854.582926566,0
DGRW.US,D,20131008,000000,21.5193,21.5481,21.346,21.346,39349.369016532,0
DGRW.US,D,20131009,000000,21.3718,21.4486,21.31,21.4037,18212.448101261,0
DGRW.US,D,20131010,000000,21.3858,21.834,21.3858,21.834,24905.705997248,0
DGRW.US,D,20131011,000000,21.7911,21.9536,21.7603,21.9256,22902.848714739,0
DGRW.US,D,20131014,000000,21.8758,22.0541,21.842,22.0541,20561.66416195,0
DGRW.US,D,20131015,000000,22.0461,22.0701,21.8908,21.9167,34205.188206717,0
DGRW.US,D,20131016,000000,22.0541,22.1657,22.0362,22.1418,43657.269066283,0
DGRW.US,D,20131017,000000,21.9934,22.3101,21.9934,22.3011,55926.401321698,0
DGRW.US,D,20131018,000000,22.2604,22.357,22.2604,22.357,36078.537424343,0
DGRW.US,D,20131021,000000,22.4427,22.4427,22.3081,22.3719,26932.657803457,0
DGRW.US,D,20131022,000000,22.4934,22.5581,22.4127,22.4854,203209.19712654,0
DGRW.US,D,20131023,000000,22.4595,22.4774,22.3181,22.4517,44657.191799806,0
DGRW.US,D,20131024,000000,22.5223,22.5751,22.4347,22.5393,48850.642861983,0
DGRW.US,D,20131025,000000,22.5491,22.6697,22.5491,22.6597,34510.385506909,0
DGRW.US,D,20131028,000000,22.7116,22.7623,22.6407,22.6937,35564.520918757,0
DGRW.US,D,20131029,000000,22.7983,22.873,22.7374,22.834,144802.06380229,0
DGRW.US,D,20131030,000000,22.7803,22.8988,22.6787,22.7294,41387.364146104,0
DGRW.US,D,20131031,000000,22.6697,22.8072,22.6697,22.7036,8778.4381344702,0
DGRW.US,D,20131101,000000,22.7883,22.8988,22.6497,22.7454,30077.997084713,0
DGRW.US,D,20131104,000000,22.873,22.873,22.7803,22.852,108654.25462231,0
DGRW.US,D,20131105,000000,22.7883,22.882,22.7116,22.859,13168.661140193,0
DGRW.US,D,20131106,000000,23.0163,23.0163,22.859,22.9447,36958.991477857,0
DGRW.US,D,20131107,000000,23.0622,23.0622,22.6937,22.7036,19122.016370912,0
DGRW.US,D,20131108,000000,22.7454,22.9347,22.6597,22.9347,21100.779129723,0
DGRW.US,D,20131111,000000,22.9626,22.9626,22.852,22.9536,51419.721451429,0
DGRW.US,D,20131112,000000,22.9626,22.9626,22.883,22.9447,37543.283677568,0
DGRW.US,D,20131113,000000,22.7883,23.1508,22.7883,23.1418,20259.47867722,0
DGRW.US,D,20131114,000000,23.1707,23.2495,23.108,23.2315,49314.462443197,0
DGRW.US,D,20131115,000000,23.3033,23.3033,23.1887,23.2773,42205.574013396,0
DGRW.US,D,20131118,000000,23.362,23.362,23.1578,23.2136,48618.733071377,0
DGRW.US,D,20131119,000000,23.124,23.2226,23.089,23.1508,69953.429868681,0
DGRW.US,D,20131120,000000,23.1887,23.2226,22.9974,23.0073,55961.53916876,0
DGRW.US,D,20131121,000000,23.0711,23.2415,23.0711,23.2415,27397.481323158,0
DGRW.US,D,20131122,000000,23.2216,23.3291,23.1767,23.3023,23752.18067514,0
DGRW.US,D,20131125,000000,23.3978,23.4506,23.2943,23.3291,47267.431867237,0
DGRW.US,D,20131126,000000,23.355,23.4426,23.3201,23.3899,39353.384770482,0
DGRW.US,D,20131127,000000,23.4258,23.4666,23.3899,23.4666,17472.545435992,0
DGRW.US,D,20131129,000000,23.5194,23.5641,23.4915,23.4915,19414.162470768,0
DGRW.US,D,20131202,000000,23.4756,23.5014,23.3291,23.3371,48666.922118776,0
DGRW.US,D,20131203,000000,23.3291,23.361,23.2216,23.3291,41100.237738686,0
DGRW.US,D,20131204,000000,23.2395,23.361,23.0602,23.2753,68344.116473262,0
DGRW.US,D,20131205,000000,23.1867,23.2603,23.1568,23.2046,17973.510741242,0
DGRW.US,D,20131206,000000,23.4078,23.4666,23.355,23.4506,166945.93502049,0
DGRW.US,D,20131209,000000,23.4506,23.5553,23.4506,23.5014,30383.194384904,0
DGRW.US,D,20131210,000000,23.4506,23.4666,23.346,23.371,19794.655157519,0
DGRW.US,D,20131211,000000,23.4168,23.4168,23.1389,23.1697,20604.83351691,0
DGRW.US,D,20131212,000000,23.129,23.1697,23.0313,23.0463,78710.785294915,0
DGRW.US,D,20131213,000000,23.122,23.122,22.9855,23.0463,41797.97498748,0
DGRW.US,D,20131216,000000,23.129,23.2046,23.122,23.1697,65431.690921099,0
DGRW.US,D,20131217,000000,23.2116,23.2116,23.0533,23.0602,48488.221068006,0
DGRW.US,D,20131218,000000,23.122,23.4337,22.7195,23.4337,50644.6809391,0
DGRW.US,D,20131219,000000,23.371,23.3899,23.2753,23.361,47381.88085481,0
DGRW.US,D,20131220,000000,23.4168,23.5941,23.4168,23.5283,119465.66819391,0
DGRW.US,D,20131223,000000,23.7236,23.7236,23.5553,23.6469,95116.144118723,0
DGRW.US,D,20131224,000000,23.5751,23.7276,23.5751,23.7196,44289.750313391,0
DGRW.US,D,20131226,000000,23.7276,23.877,23.7276,23.868,20439.183666477,0
DGRW.US,D,20131227,000000,24.0194,24.0194,23.8102,23.868,18466.444538591,0
DGRW.US,D,20131230,000000,23.8949,23.9487,23.8301,23.9038,64805.233304916,0
DGRW.US,D,20131231,000000,23.9487,23.9964,23.8949,23.9894,38209.89883325,0
DGRW.US,D,20140102,000000,23.9138,23.9836,23.7096,23.7564,61557.492297939,0
DGRW.US,D,20140103,000000,23.8013,23.8301,23.6738,23.7425,52236.927380233,0
DGRW.US,D,20140106,000000,23.8201,23.8201,23.5691,23.6349,27060.157991366,0
DGRW.US,D,20140107,000000,23.6429,23.8013,23.6429,23.7276,97107.95807787,0
DGRW.US,D,20140108,000000,23.7276,23.7664,23.6498,23.6738,47040.541769069,0
DGRW.US,D,20140109,000000,23.7276,23.8013,23.6349,23.7425,25435.785518635,0
DGRW.US,D,20140110,000000,23.8102,23.8102,23.6738,23.8013,17544.829007091,0
DGRW.US,D,20140113,000000,23.7096,23.8301,23.4865,23.5064,39024.092946591,0
DGRW.US,D,20140114,000000,23.5931,23.7664,23.5612,23.7664,52726.84936212,0
DGRW.US,D,20140115,000000,23.8102,23.8849,23.7923,23.8301,96393.153874789,0
DGRW.US,D,20140116,000000,23.8013,23.8102,23.7375,23.8102,39204.801874336,0
DGRW.US,D,20140117,000000,23.7276,23.7664,23.6658,23.6658,25089.426740456,0
DGRW.US,D,20140121,000000,23.7564,23.8201,23.5931,23.7096,35422.965592022,0
DGRW.US,D,20140122,000000,23.7484,23.7484,23.6568,23.7276,37515.173399918,0
DGRW.US,D,20140123,000000,23.5691,23.5691,23.3939,23.4865,31936.287225027,0
DGRW.US,D,20140124,000000,23.4208,23.4208,23.0343,23.0343,132997.75506657,0
DGRW.US,D,20140127,000000,23.099,23.108,22.858,23.0233,53233.838298294,0
DGRW.US,D,20140128,000000,22.9616,23.0553,22.9387,23.0473,40204.72460786,0
DGRW.US,D,20140129,000000,22.8052,22.9447,22.6378,22.7693,25976.908363382,0
DGRW.US,D,20140130,000000,22.858,22.9865,22.851,22.9526,19250.520497309,0
DGRW.US,D,20140131,000000,22.596,22.9466,22.5373,22.863,60670.010675011,0
DGRW.US,D,20140203,000000,22.7514,22.8092,22.2564,22.2951,41968.644530352,0
DGRW.US,D,20140204,000000,22.3321,22.4477,22.3101,22.4087,34241.329992266,0
DGRW.US,D,20140205,000000,22.2902,22.4565,22.2544,22.3967,17173.371766726,0
DGRW.US,D,20140206,000000,22.4317,22.6917,22.4317,22.6847,34265.424515966,0
DGRW.US,D,20140207,000000,22.8052,22.9706,22.6847,22.9706,26730.866167475,0
DGRW.US,D,20140210,000000,22.9964,23.0064,22.8978,23.0064,75018.299537986,0
DGRW.US,D,20140211,000000,23.0403,23.2903,23.0153,23.2783,48423.969004807,0
DGRW.US,D,20140212,000000,23.3231,23.3769,23.2485,23.3043,34436.094058837,0
DGRW.US,D,20140213,000000,23.1508,23.4198,23.1508,23.4198,20350.83707958,0
DGRW.US,D,20140214,000000,23.3043,23.6081,23.3043,23.5243,24520.193618058,0
DGRW.US,D,20140218,000000,23.5503,23.5911,23.4366,23.5333,54167.501091645,0
DGRW.US,D,20140219,000000,23.4955,23.617,23.3231,23.3231,44957.369407562,0
DGRW.US,D,20140220,000000,23.3321,23.5503,23.2873,23.5223,29831.028216794,0
DGRW.US,D,20140221,000000,23.6259,23.6259,23.4855,23.5054,29044.944381103,0
DGRW.US,D,20140224,000000,23.5583,23.7544,23.5483,23.6488,35441.036484797,0
DGRW.US,D,20140225,000000,23.5483,23.6638,23.5313,23.5811,40688.622958822,0
DGRW.US,D,20140226,000000,23.6548,23.6907,23.5731,23.6001,23788.32246069,0
DGRW.US,D,20140227,000000,23.6071,23.7066,23.5403,23.6598,32297.705080518,0
DGRW.US,D,20140228,000000,23.7076,23.9038,23.7076,23.8381,18744.535499622,0
DGRW.US,D,20140303,000000,23.7335,23.7335,23.5333,23.6488,29479.649746178,0
DGRW.US,D,20140304,000000,23.9028,24.0084,23.8381,24.0014,30470.537033315,0
DGRW.US,D,20140305,000000,23.9954,23.9954,23.9208,23.9477,47764.381418537,0
DGRW.US,D,20140306,000000,23.9954,24.0184,23.9387,23.9954,46430.147168685,0
DGRW.US,D,20140307,000000,24.0454,24.0454,23.9287,23.9826,11812.340243617,0
DGRW.US,D,20140310,000000,23.9954,23.9954,23.8481,23.9954,11929.801046651,0
DGRW.US,D,20140311,000000,24.0454,24.0672,23.875,23.875,31584.908754411,0
DGRW.US,D,20140312,000000,23.8829,23.9387,23.7893,23.8929,14189.666581953,0
DGRW.US,D,20140313,000000,24.0184,24.0184,23.6319,23.6648,33922.077553249,0
DGRW.US,D,20140314,000000,23.6419,23.7036,23.5811,23.5971,29140.318537412,0
DGRW.US,D,20140317,000000,23.7326,23.866,23.7326,23.8281,36323.498415287,0
DGRW.US,D,20140318,000000,23.9118,24.0014,23.8809,23.9736,19430.225486566,0
DGRW.US,D,20140319,000000,24.0014,24.0014,23.7744,23.8481,21272.45261108,0
DGRW.US,D,20140320,000000,23.7993,23.9736,23.7434,23.9736,9914.8965022905,0
DGRW.US,D,20140321,000000,24.0901,24.114,23.9387,23.9477,24142.712746768,0
DGRW.US,D,20140324,000000,24.0074,24.0244,23.7524,23.866,34445.129505224,0
DGRW.US,D,20140325,000000,24.0074,24.0074,23.8201,23.9806,14303.111631038,0
DGRW.US,D,20140326,000000,24.0971,24.113,23.873,23.873,26372.460127447,0
DGRW.US,D,20140327,000000,23.8809,23.8809,23.7056,23.8361,12314.309487353,0
