<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DMXF.US,D,20200619,000000,49.2064,49.2919,49.1494,49.2919,430.3462218804,0
DMXF.US,D,20200625,000000,49.3794,49.6989,49.3794,49.6989,592.1075676936,0
DMXF.US,D,20200626,000000,49.5052,49.5052,49.0767,49.0767,167.865547542,0
DMXF.US,D,20200702,000000,50.3506,50.3506,50.0557,50.0557,288.9322151632,0
DMXF.US,D,20200708,000000,50.5717,50.6877,50.5619,50.6877,4814.1804301136,0
DMXF.US,D,20200713,000000,51.244,51.244,51.244,51.244,1631.8565954992,0
DMXF.US,D,20200714,000000,50.6101,51.0062,50.6101,51.0062,1477.2168183696,0
DMXF.US,D,20200715,000000,51.6009,51.6107,51.5792,51.5792,909.5260575912,0
DMXF.US,D,20200717,000000,51.4849,51.4849,51.422,51.422,183.126051864,0
DMXF.US,D,20200721,000000,52.1385,52.1867,52.053,52.1867,1196.4235388448,0
DMXF.US,D,20200722,000000,51.8888,52.1208,51.8888,52.1208,706.0526666312,0
DMXF.US,D,20200723,000000,51.6382,51.706,51.6382,51.706,116.997199802,0
DMXF.US,D,20200724,000000,51.4465,51.4465,51.3748,51.3748,123.1014015308,0
DMXF.US,D,20200727,000000,51.937,52.2447,51.937,52.167,996.0022487492,0
DMXF.US,D,20200728,000000,51.9557,52.1277,51.8544,51.8544,4366.5389700016,0
DMXF.US,D,20200730,000000,51.129,51.129,51.129,51.129,416.1030845132,0
DMXF.US,D,20200803,000000,51.419,51.5419,51.419,51.5055,875.9529480828,0
DMXF.US,D,20200804,000000,51.4858,51.7355,51.4858,51.7355,391.686277598,0
DMXF.US,D,20200807,000000,51.8024,52.0225,51.8024,52.0225,696.896364038,0
DMXF.US,D,20200811,000000,52.8688,52.8885,52.285,52.285,1253.3960883136,0
DMXF.US,D,20200812,000000,53.1667,53.5687,53.1667,53.4841,1735.6280248888,0
DMXF.US,D,20200813,000000,53.2915,53.3013,53.2404,53.2404,293.0016829824,0
DMXF.US,D,20200817,000000,53.206,53.206,53.206,53.206,202.4560240052,0
DMXF.US,D,20200819,000000,53.5991,53.5991,53.2089,53.2089,450.6935609764,0
DMXF.US,D,20200820,000000,52.9062,53.0664,52.9032,53.0664,212.6296935532,0
DMXF.US,D,20200821,000000,52.5523,52.6673,52.5523,52.6673,1150.6420258788,0
DMXF.US,D,20200824,000000,53.5608,53.5608,53.5608,53.5608,251.2896378356,0
DMXF.US,D,20200825,000000,53.5323,53.5323,53.5087,53.5136,930.890763642,0
DMXF.US,D,20200826,000000,53.7623,54.1083,53.7623,54.0533,397.7904793268,0
DMXF.US,D,20200827,000000,53.6277,53.6277,53.6277,53.6277,572.7775955524,0
DMXF.US,D,20200828,000000,53.666,53.7535,53.666,53.7535,665.3579884392,0
DMXF.US,D,20200831,000000,53.8596,53.8596,53.5628,53.5628,1546.397771296,0
DMXF.US,D,20200902,000000,54.1948,54.3629,54.1948,54.3629,137.344538898,0
DMXF.US,D,20200903,000000,53.1863,53.1863,52.8836,52.9976,1026.5232573932,0
DMXF.US,D,20200904,000000,53.2158,53.2158,53.2158,53.2158,567.6907607784,0
DMXF.US,D,20200908,000000,52.3027,52.6762,52.3027,52.514,2699.0745310844,0
DMXF.US,D,20200910,000000,52.9937,52.9937,52.9937,52.9937,242.1333352424,0
DMXF.US,D,20200911,000000,53.3682,53.6473,53.3682,53.3986,2261.6067405204,0
DMXF.US,D,20200914,000000,53.8675,53.8675,53.7623,53.7623,473.075633982,0
DMXF.US,D,20200917,000000,54.0995,54.1643,54.0995,54.1643,431.3635888352,0
DMXF.US,D,20200921,000000,52.283,52.283,52.283,52.283,263.4980412932,0
DMXF.US,D,20200922,000000,52.4363,52.6772,52.4363,52.6772,222.8033631012,0
DMXF.US,D,20200923,000000,52.9553,52.9553,52.4108,52.4108,723.3479048628,0
DMXF.US,D,20200925,000000,51.707,52.4157,51.707,52.4157,425.2593871064,0
DMXF.US,D,20200928,000000,53.1667,53.2915,53.1667,53.2915,673.4969240776,0
DMXF.US,D,20200929,000000,53.5421,53.5421,53.2915,53.2915,2715.3524023612,0
DMXF.US,D,20200930,000000,53.1568,53.1568,53.0703,53.0703,640.941181524,0
DMXF.US,D,20201001,000000,53.4841,53.4841,53.4841,53.4841,627.7154111116,0
DMXF.US,D,20201002,000000,53.2335,53.2335,53.2335,53.2335,474.0930009368,0
DMXF.US,D,20201005,000000,53.8498,53.8498,53.7554,53.7662,2001.1608000916,0
DMXF.US,D,20201006,000000,54.243,54.243,53.5323,53.5323,541.2392199536,0
DMXF.US,D,20201007,000000,53.8871,54.0316,53.7997,53.9235,532995.49551886,0
