<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DRIV.US,D,20180418,000000,14.5433,14.5722,14.4677,14.5234,90383.451364536,0
DRIV.US,D,20180419,000000,14.5154,14.5154,14.3532,14.3711,862209.28639419,0
DRIV.US,D,20180420,000000,14.3532,14.3532,14.1871,14.2179,76114.44284858,0
DRIV.US,D,20180423,000000,14.2487,14.2487,14.0597,14.0786,14988.538771426,0
DRIV.US,D,20180424,000000,14.1821,14.2109,13.9154,13.9253,10127.689824903,0
DRIV.US,D,20180425,000000,13.9054,13.9542,13.8019,13.9074,8827.3097263296,0
DRIV.US,D,20180426,000000,14.0885,14.1532,14.003,14.1532,5301.00851621,0
DRIV.US,D,20180427,000000,14.2109,14.2109,14.0497,14.0497,5328.1416403688,0
DRIV.US,D,20180430,000000,14.202,14.202,13.9831,13.993,10446.252801138,0
DRIV.US,D,20180501,000000,13.8965,14.0398,13.8786,14.0398,12860.095920747,0
DRIV.US,D,20180502,000000,14.1074,14.1343,14.0308,14.0308,13074.146122444,0
DRIV.US,D,20180503,000000,13.9054,14.0885,13.8398,14.0547,13127.407440237,0
DRIV.US,D,20180504,000000,14.0796,14.2468,14.0796,14.2468,5432.6544149064,0
DRIV.US,D,20180507,000000,14.2965,14.3522,14.2686,14.2776,13780.612281097,0
DRIV.US,D,20180508,000000,14.2408,14.2965,14.2408,14.2458,11584.839085283,0
DRIV.US,D,20180509,000000,14.3632,14.409,14.2876,14.393,10804.008067824,0
DRIV.US,D,20180510,000000,14.6378,14.6378,14.4776,14.5831,21693.435230223,0
DRIV.US,D,20180511,000000,14.609,14.6567,14.5642,14.5871,9675.4710889232,0
DRIV.US,D,20180514,000000,14.6856,14.7174,14.6478,14.6478,35361.495292587,0
DRIV.US,D,20180515,000000,14.5234,14.5234,14.4517,14.4856,6949.094576226,0
DRIV.US,D,20180516,000000,14.6279,14.6687,14.5682,14.6547,6026.5683548268,0
DRIV.US,D,20180517,000000,14.6756,14.7304,14.5831,14.606,9115.7247868324,0
DRIV.US,D,20180518,000000,14.5821,14.6139,14.5622,14.5771,12428.980725779,0
DRIV.US,D,20180521,000000,14.7045,14.7135,14.6378,14.6378,9589.0470638248,0
DRIV.US,D,20180522,000000,14.7881,14.7881,14.6856,14.6856,26636.688479746,0
DRIV.US,D,20180523,000000,14.5532,14.5821,14.4577,14.5821,17876.709098552,0
DRIV.US,D,20180524,000000,14.5433,14.5433,14.41,14.5224,13353.516808227,0
DRIV.US,D,20180525,000000,14.4289,14.5055,14.4289,14.4816,5202.5253248188,0
DRIV.US,D,20180529,000000,14.2965,14.39,14.2259,14.2677,14319.255042176,0
DRIV.US,D,20180530,000000,14.3821,14.4189,14.3393,14.392,10959.772299106,0
DRIV.US,D,20180531,000000,14.5234,14.5234,14.3343,14.3343,18977.10802277,0
DRIV.US,D,20180601,000000,14.5055,14.5662,14.5055,14.5622,8743.9004928044,0
DRIV.US,D,20180604,000000,14.6478,14.6945,14.6428,14.6945,9035.3303448804,0
DRIV.US,D,20180605,000000,14.7393,14.7582,14.6995,14.7582,5290.959210966,0
DRIV.US,D,20180606,000000,14.8836,14.9125,14.7781,14.8936,12980.687583675,0
DRIV.US,D,20180607,000000,14.9433,14.9582,14.807,14.8637,12906.322724869,0
DRIV.US,D,20180608,000000,14.807,14.807,14.7682,14.806,9915.6494842548,0
DRIV.US,D,20180611,000000,14.8169,14.8737,14.797,14.8448,27296.927834277,0
DRIV.US,D,20180612,000000,14.8448,14.8448,14.7324,14.7493,9479.5096366652,0
DRIV.US,D,20180613,000000,14.7433,14.8169,14.7433,14.7781,4803.567906632,0
DRIV.US,D,20180614,000000,14.7791,14.807,14.7493,14.7582,12222.969968277,0
DRIV.US,D,20180615,000000,14.6945,14.6945,14.609,14.6478,13395.723890252,0
DRIV.US,D,20180618,000000,14.5821,14.6478,14.4935,14.6378,12845.021962881,0
DRIV.US,D,20180619,000000,14.4577,14.4577,14.2318,14.41,11037.151949485,0
DRIV.US,D,20180620,000000,14.4488,14.4577,14.39,14.4388,16294.948453146,0
DRIV.US,D,20180621,000000,14.4677,14.4677,14.2209,14.2209,7247.5589419728,0
DRIV.US,D,20180622,000000,14.2408,14.2677,14.1562,14.2159,13908.238457696,0
DRIV.US,D,20180625,000000,14.0696,14.0696,13.7462,13.8308,12344.56656173,0
DRIV.US,D,20180626,000000,13.9253,13.9821,13.8676,13.9343,2637.94262655,0
DRIV.US,D,20180627,000000,13.9731,14.0398,13.8219,13.8308,17228.528910314,0
DRIV.US,D,20180628,000000,13.6805,13.6895,13.6049,13.6427,2067.1420886908,0
DRIV.US,D,20180629,000000,13.8308,13.8497,13.7562,13.7562,5815.5329447028,0
DRIV.US,D,20180702,000000,13.6427,13.6935,13.6039,13.6935,7848.507395564,0
DRIV.US,D,20180703,000000,13.7383,13.7452,13.6238,13.6238,3446.911698692,0
DRIV.US,D,20180705,000000,13.8209,13.8209,13.8019,13.8019,826.0528910568,0
DRIV.US,D,20180706,000000,13.8398,13.9641,13.8398,13.9343,4632.729717484,0
DRIV.US,D,20180709,000000,14.0696,14.0965,14.0069,14.0965,6177.3079334868,0
DRIV.US,D,20180710,000000,14.1343,14.192,14.0786,14.192,7921.8673238452,0
DRIV.US,D,20180711,000000,14.0209,14.0209,13.8965,13.9054,4036.8059165148,0
DRIV.US,D,20180712,000000,14.0308,14.0696,13.9442,14.0567,1514.4303002708,0
DRIV.US,D,20180713,000000,14.0786,14.0965,14.0209,14.0696,4101.1214700764,0
DRIV.US,D,20180716,000000,14.0696,14.0696,13.9841,13.9841,9208.1783950772,0
DRIV.US,D,20180717,000000,13.993,14.1522,13.9731,14.1154,5317.0874046004,0
DRIV.US,D,20180718,000000,14.1821,14.202,14.0786,14.192,16921.020169847,0
DRIV.US,D,20180719,000000,14.2209,14.2209,14.0408,14.0885,5657.758852372,0
DRIV.US,D,20180720,000000,14.0308,14.0955,14.0209,14.0209,3281.098162166,0
DRIV.US,D,20180723,000000,14.003,14.0209,13.8895,13.986,3855.9184221228,0
DRIV.US,D,20180724,000000,14.2109,14.2249,14.0766,14.0975,4260.905423456,0
DRIV.US,D,20180725,000000,14.0597,14.0597,13.8676,14.0249,5250.76198999,0
DRIV.US,D,20180726,000000,14.1532,14.2109,14.1532,14.192,2380.6804123036,0
DRIV.US,D,20180727,000000,14.2677,14.2677,14.0696,14.0895,5727.0990585556,0
DRIV.US,D,20180730,000000,14.0786,14.0985,14.0109,14.0109,5622.586284018,0
DRIV.US,D,20180731,000000,14.0696,14.0786,14.0597,14.0597,1087.3348274008,0
DRIV.US,D,20180801,000000,14.0497,14.0497,13.9184,13.9492,2483.1833257924,0
DRIV.US,D,20180802,000000,13.9054,14.0109,13.8507,14.0109,8761.9892422436,0
DRIV.US,D,20180803,000000,14.0597,14.0597,14.0109,14.0398,878.3092783256,0
DRIV.US,D,20180806,000000,14.0597,14.0786,13.8915,14.0786,1926.4518152748,0
DRIV.US,D,20180807,000000,14.1074,14.201,14.1074,14.1721,1335.5526669276,0
DRIV.US,D,20180808,000000,14.1821,14.192,14.1154,14.1642,3038.9099057856,0
DRIV.US,D,20180809,000000,14.1632,14.1731,14.0985,14.1074,1053.1671895712,0
DRIV.US,D,20180810,000000,13.8686,13.8885,13.8358,13.8358,1312.4392648664,0
