<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DVLU.US,D,20180913,000000,18.5007,18.5007,18.5007,18.5007,435260.31960159,0
DVLU.US,D,20180914,000000,18.5562,18.5968,18.5393,18.5968,46356.650349452,0
DVLU.US,D,20180917,000000,18.6444,18.6444,18.4462,18.464,2151.0761670299,0
DVLU.US,D,20180918,000000,18.5107,18.5107,18.4849,18.4928,2584.117779257,0
DVLU.US,D,20180919,000000,18.568,18.568,18.5107,18.5107,961.97822016871,0
DVLU.US,D,20180920,000000,18.6622,18.6711,18.6255,18.6711,11116.753555842,0
DVLU.US,D,20180921,000000,18.6582,18.68,18.6335,18.6335,4084.117396435,0
DVLU.US,D,20180924,000000,18.5492,18.5492,18.5393,18.5393,568.30402723503,0
DVLU.US,D,20180925,000000,18.6255,18.6255,18.5295,18.5344,5375.166865056,0
DVLU.US,D,20180926,000000,18.4888,18.5295,18.4363,18.4928,19583.776966939,0
DVLU.US,D,20180927,000000,18.4195,18.4373,18.3333,18.3333,146689.06081313,0
DVLU.US,D,20180928,000000,18.2947,18.3323,18.2947,18.2947,4885.5976764077,0
DVLU.US,D,20181001,000000,18.3095,18.3095,18.2402,18.2402,801.48027997267,0
DVLU.US,D,20181002,000000,18.3135,18.3135,18.1649,18.1837,15368.434839526,0
DVLU.US,D,20181003,000000,18.464,18.464,18.247,18.2778,6515.8126035562,0
DVLU.US,D,20181004,000000,18.3234,18.3234,18.0817,18.0817,375.50461479828,0
DVLU.US,D,20181005,000000,18.0054,18.0054,18.0054,18.0054,222.0726216549,0
DVLU.US,D,20181008,000000,17.9865,17.9865,17.9865,17.9865,105.98920578984,0
DVLU.US,D,20181009,000000,18.0341,18.0341,18.0083,18.0083,1850.2687067883,0
DVLU.US,D,20181010,000000,17.7924,17.7924,17.616,17.616,961.97822016871,0
DVLU.US,D,20181011,000000,17.3416,17.3416,17.1643,17.1643,1044.7507427855,0
DVLU.US,D,20181012,000000,17.1553,17.1553,16.978,16.978,589.501868393,0
DVLU.US,D,20181015,000000,17.1732,17.2208,17.1732,17.2208,1240.5784182449,0
DVLU.US,D,20181016,000000,18.7157,18.7157,17.1168,17.3218,1889.6361260817,0
DVLU.US,D,20181017,000000,17.7825,17.7825,17.3605,17.3605,3498.6532120721,0
DVLU.US,D,20181018,000000,17.7825,17.7825,17.1168,17.1732,4860.3621512197,0
DVLU.US,D,20181019,000000,17.2396,17.2396,17.1068,17.1068,3826.7150395169,0
DVLU.US,D,20181022,000000,17.0048,17.0048,16.9681,16.9681,2197.509533376,0
DVLU.US,D,20181023,000000,16.6937,16.7135,16.4768,16.7135,1023.5529016276,0
DVLU.US,D,20181024,000000,16.4045,16.4045,16.3787,16.3965,999.32679744703,0
DVLU.US,D,20181025,000000,16.3965,16.4253,16.245,16.3213,3043.4043376796,0
DVLU.US,D,20181026,000000,15.9537,15.9537,15.9537,15.9537,152.42257213586,0
DVLU.US,D,20181029,000000,16.3598,16.3598,16.3598,16.3598,109.0174688124,0
DVLU.US,D,20181031,000000,16.772,16.8275,16.772,16.8275,584.45476335539,0
DVLU.US,D,20181101,000000,16.6403,16.781,16.6403,16.777,6511.7749195261,0
DVLU.US,D,20181102,000000,16.6937,16.6937,16.6758,16.6758,1185.0602628311,0
DVLU.US,D,20181105,000000,16.7235,16.7898,16.7235,16.778,1944.1448604879,0
DVLU.US,D,20181106,000000,16.9483,16.9483,16.9365,16.9365,958.94995714614,0
DVLU.US,D,20181107,000000,16.9117,16.9681,16.9117,16.9681,490.57860965582,0
DVLU.US,D,20181108,000000,17.0642,17.0642,17.0642,17.0642,482.50324159564,0
DVLU.US,D,20181109,000000,16.8641,16.8641,16.8641,16.8641,105.98920578984,0
DVLU.US,D,20181112,000000,16.7522,16.7522,16.7522,16.7522,212.9878325872,0
DVLU.US,D,20181114,000000,16.6283,16.6283,16.6105,16.6105,1209.2863670117,0
DVLU.US,D,20181115,000000,16.4817,16.5155,16.4431,16.4906,4018.5050309461,0
DVLU.US,D,20181119,000000,16.6105,16.6105,16.5362,16.5362,617.76565660362,0
DVLU.US,D,20181120,000000,16.034,16.0795,16.034,16.0795,3558.2090515159,0
DVLU.US,D,20181121,000000,16.1261,16.2548,16.0953,16.2548,1402.0857794484,0
DVLU.US,D,20181123,000000,16.2143,16.2143,16.2143,16.2143,324.02414341464,0
DVLU.US,D,20181126,000000,16.4768,16.4768,16.4085,16.4085,2452.8930482791,0
DVLU.US,D,20181127,000000,16.4065,16.4065,16.3569,16.3569,306.86398628677,0
DVLU.US,D,20181128,000000,16.6987,17.3317,16.4302,17.3317,2729.4744043402,0
DVLU.US,D,20181129,000000,16.7135,16.7135,16.7135,16.7135,762.1128606793,0
DVLU.US,D,20181130,000000,16.6383,16.6383,16.6383,16.6383,285.6661451288,0
DVLU.US,D,20181203,000000,16.8363,16.8363,16.781,16.8215,475.43729454298,0
DVLU.US,D,20181204,000000,16.7275,16.7275,16.142,16.142,4941.1158318214,0
DVLU.US,D,20181206,000000,15.9091,16.0795,15.7398,16.0379,5228.8008189653,0
DVLU.US,D,20181207,000000,15.7219,15.7219,15.7219,15.7219,105.98920578984,0
DVLU.US,D,20181210,000000,15.4593,15.4613,15.2939,15.4613,942.79922102579,0
DVLU.US,D,20181211,000000,15.4326,15.5535,15.4326,15.4326,1637.2808742011,0
DVLU.US,D,20181214,000000,15.2929,15.2929,15.2929,15.2929,209.95956956463,0
DVLU.US,D,20181217,000000,15.0304,15.0304,14.8719,14.8719,3172.6102266424,0
DVLU.US,D,20181218,000000,14.965,14.965,14.965,14.965,363.39156270801,0
DVLU.US,D,20181219,000000,14.8719,14.8719,14.4766,14.4994,5769.8504789972,0
DVLU.US,D,20181220,000000,14.3063,14.3359,14.2785,14.3359,1717.0251337954,0
DVLU.US,D,20181221,000000,14.1794,14.1794,14.1794,14.1794,379.54229882837,0
DVLU.US,D,20181224,000000,13.4503,13.8268,13.4503,13.7128,4708.9490000913,0
DVLU.US,D,20181226,000000,14.2686,14.2686,13.5454,14.2686,9032.2991753091,0
DVLU.US,D,20181227,000000,14.1081,14.1279,14.0506,14.0506,3704.5750976067,0
DVLU.US,D,20190102,000000,14.6074,14.6074,14.6074,14.6074,105.98920578984,0
DVLU.US,D,20190103,000000,14.4706,14.5509,14.4291,14.438,1549.4612465467,0
DVLU.US,D,20190107,000000,15.0988,15.182,15.0988,15.182,448.18292733988,0
DVLU.US,D,20190108,000000,15.2285,15.2285,15.2107,15.2107,23945.485140443,0
DVLU.US,D,20190110,000000,15.3821,15.4455,15.3821,15.4356,2227.7921636016,0
DVLU.US,D,20190111,000000,15.387,15.5287,15.387,15.5287,1048.7884268156,0
DVLU.US,D,20190114,000000,15.5178,15.5386,15.5148,15.5148,1624.1584011033,0
DVLU.US,D,20190115,000000,15.5168,15.5773,15.5168,15.5773,1924.9658613449,0
DVLU.US,D,20190116,000000,15.7655,15.812,15.6713,15.812,45448.171442682,0
DVLU.US,D,20190117,000000,15.8031,15.8665,15.8031,15.8665,211.97841157967,0
DVLU.US,D,20190118,000000,16.0963,16.134,16.0963,16.0963,4358.6799104811,0
DVLU.US,D,20190122,000000,16.029,16.029,15.9537,15.9537,1200.201577944,0
DVLU.US,D,20190123,000000,16.0676,16.0676,15.9508,15.9893,15255.379686684,0
DVLU.US,D,20190124,000000,16.0676,16.0676,15.9695,15.9695,3399.729953335,0
DVLU.US,D,20190125,000000,16.3203,16.3203,16.1083,16.1142,12081.760039034,0
DVLU.US,D,20190128,000000,15.9893,16.029,15.9626,16.0092,762.1128606793,0
DVLU.US,D,20190129,000000,16.1033,16.134,16.1033,16.1241,8919.2440224666,0
DVLU.US,D,20190130,000000,16.2727,16.3103,16.2528,16.2826,14298.448571552,0
DVLU.US,D,20190131,000000,16.2826,16.35,16.2688,16.3401,5469.0430187556,0
DVLU.US,D,20190201,000000,16.4332,16.4332,16.3955,16.4055,5442.79807256,0
DVLU.US,D,20190204,000000,16.3916,16.5193,16.3916,16.5193,28273.882420698,0
DVLU.US,D,20190205,000000,16.6482,16.6482,16.5758,16.6095,25656.453748193,0
DVLU.US,D,20190206,000000,16.6046,16.6046,16.6046,16.6046,274.56251404605,0
DVLU.US,D,20190207,000000,16.564,16.6293,16.5193,16.6293,708.61354728062,0
DVLU.US,D,20190208,000000,16.5461,16.566,16.5461,16.557,847.91364631869,0
DVLU.US,D,20190211,000000,16.6046,16.6393,16.6046,16.6115,1796.7693933896,0
DVLU.US,D,20190212,000000,16.9414,16.9414,16.7333,16.7631,35009.748803894,0
DVLU.US,D,20190213,000000,17.3367,17.3367,16.8156,16.876,5699.1910084707,0
DVLU.US,D,20190214,000000,16.8473,16.9048,16.8473,16.9048,386.60824588102,0
DVLU.US,D,20190215,000000,16.9711,16.9711,16.9553,16.9711,2564.9387801141,0
DVLU.US,D,20190219,000000,17.0147,17.0811,17.0147,17.0455,15677.317667828,0
DVLU.US,D,20190220,000000,17.0147,17.0811,16.981,17.0642,7785.6642310192,0
DVLU.US,D,20190221,000000,17.0642,17.0642,17.0266,17.0266,1181.022578801,0
DVLU.US,D,20190222,000000,17.095,17.1296,17.0801,17.1009,10136.605757538,0
DVLU.US,D,20190225,000000,17.1593,17.1593,17.0455,17.0455,1627.1866641259,0
DVLU.US,D,20190226,000000,17.0553,17.0553,16.981,16.981,644.0106027992,0
DVLU.US,D,20190227,000000,16.8572,16.884,16.8473,16.8631,4863.3904142422,0
DVLU.US,D,20190228,000000,16.9513,16.9612,16.9513,16.9513,2629.5417245955,0
DVLU.US,D,20190301,000000,17.0742,17.0742,16.989,17.0266,3906.4592991111,0
DVLU.US,D,20190305,000000,16.8661,16.9137,16.8661,16.8661,1425.3024626214,0
DVLU.US,D,20190306,000000,16.8353,16.8353,16.673,16.673,90131.201761662,0
DVLU.US,D,20190307,000000,16.557,16.6115,16.5293,16.5293,53108.667468768,0
DVLU.US,D,20190311,000000,16.667,16.7532,16.667,16.7403,5097.5760879874,0
DVLU.US,D,20190312,000000,16.7631,16.8195,16.7433,16.7908,9269.5131120769,0
DVLU.US,D,20190313,000000,16.9137,16.9137,16.8691,16.8948,3202.8928568681,0
DVLU.US,D,20190315,000000,16.9048,16.9711,16.885,16.885,865.07380344657,0
DVLU.US,D,20190318,000000,17.0266,17.0266,17.0266,17.0266,749.99980858904,0
DVLU.US,D,20190319,000000,17.0553,17.0553,16.991,16.9988,1965.3427016458,0
DVLU.US,D,20190320,000000,16.8195,16.8195,16.8195,16.8195,886.27164460454,0
DVLU.US,D,20190321,000000,16.9107,16.9107,16.9107,16.9107,1021.5340596125,0
DVLU.US,D,20190325,000000,16.5283,16.6393,16.5183,16.6036,10220.387701162,0
DVLU.US,D,20190326,000000,16.6947,16.6947,16.6195,16.6195,1755.3831320812,0
DVLU.US,D,20190327,000000,16.6768,16.6768,16.5838,16.6115,4415.2074869023,0
DVLU.US,D,20190328,000000,16.6947,16.6947,16.5907,16.6482,4626.1764774745,0
DVLU.US,D,20190329,000000,16.7631,16.7631,16.7245,16.7433,2079.4072754958,0
DVLU.US,D,20190401,000000,16.6947,16.9325,16.6947,16.9235,4530.2814817599,0
