<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DVOL.US,D,20180912,000000,19.1327,19.1327,19.1327,19.1327,418.83403357521,0
DVOL.US,D,20180913,000000,19.2786,19.2786,19.2786,19.2786,420669.45290984,0
DVOL.US,D,20180914,000000,19.3453,19.3849,19.2975,19.3453,32552.264359504,0
DVOL.US,D,20180917,000000,19.2786,19.2786,19.23,19.23,1153.8072174932,0
DVOL.US,D,20180918,000000,19.22,19.2786,19.22,19.2786,13303.014628917,0
DVOL.US,D,20180919,000000,19.2598,19.2598,19.2598,19.2598,312.11190001999,0
DVOL.US,D,20180920,000000,19.24,19.2886,19.2002,19.2886,2376.0776904747,0
DVOL.US,D,20180921,000000,19.2955,19.2955,19.2955,19.2955,195.32164065767,0
DVOL.US,D,20180924,000000,19.1972,19.1972,19.1903,19.1903,533.61066777611,0
DVOL.US,D,20180925,000000,19.2101,19.2101,19.1723,19.1723,2232.1034914333,0
DVOL.US,D,20180926,000000,19.1038,19.1903,19.0671,19.0671,27306.770814006,0
DVOL.US,D,20180927,000000,19.094,19.1525,19.0642,19.0671,158626.34252855,0
DVOL.US,D,20180928,000000,19.1188,19.1426,19.1188,19.1237,4511.5271741599,0
DVOL.US,D,20181001,000000,19.1903,19.1903,19.1038,19.1038,12073.69646787,0
DVOL.US,D,20181002,000000,19.1038,19.1138,19.1038,19.1038,10388.292207762,0
DVOL.US,D,20181003,000000,19.1327,19.1625,19.1038,19.1038,5040.1037790324,0
DVOL.US,D,20181005,000000,19.0572,19.0572,18.9618,18.9797,4650.4673102978,0
DVOL.US,D,20181008,000000,18.8854,18.8952,18.8834,18.8834,4922.3067070894,0
DVOL.US,D,20181009,000000,18.942,18.9519,18.93,18.9519,2668.0533388805,0
DVOL.US,D,20181010,000000,18.7036,18.7036,18.5149,18.5149,1971.3390330295,0
DVOL.US,D,20181011,000000,18.3391,18.3391,18.1642,18.1642,647.3804893963,0
DVOL.US,D,20181015,000000,18.1444,18.1444,18.1444,18.1444,371.51384228186,0
DVOL.US,D,20181016,000000,18.3281,18.4523,18.3281,18.4344,5736.8180848835,0
DVOL.US,D,20181017,000000,18.491,18.491,18.491,18.491,370.50702970115,0
DVOL.US,D,20181018,000000,18.496,18.496,18.3212,18.3212,4952.5110845107,0
DVOL.US,D,20181019,000000,18.4344,18.4344,18.2913,18.2913,3518.8099695802,0
DVOL.US,D,20181022,000000,18.2923,18.2923,18.2923,18.2923,1532.3687478401,0
