<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DVY.US,D,20050225,000000,40.4767,40.8232,40.3237,40.8232,737153.70700278,0
DVY.US,D,20050228,000000,40.7702,40.8046,40.409,40.6642,649778.34494596,0
DVY.US,D,20050301,000000,40.7643,40.9851,40.6878,40.9626,670046.91829742,0
DVY.US,D,20050302,000000,40.6642,41.0116,40.6642,40.8968,558198.87401884,0
DVY.US,D,20050303,000000,40.9047,41.0038,40.6289,40.9282,493041.30011447,0
DVY.US,D,20050304,000000,41.0293,41.3963,40.991,41.3512,809971.60337127,0
DVY.US,D,20050307,000000,41.4876,41.577,41.3699,41.5151,869122.57965314,0
DVY.US,D,20050308,000000,41.6299,41.6299,41.2698,41.3963,683710.78159136,0
DVY.US,D,20050309,000000,41.3031,41.3581,40.8693,40.9282,624258.20176475,0
DVY.US,D,20050310,000000,40.9282,41.0961,40.7005,41.0627,656085.52718232,0
DVY.US,D,20050311,000000,41.0872,41.1628,40.729,40.9115,554442.07581117,0
DVY.US,D,20050314,000000,40.9429,41.2304,40.9115,41.2304,542430.91842795,0
DVY.US,D,20050315,000000,41.2452,41.3237,40.8565,40.9282,637767.18756274,0
DVY.US,D,20050316,000000,40.8301,40.8565,40.2834,40.3669,939836.38372468,0
DVY.US,D,20050317,000000,40.3374,40.5239,40.2304,40.5101,582668.49944792,0
DVY.US,D,20050318,000000,40.6289,40.6289,40.1097,40.3973,534776.7095492,0
DVY.US,D,20050321,000000,40.3973,40.3973,40.0527,40.2667,664342.94315055,0
DVY.US,D,20050322,000000,40.1313,40.4905,39.8094,39.8673,937735.34822042,0
DVY.US,D,20050323,000000,39.8594,39.883,39.5768,39.7603,847052.53648038,0
DVY.US,D,20050324,000000,39.4787,39.6956,39.4306,39.4649,974666.49848805,0
DVY.US,D,20050328,000000,39.566,39.6818,39.4972,39.566,752162.55907733,0
DVY.US,D,20050329,000000,39.4649,39.7113,39.1715,39.2451,589121.38880217,0
DVY.US,D,20050330,000000,39.305,39.7603,39.305,39.7603,561196.56871017,0
DVY.US,D,20050331,000000,39.7603,39.9654,39.6956,39.932,614495.82486548,0
DVY.US,D,20050401,000000,40.2961,40.303,39.6474,39.7887,1953240.5969561,0
DVY.US,D,20050404,000000,39.7113,39.883,39.5601,39.8673,883086.00863003,0
DVY.US,D,20050405,000000,39.8722,40.0597,39.8673,39.9978,493639.41254949,0
DVY.US,D,20050406,000000,39.9654,40.2304,39.9654,40.1313,586872.60831822,0
DVY.US,D,20050407,000000,40.146,40.2961,39.9831,40.2883,654880.13193423,0
DVY.US,D,20050408,000000,40.2834,40.2834,39.8673,39.9173,472472.14214917,0
DVY.US,D,20050411,000000,39.932,39.9978,39.7966,39.9448,550991.97580272,0
DVY.US,D,20050412,000000,39.9242,40.2834,39.6043,40.2088,627859.10354558,0
DVY.US,D,20050413,000000,40.2088,40.2304,39.6896,39.8299,483734.385325,0
DVY.US,D,20050414,000000,39.7966,39.8299,39.2578,39.3314,789106.95544658,0
DVY.US,D,20050415,000000,39.2971,39.3717,38.6003,38.7053,4066972.9990896,0
DVY.US,D,20050418,000000,38.506,39.091,38.5002,39.0468,1744555.3983353,0
DVY.US,D,20050419,000000,39.2578,39.3314,39.0585,39.2971,984275.01682226,0
DVY.US,D,20050420,000000,39.4041,39.4236,38.7318,38.7769,1235448.6148088,0
DVY.US,D,20050421,000000,39.0321,39.3717,38.8643,39.3717,835795.38795901,0
DVY.US,D,20050422,000000,39.461,39.5464,39.041,39.4306,788802.29510916,0
DVY.US,D,20050425,000000,39.5306,39.7397,39.4463,39.7397,590923.87755437,0
DVY.US,D,20050426,000000,39.7397,39.7603,39.3314,39.3638,566152.64858054,0
DVY.US,D,20050427,000000,39.1656,39.671,39.0066,39.5385,622904.04260609,0
DVY.US,D,20050428,000000,39.6043,39.6043,39.1597,39.1872,537630.73498443,0
DVY.US,D,20050429,000000,39.3314,39.6956,39.0969,39.6651,584020.62074479,0
DVY.US,D,20050502,000000,39.7034,39.9978,39.6651,39.9978,498446.72850927,0
DVY.US,D,20050503,000000,40.0243,40.1892,39.7966,39.99,622600.40119956,0
DVY.US,D,20050504,000000,40.1892,40.5169,40.0106,40.4855,819280.55602254,0
DVY.US,D,20050505,000000,40.62,40.6289,40.1028,40.3973,875432.81868217,0
DVY.US,D,20050506,000000,40.5995,40.6142,40.198,40.2667,802463.10161042,0
DVY.US,D,20050509,000000,40.358,40.5169,40.1647,40.5169,518110.05690946,0
DVY.US,D,20050510,000000,40.4306,40.4306,40.1097,40.2529,674697.31889947,0
DVY.US,D,20050511,000000,40.3305,40.3374,39.9654,40.3177,878432.55123529,0
DVY.US,D,20050512,000000,40.4178,40.4178,39.7887,39.883,868221.84474248,0
DVY.US,D,20050513,000000,39.7603,39.9527,39.2107,39.566,937279.88611063,0
DVY.US,D,20050516,000000,39.566,40.0243,39.5032,40.0243,492890.4983421,0
DVY.US,D,20050517,000000,40.0185,40.3717,39.8466,40.3442,663290.38753663,0
DVY.US,D,20050518,000000,40.62,40.7927,40.5434,40.7358,1010399.3860239,0
DVY.US,D,20050519,000000,40.8968,40.8968,40.5798,40.8114,779193.77677495,0
DVY.US,D,20050520,000000,40.8114,40.8301,40.5798,40.7927,500847.32969649,0
DVY.US,D,20050523,000000,40.8615,40.9576,40.729,40.885,932182.17484593,0
DVY.US,D,20050524,000000,40.8615,40.8772,40.6878,40.8301,578019.11777676,0
DVY.US,D,20050525,000000,40.7005,40.778,40.5169,40.6878,578164.82489466,0
DVY.US,D,20050526,000000,40.8301,40.8693,40.7093,40.8232,525768.34151179,0
DVY.US,D,20050527,000000,40.7643,40.9626,40.7643,40.9488,391698.43335718,0
DVY.US,D,20050531,000000,40.9282,40.9851,40.7643,40.8301,614200.33490611,0
DVY.US,D,20050601,000000,40.9282,41.3816,40.8487,41.2638,4570824.1370628,0
DVY.US,D,20050602,000000,41.1952,41.2304,41.0509,41.1755,771240.00221323,0
DVY.US,D,20050603,000000,41.1755,41.2972,40.9115,41.0627,491987.72556966,0
