<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DWAS.US,D,20120724,000000,23.6703,23.6703,23.1015,23.1402,19705.357556747,0
DWAS.US,D,20120725,000000,23.5202,23.5202,23.2864,23.3441,8780.839245998,0
DWAS.US,D,20120726,000000,23.6992,23.7578,23.5679,23.6146,3035.5380377497,0
DWAS.US,D,20120727,000000,24.2631,24.2829,23.728,24.2144,22329.655098491,0
DWAS.US,D,20120730,000000,24.2054,26.6032,24.0025,24.0513,14063.620580989,0
DWAS.US,D,20120731,000000,24.1557,24.1657,23.8075,23.8464,19968.792788907,0
DWAS.US,D,20120801,000000,24.6868,24.6868,23.5579,23.6614,5475.8331081765,0
DWAS.US,D,20120802,000000,23.1681,23.383,23.1402,23.3361,11921.952472209,0
DWAS.US,D,20120803,000000,24.4849,24.4849,23.8075,23.9528,839.57411776118,0
DWAS.US,D,20120806,000000,24.2054,24.2332,24.1457,24.1457,2286.4569386694,0
DWAS.US,D,20120807,000000,24.3108,24.465,24.2332,24.3596,6916.6830611726,0
DWAS.US,D,20120808,000000,24.2144,24.2731,24.2054,24.2432,40586.118878359,0
DWAS.US,D,20120809,000000,24.3108,24.3884,24.2531,24.3298,84847.259793146,0
DWAS.US,D,20120810,000000,24.2432,24.2731,24.1657,24.2243,4615.1439527231,0
DWAS.US,D,20120813,000000,24.2144,24.2144,23.9428,24.1855,4050.0653249605,0
DWAS.US,D,20120814,000000,24.3009,24.3009,24.109,24.1189,59412.688675916,0
DWAS.US,D,20120815,000000,24.3396,24.3396,24.2054,24.2829,17155.465385918,0
DWAS.US,D,20120816,000000,24.3198,24.6102,24.3198,24.5913,3767.5260110792,0
DWAS.US,D,20120817,000000,24.6968,24.8042,24.6689,24.8042,7128.8389160799,0
DWAS.US,D,20120820,000000,24.7852,24.814,24.6291,24.6968,3948.5120484409,0
DWAS.US,D,20120821,000000,24.8439,24.9692,24.4849,24.5624,26997.083906452,0
DWAS.US,D,20120822,000000,24.6391,24.6778,24.5814,24.6689,3922.369620822,0
DWAS.US,D,20120823,000000,24.4262,24.5624,24.4262,24.5624,4983.1488953585,0
DWAS.US,D,20120824,000000,24.4451,24.7066,24.4451,24.6391,1160.3215950855,0
DWAS.US,D,20120827,000000,24.8628,24.9116,24.6778,24.7852,17318.352819543,0
DWAS.US,D,20120828,000000,24.824,24.9314,24.7942,24.8727,10117.119488519,0
DWAS.US,D,20120829,000000,24.9214,25.0458,24.8917,25.0458,4646.3137702687,0
DWAS.US,D,20120830,000000,24.9116,24.9116,24.7753,24.8539,11388.043661992,0
DWAS.US,D,20120831,000000,24.8539,24.9881,24.6778,24.9781,3964.5996962064,0
DWAS.US,D,20120904,000000,25.0368,25.6963,24.8439,25.3661,7442.5480475069,0
DWAS.US,D,20120905,000000,25.376,25.376,25.2984,25.3471,35812.109403952,0
DWAS.US,D,20120906,000000,25.4625,25.8225,25.4625,25.8225,1816.8987195143,0
DWAS.US,D,20120907,000000,25.7927,25.8902,25.744,25.744,50530.296153399,0
DWAS.US,D,20120910,000000,25.7927,25.7927,25.551,25.6763,24553.772402069,0
DWAS.US,D,20120911,000000,25.6564,25.7927,25.376,25.6664,13353.753123337,0
DWAS.US,D,20120912,000000,25.8027,25.8802,25.6963,25.753,9038.2416102458,0
DWAS.US,D,20120913,000000,25.8703,26.2372,25.5699,26.0811,8504.3328000288,0
DWAS.US,D,20120914,000000,26.3526,26.3726,26.1388,26.1786,13596.073317804,0
DWAS.US,D,20120917,000000,26.0623,26.1687,26.0623,26.101,6817.1407406237,0
DWAS.US,D,20120918,000000,26.0811,26.1885,26.0423,26.1388,8146.3826372468,0
DWAS.US,D,20120919,000000,26.1388,26.9534,25.9866,25.9866,3751.4383633137,0
DWAS.US,D,20120920,000000,25.735,25.9101,25.735,25.8613,6231.9525531542,0
DWAS.US,D,20120921,000000,26.1298,26.1786,26.0623,26.0623,10066.845589251,0
DWAS.US,D,20120924,000000,25.9469,26.0244,25.927,25.9667,1852.0904490013,0
DWAS.US,D,20120925,000000,26.0423,26.0423,25.735,25.7628,4444.2126952148,0
DWAS.US,D,20120926,000000,25.5997,25.5997,25.3471,25.376,6350.5989554247,0
DWAS.US,D,20120927,000000,25.551,25.7828,25.4337,25.7828,5076.6583479954,0
DWAS.US,D,20120928,000000,25.6167,25.753,25.6167,25.6664,3128.0420124012,0
DWAS.US,D,20121001,000000,25.927,25.9469,25.6366,25.6863,9647.5612693635,0
DWAS.US,D,20121002,000000,25.7927,25.8126,25.735,25.753,1301.0885130335,0
DWAS.US,D,20121003,000000,25.9966,25.9966,25.8415,25.8415,3381.4224647076,0
DWAS.US,D,20121004,000000,25.9001,25.9966,25.9001,25.9966,1132.1682114959,0
DWAS.US,D,20121005,000000,26.1885,26.3039,25.9369,25.9667,6658.2752189395,0
DWAS.US,D,20121008,000000,25.8902,25.8902,25.7927,25.8325,4725.7465311108,0
DWAS.US,D,20121009,000000,25.8126,25.8415,24.649,25.4436,19504.261959678,0
DWAS.US,D,20121010,000000,25.4436,25.4913,25.3372,25.4038,6208.8265594913,0
DWAS.US,D,20121011,000000,25.6564,25.6664,25.376,25.4238,11967.198981549,0
DWAS.US,D,20121012,000000,25.4436,25.4725,25.2209,25.2209,3440.7456658428,0
DWAS.US,D,20121015,000000,25.3372,25.4913,25.2307,25.4913,7309.8249534416,0
DWAS.US,D,20121016,000000,25.6177,25.744,25.551,25.6177,23426.6315805,0
DWAS.US,D,20121017,000000,25.9001,25.9001,25.7061,25.8325,12372.406609642,0
DWAS.US,D,20121018,000000,25.8325,25.8703,25.6564,25.6963,14666.907372194,0
DWAS.US,D,20121019,000000,25.385,25.4913,25.0935,25.2119,10835.030770053,0
DWAS.US,D,20121022,000000,25.1532,25.1532,25.0269,25.0269,9276.539892772,0
DWAS.US,D,20121023,000000,24.9493,25.0736,24.7355,25.0736,4901.7051785458,0
DWAS.US,D,20121024,000000,25.1333,25.1333,24.9781,25.0647,4525.6564120276,0
DWAS.US,D,20121025,000000,25.8126,25.8126,24.7942,24.8727,5796.5805855008,0
DWAS.US,D,20121026,000000,24.6102,24.8042,24.6102,24.8042,2376.9499573502,0
DWAS.US,D,20121031,000000,24.2054,24.9593,24.0413,24.9593,83031.366551617,0
DWAS.US,D,20121101,000000,25.3273,26.8668,25.1433,26.8668,36217.317032045,0
DWAS.US,D,20121102,000000,25.2984,25.2984,24.814,24.814,4560.8481415146,0
DWAS.US,D,20121105,000000,24.6868,24.9781,24.6868,24.9781,17577.766139762,0
DWAS.US,D,20121106,000000,25.1333,25.1622,24.9692,25.1333,5133.97059316,0
DWAS.US,D,20121107,000000,24.8439,24.9116,24.5237,24.5913,4607.1001288404,0
DWAS.US,D,20121108,000000,24.6391,24.6778,24.4362,24.4362,16190.206519989,0
DWAS.US,D,20121109,000000,24.2531,24.5336,24.2054,24.3496,8540.5300075011,0
DWAS.US,D,20121112,000000,24.3198,24.3795,24.3198,24.3795,2168.8160143843,0
DWAS.US,D,20121113,000000,24.2054,24.3596,23.6067,24.3596,4130.5035637879,0
DWAS.US,D,20121114,000000,23.914,24.0214,23.6514,23.6803,27563.1680122,0
DWAS.US,D,20121115,000000,23.6893,23.6893,23.3063,23.5002,10489.146343095,0
DWAS.US,D,20121116,000000,23.4615,23.914,23.4327,23.914,55464.176627475,0
DWAS.US,D,20121120,000000,24.3198,24.465,24.3108,24.455,1680.1537135077,0
DWAS.US,D,20121121,000000,24.6102,24.6102,24.5724,24.5724,707.85650168128,0
DWAS.US,D,20121123,000000,24.7355,24.9881,24.649,24.8439,1595.6935627389,0
DWAS.US,D,20121126,000000,24.9116,24.9414,24.7852,24.9116,6564.7657663027,0
DWAS.US,D,20121127,000000,24.9781,25.0548,24.9493,25.0368,28509.322796408,0
DWAS.US,D,20121128,000000,24.9781,25.1433,24.9781,25.1433,2274.3912028452,0
DWAS.US,D,20121129,000000,25.4525,25.4525,25.3661,25.4337,10428.817663975,0
DWAS.US,D,20121130,000000,25.4038,25.4038,25.3661,25.385,505.75542662739,0
DWAS.US,D,20121203,000000,25.3273,25.5312,25.2786,25.2786,3987.7256898693,0
DWAS.US,D,20121204,000000,25.385,25.3949,25.1622,25.1622,1497.1567201753,0
DWAS.US,D,20121205,000000,25.3173,25.3173,25.0647,25.1333,5290.8251588734,0
DWAS.US,D,20121206,000000,25.0736,25.1722,25.008,25.1035,2551.9031267998,0
DWAS.US,D,20121207,000000,25.1333,25.1333,25.0179,25.0836,1207.5790603966,0
DWAS.US,D,20121210,000000,25.1722,25.2786,25.1135,25.1722,8295.1933790775,0
DWAS.US,D,20121211,000000,25.3372,25.4436,25.3372,25.4138,4252.1664000144,0
DWAS.US,D,20121212,000000,25.4525,25.4525,25.3561,25.3561,1538.3813175744,0
DWAS.US,D,20121213,000000,25.2497,25.3661,25.0458,25.0458,896.88636292571,0
DWAS.US,D,20121217,000000,25.3661,25.4436,25.3661,25.4436,1399.6253555971,0
DWAS.US,D,20121218,000000,25.3273,25.8703,25.3273,25.8703,4332.6046388418,0
DWAS.US,D,20121219,000000,25.9001,25.9667,25.8902,25.919,1987.8299770226,0
DWAS.US,D,20121220,000000,25.8225,26.0056,25.8225,25.9866,68114.095161072,0
DWAS.US,D,20121221,000000,25.6256,25.8415,25.6256,25.8017,4927.8476061647,0
DWAS.US,D,20121224,000000,25.8017,25.8017,25.7917,25.7917,1020.5601551229,0
DWAS.US,D,20121226,000000,25.8902,25.8902,25.6356,25.6356,315.72008739762,0
DWAS.US,D,20121227,000000,25.558,25.6077,25.3223,25.6077,20993.374855971,0
DWAS.US,D,20121228,000000,25.558,25.6554,25.5082,25.6256,1589.6606948268,0
DWAS.US,D,20121231,000000,25.733,25.8613,25.7141,25.8613,2112.5092472051,0
DWAS.US,D,20130102,000000,27.0021,27.0021,26.6599,26.7196,2512.6894853715,0
DWAS.US,D,20130103,000000,26.7883,27.0419,26.6998,26.7196,58326.772451746,0
DWAS.US,D,20130104,000000,26.9235,27.0419,26.845,26.9524,151983.02487448,0
DWAS.US,D,20130107,000000,26.827,26.9037,26.7683,26.827,9605.3311939791,0
DWAS.US,D,20130108,000000,26.8081,26.9135,26.7296,26.8648,12148.185018911,0
DWAS.US,D,20130109,000000,27.0121,27.383,27.0121,27.1771,27573.222792054,0
DWAS.US,D,20130110,000000,27.2567,27.2567,27.0219,27.197,19236.804815577,0
DWAS.US,D,20130111,000000,27.1284,27.2467,27.1284,27.197,6606.9958416871,0
DWAS.US,D,20130114,000000,27.1284,27.2269,27.0518,27.207,3959.5723062797,0
DWAS.US,D,20130115,000000,27.2169,27.4526,27.187,27.4526,30821.922162696,0
DWAS.US,D,20130116,000000,27.3631,27.4725,27.3044,27.3531,8197.6620144992,0
DWAS.US,D,20130117,000000,27.4128,27.6396,27.4029,27.5809,55288.21798004,0
DWAS.US,D,20130118,000000,27.8047,27.8047,27.5412,27.7261,21576.55208747,0
DWAS.US,D,20130122,000000,27.7261,27.9697,27.6674,27.9499,27889.948357437,0
DWAS.US,D,20130123,000000,28.2035,28.2035,27.8535,27.9102,61359.29405554,0
DWAS.US,D,20130124,000000,28.2234,28.2333,27.9002,27.9399,17426.94444196,0
DWAS.US,D,20130125,000000,28.5138,28.5138,27.9887,28.1657,94352.043188591,0
DWAS.US,D,20130128,000000,28.1657,28.1935,27.9887,28.0384,15416.99394926,0
DWAS.US,D,20130129,000000,28.0284,28.0981,28.0086,28.0683,5029.4008826843,0
DWAS.US,D,20130130,000000,28.0484,28.108,27.7261,27.7948,48087.990127001,0
DWAS.US,D,20130131,000000,27.8445,27.9707,27.8156,27.9609,4516.6071101595,0
DWAS.US,D,20130201,000000,28.1657,28.4163,28.118,28.2632,18927.117596091,0
DWAS.US,D,20130204,000000,28.118,28.1468,27.9102,27.9102,4046.0434130191,0
DWAS.US,D,20130205,000000,28.1279,28.3587,28.108,28.301,22166.767664866,0
DWAS.US,D,20130206,000000,28.2732,28.3884,28.2035,28.3884,5433.6030327921,0
DWAS.US,D,20130207,000000,28.3397,28.3397,28.0384,28.118,49378.018382196,0
DWAS.US,D,20130208,000000,28.3587,28.4451,28.2333,28.4163,7516.9534184222,0
DWAS.US,D,20130211,000000,28.4163,28.4163,28.282,28.3686,3327.1266534991,0
DWAS.US,D,20130212,000000,28.5436,28.5825,28.485,28.5038,6730.6696338842,0
DWAS.US,D,20130213,000000,28.6709,28.7486,28.5526,28.651,12059.702956201,0
DWAS.US,D,20130214,000000,28.7486,28.8848,28.7187,28.846,5826.7449250611,0
DWAS.US,D,20130215,000000,29.0021,29.0717,28.9136,28.9136,8296.1988570628,0
DWAS.US,D,20130219,000000,29.0817,29.1314,29.0319,29.0618,1776.6796001006,0
DWAS.US,D,20130220,000000,29.1702,29.2478,28.7386,28.7386,9234.3098173876,0
DWAS.US,D,20130221,000000,28.3884,28.5526,28.1746,28.3397,25271.683683604,0
DWAS.US,D,20130222,000000,28.4651,28.6988,28.3984,28.6809,10784.756870786,0
DWAS.US,D,20130225,000000,28.7386,28.8748,28.2035,28.2035,78139.716152925,0
DWAS.US,D,20130226,000000,28.3397,28.3884,28.0881,28.3686,137488.05423778,0
DWAS.US,D,20130227,000000,28.4551,28.836,28.3984,28.661,44636.18420332,0
DWAS.US,D,20130228,000000,28.8231,28.9295,28.6073,28.7037,22291.446935048,0
DWAS.US,D,20130301,000000,28.4461,29.0628,28.3497,29.0329,26684.380253011,0
DWAS.US,D,20130304,000000,29.0618,29.3632,29.0319,29.3244,73303.367043426,0
DWAS.US,D,20130305,000000,29.58,29.8236,29.58,29.7471,68782.738021325,0
DWAS.US,D,20130306,000000,30.0484,30.0484,29.7839,29.8136,120741.8183919,0
DWAS.US,D,20130307,000000,29.8634,29.9599,29.7938,29.9599,34584.420783848,0
DWAS.US,D,20130308,000000,30.2155,30.2841,29.9798,30.2553,87325.763027016,0
DWAS.US,D,20130311,000000,30.1747,30.2343,30.1051,30.1946,64053.975056258,0
DWAS.US,D,20130312,000000,30.1459,30.2652,29.9798,30.0574,20157.822650151,0
DWAS.US,D,20130313,000000,30.0096,30.294,30.0096,30.2453,22330.660576477,0
DWAS.US,D,20130314,000000,30.314,30.5198,30.304,30.5198,64979.014802774,0
DWAS.US,D,20130315,000000,30.5198,30.5198,30.3537,30.4024,127531.81122692,0
DWAS.US,D,20130318,000000,30.0096,30.4313,29.8933,30.3239,29207.124518236,0
DWAS.US,D,20130319,000000,30.6262,30.6262,29.9698,30.1956,15885.54669043,0
DWAS.US,D,20130320,000000,30.3836,30.6173,30.3836,30.5298,102436.08619075,0
DWAS.US,D,20130321,000000,30.3338,30.4999,30.2255,30.2752,19756.636933999,0
DWAS.US,D,20130322,000000,30.4313,30.4313,30.2353,30.3438,29073.395946185,0
DWAS.US,D,20130325,000000,30.665,30.665,30.1956,30.3537,36608.447968343,0
DWAS.US,D,20130326,000000,30.4899,30.5298,30.3239,30.4801,18582.238647119,0
DWAS.US,D,20130327,000000,30.5586,30.5586,30.1459,30.4899,29954.194661345,0
DWAS.US,D,20130328,000000,30.8679,30.8679,30.5099,30.6073,29404.198203363,0
DWAS.US,D,20130401,000000,30.6073,30.6073,30.0384,30.1259,23484.94930365,0
DWAS.US,D,20130402,000000,30.3438,30.4224,29.932,30.0096,39187.499000747,0
DWAS.US,D,20130403,000000,30.0384,30.1359,29.2488,29.3254,81845.908006898,0
DWAS.US,D,20130404,000000,29.4228,29.5601,29.2965,29.5402,35384.781260181,0
DWAS.US,D,20130405,000000,29.1623,29.57,29.1026,29.5303,28162.432891464,0
DWAS.US,D,20130408,000000,29.7172,29.9032,29.4626,29.9032,52676.991652105,0
DWAS.US,D,20130409,000000,30.0096,30.0096,29.756,29.8535,23807.707736945,0
DWAS.US,D,20130410,000000,29.8833,30.5685,29.8038,30.3239,193421.78908441,0
DWAS.US,D,20130411,000000,30.6173,30.6173,30.2752,30.3836,43154.109652924,0
DWAS.US,D,20130412,000000,30.3239,30.4124,30.1161,30.3338,12376.428521584,0
DWAS.US,D,20130415,000000,30.0772,30.0772,28.8081,28.8758,34042.468149749,0
DWAS.US,D,20130416,000000,29.2777,29.5998,29.2398,29.5899,64660.27828142,0
DWAS.US,D,20130417,000000,29.4029,29.4626,28.8081,29.1623,92983.587650539,0
DWAS.US,D,20130418,000000,28.9445,29.1324,28.6232,28.7684,91739.81138267,0
DWAS.US,D,20130419,000000,28.5048,29.3343,28.5048,29.2677,99776.596919515,0
DWAS.US,D,20130422,000000,29.2965,29.5004,28.9932,29.4726,12746.44442019,0
DWAS.US,D,20130423,000000,29.7471,30.0185,29.6695,30.0185,85912.060979624,0
DWAS.US,D,20130424,000000,30.0285,30.1558,29.932,30.1061,11731.917132979,0
DWAS.US,D,20130425,000000,30.2353,30.5496,30.2353,30.3836,68306.141456273,0
DWAS.US,D,20130426,000000,30.294,30.5586,30.2055,30.314,20789.262824946,0
DWAS.US,D,20130429,000000,30.4124,30.5775,30.3239,30.4999,26735.659630263,0
DWAS.US,D,20130430,000000,30.4959,30.653,30.4084,30.6133,60779.133257997,0
DWAS.US,D,20130501,000000,30.6173,30.6173,29.8136,29.8435,54026.343108435,0
DWAS.US,D,20130502,000000,30.0285,30.4701,30.0285,30.4502,51820.324408593,0
DWAS.US,D,20130503,000000,30.8391,31.0937,30.7804,30.8778,143981.43106713,0
DWAS.US,D,20130506,000000,30.9266,31.1633,30.8679,31.1334,62299.415971835,0
DWAS.US,D,20130507,000000,31.2806,31.4437,31.0837,31.4437,52078.732250826,0
DWAS.US,D,20130508,000000,31.3582,31.3772,31.1434,31.3772,84882.451522633,0
DWAS.US,D,20130509,000000,31.3772,31.5233,31.1831,31.3005,43631.711695962,0
DWAS.US,D,20130510,000000,31.387,31.6605,31.3582,31.6516,180917.66485869,0
DWAS.US,D,20130513,000000,31.583,31.7491,31.4636,31.6028,52290.888105734,0
DWAS.US,D,20130514,000000,31.6994,32.131,31.6994,32.0723,155780.71522512,0
DWAS.US,D,20130515,000000,32.0624,32.4045,32.0425,32.2663,132354.08364462,0
DWAS.US,D,20130516,000000,32.1589,32.2951,31.8843,32.0127,128095.88437669,0
DWAS.US,D,20130517,000000,32.1887,32.4144,32.0624,32.3945,28942.68380809,0
DWAS.US,D,20130520,000000,32.2951,32.4811,32.1499,32.1976,38305.694807602,0
DWAS.US,D,20130521,000000,32.2563,32.2762,32.0325,32.1688,65829.649178374,0
DWAS.US,D,20130522,000000,32.1589,32.5109,31.3582,31.593,46858.290550927,0
DWAS.US,D,20130523,000000,31.3095,31.8286,31.0937,31.7789,115443.95488713,0
DWAS.US,D,20130524,000000,31.5631,31.8684,31.387,31.7889,19484.152399971,0
DWAS.US,D,20130528,000000,32.3548,32.6471,32.2166,32.4432,17866.338321555,0
DWAS.US,D,20130529,000000,32.1668,32.2146,31.7869,32.0892,13430.169450223,0
DWAS.US,D,20130530,000000,32.1589,32.4144,32.0812,32.3647,61926.383639273,0
DWAS.US,D,20130531,000000,32.1668,32.4412,32.0215,32.0215,110048.56001778,0
DWAS.US,D,20130603,000000,32.0624,32.3448,31.583,32.0912,75705.45395041,0
DWAS.US,D,20130604,000000,32.2245,32.2543,31.5213,31.8366,28904.475644647,0
DWAS.US,D,20130605,000000,31.581,31.8167,31.2101,31.3373,54044.441712172,0
DWAS.US,D,20130606,000000,31.5014,31.8067,31.1404,31.8067,33618.156439934,0
DWAS.US,D,20130607,000000,32.0604,32.2146,31.8754,32.1379,258350.52998792,0
DWAS.US,D,20130610,000000,32.305,32.3845,31.9828,32.3647,293690.06473876,0
DWAS.US,D,20130611,000000,31.9818,32.3727,31.7769,32.129,145452.44535968,0
DWAS.US,D,20130612,000000,32.1787,32.2563,31.7292,31.759,59205.560210936,0
DWAS.US,D,20130613,000000,31.7392,32.5209,31.7392,32.4711,230971.36444704,0
DWAS.US,D,20130614,000000,32.303,32.5189,32.1767,32.2742,56057.408638828,0
DWAS.US,D,20130617,000000,32.5984,32.6949,32.4334,32.5984,177038.53079124,0
DWAS.US,D,20130618,000000,32.5875,33.0847,32.5875,32.9883,154719.93595059,0
DWAS.US,D,20130619,000000,33.4378,33.4378,32.5676,32.6163,113531.53575901,0
DWAS.US,D,20130620,000000,32.0992,32.1668,31.4914,31.6685,147873.63634838,0
DWAS.US,D,20130621,000000,31.6775,31.7471,31.1404,31.6198,54937.306163156,0
DWAS.US,D,20130624,000000,31.2985,31.3085,30.3597,31.1304,204723.36163966,0
DWAS.US,D,20130625,000000,31.4329,31.4517,31.2001,31.4139,133092.10448587,0
DWAS.US,D,20130626,000000,31.7769,31.7769,31.4517,31.5611,71341.679494022,0
DWAS.US,D,20130627,000000,31.7073,32.0703,31.7073,32.0315,36268.596409297,0
DWAS.US,D,20130628,000000,32.0117,32.1569,31.8366,31.8664,236506.52075635,0
DWAS.US,D,20130701,000000,32.2344,32.6561,32.0315,32.489,324317.92965029,0
DWAS.US,D,20130702,000000,32.6163,32.7535,32.2931,32.5875,364129.83047993,0
DWAS.US,D,20130703,000000,32.3727,32.6939,32.303,32.6263,59731.42519727,0
DWAS.US,D,20130705,000000,33.2608,33.2608,32.6561,33.1832,164598.75715657,0
DWAS.US,D,20130708,000000,33.3682,33.4378,33.2708,33.408,552168.29043081,0
DWAS.US,D,20130709,000000,33.6715,33.7193,33.3393,33.6616,338521.31167124,0
DWAS.US,D,20130710,000000,33.6815,33.7292,33.4776,33.6715,186917.35199723,0
DWAS.US,D,20130711,000000,34.2881,34.2881,33.9461,34.1122,462392.17755352,0
DWAS.US,D,20130712,000000,34.1619,34.3975,34.0922,34.328,259221.27392323,0
DWAS.US,D,20130715,000000,34.4175,34.5916,34.3081,34.5139,337593.25549076,0
DWAS.US,D,20130716,000000,34.5716,34.5716,34.0624,34.1719,185764.06874804,0
