<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DWAW.US,D,20191230,000000,24.601,24.601,24.524,24.524,101,0
DWAW.US,D,20191231,000000,24.51,24.619,24.51,24.609,50533,0
DWAW.US,D,20200102,000000,24.726,24.953,24.726,24.953,164,0
DWAW.US,D,20200103,000000,24.756,24.76,24.753,24.753,969,0
DWAW.US,D,20200106,000000,24.737,24.737,24.737,24.737,235,0
DWAW.US,D,20200107,000000,24.875,24.883,24.875,24.883,101,0
DWAW.US,D,20200108,000000,25.1,25.13,25.04,25.04,1363,0
DWAW.US,D,20200109,000000,25.199,25.248,25.197,25.248,1080,0
DWAW.US,D,20200110,000000,25.298,25.298,25.176,25.176,2375,0
DWAW.US,D,20200113,000000,25.288,25.494,25.278,25.452,14158,0
DWAW.US,D,20200114,000000,25.435,25.444,25.337,25.375,4232,0
DWAW.US,D,20200115,000000,25.425,25.455,25.355,25.355,3188,0
DWAW.US,D,20200117,000000,25.651,25.691,25.64,25.651,7370,0
DWAW.US,D,20200121,000000,25.641,25.641,25.641,25.641,686,0
DWAW.US,D,20200122,000000,25.789,25.809,25.75,25.75,3801,0
DWAW.US,D,20200123,000000,25.586,25.789,25.586,25.789,550,0
DWAW.US,D,20200127,000000,25.022,25.14,25.022,25.027,9878,0
DWAW.US,D,20200129,000000,25.248,25.337,25.14,25.262,3734,0
DWAW.US,D,20200130,000000,25.091,25.401,25.091,25.401,3565,0
DWAW.US,D,20200131,000000,25.022,25.041,24.963,24.963,4160,0
DWAW.US,D,20200206,000000,26.222,26.222,26.168,26.182,7585,0
DWAW.US,D,20200207,000000,26.215,26.215,26.084,26.086,322,0
DWAW.US,D,20200210,000000,26.301,26.408,26.301,26.408,1782,0
DWAW.US,D,20200211,000000,26.557,26.557,26.396,26.396,753,0
DWAW.US,D,20200212,000000,26.597,26.674,26.576,26.641,8757,0
DWAW.US,D,20200213,000000,26.763,26.773,26.641,26.641,13342,0
DWAW.US,D,20200214,000000,26.743,26.753,26.743,26.753,752,0
DWAW.US,D,20200218,000000,26.822,26.861,26.773,26.843,6347,0
DWAW.US,D,20200220,000000,26.95,26.95,26.921,26.921,11388,0
DWAW.US,D,20200221,000000,26.488,26.488,26.32,26.32,423,0
DWAW.US,D,20200224,000000,25.396,25.73,25.396,25.433,41050,0
DWAW.US,D,20200225,000000,25.14,25.14,24.7,24.7,7725,0
DWAW.US,D,20200227,000000,24.028,24.313,23.644,23.644,4437,0
DWAW.US,D,20200228,000000,23.014,23.614,22.955,23.501,14056,0
DWAW.US,D,20200302,000000,23.776,24.699,23.776,24.699,13600,0
DWAW.US,D,20200303,000000,24.402,24.402,23.992,23.992,3497,0
DWAW.US,D,20200304,000000,24.239,25.012,24.239,24.987,7244,0
DWAW.US,D,20200305,000000,24.51,24.697,24.127,24.231,20068,0
DWAW.US,D,20200306,000000,23.389,23.841,23.223,23.841,16407,0
DWAW.US,D,20200309,000000,22.631,22.955,22.257,22.257,19622,0
DWAW.US,D,20200310,000000,22.895,23.284,22.503,23.284,36850,0
DWAW.US,D,20200311,000000,22.345,22.345,22.306,22.344,822,0
DWAW.US,D,20200312,000000,20.339,21.026,20.339,20.387,6141,0
DWAW.US,D,20200313,000000,20.939,22.021,20.751,21.954,30945,0
DWAW.US,D,20200316,000000,20.033,20.909,19.444,19.444,4678,0
DWAW.US,D,20200317,000000,19.846,20.801,19.497,20.673,6643,0
DWAW.US,D,20200318,000000,18.912,19.479,18.872,19.479,6711,0
DWAW.US,D,20200319,000000,20.25,20.25,20.013,20.013,101,0
DWAW.US,D,20200320,000000,20.122,20.564,19.254,19.254,30452,0
DWAW.US,D,20200323,000000,18.724,19.418,18.655,19.109,42827,0
DWAW.US,D,20200324,000000,19.944,20.426,19.944,20.407,11541,0
DWAW.US,D,20200325,000000,20.88,20.88,20.88,20.88,304,0
DWAW.US,D,20200326,000000,21.559,21.829,21.559,21.829,6451,0
DWAW.US,D,20200327,000000,21.361,21.549,21.031,21.549,2180,0
DWAW.US,D,20200330,000000,21.665,21.815,21.618,21.815,775,0
DWAW.US,D,20200401,000000,20.623,20.623,20.605,20.605,2113,0
DWAW.US,D,20200402,000000,20.466,20.995,20.466,20.995,6598,0
DWAW.US,D,20200406,000000,21.45,22.272,21.422,22.272,2130,0
DWAW.US,D,20200407,000000,22.808,22.808,22.218,22.218,178,0
DWAW.US,D,20200409,000000,23.073,23.073,22.857,22.917,2704,0
DWAW.US,D,20200413,000000,22.67,23.019,22.618,23.019,2016,0
DWAW.US,D,20200414,000000,23.418,23.946,23.418,23.946,1665,0
DWAW.US,D,20200415,000000,23.458,23.458,23.458,23.458,117,0
DWAW.US,D,20200417,000000,24.214,24.397,24.214,24.397,16481,0
DWAW.US,D,20200420,000000,24.402,24.461,24.137,24.155,15482,0
DWAW.US,D,20200421,000000,23.23,23.307,23.211,23.288,8628,0
DWAW.US,D,20200422,000000,23.85,23.934,23.85,23.934,3268,0
DWAW.US,D,20200424,000000,23.919,24.216,23.884,24.216,6279,0
DWAW.US,D,20200427,000000,24.54,24.54,24.421,24.497,2845,0
DWAW.US,D,20200428,000000,24.599,24.599,24.065,24.065,101,0
DWAW.US,D,20200429,000000,24.659,24.849,24.659,24.821,2297,0
DWAW.US,D,20200430,000000,24.884,24.884,24.815,24.878,797,0
DWAW.US,D,20200501,000000,24.184,24.205,24.12,24.12,13879,0
DWAW.US,D,20200504,000000,24.283,24.43,24.255,24.43,2692,0
DWAW.US,D,20200505,000000,24.913,25.002,24.74,24.74,2666,0
DWAW.US,D,20200506,000000,24.943,25.001,24.828,24.828,4599,0
DWAW.US,D,20200507,000000,25.209,25.209,25.118,25.118,261,0
DWAW.US,D,20200508,000000,25.474,25.474,25.367,25.367,904,0
DWAW.US,D,20200511,000000,25.543,25.789,25.538,25.696,7779,0
