<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DWSH.US,D,20180712,000000,22.5857,22.6084,22.5857,22.6084,2101.041225519,0
DWSH.US,D,20180713,000000,22.6202,22.6202,22.6202,22.6202,553.6602074596,0
DWSH.US,D,20180716,000000,22.5812,22.6447,22.5631,22.5721,235689.4004257,0
DWSH.US,D,20180718,000000,22.7353,22.7807,22.7353,22.7807,446.678055819,0
DWSH.US,D,20180719,000000,22.7807,22.7897,22.6628,22.6628,1215.4054753396,0
DWSH.US,D,20180720,000000,22.7263,22.7263,22.7263,22.7263,110.29087798,0
DWSH.US,D,20180726,000000,22.7716,22.7716,22.6991,22.6991,747.7721527044,0
DWSH.US,D,20180730,000000,22.4833,22.6537,22.4833,22.6537,330.87263394,0
DWSH.US,D,20180731,000000,22.3636,22.3636,22.3636,22.3636,602.1881937708,0
DWSH.US,D,20180801,000000,22.4543,22.4543,22.4543,22.4543,1186.7298470648,0
DWSH.US,D,20180802,000000,23.1415,23.1415,22.7897,22.7897,1387.4592449884,0
DWSH.US,D,20180806,000000,22.4543,22.4543,22.3935,22.4225,89240.761008737,0
DWSH.US,D,20180807,000000,22.2883,22.3808,22.2883,22.3808,409.1791573058,0
DWSH.US,D,20180808,000000,22.5359,22.5359,22.5359,22.5359,695.9354400538,0
DWSH.US,D,20180809,000000,22.4724,22.5631,22.4724,22.5486,2874.1802801588,0
DWSH.US,D,20180813,000000,22.8614,22.8614,22.8614,22.8614,585.6445620738,0
DWSH.US,D,20180814,000000,22.7988,22.7988,22.6175,22.6175,917.6201047936,0
DWSH.US,D,20180815,000000,22.9158,22.9158,22.8795,22.8795,32941.679435066,0
DWSH.US,D,20180816,000000,22.5549,22.6175,22.5413,22.6175,5210.1410757752,0
DWSH.US,D,20180817,000000,22.5177,22.5177,22.5177,22.5177,317.6377285824,0
DWSH.US,D,20180820,000000,22.4724,22.5776,22.4271,22.4271,6824.7995294024,0
DWSH.US,D,20180821,000000,22.6991,22.6991,22.3545,22.5268,3960.5454282618,0
DWSH.US,D,20180822,000000,22.3727,22.6537,22.3727,22.6447,18567.469307933,0
DWSH.US,D,20180823,000000,23.0871,23.0871,22.4724,22.5268,2841.0930167648,0
DWSH.US,D,20180824,000000,22.5177,22.5631,22.5177,22.5631,1515.3966634452,0
DWSH.US,D,20180827,000000,22.8432,22.8432,22.1804,22.1804,1373.121430851,0
DWSH.US,D,20180828,000000,22.6447,22.6447,22.2865,22.3455,9123.2614265056,0
DWSH.US,D,20180829,000000,22.3563,22.3999,22.3001,22.3001,1520.9112073442,0
DWSH.US,D,20180830,000000,22.4089,22.5195,22.4089,22.5195,884.5328413996,0
DWSH.US,D,20180831,000000,22.4742,22.4796,22.4742,22.4796,920.928831133,0
DWSH.US,D,20180904,000000,22.6356,22.7535,22.6356,22.6809,1260.6247353114,0
DWSH.US,D,20180905,000000,22.6202,22.6202,22.6202,22.6202,498.5147684696,0
DWSH.US,D,20180906,000000,22.5993,22.6202,22.5903,22.6202,2017.2201582542,0
