<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DWUS.US,D,20191230,000000,24.911,24.911,24.911,24.911,502,0
DWUS.US,D,20191231,000000,24.941,25.038,24.931,25.038,42662,0
DWUS.US,D,20200102,000000,25.083,25.132,25.083,25.132,163,0
DWUS.US,D,20200103,000000,25.073,25.073,25.045,25.067,958,0
DWUS.US,D,20200106,000000,25.08,25.08,25.08,25.08,282,0
DWUS.US,D,20200107,000000,25.058,25.07,25.058,25.07,100,0
DWUS.US,D,20200109,000000,25.359,25.409,25.359,25.387,3029,0
DWUS.US,D,20200110,000000,25.429,25.429,25.354,25.354,2183,0
DWUS.US,D,20200113,000000,25.439,25.598,25.439,25.588,22936,0
DWUS.US,D,20200114,000000,25.887,25.887,25.498,25.508,9817,0
DWUS.US,D,20200115,000000,25.687,25.817,25.617,25.617,4721,0
DWUS.US,D,20200116,000000,25.737,25.767,25.727,25.727,724,0
DWUS.US,D,20200117,000000,25.906,25.976,25.89,25.976,7573,0
DWUS.US,D,20200121,000000,26.036,26.036,25.996,25.996,884,0
DWUS.US,D,20200123,000000,26.046,26.17,26.035,26.17,565,0
DWUS.US,D,20200124,000000,26.215,26.215,25.976,25.996,3148,0
DWUS.US,D,20200127,000000,25.707,25.777,25.696,25.696,9399,0
DWUS.US,D,20200128,000000,25.991,25.991,25.956,25.956,134,0
DWUS.US,D,20200130,000000,25.896,25.956,25.896,25.956,1279,0
DWUS.US,D,20200131,000000,25.857,25.857,25.796,25.796,3056,0
DWUS.US,D,20200203,000000,26.006,26.066,25.867,26.025,9362,0
DWUS.US,D,20200204,000000,26.405,26.405,26.32,26.32,1085,0
DWUS.US,D,20200205,000000,26.455,26.474,26.455,26.463,693,0
DWUS.US,D,20200206,000000,26.633,26.663,26.633,26.644,5354,0
DWUS.US,D,20200207,000000,26.643,26.643,26.623,26.623,201,0
DWUS.US,D,20200210,000000,26.74,26.789,26.74,26.789,311,0
DWUS.US,D,20200212,000000,26.982,27.022,26.932,27.003,13254,0
DWUS.US,D,20200213,000000,27.181,27.181,27.044,27.044,10925,0
DWUS.US,D,20200214,000000,27.211,27.211,27.176,27.176,100,0
DWUS.US,D,20200218,000000,27.191,27.191,27.151,27.18,5751,0
DWUS.US,D,20200219,000000,27.44,27.45,27.358,27.358,505,0
DWUS.US,D,20200220,000000,27.231,27.231,27.174,27.174,8845,0
DWUS.US,D,20200224,000000,26.215,26.285,25.946,25.946,31430,0
DWUS.US,D,20200225,000000,25.386,25.386,25.254,25.254,307,0
DWUS.US,D,20200227,000000,24.642,24.722,24.126,24.126,4330,0
DWUS.US,D,20200228,000000,23.337,24.015,23.278,23.848,14275,0
DWUS.US,D,20200302,000000,24.184,25.144,24.184,25.144,16497,0
DWUS.US,D,20200303,000000,24.552,24.692,24.552,24.692,3124,0
DWUS.US,D,20200304,000000,24.851,25.575,24.822,25.575,7591,0
DWUS.US,D,20200306,000000,24.343,24.475,23.832,24.475,9739,0
DWUS.US,D,20200309,000000,23.766,23.766,22.941,22.941,14227,0
DWUS.US,D,20200310,000000,23.676,23.932,23.079,23.932,3164,0
DWUS.US,D,20200312,000000,20.869,21.884,20.869,21.884,5712,0
DWUS.US,D,20200313,000000,21.605,22.428,21.257,22.428,29985,0
DWUS.US,D,20200316,000000,21.107,21.107,19.84,19.84,1544,0
DWUS.US,D,20200317,000000,20.271,20.271,20.271,20.271,100,0
DWUS.US,D,20200318,000000,19.415,19.495,19.246,19.495,7218,0
DWUS.US,D,20200319,000000,19.813,19.972,19.813,19.972,502,0
DWUS.US,D,20200320,000000,20.201,20.296,19.307,19.307,32258,0
DWUS.US,D,20200323,000000,18.747,19.352,18.659,19.022,37615,0
DWUS.US,D,20200324,000000,19.674,20.46,19.664,20.46,24413,0
DWUS.US,D,20200325,000000,20.431,20.431,20.431,20.431,296,0
DWUS.US,D,20200326,000000,21.715,22.027,21.715,22.027,6136,0
DWUS.US,D,20200327,000000,21.297,21.875,21.297,21.365,3813,0
DWUS.US,D,20200330,000000,21.878,22.109,21.878,22.109,120825,0
DWUS.US,D,20200331,000000,21.665,21.688,21.665,21.688,201,0
DWUS.US,D,20200401,000000,20.739,20.739,20.68,20.68,3087,0
DWUS.US,D,20200402,000000,20.55,21.093,20.55,21.093,7767,0
DWUS.US,D,20200406,000000,21.436,22.285,21.356,22.285,1954,0
DWUS.US,D,20200409,000000,23.01,23.01,22.721,22.761,2574,0
DWUS.US,D,20200413,000000,22.601,22.979,22.601,22.979,470,0
DWUS.US,D,20200414,000000,23.636,23.87,23.597,23.87,2002,0
DWUS.US,D,20200415,000000,23.497,23.577,23.497,23.571,301,0
DWUS.US,D,20200417,000000,24.145,24.253,24.105,24.253,4392,0
DWUS.US,D,20200420,000000,24.304,24.373,24.055,24.058,17399,0
DWUS.US,D,20200421,000000,23.756,23.756,23.109,23.179,13318,0
DWUS.US,D,20200424,000000,23.856,24.113,23.856,24.113,708,0
DWUS.US,D,20200427,000000,24.343,24.383,24.284,24.368,2511,0
DWUS.US,D,20200429,000000,24.562,24.657,24.552,24.657,1416,0
DWUS.US,D,20200430,000000,24.732,24.732,24.462,24.586,9096,0
DWUS.US,D,20200501,000000,24.105,24.214,23.871,23.871,19061,0
DWUS.US,D,20200504,000000,23.955,24.188,23.945,24.188,4197,0
DWUS.US,D,20200505,000000,24.592,24.592,24.531,24.531,1837,0
DWUS.US,D,20200506,000000,24.791,24.821,24.627,24.627,5257,0
DWUS.US,D,20200507,000000,24.761,24.956,24.761,24.835,1326,0
DWUS.US,D,20200508,000000,25.08,25.138,25.08,25.138,191,0
DWUS.US,D,20200511,000000,25.31,25.558,25.31,25.475,3526,0
DWUS.US,D,20200512,000000,25.448,25.558,25.004,25.004,12147,0
DWUS.US,D,20200513,000000,25.2,25.2,24.423,24.698,78074,0
DWUS.US,D,20200514,000000,24.542,24.901,24.393,24.868,3046,0
DWUS.US,D,20200518,000000,25.572,25.588,25.527,25.527,4314,0
DWUS.US,D,20200519,000000,25.687,25.707,25.438,25.438,13169,0
DWUS.US,D,20200520,000000,25.717,25.799,25.717,25.799,1451,0
DWUS.US,D,20200521,000000,25.568,25.568,25.524,25.524,776,0
DWUS.US,D,20200522,000000,25.598,25.667,25.598,25.614,5726,0
DWUS.US,D,20200526,000000,25.916,25.916,25.496,25.496,1406,0
DWUS.US,D,20200527,000000,25.578,25.697,25.529,25.676,8184,0
DWUS.US,D,20200528,000000,25.857,26.026,25.598,25.598,106686,0
DWUS.US,D,20200529,000000,25.637,26.106,25.578,26.095,10782,0
DWUS.US,D,20200601,000000,26.235,26.235,26.203,26.203,9692,0
DWUS.US,D,20200602,000000,26.166,26.26,26.046,26.26,67476,0
DWUS.US,D,20200603,000000,26.305,26.395,26.215,26.308,26171,0
DWUS.US,D,20200604,000000,26.305,26.365,25.95,26.035,54665,0
DWUS.US,D,20200605,000000,26.455,26.554,26.425,26.468,21975,0
DWUS.US,D,20200608,000000,26.494,26.673,26.435,26.653,48556,0
DWUS.US,D,20200609,000000,26.633,26.902,26.633,26.902,15798,0
DWUS.US,D,20200610,000000,27.131,27.227,27.032,27.227,5968,0
DWUS.US,D,20200611,000000,26.683,26.831,25.827,25.899,5326,0
DWUS.US,D,20200612,000000,26.131,26.131,25.911,26.066,1837,0
DWUS.US,D,20200615,000000,26.425,26.489,26.349,26.349,1591,0
DWUS.US,D,20200616,000000,26.902,26.982,26.484,26.782,13081,0
DWUS.US,D,20200617,000000,26.975,27.002,26.644,26.934,31562,0
DWUS.US,D,20200618,000000,26.882,26.902,26.802,26.852,901,0
DWUS.US,D,20200619,000000,27.171,27.171,26.673,27.083,4099,0
DWUS.US,D,20200622,000000,27.012,27.341,27.012,27.341,201,0
DWUS.US,D,20200623,000000,27.57,27.748,27.36,27.36,33766,0
DWUS.US,D,20200625,000000,27.086,27.202,27.086,27.202,1053,0
DWUS.US,D,20200626,000000,27.101,27.111,26.623,26.639,3310,0
DWUS.US,D,20200629,000000,26.752,26.786,26.752,26.786,960,0
DWUS.US,D,20200630,000000,27.166,27.381,27.166,27.381,201,0
DWUS.US,D,20200701,000000,27.728,27.758,27.728,27.758,13066,0
DWUS.US,D,20200702,000000,28.077,28.087,28.077,28.087,6026,0
DWUS.US,D,20200706,000000,28.595,28.6,28.567,28.567,640,0
DWUS.US,D,20200707,000000,28.605,28.873,28.437,28.437,964,0
DWUS.US,D,20200708,000000,28.834,28.893,28.834,28.893,483,0
