<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DXJS.US,D,20130703,000000,10.1104,10.2292,10.1104,10.2259,14337.575636664,0
DXJS.US,D,20130705,000000,10.5735,10.5735,10.2822,10.4317,39111.61643663,0
DXJS.US,D,20130708,000000,10.2259,10.3954,10.2026,10.3954,51177.20878634,0
DXJS.US,D,20130709,000000,10.5162,10.5998,10.3658,10.4031,19019.745802223,0
DXJS.US,D,20130710,000000,10.237,10.5292,10.237,10.3094,11969.268634318,0
DXJS.US,D,20130711,000000,10.3047,10.4294,10.3047,10.4294,8985.3274509896,0
DXJS.US,D,20130712,000000,10.6568,10.6568,10.2708,10.384,60260.953946534,0
DXJS.US,D,20130715,000000,10.5664,10.5851,10.5664,10.5851,6755.2240402918,0
DXJS.US,D,20130716,000000,10.4756,10.4828,10.384,10.4336,14448.557308746,0
DXJS.US,D,20130717,000000,10.5091,10.5091,10.5091,10.5091,263.84322042058,0
DXJS.US,D,20130718,000000,10.6948,10.8424,10.6948,10.7402,98202.027841776,0
DXJS.US,D,20130719,000000,10.563,10.5773,10.4718,10.5702,27224.013561016,0
DXJS.US,D,20130722,000000,10.5474,10.5702,10.4828,10.555,12710.542444071,0
DXJS.US,D,20130723,000000,10.6453,10.6453,10.5449,10.5812,24956.218261686,0
DXJS.US,D,20130724,000000,10.5922,10.5922,10.513,10.5506,11022.783430904,0
DXJS.US,D,20130725,000000,10.3094,10.3471,10.2742,10.3267,18852.226297194,0
DXJS.US,D,20130726,000000,10.0936,10.1533,10.0048,10.0817,21111.645621272,0
DXJS.US,D,20130729,000000,9.8802,9.8802,9.809,9.809,39825.668326816,0
DXJS.US,D,20130730,000000,10.0354,10.0354,9.93795,9.9637,8660.758409996,0
DXJS.US,D,20130731,000000,9.99475,9.99475,9.98335,9.98665,3172.4006264854,0
DXJS.US,D,20130801,000000,10.2894,10.3644,10.2894,10.3094,14672.614646722,0
DXJS.US,D,20130802,000000,10.3616,10.3616,10.2565,10.3162,14582.572912769,0
DXJS.US,D,20130805,000000,10.3123,10.3954,10.3123,10.3916,3781.7528260282,0
DXJS.US,D,20130806,000000,10.3501,10.3616,10.32,10.3276,13211.006965345,0
DXJS.US,D,20130807,000000,10.1763,10.1982,10.0779,10.0846,12706.354456445,0
DXJS.US,D,20130808,000000,10.0215,10.085,9.94945,10.085,5392.034068119,0
