<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
EBIZ.US,D,20181130,000000,15.404,15.481,15.404,15.481,889,0
EBIZ.US,D,20181203,000000,15.999,15.999,15.75,15.75,3049,0
EBIZ.US,D,20181204,000000,15.77,15.77,15.404,15.404,2066,0
EBIZ.US,D,20181206,000000,14.976,15.304,14.976,15.304,2083,0
EBIZ.US,D,20181207,000000,15.464,15.464,15.254,15.254,1349,0
EBIZ.US,D,20181210,000000,15.057,15.106,14.818,15.086,1811,0
EBIZ.US,D,20181211,000000,15.234,15.234,15.234,15.234,1052,0
EBIZ.US,D,20181212,000000,15.245,15.434,15.245,15.403,543,0
EBIZ.US,D,20181213,000000,15.314,15.314,15.314,15.314,100,0
EBIZ.US,D,20181217,000000,14.59,14.59,14.303,14.303,1303,0
EBIZ.US,D,20181218,000000,14.244,14.244,14.114,14.114,576,0
EBIZ.US,D,20181219,000000,13.778,13.778,13.778,13.778,137,0
EBIZ.US,D,20190107,000000,14.589,14.61,14.57,14.61,806,0
EBIZ.US,D,20190108,000000,14.739,14.739,14.68,14.68,637,0
EBIZ.US,D,20190109,000000,14.928,14.994,14.928,14.994,387,0
EBIZ.US,D,20190110,000000,14.703,14.808,14.703,14.808,3133,0
EBIZ.US,D,20190111,000000,14.868,14.868,14.868,14.868,325,0
EBIZ.US,D,20190114,000000,14.798,14.848,14.793,14.828,7064,0
EBIZ.US,D,20190115,000000,14.953,15.037,14.953,15.008,1504,0
EBIZ.US,D,20190116,000000,15.076,15.175,15.076,15.175,2756,0
EBIZ.US,D,20190117,000000,15.235,15.354,15.195,15.354,695,0
EBIZ.US,D,20190118,000000,15.464,15.563,15.464,15.553,4374,0
EBIZ.US,D,20190122,000000,15.324,15.324,15.324,15.324,395,0
EBIZ.US,D,20190123,000000,15.245,15.245,15.245,15.245,1945,0
EBIZ.US,D,20190124,000000,15.454,15.454,15.374,15.444,632,0
EBIZ.US,D,20190125,000000,15.623,15.623,15.623,15.623,377,0
EBIZ.US,D,20190128,000000,15.555,15.764,15.543,15.764,1262,0
EBIZ.US,D,20190129,000000,15.691,15.691,15.663,15.672,3848,0
EBIZ.US,D,20190130,000000,15.959,15.959,15.951,15.951,1104,0
EBIZ.US,D,20190131,000000,16.019,16.019,16.019,16.019,481,0
EBIZ.US,D,20190201,000000,16.073,16.103,16.071,16.098,1532,0
EBIZ.US,D,20190204,000000,16.148,16.148,16.148,16.148,684,0
