<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ECOW.US,D,20190506,000000,19.8982,19.8982,19.8982,19.8982,250.76418749287,0
ECOW.US,D,20190507,000000,19.6827,19.6827,19.6827,19.6827,176.06847206946,0
ECOW.US,D,20190509,000000,19.4174,19.4174,19.4174,19.4174,124.84855292198,0
ECOW.US,D,20190517,000000,18.8748,18.8748,18.8682,18.8682,899.54983002761,0
ECOW.US,D,20190604,000000,19.4109,19.4174,19.4109,19.4109,3862.8355690391,0
ECOW.US,D,20190626,000000,20.2543,20.2543,20.2543,20.2543,123.78147127307,0
ECOW.US,D,20190708,000000,20.3405,20.349,20.3405,20.349,1234.613467784,0
ECOW.US,D,20190722,000000,20.4315,20.4315,20.3977,20.3977,880.34236034731,0
ECOW.US,D,20190723,000000,20.4211,20.4211,20.4211,20.4211,297.71578004472,0
ECOW.US,D,20190725,000000,20.3649,20.3809,20.3246,20.3321,12610.770926769,0
ECOW.US,D,20190726,000000,20.3012,20.3012,20.2553,20.2627,6568.9546306643,0
ECOW.US,D,20190729,000000,20.2046,20.2543,20.1738,20.2533,8214.3945332771,0
ECOW.US,D,20190730,000000,20.139,20.139,20.1269,20.139,935.8306060904,0
ECOW.US,D,20190731,000000,20.155,20.1718,20.0088,20.0088,1730.8064345253,0
ECOW.US,D,20190801,000000,20.0013,20.0191,19.6264,19.6293,1734.007679472,0
ECOW.US,D,20190802,000000,19.5412,19.5412,19.3864,19.3864,866.47029891153,0
ECOW.US,D,20190805,000000,18.9986,18.9986,18.8139,18.8139,2063.7359089838,0
ECOW.US,D,20190806,000000,19.1353,19.1353,19.0801,19.0801,389.48480185063,0
ECOW.US,D,20190807,000000,18.8861,19.0548,18.8861,19.0548,1166.320242254,0
ECOW.US,D,20190808,000000,19.1588,19.1588,19.1588,19.1588,310.52075983159,0
ECOW.US,D,20190809,000000,18.9788,18.9827,18.9788,18.9827,492.99172179449,0
ECOW.US,D,20190812,000000,18.8308,18.8308,18.8308,18.8308,123.78147127307,0
ECOW.US,D,20190813,000000,18.7661,19.0632,18.7568,19.0239,2329.4392395614,0
ECOW.US,D,20190814,000000,18.6171,18.6171,18.5131,18.5131,868.60446220934,0
ECOW.US,D,20190815,000000,18.4887,18.4887,18.4887,18.4887,123.78147127307,0
ECOW.US,D,20190816,000000,18.6265,18.6424,18.6265,18.6424,492.99172179449,0
ECOW.US,D,20190819,000000,18.7661,18.7661,18.6434,18.6462,7915.6116715834,0
ECOW.US,D,20190820,000000,18.7661,18.7802,18.7568,18.7568,1742.5443326633,0
ECOW.US,D,20190822,000000,18.8139,18.8139,18.6761,18.6761,246.49586089725,0
ECOW.US,D,20190823,000000,18.6911,18.6911,18.4729,18.4729,364.94192392579,0
ECOW.US,D,20190826,000000,18.4981,18.4981,18.4316,18.4316,2577.0021821075,0
ECOW.US,D,20190827,000000,18.4175,18.4175,18.3922,18.3922,866.47029891153,0
ECOW.US,D,20190830,000000,18.8289,18.8289,18.7568,18.7568,36333.063063595,0
ECOW.US,D,20190903,000000,18.8449,18.8449,18.7615,18.797,55642.972582193,0
ECOW.US,D,20190905,000000,19.4362,19.4587,19.4362,19.4587,560.21786567556,0
ECOW.US,D,20190906,000000,19.5168,19.5168,19.5168,19.5168,123.78147127307,0
ECOW.US,D,20190909,000000,19.5571,19.5571,19.5571,19.5571,2102.1508483445,0
ECOW.US,D,20190910,000000,19.574,19.574,19.574,19.574,186.73928855852,0
ECOW.US,D,20190911,000000,19.7436,19.752,19.7267,19.752,2516.1785281199,0
ECOW.US,D,20190917,000000,19.9864,19.9864,19.9778,19.9778,3289.8127235767,0
ECOW.US,D,20190918,000000,19.827,19.827,19.8111,19.8111,716.01178641581,0
ECOW.US,D,20190919,000000,19.8073,19.8073,19.8073,19.8073,123.78147127307,0
ECOW.US,D,20190924,000000,19.7492,19.7492,19.5215,19.5215,544.21164094197,0
ECOW.US,D,20190926,000000,19.6452,19.6452,19.6452,19.6452,266.77041222645,0
ECOW.US,D,20190927,000000,19.5636,19.5636,19.439,19.439,1475.7739204367,0
ECOW.US,D,20190930,000000,19.5383,19.5383,19.5383,19.5383,122.71438962417,0
ECOW.US,D,20191001,000000,19.4315,19.4315,19.4015,19.4146,3532.0402578783,0
ECOW.US,D,20191002,000000,19.215,19.2609,19.1943,19.2609,2952.6149225224,0
ECOW.US,D,20191004,000000,19.4728,19.4728,19.4728,19.4728,611.43778482304,0
ECOW.US,D,20191007,000000,19.439,19.439,19.439,19.439,611.43778482304,0
ECOW.US,D,20191008,000000,19.3172,19.3172,19.3172,19.3172,465.24759892294,0
ECOW.US,D,20191009,000000,19.3087,19.3087,19.3087,19.3087,122.71438962417,0
ECOW.US,D,20191010,000000,19.4962,19.4962,19.4962,19.4962,122.71438962417,0
ECOW.US,D,20191011,000000,19.8326,19.8326,19.8326,19.8326,122.71438962417,0
ECOW.US,D,20191014,000000,19.6527,19.6527,19.6527,19.6527,122.71438962417,0
ECOW.US,D,20191017,000000,19.7755,19.7914,19.7755,19.7914,6851.7312676243,0
ECOW.US,D,20191028,000000,20.3883,20.3883,20.3883,20.3883,616.77319306756,0
ECOW.US,D,20191104,000000,20.7022,20.7022,20.7022,20.7022,122.71438962417,0
ECOW.US,D,20191106,000000,20.8626,20.8626,20.781,20.781,472.71717046528,0
ECOW.US,D,20191114,000000,20.4118,20.4118,20.4118,20.4118,1222.8755696461,0
ECOW.US,D,20191119,000000,20.5046,20.5101,20.4614,20.4614,35106.986249002,0
