<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
EDOC.US,D,20200731,000000,15.752,15.752,15.342,15.572,1018275,0
EDOC.US,D,20200803,000000,15.672,15.862,15.592,15.827,1713102,0
EDOC.US,D,20200804,000000,15.912,16.072,15.882,16.042,2304087,0
EDOC.US,D,20200805,000000,16.222,16.222,15.922,16.082,1763796,0
EDOC.US,D,20200806,000000,16.222,16.242,16.012,16.122,440881,0
EDOC.US,D,20200807,000000,16.072,16.192,15.822,15.952,602862,0
EDOC.US,D,20200810,000000,16.042,16.042,15.632,15.692,399928,0
EDOC.US,D,20200811,000000,15.692,15.692,15.392,15.422,353262,0
EDOC.US,D,20200812,000000,15.452,15.582,15.422,15.562,439374,0
EDOC.US,D,20200813,000000,15.602,15.852,15.594,15.752,190591,0
EDOC.US,D,20200814,000000,15.792,15.792,15.522,15.552,262105,0
EDOC.US,D,20200817,000000,15.622,15.832,15.622,15.832,314477,0
EDOC.US,D,20200818,000000,15.952,16.082,15.847,16.022,326534,0
EDOC.US,D,20200819,000000,16.092,16.232,15.992,16.112,310126,0
EDOC.US,D,20200820,000000,16.082,16.232,16.042,16.202,242006,0
EDOC.US,D,20200821,000000,16.172,16.202,16.102,16.202,569840,0
EDOC.US,D,20200824,000000,16.361,16.361,15.922,16.012,433121,0
EDOC.US,D,20200825,000000,15.962,15.992,15.792,15.962,204018,0
EDOC.US,D,20200826,000000,15.992,16.092,15.892,16.058,205724,0
EDOC.US,D,20200827,000000,16.122,16.142,15.862,16.127,250786,0
EDOC.US,D,20200828,000000,16.321,16.321,16.092,16.142,131734,0
EDOC.US,D,20200831,000000,16.192,16.292,16.092,16.292,819773,0
EDOC.US,D,20200901,000000,16.341,16.521,16.341,16.487,232173,0
EDOC.US,D,20200902,000000,16.681,16.876,16.432,16.871,261466,0
EDOC.US,D,20200903,000000,16.711,16.711,15.992,16.132,491211,0
EDOC.US,D,20200904,000000,16.052,16.082,15.242,15.782,235764,0
EDOC.US,D,20200908,000000,15.452,15.702,15.302,15.472,229764,0
EDOC.US,D,20200909,000000,15.692,15.992,15.692,15.968,149668,0
EDOC.US,D,20200910,000000,16.072,16.287,15.872,15.902,205429,0
