<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
EEMA.US,D,20120222,000000,45.9805,45.9805,45.9805,45.9805,297.8297248311,0
EEMA.US,D,20120223,000000,45.9137,48.3041,45.7382,46.0793,3033.4509010575,0
EEMA.US,D,20120224,000000,45.9217,45.9217,45.9217,45.9217,122.3408297286,0
EEMA.US,D,20120227,000000,44.5226,47.4893,44.5226,45.3972,2369.6014807269,0
EEMA.US,D,20120228,000000,45.6724,45.7701,45.6724,45.7701,1842.1320017331,0
EEMA.US,D,20120302,000000,46.3964,46.4233,46.3964,46.4233,1467.0871630569,0
EEMA.US,D,20120305,000000,45.831,45.831,45.831,45.831,434.2096661679,0
EEMA.US,D,20120307,000000,44.4468,44.4468,44.1626,44.4379,2162.0231876628,0
EEMA.US,D,20120309,000000,45.9486,45.9486,45.821,45.9058,29287.592402078,0
EEMA.US,D,20120312,000000,45.2576,45.2576,45.2576,45.2576,215.6006425545,0
EEMA.US,D,20120316,000000,45.9626,45.9626,45.9626,45.9626,478.3325883651,0
EEMA.US,D,20120319,000000,45.7053,45.7382,45.5956,45.5956,1254.4949015613,0
EEMA.US,D,20120320,000000,45.4291,45.4291,44.9554,44.9554,478.3325883651,0
EEMA.US,D,20120321,000000,45.1399,45.3643,45.114,45.3643,17185.878195809,0
EEMA.US,D,20120322,000000,44.7729,44.8218,44.7729,44.8218,870.4249197084,0
EEMA.US,D,20120323,000000,44.8218,44.8387,44.8218,44.8387,360.0029333817,0
EEMA.US,D,20120326,000000,45.1967,45.3553,45.1967,45.3553,360.0029333817,0
EEMA.US,D,20120410,000000,43.8545,43.8545,43.8545,43.8545,122.3408297286,0
EEMA.US,D,20120412,000000,45.3892,45.3892,45.3463,45.3463,318.8883922434,0
EEMA.US,D,20120416,000000,45.3463,45.3463,44.5725,44.5725,842.346696492,0
EEMA.US,D,20120418,000000,44.8647,45.0571,44.8387,44.8467,316740.40816735,0
EEMA.US,D,20120419,000000,44.6303,44.7959,44.6303,44.7959,556.5504958965,0
EEMA.US,D,20120420,000000,45.1658,46.6557,44.8726,44.8726,1444.022908272,0
EEMA.US,D,20120423,000000,43.9133,44.1895,43.8306,44.1058,4667.0018160402,0
EEMA.US,D,20120424,000000,44.3132,44.3132,44.2633,44.2633,899.5059366111,0
EEMA.US,D,20120425,000000,44.4718,44.6303,44.4718,44.6303,931.5953345727,0
EEMA.US,D,20120426,000000,44.9464,44.9464,44.9385,44.9385,459.2795083254,0
EEMA.US,D,20120427,000000,44.9055,44.9644,44.8218,44.9644,1778.9559994962,0
EEMA.US,D,20120430,000000,45.1469,45.1469,44.8567,44.8567,499.3912557774,0
EEMA.US,D,20120501,000000,45.4989,45.5138,45.464,45.464,875.4388881399,0
EEMA.US,D,20120502,000000,45.2207,45.2207,45.2207,45.2207,196.5475625148,0
EEMA.US,D,20120503,000000,45.3204,45.3892,45.0202,45.1878,5121.2673559341,0
EEMA.US,D,20120504,000000,44.8308,45.1788,44.4079,44.5495,4370.1748848954,0
EEMA.US,D,20120507,000000,44.4718,44.757,44.4079,44.757,4728.1722309045,0
EEMA.US,D,20120508,000000,43.7817,43.9373,43.7817,43.9373,1811.0453974578,0
EEMA.US,D,20120509,000000,43.297,43.297,42.9061,42.9061,3998.1384272781,0
EEMA.US,D,20120510,000000,43.313,43.323,43.1973,43.1973,1355.7770638776,0
EEMA.US,D,20120511,000000,42.9141,43.0418,42.7147,42.7147,1328.7016343475,0
EEMA.US,D,20120514,000000,41.9907,42.0884,41.9907,42.0884,1020.8439726534,0
EEMA.US,D,20120515,000000,41.9907,42.0056,41.8072,41.8072,749.0868836661,0
EEMA.US,D,20120516,000000,41.0224,41.0643,40.7073,40.7073,1605.4726917663,0
EEMA.US,D,20120517,000000,40.6813,40.816,40.5407,40.7073,2554.1155190061,0
EEMA.US,D,20120518,000000,40.4819,40.5896,39.8656,39.8656,3168.828048708,0
EEMA.US,D,20120521,000000,40.3403,40.7811,40.3403,40.7811,1464.078781998,0
