<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
EFAS.US,D,20161116,000000,11.8626,11.8626,11.8626,11.8626,250.15281786247,0
EFAS.US,D,20161117,000000,11.913,11.913,11.913,11.913,4050.0450147045,0
EFAS.US,D,20161118,000000,11.8023,11.8023,11.8023,11.8023,3005.8848721288,0
EFAS.US,D,20161121,000000,11.8694,11.8694,11.8694,11.8694,124.57002670884,0
EFAS.US,D,20161125,000000,12.0324,12.0324,12.0324,12.0324,1576.8742405339,0
EFAS.US,D,20161128,000000,11.9593,11.9593,11.9593,11.9593,660.32241800134,0
EFAS.US,D,20161129,000000,11.913,11.913,11.913,11.913,271.420871203,0
EFAS.US,D,20161205,000000,12.14,12.2161,12.14,12.2161,917.56458697732,0
EFAS.US,D,20161206,000000,12.3484,12.3484,12.3484,12.3484,199.5145956231,0
EFAS.US,D,20161208,000000,12.4787,12.4787,12.4787,12.4787,191.4124800648,0
EFAS.US,D,20161212,000000,12.5291,12.5291,12.5291,12.5291,431.4376534794,0
EFAS.US,D,20161213,000000,12.6456,12.6456,12.6456,12.6456,312.94421343928,0
EFAS.US,D,20161214,000000,12.613,12.6219,12.5548,12.5548,441.56529792727,0
EFAS.US,D,20170111,000000,12.7029,12.7256,12.7029,12.7256,424.34830236589,0
EFAS.US,D,20170123,000000,12.8292,12.8292,12.8154,12.8154,495.241813501,0
EFAS.US,D,20170125,000000,13.0376,13.0396,13.0376,13.0396,265.34428453428,0
EFAS.US,D,20170127,000000,12.9586,12.9586,12.9586,12.9586,121.53173337448,0
EFAS.US,D,20170130,000000,12.8233,12.8233,12.8233,12.8233,628.92672021293,0
EFAS.US,D,20170131,000000,12.8845,12.8845,12.8845,12.8845,494.22904905621,0
EFAS.US,D,20170203,000000,12.8667,12.8905,12.8667,12.8905,2449.8771919405,0
EFAS.US,D,20170206,000000,12.7197,12.7404,12.7197,12.7246,859.83701362444,0
EFAS.US,D,20170207,000000,12.7068,12.7246,12.7068,12.7246,1379.3851738003,0
EFAS.US,D,20170213,000000,13.0593,13.0593,12.9537,12.9537,1255.8279115363,0
EFAS.US,D,20170215,000000,12.9981,12.9981,12.9981,12.9981,1057.326080358,0
