<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
EMB.US,D,20071219,000000,63.8062,63.9257,63.8062,63.9257,75853.333899001,0
EMB.US,D,20071220,000000,63.983,63.983,63.9514,63.9514,2376.177344466,0
EMB.US,D,20071221,000000,64.0975,64.1252,63.8023,63.8774,37215.636900133,0
EMB.US,D,20071224,000000,63.9948,63.9948,63.9948,63.9948,104.32492177323,0
EMB.US,D,20071226,000000,63.9701,64.0383,63.9701,64.0383,644.18107036673,0
EMB.US,D,20071227,000000,63.9454,63.9454,63.8427,63.8922,2062.1897158281,0
EMB.US,D,20071228,000000,63.9119,63.9178,63.8922,63.9178,4591.3094213402,0
EMB.US,D,20071231,000000,64.0166,64.0333,64.0037,64.0037,2529.1197055122,0
EMB.US,D,20080102,000000,63.8774,64.1182,63.8774,64.0916,12031.80335674,0
EMB.US,D,20080103,000000,64.2683,64.2683,64.2071,64.2071,3642.2564921993,0
EMB.US,D,20080104,000000,64.2524,64.2524,64.1992,64.2407,2855.2616939682,0
EMB.US,D,20080107,000000,64.3236,64.3808,64.2209,64.3808,17414.159029583,0
EMB.US,D,20080108,000000,64.5606,64.5606,63.9376,64.5399,72361.994041211,0
EMB.US,D,20080109,000000,64.5546,64.5546,64.4895,64.4895,2216.1449401925,0
EMB.US,D,20080110,000000,64.4717,64.5487,64.4717,64.5487,461.86567309313,0
EMB.US,D,20080111,000000,64.4292,64.4588,64.3138,64.3138,2855.2616939682,0
EMB.US,D,20080114,000000,64.4776,64.5359,64.4776,64.5359,20747.492209736,0
EMB.US,D,20080115,000000,64.5803,64.6415,64.5803,64.6415,164844.51789821,0
EMB.US,D,20080116,000000,64.6296,64.7303,64.4825,64.7303,4905.2970499782,0
EMB.US,D,20080117,000000,64.7165,64.7165,64.603,64.6711,72361.994041211,0
EMB.US,D,20080118,000000,64.4539,64.7165,64.446,64.7096,6804.4157715782,0
EMB.US,D,20080122,000000,64.4164,64.4243,64.134,64.4015,9500.657924591,0
EMB.US,D,20080123,000000,64.441,64.5734,64.3532,64.4164,19001.315849182,0
EMB.US,D,20080124,000000,64.5862,64.5862,64.2634,64.4292,42592.928256386,0
EMB.US,D,20080125,000000,64.4539,64.5734,64.4539,64.5319,2216.1449401925,0
EMB.US,D,20080128,000000,64.4825,64.5042,64.4825,64.5042,3164.1850060152,0
EMB.US,D,20080129,000000,64.5546,64.5546,64.3947,64.3947,1894.0544050091,0
EMB.US,D,20080130,000000,64.3463,64.5921,64.3463,64.5921,3797.2245798819,0
EMB.US,D,20080131,000000,64.603,64.6266,64.5112,64.6109,953.10438241367,0
EMB.US,D,20080201,000000,64.5921,64.5921,64.14,64.3138,11565.886230373,0
EMB.US,D,20080204,000000,64.3384,64.3384,64.3384,64.3384,1747.189223872,0
EMB.US,D,20080205,000000,64.3788,64.3788,64.0975,64.1932,18371.314865271,0
EMB.US,D,20080206,000000,64.1932,64.2209,64.1932,64.2209,3010.2297816508,0
EMB.US,D,20080207,000000,64.1044,64.1044,63.8023,63.9948,17734.223838131,0
EMB.US,D,20080208,000000,63.669,63.745,63.5959,63.745,11565.886230373,0
EMB.US,D,20080211,000000,63.7905,63.7905,63.6206,63.7145,6804.4157715782,0
EMB.US,D,20080212,000000,63.6828,63.7322,63.5702,63.7322,5218.2718152978,0
EMB.US,D,20080213,000000,63.7085,63.8507,63.7085,63.8507,5064.3165909334,0
EMB.US,D,20080214,000000,63.8704,63.8704,63.7983,63.8427,5543.4009404357,0
EMB.US,D,20080215,000000,63.8062,63.9701,63.8062,63.9701,1434.2144585523,0
EMB.US,D,20080219,000000,63.669,63.669,63.4864,63.4864,3479.1854979712,0
EMB.US,D,20080221,000000,63.5535,63.5535,63.3451,63.4163,2529.1197055122,0
EMB.US,D,20080222,000000,63.6503,63.6503,63.6503,63.6503,2693.2035630583,0
EMB.US,D,20080225,000000,63.6956,63.7322,63.6956,63.7322,3327.2560002432,0
EMB.US,D,20080226,000000,63.6898,63.7983,63.6898,63.7905,1747.189223872,0
EMB.US,D,20080227,000000,63.8842,63.9514,63.8842,63.9178,32618.250298884,0
EMB.US,D,20080228,000000,63.8507,63.8576,63.8507,63.8576,344245.90740538,0
EMB.US,D,20080229,000000,64.0264,64.0491,63.9573,64.0432,4756.4061422047,0
EMB.US,D,20080303,000000,63.819,63.819,63.6137,63.7905,5543.4009404357,0
EMB.US,D,20080304,000000,63.6305,63.7905,63.5811,63.7085,6492.4538695766,0
EMB.US,D,20080305,000000,63.7805,63.7983,63.7203,63.7983,5381.3428095259,0
EMB.US,D,20080306,000000,63.8023,63.8023,63.7035,63.7035,1434.2144585523,0
EMB.US,D,20080307,000000,63.6561,63.6561,63.5959,63.6374,5696.3433014819,0
EMB.US,D,20080310,000000,63.6561,63.6561,63.6443,63.6443,2062.1897158281,0
EMB.US,D,20080311,000000,63.5881,63.5881,63.4972,63.5881,2376.177344466,0
EMB.US,D,20080312,000000,63.669,63.669,63.6206,63.6206,8707.5859464509,0
EMB.US,D,20080313,000000,63.6443,63.6749,63.3985,63.4657,9500.657924591,0
EMB.US,D,20080314,000000,63.6749,63.745,63.5881,63.745,11091.866197463,0
EMB.US,D,20080317,000000,63.5317,63.6137,63.4864,63.6137,1119.2139665963,0
EMB.US,D,20080318,000000,63.5051,63.9306,63.4864,63.9306,10461.865213549,0
EMB.US,D,20080319,000000,63.9771,64.0037,63.7905,64.0037,3327.2560002432,0
EMB.US,D,20080320,000000,63.7253,63.9948,63.7253,63.9948,3327.2560002432,0
EMB.US,D,20080324,000000,63.983,64.0037,63.7747,64.0037,6804.4157715782,0
EMB.US,D,20080325,000000,63.8427,64.0264,63.8427,63.8774,8554.6435854047,0
EMB.US,D,20080326,000000,63.9879,64.0037,63.9119,64.0037,11710.725684874,0
EMB.US,D,20080327,000000,63.7983,63.983,63.7983,63.983,3479.1854979712,0
EMB.US,D,20080328,000000,63.9257,63.9257,63.6631,63.8576,6176.4405143024,0
EMB.US,D,20080331,000000,63.8971,63.8971,63.8309,63.8369,3642.2564921993,0
