<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
EMCB.US,D,20120313,000000,50.7936,50.7936,50.7092,50.7786,87867.845519229,0
EMCB.US,D,20120314,000000,50.7648,50.8104,50.7479,50.7479,268858.95188178,0
EMCB.US,D,20120315,000000,50.6397,50.6446,50.6168,50.6307,25476.529545795,0
EMCB.US,D,20120316,000000,50.6218,50.7032,50.6218,50.7032,18645.194508693,0
EMCB.US,D,20120319,000000,50.7032,50.8264,50.7032,50.7142,15712.876167296,0
EMCB.US,D,20120320,000000,50.6566,50.6655,50.6446,50.6516,18953.329609128,0
EMCB.US,D,20120321,000000,50.6516,50.7231,50.6168,50.6734,4071.2098400651,0
EMCB.US,D,20120322,000000,50.6168,50.6307,50.5989,50.6307,9421.281044682,0
EMCB.US,D,20120323,000000,50.5989,50.5989,50.5513,50.5851,7782.9287296224,0
EMCB.US,D,20120326,000000,50.5642,50.6099,50.5513,50.5851,38141.284964666,0
EMCB.US,D,20120327,000000,50.5851,50.6168,50.5791,50.6059,14095.670378737,0
EMCB.US,D,20120328,000000,50.6099,50.734,50.5851,50.7231,28062.447643566,0
EMCB.US,D,20120329,000000,50.5989,50.5989,50.5305,50.5721,14267.863523098,0
EMCB.US,D,20120330,000000,50.6049,50.6049,50.5215,50.5215,7442.5703507102,0
EMCB.US,D,20120402,000000,50.5851,50.5851,50.4589,50.5305,10294.330495916,0
EMCB.US,D,20120403,000000,50.5463,50.5741,50.5195,50.5334,10000.293079814,0
EMCB.US,D,20120404,000000,50.5463,50.5463,50.4321,50.4321,15448.041097313,0
EMCB.US,D,20120405,000000,50.449,50.4549,50.4113,50.4113,2612.0995115332,0
EMCB.US,D,20120409,000000,50.5513,50.5513,50.3825,50.4529,47661.249799684,0
EMCB.US,D,20120410,000000,50.6397,50.6397,50.2802,50.2802,5902.9018259861,0
EMCB.US,D,20120411,000000,50.5513,50.5513,50.2266,50.2802,13577.076990749,0
EMCB.US,D,20120412,000000,50.3368,50.3557,50.3368,50.3557,4335.0379325947,0
EMCB.US,D,20120413,000000,50.4271,50.4271,50.3835,50.3835,3245.4883290947,0
EMCB.US,D,20120416,000000,50.4371,50.4371,50.4083,50.4291,10757.540124021,0
EMCB.US,D,20120417,000000,50.4867,50.4867,50.4559,50.4867,10202.695547746,0
EMCB.US,D,20120418,000000,50.4768,50.593,50.4768,50.5513,4980.510479585,0
