<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
EMIF.US,D,20090619,000000,18.1938,18.1938,17.7794,17.8435,11229.339130772,0
EMIF.US,D,20090622,000000,17.6925,17.6925,17.2525,17.3985,6055.5326088775,0
EMIF.US,D,20090623,000000,17.2465,17.3906,17.2465,17.3403,14398.485652606,0
EMIF.US,D,20090624,000000,17.5682,17.8139,17.5682,17.7113,12183.022174279,0
EMIF.US,D,20090625,000000,17.6126,17.807,17.5968,17.7942,31363.098261811,0
EMIF.US,D,20090626,000000,17.9451,18.1148,17.9451,18.1148,8026.747826328,0
EMIF.US,D,20090629,000000,18.0783,18.1296,18.026,18.1296,4138.0317392547,0
EMIF.US,D,20090630,000000,18.4967,18.6753,18.0931,18.0931,7481.4965219638,0
EMIF.US,D,20090701,000000,18.2007,18.4138,18.1938,18.3191,23273.514783308,0
EMIF.US,D,20090702,000000,18.2974,18.2974,17.7873,17.8218,12323.895652544,0
EMIF.US,D,20090706,000000,17.7577,17.7577,17.6481,17.6975,2035.0643478872,0
EMIF.US,D,20090707,000000,17.7281,17.7281,17.4646,17.5011,2703.9600000812,0
EMIF.US,D,20090708,000000,17.4646,17.4646,16.8233,16.9239,5748.4486958248,0
EMIF.US,D,20090709,000000,19.0335,19.0335,17.2327,17.3403,1723.9265217909,0
EMIF.US,D,20090710,000000,16.7492,17.2732,16.7492,17.2732,2055.3339131052,0
EMIF.US,D,20090713,000000,17.1508,17.4794,17.0995,17.4133,2205.3286957184,0
EMIF.US,D,20090714,000000,17.5465,17.6245,17.5465,17.6175,3021.1786957429,0
EMIF.US,D,20090715,000000,19.0335,19.0335,18.0063,18.3714,3304.9526087949,0
EMIF.US,D,20090716,000000,18.4967,18.6842,18.4878,18.5668,3664.7373914144,0
EMIF.US,D,20090717,000000,19.0266,19.0266,18.5973,18.6694,4269.7839131717,0
EMIF.US,D,20090720,000000,17.4735,19.2673,17.4735,19.2673,6896.7195654245,0
EMIF.US,D,20090721,000000,19.3995,19.3995,19.0937,19.1805,8229.443478508,0
EMIF.US,D,20090722,000000,19.1805,19.2673,19.145,19.2318,6734.5630436805,0
EMIF.US,D,20090723,000000,18.9249,20.1534,18.9249,20.1287,25894.369565995,0
EMIF.US,D,20090724,000000,19.8366,19.8366,19.4637,19.5021,11248.595217729,0
EMIF.US,D,20090727,000000,20.0448,20.0448,19.7064,19.8801,4208.9752175177,0
EMIF.US,D,20090728,000000,19.9679,19.9679,19.7222,19.8613,11162.449565553,0
EMIF.US,D,20090729,000000,19.663,19.663,19.4143,19.4143,1173.6078261222,0
EMIF.US,D,20090730,000000,19.6028,19.8021,19.4637,19.5535,14513.008696088,0
EMIF.US,D,20090731,000000,20.1169,20.1169,19.7222,19.7222,9448.6578263707,0
