<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
EMXC.US,D,20170726,000000,46.9539,47.0598,46.9539,47.0222,1217.7154285542,0
EMXC.US,D,20170728,000000,46.8004,46.8004,46.8004,46.8004,157.5154285692,0
EMXC.US,D,20170731,000000,46.7073,46.7073,46.7073,46.7073,270.6034285676,0
EMXC.US,D,20170802,000000,46.939,47.1104,46.939,47.1104,1212.6668571257,0
EMXC.US,D,20170803,000000,46.7538,46.7538,46.7538,46.7538,109.0491428556,0
EMXC.US,D,20170804,000000,46.8836,46.939,46.8836,46.939,4591.1708570779,0
EMXC.US,D,20170809,000000,46.4874,46.4874,46.4874,46.4874,325.1279999954,0
EMXC.US,D,20170814,000000,46.2042,46.2804,46.2042,46.2804,379.6525714232,0
EMXC.US,D,20170816,000000,46.5042,46.5042,46.5042,46.5042,109.0491428556,0
EMXC.US,D,20170818,000000,46.3111,46.4211,46.3111,46.3656,6300.617142768,0
EMXC.US,D,20170823,000000,47.1609,47.1609,47.1609,47.1609,433.1674285653,0
EMXC.US,D,20170824,000000,47.2797,47.3916,47.2797,47.3916,757.285714275,0
EMXC.US,D,20170825,000000,47.5877,47.5877,47.5877,47.5877,216.0788571398,0
EMXC.US,D,20170830,000000,47.454,47.454,47.454,47.454,195.8845714258,0
EMXC.US,D,20170901,000000,47.8145,47.8888,47.8145,47.8621,978.4131428433,0
EMXC.US,D,20170906,000000,47.4273,47.5659,47.4273,47.5659,1730.6502856898,0
EMXC.US,D,20170908,000000,47.7125,47.7214,47.6947,47.6947,1678.1451428334,0
EMXC.US,D,20170911,000000,48.1116,48.1116,48.1017,48.1017,541.2068571352,0
EMXC.US,D,20170913,000000,47.8621,47.8621,47.7125,47.7412,1926.5348571156,0
EMXC.US,D,20170914,000000,47.8541,47.8541,47.8541,47.8541,541.2068571352,0
EMXC.US,D,20170915,000000,48.0007,48.174,48.0007,48.174,541.2068571352,0
EMXC.US,D,20170918,000000,48.4068,48.4068,48.3147,48.3147,3138.1919999556,0
EMXC.US,D,20170922,000000,47.8987,47.8987,47.864,47.864,270.6034285676,0
EMXC.US,D,20170925,000000,47.6026,47.6026,47.3827,47.3827,3230.0759999543,0
EMXC.US,D,20170926,000000,47.1054,47.1153,47.1054,47.1054,2380.9062856806,0
EMXC.US,D,20170927,000000,46.8568,46.8568,46.6627,46.6627,2708.0537142474,0
EMXC.US,D,20170928,000000,46.5785,46.6815,46.5785,46.6815,1068.2777142706,0
EMXC.US,D,20170929,000000,47.0133,47.1411,47.0133,47.1411,526.0611428497,0
EMXC.US,D,20171003,000000,47.3738,47.3827,47.352,47.3827,3281.571428525,0
EMXC.US,D,20171004,000000,47.6858,47.6858,47.6858,47.6858,214.0594285684,0
EMXC.US,D,20171006,000000,47.557,47.6769,47.557,47.6769,285.7491428531,0
EMXC.US,D,20171009,000000,47.5471,47.5471,47.5471,47.5471,247.3799999965,0
EMXC.US,D,20171010,000000,48.0928,48.1205,48.0641,48.0641,1770.0291428321,0
EMXC.US,D,20171013,000000,49.1555,49.1555,49.0901,49.0901,1479.2314285505,0
EMXC.US,D,20171016,000000,49.1713,49.1723,49.1347,49.1367,2336.4788571098,0
EMXC.US,D,20171017,000000,48.7078,48.795,48.7078,48.795,397.8274285658,0
EMXC.US,D,20171019,000000,48.4345,48.5187,48.4345,48.5187,604.8188571343,0
EMXC.US,D,20171020,000000,48.6296,48.6296,48.6019,48.6019,433.1674285653,0
EMXC.US,D,20171026,000000,48.0473,48.1572,48.0473,48.1572,3096.7937142419,0
EMXC.US,D,20171030,000000,48.3335,48.3335,48.3335,48.3335,295.8462857101,0
EMXC.US,D,20171031,000000,48.694,48.694,48.694,48.694,577.5565714204,0
EMXC.US,D,20171101,000000,49.1634,49.1723,49.099,49.099,555.342857135,0
EMXC.US,D,20171103,000000,48.5444,48.5444,48.5444,48.5444,163.5737142834,0
EMXC.US,D,20171106,000000,49.1921,49.1921,49.1921,49.1921,190.8359999973,0
EMXC.US,D,20171107,000000,48.8128,48.8128,48.6296,48.6296,723.9651428469,0
EMXC.US,D,20171108,000000,48.8604,48.895,48.8604,48.895,730.0234285611,0
EMXC.US,D,20171109,000000,48.5543,48.5543,48.5543,48.5543,949.131428558,0
EMXC.US,D,20171114,000000,47.8541,47.8541,47.8541,47.8541,541.2068571352,0
EMXC.US,D,20171120,000000,48.8643,48.8683,48.8643,48.8683,2759.5491428181,0
EMXC.US,D,20171121,000000,49.2932,49.2932,49.2932,49.2932,297.8657142815,0
EMXC.US,D,20171122,000000,49.515,49.515,49.515,49.515,325.1279999954,0
EMXC.US,D,20171124,000000,49.4784,49.4784,49.4784,49.4784,325.1279999954,0
EMXC.US,D,20171127,000000,49.1634,49.1634,48.998,48.998,839.0725714167,0
EMXC.US,D,20171128,000000,49.3853,49.3853,49.2832,49.3308,1065.2485714135,0
EMXC.US,D,20171129,000000,49.0158,49.0158,48.896,48.896,541.2068571352,0
EMXC.US,D,20171130,000000,48.5831,48.6553,48.5731,48.6454,31483.901142412,0
EMXC.US,D,20171204,000000,48.5741,48.5741,48.4424,48.4424,541.2068571352,0
EMXC.US,D,20171206,000000,47.7789,47.8888,47.6947,47.8343,1414.6097142657,0
EMXC.US,D,20171207,000000,47.4728,47.8987,47.4728,47.7878,4181.2268570837,0
EMXC.US,D,20171208,000000,48.1116,48.1572,48.1116,48.1205,670.4502857048,0
EMXC.US,D,20171212,000000,47.9353,47.9452,47.9076,47.9076,633.0908571339,0
EMXC.US,D,20171213,000000,48.4523,48.4523,48.4523,48.4523,323.108571424,0
EMXC.US,D,20171214,000000,48.3879,48.3879,48.3879,48.3879,496.7794285644,0
EMXC.US,D,20171215,000000,48.3057,48.5088,48.3057,48.381,3957.0702856583,0
EMXC.US,D,20171218,000000,48.8604,49.0901,48.8604,49.0901,1061.2097142707,0
EMXC.US,D,20171219,000000,48.9336,48.9336,48.7574,48.7574,2022.4577142571,0
EMXC.US,D,20171221,000000,49.0376,49.0376,49.0376,49.0376,324.1182857097,0
EMXC.US,D,20171222,000000,49.1595,49.2426,49.1495,49.2426,977.4034285576,0
EMXC.US,D,20171226,000000,49.2525,49.2714,49.2525,49.2714,368.5457142805,0
EMXC.US,D,20171227,000000,49.5021,49.5507,49.5021,49.5031,2060.8268571137,0
EMXC.US,D,20171228,000000,50.0449,50.0449,49.9617,49.9617,784.5479999889,0
EMXC.US,D,20171229,000000,50.3202,50.3439,50.2835,50.3162,7173.0102856128,0
EMXC.US,D,20180102,000000,50.8857,50.8857,50.7371,50.8471,1142.9965714124,0
EMXC.US,D,20180103,000000,51.2511,51.3323,51.2511,51.3323,553.3234285636,0
EMXC.US,D,20180104,000000,51.4561,51.5106,51.3799,51.3799,3193.7262856691,0
EMXC.US,D,20180105,000000,51.8176,51.8741,51.8176,51.8741,506.8765714214,0
EMXC.US,D,20180108,000000,51.781,51.8612,51.781,51.8612,1228.8222856969,0
EMXC.US,D,20180109,000000,51.7622,51.7711,51.5928,51.7077,9207.5845712983,0
EMXC.US,D,20180110,000000,51.2501,51.2947,51.2501,51.2947,690.6445714188,0
EMXC.US,D,20180111,000000,51.4651,51.68,51.4651,51.6512,482.6434285646,0
EMXC.US,D,20180112,000000,51.7988,51.99,51.7988,51.99,375.6137142804,0
EMXC.US,D,20180116,000000,52.289,52.289,52.192,52.192,2633.3348571056,0
EMXC.US,D,20180117,000000,52.8219,52.8219,52.7882,52.7892,2022.4577142571,0
EMXC.US,D,20180118,000000,52.7763,52.7763,52.7763,52.7763,143.3794285694,0
EMXC.US,D,20180119,000000,52.8823,52.8971,52.8674,52.8971,1647.8537142624,0
EMXC.US,D,20180123,000000,53.1338,53.3795,53.1338,53.3052,9068.2439998717,0
EMXC.US,D,20180124,000000,53.8796,53.8796,53.6191,53.6469,3199.7845713833,0
EMXC.US,D,20180125,000000,54.254,54.5699,54.1222,54.1638,6298.5977141966,0
EMXC.US,D,20180126,000000,54.2441,54.5233,54.1916,54.4996,13386.791999811,0
EMXC.US,D,20180129,000000,53.9727,54.039,53.8885,53.9727,7473.9051427514,0
EMXC.US,D,20180130,000000,53.3389,53.4042,53.0814,53.0814,1903.3114285445,0
EMXC.US,D,20180131,000000,53.8241,53.8241,53.5072,53.5201,1070.297142842,0
EMXC.US,D,20180201,000000,53.3022,53.3022,53.2923,53.3022,1146.0257142695,0
EMXC.US,D,20180202,000000,52.2425,52.2425,52.0424,52.0424,615.925714277,0
EMXC.US,D,20180205,000000,50.9431,50.9431,50.9431,50.9431,3423.9411428087,0
EMXC.US,D,20180206,000000,50.0924,51.2868,50.0924,51.2769,2403.119999966,0
EMXC.US,D,20180207,000000,51.3234,51.3234,51.2501,51.2501,439.2257142795,0
EMXC.US,D,20180208,000000,50.1677,50.1677,49.513,49.513,1492.3577142646,0
EMXC.US,D,20180209,000000,48.7346,48.7346,48.7346,48.7346,945.0925714152,0
EMXC.US,D,20180212,000000,50.4559,50.755,50.4083,50.6331,5168.7274284983,0
EMXC.US,D,20180213,000000,50.8391,50.856,50.8391,50.856,1104.6274285558,0
EMXC.US,D,20180214,000000,51.8771,51.8771,51.781,51.7998,33878.943428092,0
EMXC.US,D,20180215,000000,52.5178,52.5267,52.5178,52.5267,108.0394285699,0
EMXC.US,D,20180216,000000,52.2019,52.2019,52.2019,52.2019,214.0594285684,0
EMXC.US,D,20180220,000000,51.2779,51.2779,51.2779,51.2779,310.9919999956,0
EMXC.US,D,20180221,000000,51.9484,51.9484,51.9484,51.9484,288.7782857102,0
EMXC.US,D,20180223,000000,52.1831,52.3881,52.1831,52.3881,2305.1777142531,0
