<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
EMXF.US,D,20201014,000000,35.5221,35.5221,35.4505,35.4505,398.1616844436,0
EMXF.US,D,20201016,000000,35.2983,35.2983,35.2983,35.2983,113.6168442983,0
EMXF.US,D,20201019,000000,35.4157,35.4157,35.4157,35.4157,161.8788666551,0
EMXF.US,D,20201023,000000,35.9985,35.9985,35.9985,35.9985,380.0634260598,0
EMXF.US,D,20201026,000000,35.6494,35.6494,35.548,35.548,1468.9753054851,0
EMXF.US,D,20201027,000000,35.7071,35.7071,35.6593,35.6593,194.0535482263,0
EMXF.US,D,20201028,000000,35.1332,35.1332,34.8706,34.8706,1925.4536002765,0
EMXF.US,D,20201029,000000,35.1332,35.2416,35.1034,35.2416,1132.1466077866,0
EMXF.US,D,20201102,000000,35.2983,35.357,35.2983,35.357,702.8157005709,0
EMXF.US,D,20201104,000000,36.8349,36.8349,36.8349,36.8349,143.7806082713,0
EMXF.US,D,20201105,000000,37.3889,37.3889,37.3889,37.3889,275.4957109534,0
EMXF.US,D,20201106,000000,37.4088,37.7042,37.4088,37.7042,629.4172082366,0
EMXF.US,D,20201110,000000,38.0224,38.0224,37.6913,37.6913,3248.6373798921,0
EMXF.US,D,20201111,000000,37.7211,37.7211,37.7211,37.7211,1092.9337146217,0
EMXF.US,D,20201112,000000,37.8166,37.9538,37.8166,37.9051,3822.7543541782,0
EMXF.US,D,20201113,000000,38.0413,38.111,38.0294,38.111,559.0350922996,0
EMXF.US,D,20201118,000000,38.9076,38.9076,38.5177,38.5177,3600.5479595771,0
EMXF.US,D,20201119,000000,38.4302,38.5138,38.4302,38.5138,762.1377697178,0
EMXF.US,D,20201123,000000,38.9752,39.0319,38.9663,39.0319,1649.9578893231,0
EMXF.US,D,20201124,000000,39.394,39.5302,39.394,39.5143,3103.8513128217,0
EMXF.US,D,20201125,000000,39.1016,39.1016,38.9464,39.014,1304.0800624327,0
EMXF.US,D,20201130,000000,38.9265,38.9265,38.5068,38.5068,4011.780608409,0
EMXF.US,D,20201201,000000,39.0817,39.394,39.0717,39.394,968.2568235333,0
EMXF.US,D,20201202,000000,38.9842,39.3064,38.9842,39.3064,1095.950091019,0
EMXF.US,D,20201203,000000,39.5591,39.569,39.5591,39.569,221.200935802,0
EMXF.US,D,20201207,000000,40.0941,40.0941,40.0941,40.0941,301.63763973,0
EMXF.US,D,20201208,000000,40.0255,40.0255,40.0255,40.0255,813.4161684719,0
EMXF.US,D,20201209,000000,40.2304,40.2304,39.8206,39.8962,413.2435664301,0
EMXF.US,D,20201210,000000,39.7729,40.2195,39.7729,40.2195,281.528463748,0
EMXF.US,D,20201211,000000,40.0255,40.0255,40.0255,40.0255,500.7184819518,0
EMXF.US,D,20201214,000000,39.9768,39.9768,39.9768,39.9768,943.1203535558,0
EMXF.US,D,20201215,000000,40.0066,40.0066,40.0066,40.0066,293.5939693372,0
EMXF.US,D,20201216,000000,40.3965,40.3965,40.0941,40.3477,506.7512347464,0
EMXF.US,D,20201217,000000,40.6312,40.6312,40.6312,40.6312,487.6475175635,0
EMXF.US,D,20201218,000000,40.5138,40.5138,40.2314,40.4363,2366.8500130814,0
EMXF.US,D,20201221,000000,39.752,40.2214,39.7431,40.0623,1978.7429166288,0
EMXF.US,D,20201222,000000,39.9867,39.9867,39.7132,39.9181,1515.2264102437,0
EMXF.US,D,20201223,000000,40.1628,40.309,40.1628,40.2204,3469.8383156941,0
EMXF.US,D,20201224,000000,40.113,40.113,39.8883,39.9698,939.0985183594,0
EMXF.US,D,20201229,000000,40.3676,40.5815,40.2901,40.5536,6091.0694049478,0
EMXF.US,D,20201230,000000,41.0121,41.0121,41.0121,41.0121,470.5547179788,0
EMXF.US,D,20201231,000000,40.9336,40.9932,40.9047,40.9873,3507.0402912608,0
EMXF.US,D,20210104,000000,41.5502,41.5701,41.3533,41.3533,732.9794645439,0
EMXF.US,D,20210105,000000,41.5104,42.0564,41.5104,42.0027,669.6355602006,0
EMXF.US,D,20210106,000000,42.0186,42.1748,41.9102,41.9102,3634.7335587465,0
EMXF.US,D,20210107,000000,42.2384,42.2901,42.2384,42.2901,315.7140629174,0
EMXF.US,D,20210108,000000,43.2489,43.2887,42.9754,42.9754,2820.3119314755,0
EMXF.US,D,20210111,000000,42.7506,42.9366,42.7506,42.8839,1781.6729920052,0
EMXF.US,D,20210112,000000,42.9068,43.1972,42.9068,43.1972,1027.5788926802,0
EMXF.US,D,20210113,000000,43.2688,43.5125,43.1902,43.3146,1824.9077203665,0
EMXF.US,D,20210114,000000,43.6388,43.8437,43.6388,43.776,1807.8149207818,0
EMXF.US,D,20210115,000000,43.1505,43.1505,43.0281,43.0281,2249.2113335867,0
EMXF.US,D,20210119,000000,44.0406,44.0406,43.7731,43.7731,1716.3181700637,0
EMXF.US,D,20210120,000000,44.509,44.6453,44.509,44.6324,931.0548479666,0
EMXF.US,D,20210121,000000,44.8502,44.8502,44.519,44.7527,1789.716662398,0
EMXF.US,D,20210122,000000,44.147,44.4991,44.0983,44.4991,1432.7787887175,0
EMXF.US,D,20210125,000000,44.9089,44.9089,44.4404,44.6572,8116.0634263352,0
EMXF.US,D,20210126,000000,44.3042,44.324,44.2256,44.324,2383.9428126661,0
EMXF.US,D,20210127,000000,43.3951,43.6099,43.1803,43.2101,6615.918898078,0
