<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ENZL.US,D,20100908,000000,18.7302,18.8735,18.7223,18.7974,322362.08584436,0
ENZL.US,D,20100909,000000,18.9921,18.9921,18.7489,18.826,177245.73313109,0
ENZL.US,D,20100910,000000,18.9022,18.9022,18.8043,18.8735,30174.910551082,0
ENZL.US,D,20100913,000000,19.1582,19.1799,19.0129,19.1671,330581.58256649,0
ENZL.US,D,20100914,000000,19.084,19.4162,19.0475,19.3183,105526.1983477,0
ENZL.US,D,20100915,000000,19.1236,19.1305,18.998,19.0989,170899.77584642,0
ENZL.US,D,20100916,000000,18.9289,18.9289,18.7924,18.8666,178569.95727992,0
ENZL.US,D,20100917,000000,18.9368,18.9852,18.9081,18.9575,14517.907379596,0
ENZL.US,D,20100920,000000,19.1987,19.3124,19.0989,19.2719,170784.44998472,0
ENZL.US,D,20100921,000000,19.2719,19.4923,19.1928,19.3539,225867.72340253,0
ENZL.US,D,20100922,000000,19.3381,19.5902,19.3183,19.428,89993.625711202,0
ENZL.US,D,20100923,000000,19.0989,19.2778,19.084,19.1038,97340.085427642,0
ENZL.US,D,20100924,000000,19.2906,19.3381,19.2719,19.3252,18720.219919129,0
ENZL.US,D,20100927,000000,19.5526,19.5526,19.2906,19.3608,12655.495876158,0
ENZL.US,D,20100928,000000,19.2906,19.5061,19.2234,19.5002,13570.009726841,0
ENZL.US,D,20100929,000000,19.2906,19.347,19.2551,19.2956,11234.155212209,0
ENZL.US,D,20100930,000000,19.2234,19.2234,18.8419,18.9289,37427.288643503,0
ENZL.US,D,20101001,000000,19.4014,20.5757,19.3806,19.5813,41270.472403177,0
ENZL.US,D,20101004,000000,19.5467,19.5743,19.3183,19.3806,29101.570732969,0
ENZL.US,D,20101005,000000,19.8037,19.8452,19.5902,19.8116,29576.025374529,0
ENZL.US,D,20101006,000000,19.9747,19.9747,19.1236,19.8037,43030.709239669,0
ENZL.US,D,20101007,000000,19.9371,19.9371,19.5467,19.6505,29046.942693215,0
ENZL.US,D,20101008,000000,19.7048,19.8679,19.6722,19.8521,36497.600337332,0
ENZL.US,D,20101011,000000,19.9144,19.9144,19.7276,19.7355,24090.965531161,0
ENZL.US,D,20101012,000000,19.7276,19.9144,19.7206,19.9144,22487.531401368,0
ENZL.US,D,20101013,000000,20.0202,20.207,19.9836,20.1091,18911.418058265,0
ENZL.US,D,20101014,000000,20.1585,20.1635,20.0043,20.0735,99836.789170436,0
ENZL.US,D,20101015,000000,20.0884,20.0884,19.9015,19.9925,28677.697609698,0
ENZL.US,D,20101018,000000,20.0676,20.2841,20.0676,20.2416,17117.797419702,0
ENZL.US,D,20101019,000000,19.6949,19.7137,19.5002,19.5002,21587.180375806,0
ENZL.US,D,20101020,000000,19.5338,19.9638,19.5338,19.8946,32552.241910712,0
ENZL.US,D,20101021,000000,19.8333,20.0123,19.6317,19.7355,30389.376188632,0
ENZL.US,D,20101022,000000,20.0202,20.0202,19.8452,19.8867,3813.846479066,0
ENZL.US,D,20101025,000000,20.1635,20.3394,20.1437,20.1704,42318.521462146,0
ENZL.US,D,20101026,000000,19.8452,19.8867,19.776,19.86,32925.533515693,0
ENZL.US,D,20101027,000000,19.7276,19.7276,19.5397,19.6722,15419.270035524,0
ENZL.US,D,20101028,000000,20.0538,20.0884,19.9984,20.0281,51994.765911023,0
ENZL.US,D,20101029,000000,20.3731,20.4422,20.3325,20.4067,23226.021568402,0
ENZL.US,D,20101101,000000,20.5826,20.5826,20.2772,20.2772,8520.9625711334,0
ENZL.US,D,20101102,000000,20.7685,20.8386,20.7536,20.7892,14842.640727018,0
ENZL.US,D,20101103,000000,20.8881,21.0265,20.7605,21.0185,43108.604777835,0
ENZL.US,D,20101104,000000,21.6492,21.6492,21.5593,21.6146,30027.212517676,0
ENZL.US,D,20101105,000000,21.4288,21.4911,21.2469,21.4752,27484.98540842,0
ENZL.US,D,20101108,000000,21.1154,21.1777,20.9553,21.1372,52667.50010428,0
ENZL.US,D,20101109,000000,21.3853,21.3853,20.7536,20.7536,42210.277013005,0
ENZL.US,D,20101110,000000,21.1994,21.2548,20.9484,21.2548,30394.434340461,0
ENZL.US,D,20101111,000000,21.0729,21.0729,20.9019,20.977,101051.75723976,0
ENZL.US,D,20101112,000000,20.8525,20.9118,20.6034,20.7487,24854.74645734,0
ENZL.US,D,20101115,000000,21.0403,21.0808,20.8238,20.8574,35363.562697271,0
ENZL.US,D,20101116,000000,20.7141,20.7141,20.3889,20.4897,54642.202578321,0
ENZL.US,D,20101117,000000,20.4848,20.5935,20.4502,20.4986,33945.256924419,0
ENZL.US,D,20101118,000000,20.7339,20.8149,20.7082,20.809,11531.574539754,0
ENZL.US,D,20101119,000000,20.5599,20.6933,20.4848,20.6933,14784.977796167,0
ENZL.US,D,20101122,000000,20.5381,20.6864,20.4422,20.6864,18320.625924638,0
ENZL.US,D,20101123,000000,20.207,20.2198,19.9015,19.9223,38743.419749408,0
ENZL.US,D,20101124,000000,20.1289,20.3938,20.0824,20.3325,52581.511523187,0
ENZL.US,D,20101126,000000,19.9075,19.9223,19.8333,19.8333,26362.075702382,0
ENZL.US,D,20101129,000000,19.776,19.9015,19.6228,19.9015,18664.58024901,0
ENZL.US,D,20101130,000000,19.6317,19.8116,19.6317,19.7276,10447.106787617,0
ENZL.US,D,20101201,000000,19.8946,20.0676,19.8452,20.0538,12494.646647996,0
ENZL.US,D,20101202,000000,19.8333,20.2337,19.8333,20.207,18591.742862672,0
ENZL.US,D,20101203,000000,20.1585,20.4699,20.1585,20.4146,25402.038485238,0
ENZL.US,D,20101206,000000,20.296,20.3464,20.2505,20.3464,13177.497144911,0
