<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
EQRR.US,D,20170726,000000,36.1378,36.1467,35.9416,35.9584,2935.1235472598,0
EQRR.US,D,20170727,000000,35.9062,35.9062,35.7002,35.7101,867.44923363538,0
EQRR.US,D,20170728,000000,35.7908,35.8008,35.7908,35.8008,674.68273727196,0
EQRR.US,D,20170731,000000,35.9062,36.0077,35.9062,36.0077,1025.7206727548,0
EQRR.US,D,20170801,000000,35.924,35.924,35.7347,35.8086,2962.5166809536,0
EQRR.US,D,20170802,000000,35.7731,35.7731,35.7731,35.7731,1145.4388126016,0
EQRR.US,D,20170809,000000,35.4922,35.4922,35.4399,35.4399,480.90168040137,0
EQRR.US,D,20170810,000000,35.0309,35.0309,35.0309,35.0309,112.61621629652,0
EQRR.US,D,20170814,000000,35.0309,35.1344,35.0309,35.1344,511.33849561664,0
EQRR.US,D,20170817,000000,34.6308,34.6308,34.268,34.268,284.07694200925,0
EQRR.US,D,20170821,000000,34.1823,34.1823,34.0758,34.0758,445.39206265021,0
EQRR.US,D,20170823,000000,34.4859,34.4859,34.4859,34.4859,1457.9234488117,0
EQRR.US,D,20170824,000000,34.6623,34.6623,34.6623,34.6623,112.61621629652,0
EQRR.US,D,20170828,000000,34.6623,34.8082,34.5943,34.5953,2473.4985164948,0
EQRR.US,D,20170829,000000,34.6031,34.6031,34.405,34.405,674.68273727196,0
EQRR.US,D,20170831,000000,34.7263,34.9668,34.7263,34.9668,2349.7221346193,0
EQRR.US,D,20170901,000000,34.9668,34.9668,34.9668,34.9668,1789.6847346582,0
EQRR.US,D,20170905,000000,34.6031,34.6031,34.6031,34.6031,169.43160469837,0
EQRR.US,D,20170906,000000,34.8989,34.8989,34.8989,34.8989,112.61621629652,0
EQRR.US,D,20170908,000000,34.7579,34.7579,34.7579,34.7579,112.61621629652,0
EQRR.US,D,20170911,000000,35.2172,35.2172,35.2133,35.2133,226.24699310022,0
EQRR.US,D,20170912,000000,35.5504,35.5504,35.5504,35.5504,225.23243259304,0
EQRR.US,D,20170915,000000,35.8008,35.8008,35.8008,35.8008,225.23243259304,0
EQRR.US,D,20170918,000000,36.193,36.193,36.193,36.193,335.81952787522,0
EQRR.US,D,20170922,000000,38.3723,38.3723,38.3723,38.3723,112.61621629652,0
EQRR.US,D,20170926,000000,37.1116,37.3452,37.1116,37.3452,3471.8260555559,0
EQRR.US,D,20170928,000000,37.5226,37.6764,37.5226,37.6764,1623.2968114814,0
EQRR.US,D,20170929,000000,37.8036,37.8745,37.771,37.8539,1003.4003415969,0
EQRR.US,D,20171002,000000,37.7848,37.8667,37.7139,37.8667,1238.7783792617,0
EQRR.US,D,20171003,000000,38.0638,38.0638,38.0638,38.0638,561.05196046826,0
EQRR.US,D,20171004,000000,38.2096,38.2096,38.054,38.054,7398.1752183265,0
EQRR.US,D,20171005,000000,38.3861,38.3959,38.3486,38.3584,10959.282598514,0
EQRR.US,D,20171006,000000,38.2501,38.2501,38.2501,38.2501,582.35773111895,0
EQRR.US,D,20171009,000000,38.2687,38.2687,38.1998,38.1998,556.99371843956,0
EQRR.US,D,20171010,000000,38.1801,38.1801,38.1801,38.1801,672.65361625761,0
EQRR.US,D,20171011,000000,38.1525,38.1998,38.1525,38.19,3709.233214235,0
EQRR.US,D,20171012,000000,38.1801,38.1801,38.1446,38.1446,562.06652097544,0
EQRR.US,D,20171013,000000,38.2176,38.2441,38.19,38.19,8145.9063121151,0
EQRR.US,D,20171017,000000,38.0815,38.0815,37.8844,37.9829,7870.9604146705,0
EQRR.US,D,20171018,000000,38.0884,38.1061,37.3906,37.3906,1931.7232056629,0
EQRR.US,D,20171019,000000,37.3009,37.9465,37.2831,37.9465,7724.8637016371,0
EQRR.US,D,20171020,000000,38.2432,38.4748,38.2432,38.4748,556.99371843956,0
EQRR.US,D,20171024,000000,38.7389,38.7389,38.7389,38.7389,240.45084020068,0
EQRR.US,D,20171025,000000,38.1032,38.2432,38.1032,38.2176,6022.431170596,0
EQRR.US,D,20171026,000000,38.4314,38.6306,38.4314,38.6306,4295.6491873827,0
EQRR.US,D,20171030,000000,37.8844,38.6453,37.8745,37.8844,3367.3263233167,0
EQRR.US,D,20171031,000000,38.7193,38.8335,38.7193,38.7646,2093.0383263038,0
EQRR.US,D,20171101,000000,39.2209,39.2209,38.9084,38.9489,1898.2427089261,0
EQRR.US,D,20171102,000000,38.941,39.1982,38.941,39.1559,447.42118366456,0
EQRR.US,D,20171103,000000,39.1844,39.2643,39.1844,39.2643,880.63852022866,0
EQRR.US,D,20171106,000000,39.283,39.283,39.283,39.283,2007.8152437011,0
EQRR.US,D,20171108,000000,39.3017,39.3017,39.3017,39.3017,466.6978333009,0
EQRR.US,D,20171113,000000,38.8375,38.9489,37.3995,38.9084,6471.8814752749,0
EQRR.US,D,20171116,000000,38.4748,38.7646,38.4748,38.7005,7304.8356516663,0
EQRR.US,D,20171117,000000,38.7005,38.9667,38.7005,38.9174,8697.8272280188,0
EQRR.US,D,20171121,000000,39.0426,39.147,39.0426,39.147,2820.4782099489,0
EQRR.US,D,20171128,000000,39.423,39.423,38.8197,38.8197,1155.5844176733,0
EQRR.US,D,20171130,000000,40.045,40.3081,38.7804,38.7804,2712.9347961883,0
EQRR.US,D,20171201,000000,39.8922,39.9799,38.6502,38.6502,56374.054581228,0
EQRR.US,D,20171204,000000,40.2499,40.7999,40.2499,40.4589,2445.0908222939,0
EQRR.US,D,20171206,000000,40.1445,40.1612,40.1445,40.1612,283.06238150207,0
EQRR.US,D,20171208,000000,40.3859,40.6747,40.3859,40.6747,2474.513077002,0
EQRR.US,D,20171212,000000,40.8078,40.8916,40.8019,40.8916,2408.5666440355,0
EQRR.US,D,20171213,000000,40.8235,40.8235,40.8235,40.8235,249.58188476527,0
EQRR.US,D,20171214,000000,40.5476,40.5476,40.522,40.522,1115.0019973863,0
EQRR.US,D,20171215,000000,40.6078,40.6353,40.5998,40.5998,779.18246951107,0
EQRR.US,D,20171218,000000,41.1754,41.1754,41.1754,41.1754,690.91570538677,0
EQRR.US,D,20171219,000000,41.3272,41.3272,41.2465,41.2465,785.26983255413,0
EQRR.US,D,20171220,000000,41.3893,41.5243,41.2297,41.5243,1094.7107872428,0
EQRR.US,D,20171221,000000,41.9729,41.9729,41.9729,41.9729,481.91624090854,0
EQRR.US,D,20171222,000000,41.9186,41.9186,41.89,41.89,308.42639418147,0
EQRR.US,D,20171226,000000,42.0084,42.0182,41.8812,41.9453,3444.4329218621,0
EQRR.US,D,20171227,000000,41.9453,41.9453,41.9453,41.9453,172.4752862199,0
EQRR.US,D,20171229,000000,42.1473,42.1473,41.9453,42.0182,1693.3014864765,0
EQRR.US,D,20180102,000000,41.9354,42.3464,41.9354,42.3464,1416.3264680175,0
EQRR.US,D,20180103,000000,42.8185,42.8658,42.7506,42.8658,670.62449524326,0
EQRR.US,D,20180104,000000,43.2069,43.2069,43.0433,43.1793,3267.8993936135,0
EQRR.US,D,20180105,000000,43.2611,43.2611,43.1793,43.1793,563.08108148261,0
EQRR.US,D,20180108,000000,43.4208,43.5145,43.4208,43.5145,755.84757784603,0
EQRR.US,D,20180109,000000,43.7116,44.3483,43.7116,43.8998,2037.2374984092,0
EQRR.US,D,20180110,000000,43.9175,44.026,43.9116,43.9116,1865.7767726964,0
EQRR.US,D,20180111,000000,44.1876,44.573,44.1876,44.5129,6212.1539854379,0
EQRR.US,D,20180112,000000,44.6075,44.9525,44.6075,44.9141,7905.4554719144,0
EQRR.US,D,20180116,000000,45.0057,45.0057,44.3857,44.4528,1196.1668379604,0
EQRR.US,D,20180117,000000,44.3128,44.3158,44.3128,44.3158,439.30469960716,0
EQRR.US,D,20180119,000000,44.7278,44.9012,44.7278,44.9012,414.95524743493,0
EQRR.US,D,20180122,000000,44.6164,45.1713,44.6164,45.0954,5858.0723684335,0
EQRR.US,D,20180123,000000,45.4226,45.4354,45.4226,45.4354,323.64480178911,0
EQRR.US,D,20180124,000000,45.5646,45.6158,45.0767,45.3684,4259.1250091243,0
EQRR.US,D,20180126,000000,45.0954,45.465,45.0954,45.465,2680.4688599587,0
EQRR.US,D,20180129,000000,45.5458,45.5458,45.3211,45.3211,1697.3597285052,0
EQRR.US,D,20180130,000000,44.6164,44.7455,44.2497,44.5129,1782.582811108,0
EQRR.US,D,20180131,000000,44.6637,44.6637,44.3295,44.5129,2054.4850270312,0
EQRR.US,D,20180201,000000,44.294,44.5474,44.294,44.5207,1736.9275882851,0
EQRR.US,D,20180202,000000,43.8762,43.9639,43.4987,43.54,4814.0896065495,0
EQRR.US,D,20180205,000000,41.8447,41.8447,41.8447,41.8447,23216.188085706,0
EQRR.US,D,20180206,000000,41.9255,42.305,40.9557,41.5057,11087.117222418,0
EQRR.US,D,20180207,000000,42.7456,42.7545,42.1562,42.1562,6335.9303673134,0
EQRR.US,D,20180208,000000,42.035,42.035,41.1814,41.1814,1055.1429274629,0
EQRR.US,D,20180209,000000,39.9108,41.0809,39.3737,41.0424,8750.5843743919,0
EQRR.US,D,20180212,000000,40.7566,41.6663,40.7566,41.4879,4942.9387909609,0
EQRR.US,D,20180213,000000,41.4534,41.623,41.4534,41.551,1475.1709774337,0
EQRR.US,D,20180214,000000,41.9896,42.3661,41.9147,42.3661,1214.4289270895,0
EQRR.US,D,20180215,000000,42.6332,42.6332,42.1986,42.6007,4739.0121290185,0
EQRR.US,D,20180216,000000,42.7999,42.8047,42.4992,42.6352,5269.6272742715,0
EQRR.US,D,20180220,000000,42.449,42.6096,42.3779,42.4864,7656.8881476564,0
EQRR.US,D,20180221,000000,42.7821,42.7899,42.305,42.305,4491.4593652676,0
EQRR.US,D,20180222,000000,43.1872,43.1872,42.305,42.305,1500.5349901131,0
EQRR.US,D,20180223,000000,42.584,42.584,42.305,42.438,5770.8201648164,0
EQRR.US,D,20180227,000000,43.133,43.7194,42.8185,42.8185,4455.9497475165,0
EQRR.US,D,20180228,000000,42.6757,42.714,42.1986,42.1986,1735.9130277779,0
EQRR.US,D,20180301,000000,41.8634,41.8634,41.3608,41.7117,3250.6518649915,0
EQRR.US,D,20180302,000000,41.0108,41.6308,41.0108,41.6308,1921.5776005911,0
EQRR.US,D,20180305,000000,41.8279,42.2055,41.8279,42.2055,725.41076263075,0
EQRR.US,D,20180306,000000,42.7732,42.9092,42.4943,42.8383,3191.8073555753,0
EQRR.US,D,20180307,000000,42.8185,42.8185,42.8185,42.8185,843.09978146315,0
EQRR.US,D,20180308,000000,42.6569,42.6667,42.6569,42.6667,674.68273727196,0
EQRR.US,D,20180309,000000,43.6376,43.7194,43.6238,43.7194,23714.337294729,0
EQRR.US,D,20180312,000000,43.6199,43.7894,43.6031,43.7894,18443.69545995,0
EQRR.US,D,20180314,000000,43.1458,43.1458,43.0877,43.0877,1116.0165578935,0
EQRR.US,D,20180315,000000,43.062,43.0748,43.062,43.0739,1050.070124927,0
EQRR.US,D,20180319,000000,43.2207,43.2207,42.4006,42.7022,5449.2044840416,0
EQRR.US,D,20180320,000000,43.0975,43.0975,42.9437,42.9644,4198.2513786938,0
EQRR.US,D,20180321,000000,43.8644,43.8644,43.3409,43.7401,3175.5743874605,0
EQRR.US,D,20180322,000000,43.403,43.403,42.1768,42.2114,3378.4864888957,0
EQRR.US,D,20180323,000000,41.8506,41.8506,41.0769,41.0769,2535.3867074325,0
EQRR.US,D,20180326,000000,41.7777,42.3671,41.7777,42.3287,5148.8945739176,0
EQRR.US,D,20180327,000000,42.3671,42.5297,41.2188,41.2632,5620.6652097544,0
EQRR.US,D,20180328,000000,40.9468,41.1646,40.9419,41.073,2520.1682998249,0
EQRR.US,D,20180329,000000,41.5421,41.9601,41.5421,41.9601,2919.9051396522,0
EQRR.US,D,20180402,000000,40.9753,40.9753,39.764,40.5673,10434.754816303,0
EQRR.US,D,20180403,000000,39.7187,41.276,39.5127,41.276,550.9063553965,0
EQRR.US,D,20180404,000000,41.2721,41.2721,40.5249,40.8227,1549.2338944576,0
EQRR.US,D,20180405,000000,41.9886,42.307,41.9501,42.307,1502.5641111275,0
EQRR.US,D,20180406,000000,41.0346,41.0346,41.0346,41.0346,784.25527204695,0
EQRR.US,D,20180409,000000,41.0198,41.6338,41.0198,41.6338,2144.7809121698,0
EQRR.US,D,20180413,000000,42.8017,42.8017,42.8017,42.8017,1274.2879970129,0
EQRR.US,D,20180416,000000,42.7979,43.0256,42.7979,43.0256,43957.863094409,0
EQRR.US,D,20180417,000000,43.3675,43.3675,43.3636,43.3636,792.37175610436,0
EQRR.US,D,20180418,000000,43.8051,43.8239,43.8051,43.818,1031.8080357979,0
EQRR.US,D,20180419,000000,43.6563,43.6563,43.5233,43.5233,2648.002923729,0
EQRR.US,D,20180420,000000,43.6386,43.6652,42.8077,43.5756,5099.181109066,0
EQRR.US,D,20180423,000000,43.7204,43.8968,43.6475,43.8968,578.29948909025,0
EQRR.US,D,20180424,000000,44.0358,44.0457,42.8994,43.1398,8124.6005414644,0
EQRR.US,D,20180425,000000,43.1231,43.3034,43.1231,43.3034,956.73055826685,0
EQRR.US,D,20180426,000000,43.2768,43.4858,43.2768,43.3222,2912.8032161019,0
EQRR.US,D,20180430,000000,43.8544,43.8644,43.4947,43.4947,2201.5963005717,0
EQRR.US,D,20180501,000000,43.0334,43.0334,42.7574,43.0334,3218.1859287619,0
EQRR.US,D,20180502,000000,43.4404,43.5982,43.2433,43.2433,769.03686443932,0
EQRR.US,D,20180503,000000,43.2768,43.2768,43.2257,43.2257,224.21787208587,0
EQRR.US,D,20180504,000000,43.1359,43.8644,43.1359,43.8644,441.33382062151,0
EQRR.US,D,20180507,000000,44.2724,44.2724,43.8742,43.8919,1136.307768037,0
EQRR.US,D,20180508,000000,43.9629,44.1186,43.883,44.1186,4233.7609964449,0
EQRR.US,D,20180509,000000,44.4596,44.707,44.4596,44.6577,1050.070124927,0
EQRR.US,D,20180510,000000,44.988,45.2285,44.986,45.2285,1277.3316785344,0
