<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ESGD.US,D,20160727,000000,48.0719,48.1768,48.0494,48.0641,5969.7045993325,0
ESGD.US,D,20160802,000000,48.2023,48.2023,48.1405,48.1405,321.5005896375,0
ESGD.US,D,20160803,000000,48.0269,48.0269,47.9661,47.9661,457.24528304,0
ESGD.US,D,20160808,000000,48.6402,48.6402,48.6265,48.6265,471.534198135,0
ESGD.US,D,20160809,000000,49.1311,49.1311,49.0615,49.0615,937.9652123075,0
ESGD.US,D,20160815,000000,49.7425,49.7513,49.7258,49.7258,2597.5206369125,0
ESGD.US,D,20160816,000000,49.5857,49.5857,49.5857,49.5857,227.6020047275,0
ESGD.US,D,20160819,000000,49.3574,49.3574,49.3574,49.3574,301.0878537875,0
ESGD.US,D,20160824,000000,49.8101,49.8375,49.7513,49.7513,3073.1373822175,0
ESGD.US,D,20160825,000000,49.4897,49.4897,49.4897,49.4897,132.682783025,0
ESGD.US,D,20160829,000000,49.2536,49.2536,49.2438,49.2447,2815.9369105075,0
ESGD.US,D,20160830,000000,49.2447,49.2447,49.2447,49.2447,914.49056608,0
ESGD.US,D,20160831,000000,49.086,49.086,49.086,49.086,290.8814858625,0
ESGD.US,D,20160901,000000,49.4172,49.4623,49.2447,49.4623,1599.3378538475,0
ESGD.US,D,20160902,000000,49.8473,49.8473,49.8473,49.8473,116.352594345,0
ESGD.US,D,20160909,000000,49.8473,49.8473,49.3849,49.3849,1989.2211085825,0
ESGD.US,D,20160912,000000,48.8489,48.8489,48.8489,48.8489,127.5795990625,0
ESGD.US,D,20160913,000000,48.7098,48.7098,48.7098,48.7098,145.9510613275,0
ESGD.US,D,20160920,000000,49.0165,49.0253,49.0165,49.0253,227.6020047275,0
ESGD.US,D,20160923,000000,49.8561,49.9179,49.8561,49.9179,4342.8095520875,0
ESGD.US,D,20160926,000000,49.4348,49.4348,49.3633,49.3633,2398.496462375,0
ESGD.US,D,20160927,000000,49.2095,49.2095,49.2095,49.2095,114.31132076,0
ESGD.US,D,20160928,000000,49.9277,49.9277,49.9208,49.9208,352.1196934125,0
ESGD.US,D,20160929,000000,49.7337,49.7337,49.3849,49.3849,1944.3130897125,0
ESGD.US,D,20160930,000000,49.4015,49.7513,49.4015,49.7513,2267.854952935,0
ESGD.US,D,20161003,000000,49.5406,49.5406,49.426,49.426,1225.7847877925,0
ESGD.US,D,20161012,000000,48.4746,48.4746,48.4746,48.4746,201.0654481225,0
ESGD.US,D,20161013,000000,48.1053,48.3502,48.1053,48.3492,1640.1633255475,0
ESGD.US,D,20161014,000000,48.3943,48.3943,48.3943,48.3943,600.13443399,0
ESGD.US,D,20161017,000000,48.2973,48.2983,48.2885,48.2885,951.23349061,0
ESGD.US,D,20161020,000000,48.8675,48.8675,48.8675,48.8675,122.4764151,0
ESGD.US,D,20161021,000000,48.5795,48.8068,48.5795,48.7921,2199.4722878375,0
ESGD.US,D,20161024,000000,48.9028,48.9028,48.6922,48.7235,1296.208726475,0
ESGD.US,D,20161025,000000,48.6226,48.6657,48.6226,48.6657,263.324292465,0
ESGD.US,D,20161026,000000,48.552,48.552,48.5354,48.5354,1085.95754722,0
ESGD.US,D,20161027,000000,48.4923,48.4923,48.4923,48.4923,173.508254725,0
ESGD.US,D,20161028,000000,48.4021,48.4021,48.4021,48.4021,341.9133254875,0
ESGD.US,D,20161031,000000,48.4737,48.4737,48.4668,48.4668,819.5713443775,0
ESGD.US,D,20161101,000000,48.4825,48.4923,48.4825,48.4923,1538.0996462975,0
ESGD.US,D,20161103,000000,47.9328,47.9328,47.924,47.924,12641.607311905,0
ESGD.US,D,20161104,000000,47.7202,47.7202,47.4576,47.5282,20385.178656603,0
ESGD.US,D,20161107,000000,48.0161,48.0161,48.0161,48.0161,232.70518869,0
ESGD.US,D,20161108,000000,47.9994,48.3786,47.9994,48.1405,6901.545990885,0
ESGD.US,D,20161109,000000,48.0102,48.2895,48.0102,48.2023,5225.6603776,0
ESGD.US,D,20161111,000000,47.5644,47.7829,47.5644,47.7653,1020.6367925,0
ESGD.US,D,20161114,000000,47.6506,47.6506,47.3959,47.5282,3082.32311335,0
ESGD.US,D,20161115,000000,47.5801,47.7036,47.5644,47.7036,959.39858495,0
ESGD.US,D,20161116,000000,47.4233,47.4233,47.3518,47.3518,516.442217005,0
ESGD.US,D,20161117,000000,47.6301,47.6301,47.5889,47.5889,273.53066039,0
ESGD.US,D,20161118,000000,47.2235,47.2235,47.0971,47.0971,837.9428066425,0
ESGD.US,D,20161121,000000,47.3371,47.3371,47.3371,47.3371,403.1515330375,0
ESGD.US,D,20161122,000000,47.4449,47.5468,47.4449,47.5468,529.7104953075,0
ESGD.US,D,20161128,000000,47.441,47.441,47.3959,47.3959,1304.373820815,0
ESGD.US,D,20161129,000000,47.4145,47.7036,47.4145,47.7036,403.1515330375,0
ESGD.US,D,20161201,000000,47.345,47.345,47.345,47.345,115.3319575525,0
ESGD.US,D,20161207,000000,48.9351,48.9351,48.9351,48.9351,114.31132076,0
ESGD.US,D,20161208,000000,48.9459,48.9459,48.9459,48.9459,927.7588443825,0
ESGD.US,D,20161209,000000,49.0165,49.0821,49.0165,49.0821,3008.83726429,0
ESGD.US,D,20161212,000000,48.992,49.0067,48.9371,48.9547,2528.1173350225,0
ESGD.US,D,20161213,000000,49.4162,49.4809,49.4142,49.4809,1270.6928066625,0
ESGD.US,D,20161214,000000,49.3408,49.3408,48.8401,48.8401,1178.8354953375,0
ESGD.US,D,20161215,000000,48.552,48.552,48.552,48.552,119.4145047225,0
ESGD.US,D,20161219,000000,48.6059,48.7,48.5501,48.5501,1722.83490574,0
ESGD.US,D,20161221,000000,48.701,48.701,48.649,48.6843,7704.7871465825,0
ESGD.US,D,20161222,000000,48.701,48.701,48.6147,48.6236,2416.86792464,0
ESGD.US,D,20161223,000000,48.649,48.7108,48.649,48.6922,1657.51415102,0
ESGD.US,D,20161227,000000,48.7108,48.7108,48.7108,48.7108,139.8272405725,0
ESGD.US,D,20161228,000000,48.5099,48.5099,48.4805,48.4923,4199.9204011375,0
ESGD.US,D,20161229,000000,48.6069,48.6765,48.5893,48.6412,6815.812500315,0
ESGD.US,D,20161230,000000,48.8499,48.8499,48.8332,48.8332,2370.9392689775,0
ESGD.US,D,20170103,000000,48.9126,48.9743,48.9018,48.9557,1422.767688745,0
ESGD.US,D,20170104,000000,49.3241,49.4642,49.3241,49.4642,3938.6373822575,0
ESGD.US,D,20170105,000000,49.7621,50.0521,49.7621,50.0521,1607.5029481875,0
ESGD.US,D,20170106,000000,49.9296,49.9296,49.7523,49.8581,2749.595518995,0
ESGD.US,D,20170109,000000,49.621,49.7709,49.621,49.719,1506.45990573,0
ESGD.US,D,20170110,000000,49.8581,49.8581,49.7797,49.7797,1116.576650995,0
ESGD.US,D,20170111,000000,49.719,49.9992,49.719,49.9727,4159.0949294375,0
ESGD.US,D,20170112,000000,50.0158,50.0942,50.0158,50.0942,10964.701061827,0
ESGD.US,D,20170113,000000,50.1197,50.3401,50.1148,50.252,5890.0949295175,0
ESGD.US,D,20170117,000000,50.1569,50.1824,50.0697,50.0981,4939.8820757,0
ESGD.US,D,20170118,000000,49.9992,50.0776,49.9992,50.0776,875.706367965,0
ESGD.US,D,20170119,000000,49.9551,49.9551,49.7738,49.8071,3492.619103935,0
ESGD.US,D,20170120,000000,50.0697,50.0697,50.0697,50.0697,552.1645047425,0
ESGD.US,D,20170123,000000,50.0423,50.1961,50.0423,50.1961,571.5566038,0
ESGD.US,D,20170125,000000,50.7712,50.8222,50.7712,50.8212,1228.84669817,0
ESGD.US,D,20170126,000000,50.639,50.7448,50.639,50.7301,6077.8920993375,0
ESGD.US,D,20170127,000000,50.5939,50.5939,50.5694,50.5694,1509.5218161075,0
ESGD.US,D,20170130,000000,50.1657,50.2363,50.0521,50.2363,1211.4958726975,0
ESGD.US,D,20170131,000000,50.2157,50.2314,50.2157,50.2314,515.4215802125,0
ESGD.US,D,20170202,000000,50.6213,50.6213,50.4381,50.5508,2908.814858625,0
ESGD.US,D,20170203,000000,50.7948,50.7948,50.735,50.735,2442.3838444525,0
ESGD.US,D,20170206,000000,50.4646,50.4646,50.2794,50.2892,2468.9204010575,0
ESGD.US,D,20170207,000000,50.3303,50.3852,50.3303,50.3764,615.4439858775,0
ESGD.US,D,20170208,000000,50.5155,50.587,50.5106,50.587,4813.32311343,0
ESGD.US,D,20170209,000000,50.6017,50.6997,50.6017,50.6831,2450.5489387925,0
ESGD.US,D,20170210,000000,50.7164,50.8565,50.7164,50.8388,1289.0642689275,0
ESGD.US,D,20170213,000000,51.1543,51.1543,51.0319,51.0769,1142.0925708075,0
ESGD.US,D,20170214,000000,50.8124,50.9525,50.8124,50.9525,1022.678066085,0
ESGD.US,D,20170215,000000,51.0936,51.1289,51.0936,51.1289,873.66509438,0
ESGD.US,D,20170216,000000,51.17,51.269,51.17,51.2631,2378.083726525,0
ESGD.US,D,20170217,000000,51.1289,51.173,51.1289,51.173,693.0123821075,0
ESGD.US,D,20170221,000000,51.2788,51.3395,51.2739,51.3327,1437.05660384,0
ESGD.US,D,20170222,000000,51.3131,51.3131,51.3131,51.3131,520.524764175,0
ESGD.US,D,20170223,000000,51.4355,51.4355,51.4346,51.4355,616.46462267,0
ESGD.US,D,20170224,000000,50.9966,51.0593,50.9721,50.9966,1109.4321934475,0
ESGD.US,D,20170227,000000,51.0044,51.0593,50.8849,51.0319,465.41037738,0
ESGD.US,D,20170228,000000,51.0319,51.12,51.0319,51.12,1022.678066085,0
ESGD.US,D,20170301,000000,51.3297,51.4189,51.3297,51.4189,261.28301888,0
ESGD.US,D,20170302,000000,51.4355,51.4355,51.269,51.2846,11334.171580713,0
ESGD.US,D,20170303,000000,51.2425,51.4953,51.2366,51.4884,3488.536556765,0
ESGD.US,D,20170306,000000,51.2964,51.2964,51.2964,51.2964,639.9392688975,0
