<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ESGE.US,D,20160725,000000,24.3736,24.3736,24.3697,24.3697,2194.8077709607,0
ESGE.US,D,20160728,000000,24.5978,24.5978,24.5978,24.5978,222.8077709611,0
ESGE.US,D,20160802,000000,24.4778,24.4867,24.4778,24.4867,633.1370143148,0
ESGE.US,D,20160808,000000,25.2643,25.2643,25.2643,25.2643,463.762781186,0
ESGE.US,D,20160809,000000,25.4379,25.4379,25.4181,25.4181,1118.0715746419,0
ESGE.US,D,20160810,000000,25.5193,25.5193,25.5193,25.5193,222.8077709611,0
ESGE.US,D,20160811,000000,25.6383,25.6383,25.6383,25.6383,449.6482617586,0
ESGE.US,D,20160817,000000,25.7156,25.7156,25.5262,25.7037,2463.9918200404,0
ESGE.US,D,20160819,000000,25.7206,25.7206,25.7206,25.7206,377.0593047034,0
ESGE.US,D,20160822,000000,25.7057,25.7057,25.5351,25.5351,841.8302658485,0
ESGE.US,D,20160823,000000,25.6432,25.6432,25.6432,25.6432,222.8077709611,0
ESGE.US,D,20160824,000000,25.4568,25.5193,25.4478,25.4478,12083.036809814,0
ESGE.US,D,20160829,000000,25.3268,25.3437,25.3268,25.3437,7524.0470347633,0
ESGE.US,D,20160831,000000,25.3526,25.3526,25.2326,25.2326,806.54396728,0
ESGE.US,D,20160901,000000,25.2643,25.305,25.2643,25.305,449.6482617586,0
ESGE.US,D,20160902,000000,25.5867,25.5867,25.5867,25.5867,227.8486707566,0
ESGE.US,D,20160907,000000,26.286,26.2949,26.2592,26.2592,7547.2351738226,0
ESGE.US,D,20160908,000000,26.2949,26.2949,26.1848,26.1848,1345.9202453985,0
ESGE.US,D,20160909,000000,25.8376,25.8376,25.3883,25.3883,46701.920245389,0
ESGE.US,D,20160912,000000,25.0848,25.0848,25.0184,25.0184,449.6482617586,0
ESGE.US,D,20160916,000000,25.066,25.066,25.066,25.066,222.8077709611,0
ESGE.US,D,20160919,000000,25.425,25.425,25.425,25.425,28204.842535782,0
ESGE.US,D,20160923,000000,26.0469,26.0469,26.0469,26.0469,222.8077709611,0
ESGE.US,D,20160926,000000,25.7236,25.7236,25.4915,25.4915,10137.24948875,0
ESGE.US,D,20160927,000000,25.7275,25.8049,25.7275,25.8049,780.3312883434,0
ESGE.US,D,20160928,000000,25.8664,25.9964,25.6839,25.9964,4310.9775051116,0
ESGE.US,D,20160929,000000,25.9378,25.9378,25.6839,25.6879,8719.7484662559,0
ESGE.US,D,20160930,000000,25.67,25.795,25.67,25.7464,8064.4314928409,0
ESGE.US,D,20161003,000000,25.7325,25.8922,25.7325,25.8922,2913.640081799,0
ESGE.US,D,20161004,000000,25.8922,25.8922,25.7375,25.7375,2913.640081799,0
ESGE.US,D,20161005,000000,25.8982,25.8982,25.8466,25.8664,1569.7361963187,0
ESGE.US,D,20161006,000000,25.8089,25.9795,25.8089,25.9616,5298.9938650296,0
ESGE.US,D,20161007,000000,25.9517,25.9517,25.7414,25.8595,2013.3353783227,0
ESGE.US,D,20161011,000000,25.7464,25.7464,25.5907,25.5907,895.2638036808,0
ESGE.US,D,20161012,000000,25.4429,25.545,25.4201,25.5351,2463.9918200404,0
ESGE.US,D,20161013,000000,25.2743,25.4072,25.1443,25.4072,4500.5153374224,0
ESGE.US,D,20161014,000000,25.4518,25.4518,25.3586,25.3804,1585.8670756643,0
ESGE.US,D,20161017,000000,25.3526,25.3804,25.3526,25.3804,1345.9202453985,0
ESGE.US,D,20161020,000000,25.912,25.923,25.8982,25.8982,2391.4028629852,0
ESGE.US,D,20161021,000000,25.7553,25.7553,25.7514,25.7514,1850.0102249485,0
ESGE.US,D,20161024,000000,26.157,26.157,25.9706,25.9706,1280.388548057,0
ESGE.US,D,20161027,000000,25.5262,25.6085,25.5173,25.6085,1500.1717791408,0
ESGE.US,D,20161028,000000,25.5093,25.5391,25.3387,25.3764,4060.9488752548,0
ESGE.US,D,20161101,000000,25.5808,25.5808,25.188,25.3318,7181.2658486693,0
ESGE.US,D,20161102,000000,24.9866,24.9866,24.9866,24.9866,505.0981595091,0
ESGE.US,D,20161103,000000,25.0382,25.0382,25.0382,25.0382,222.8077709611,0
ESGE.US,D,20161104,000000,24.819,24.9509,24.819,24.8854,1219.897750511,0
ESGE.US,D,20161107,000000,25.6085,25.6085,25.6085,25.6085,1118.0715746419,0
ESGE.US,D,20161108,000000,25.5093,25.5093,25.5054,25.5054,1151.3415132922,0
ESGE.US,D,20161109,000000,25.3387,25.3387,25.0481,25.1354,6996.768916154,0
ESGE.US,D,20161110,000000,25.0947,25.0947,24.4004,24.4004,1532.433537832,0
ESGE.US,D,20161111,000000,23.9045,23.9045,23.8717,23.8717,1315.6748466255,0
ESGE.US,D,20161114,000000,23.6446,23.6783,23.5504,23.6684,5172.9713701421,0
ESGE.US,D,20161116,000000,23.8618,23.8936,23.8618,23.8797,1318.6993865028,0
ESGE.US,D,20161117,000000,24.0572,24.0572,24.0572,24.0572,1028.343558282,0
ESGE.US,D,20161118,000000,24.0671,24.0671,24.0671,24.0671,669.4314928424,0
ESGE.US,D,20161121,000000,24.201,24.201,24.0721,24.0909,2156.4969325149,0
ESGE.US,D,20161122,000000,24.3459,24.3736,24.2913,24.3736,1046.4907975458,0
ESGE.US,D,20161123,000000,24.1881,24.1881,24.0721,24.1832,1084.8016359916,0
ESGE.US,D,20161128,000000,24.3796,24.3796,24.3796,24.3796,313.5439672801,0
ESGE.US,D,20161205,000000,24.2199,24.2199,24.2199,24.2199,313.5439672801,0
ESGE.US,D,20161209,000000,24.7267,24.7267,24.7267,24.7267,578.6952965234,0
ESGE.US,D,20161212,000000,24.7327,24.7327,24.5928,24.5988,1185.6196319016,0
ESGE.US,D,20161216,000000,24.2139,24.2199,24.2139,24.2199,889.2147239262,0
ESGE.US,D,20161219,000000,24.1713,24.1713,24.0344,24.0344,2377.2883435578,0
ESGE.US,D,20161220,000000,24.0939,24.0939,24.0939,24.0939,17132.002044986,0
ESGE.US,D,20161221,000000,24.0602,24.0602,24.0404,24.0404,4534.7934560318,0
ESGE.US,D,20161223,000000,23.958,23.958,23.958,23.958,526.2699386502,0
ESGE.US,D,20161227,000000,24.0245,24.0245,24.0017,24.0017,4443.0490797537,0
