<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ESGU.US,D,20170106,000000,45.7112,45.7112,45.7112,45.7112,305.3779789163,0
ESGU.US,D,20170109,000000,45.5178,45.5912,45.5098,45.5366,1145.9233070225,0
ESGU.US,D,20170110,000000,45.4543,45.61,45.4543,45.61,221.72658535177,0
ESGU.US,D,20170117,000000,45.4365,45.4365,45.4365,45.4365,272.11899111353,0
ESGU.US,D,20170118,000000,45.4365,45.4365,45.4365,45.4365,222.734433467,0
ESGU.US,D,20170124,000000,45.6011,45.7569,45.5703,45.7569,4160.3970196913,0
ESGU.US,D,20170127,000000,45.9682,45.9682,45.9682,45.9682,364.84101771518,0
ESGU.US,D,20170207,000000,46.0774,46.0774,46.0674,46.0674,1849.4012914568,0
ESGU.US,D,20170210,000000,46.6558,46.6558,46.2996,46.2996,2184.0068657149,0
ESGU.US,D,20170227,000000,47.2234,47.4714,47.2234,47.4714,979.62836800872,0
ESGU.US,D,20170308,000000,47.5816,47.5816,47.5816,47.5816,217.69519289083,0
ESGU.US,D,20170309,000000,47.5379,47.5379,47.5379,47.5379,403.13924609412,0
ESGU.US,D,20170314,000000,47.5567,47.5567,47.5567,47.5567,321.50354876006,0
ESGU.US,D,20170321,000000,47.3057,47.3445,47.277,47.277,2469.2278823265,0
ESGU.US,D,20170323,000000,47.4814,47.4814,47.4814,47.4814,332.58987802765,0
ESGU.US,D,20170330,000000,47.7036,47.7036,47.7036,47.7036,213.66380042989,0
ESGU.US,D,20170403,000000,47.5747,47.5747,47.5747,47.5747,101.79265963877,0
ESGU.US,D,20170406,000000,47.6163,47.6163,47.5984,47.5984,583.54405872124,0
ESGU.US,D,20170413,000000,47.3255,47.3255,47.3255,47.3255,205.601015508,0
ESGU.US,D,20170425,000000,48.1878,48.1878,48.1878,48.1878,265.06405430689,0
ESGU.US,D,20170502,000000,48.2652,48.2652,48.2652,48.2652,207.61671173847,0
ESGU.US,D,20170508,000000,48.4676,48.4676,48.4676,48.4676,975.59697554778,0
ESGU.US,D,20170511,000000,48.2553,48.3664,48.2553,48.3664,289.25240907253,0
ESGU.US,D,20170515,000000,48.5281,48.5281,48.5281,48.5281,1052.1934323057,0
ESGU.US,D,20170517,000000,48.1998,48.1998,48.1928,48.1928,4741.9253821821,0
ESGU.US,D,20170522,000000,48.2821,48.3575,48.2821,48.3575,436.39823389689,0
ESGU.US,D,20170524,000000,48.5023,48.5966,48.5023,48.5966,2263.6268668185,0
ESGU.US,D,20170526,000000,48.8824,48.8824,48.8575,48.8725,1519.8349577748,0
ESGU.US,D,20170602,000000,49.3567,49.3567,49.3567,49.3567,194.51468624041,0
ESGU.US,D,20170605,000000,49.3824,49.3824,49.3229,49.3636,698.43874385807,0
ESGU.US,D,20170608,000000,49.2117,49.2117,49.2117,49.2117,403.13924609412,0
ESGU.US,D,20170613,000000,49.4102,49.4102,49.3784,49.3874,975.59697554778,0
ESGU.US,D,20170615,000000,49.1612,49.1731,49.1612,49.1731,250.95418069359,0
ESGU.US,D,20170616,000000,49.2435,49.2624,49.1195,49.2336,19133.996467742,0
ESGU.US,D,20170620,000000,49.5313,49.5313,49.5313,49.5313,325.534941221,0
ESGU.US,D,20170623,000000,49.3239,49.438,49.3239,49.438,430.35114520548,0
ESGU.US,D,20170627,000000,49.4419,49.4419,49.1394,49.1394,609.74810971736,0
ESGU.US,D,20170630,000000,49.1741,49.2742,49.1741,49.2742,680.29747778383,0
ESGU.US,D,20170706,000000,49.0034,49.0232,48.9905,49.0232,889.92988575278,0
ESGU.US,D,20170711,000000,49.2098,49.2098,49.2098,49.2098,426.31975274453,0
ESGU.US,D,20170718,000000,49.8418,49.8726,49.7763,49.8726,1181.1979910558,0
ESGU.US,D,20170726,000000,50.2318,50.2467,50.2318,50.2467,488.80633588912,0
ESGU.US,D,20170727,000000,50.2665,50.2665,50.2665,50.2665,142.10658424818,0
ESGU.US,D,20170731,000000,50.1475,50.1475,50.1475,50.1475,430.35114520548,0
ESGU.US,D,20170802,000000,50.0264,50.0264,50.0264,50.0264,3240.2316904815,0
ESGU.US,D,20170803,000000,50.0085,50.083,50.0085,50.0551,19130.972923397,0
ESGU.US,D,20170808,000000,50.333,50.333,50.333,50.333,1212.4412826281,0
ESGU.US,D,20170811,000000,49.4976,49.4976,49.4976,49.4976,101.79265963877,0
ESGU.US,D,20170814,000000,50.0264,50.0651,49.7763,50.0363,1630.6982504507,0
ESGU.US,D,20170816,000000,50.0463,50.0463,50.0463,50.0463,320.49570064483,0
ESGU.US,D,20170823,000000,49.6166,49.6434,49.6166,49.6434,348.71544787142,0
ESGU.US,D,20170824,000000,49.6007,49.6721,49.6007,49.6721,193862.60850985,0
ESGU.US,D,20170825,000000,49.7664,49.7664,49.6533,49.692,4473.8377835295,0
ESGU.US,D,20170828,000000,49.5799,49.5799,49.5799,49.5799,221.72658535177,0
ESGU.US,D,20170830,000000,49.9203,49.9589,49.9203,49.9589,1486.5759699721,0
ESGU.US,D,20170831,000000,50.0918,50.21,50.0918,50.21,1084.4445719932,0
ESGU.US,D,20170901,000000,50.3588,50.3598,50.324,50.324,756.89393454172,0
ESGU.US,D,20170907,000000,50.0681,50.0681,50.0681,50.0681,101.79265963877,0
ESGU.US,D,20170908,000000,50.0651,50.0651,50.0651,50.0651,101.79265963877,0
ESGU.US,D,20170911,000000,50.4243,50.5652,50.4243,50.5463,2381.545096301,0
ESGU.US,D,20170912,000000,50.7299,50.7299,50.7299,50.7299,116.9103813673,0
ESGU.US,D,20170913,000000,50.7477,50.7477,50.7477,50.7477,101.79265963877,0
ESGU.US,D,20170914,000000,50.6634,50.6634,50.6207,50.6287,9882.9586179974,0
ESGU.US,D,20170915,000000,50.7626,50.7626,50.7626,50.7626,124.97316628918,0
ESGU.US,D,20170920,000000,50.9094,50.9094,50.8222,50.8222,1876.6131905681,0
ESGU.US,D,20170925,000000,50.8132,50.8132,50.8132,50.8132,170.32633147477,0
ESGU.US,D,20170926,000000,50.7527,50.7557,50.7427,50.7557,629.90507202207,0
ESGU.US,D,20170927,000000,50.6952,50.9005,50.6772,50.8916,1074.3660908408,0
ESGU.US,D,20170928,000000,50.8589,50.9382,50.8589,50.9382,588.58329929742,0
ESGU.US,D,20171003,000000,51.3946,51.3946,51.3946,51.3946,133.03595121106,0
ESGU.US,D,20171004,000000,51.4403,51.5246,51.4096,51.4096,2031.8218003144,0
ESGU.US,D,20171005,000000,51.5763,51.7658,51.5763,51.7658,7695.9282079368,0
