<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ESPO.US,D,20181019,000000,29.87,29.87,29.368,29.368,8927,0
ESPO.US,D,20181022,000000,29.6,29.61,29.394,29.488,9942,0
ESPO.US,D,20181023,000000,28.724,29.113,28.486,29.072,6591,0
ESPO.US,D,20181024,000000,28.704,28.704,27.618,27.618,14793,0
ESPO.US,D,20181025,000000,27.53,28.131,27.53,27.997,2218,0
ESPO.US,D,20181026,000000,27.112,27.513,26.962,27.181,4121,0
ESPO.US,D,20181029,000000,27.48,27.57,26.145,26.145,54244,0
ESPO.US,D,20181030,000000,26.594,26.852,26.594,26.662,4794,0
ESPO.US,D,20181031,000000,27.618,27.852,27.56,27.777,8620,0
ESPO.US,D,20181101,000000,28.136,28.644,28.136,28.644,6511,0
ESPO.US,D,20181102,000000,29.242,29.272,28.729,28.872,3552,0
ESPO.US,D,20181105,000000,28.833,28.833,28.436,28.574,4446,0
ESPO.US,D,20181106,000000,28.535,28.783,28.535,28.634,7733,0
ESPO.US,D,20181107,000000,29.122,29.5,29.072,29.447,6764,0
ESPO.US,D,20181108,000000,29.362,29.51,29.022,29.027,2472,0
ESPO.US,D,20181109,000000,28.066,28.066,27.737,27.737,6042,0
ESPO.US,D,20181112,000000,27.707,27.707,27.112,27.112,3012,0
ESPO.US,D,20181113,000000,27.478,27.674,27.321,27.371,7319,0
ESPO.US,D,20181114,000000,27.687,27.727,27.44,27.48,2886,0
ESPO.US,D,20181115,000000,27.717,28.007,27.717,27.987,2281,0
ESPO.US,D,20181116,000000,27.092,27.361,27.092,27.361,12540,0
ESPO.US,D,20181119,000000,27.284,27.284,26.634,26.634,2964,0
ESPO.US,D,20181120,000000,25.777,26.314,25.777,26.125,3133,0
ESPO.US,D,20181121,000000,26.653,26.733,26.653,26.733,643,0
ESPO.US,D,20181123,000000,26.624,26.624,26.554,26.554,379,0
ESPO.US,D,20181126,000000,27.181,27.201,27.092,27.092,409,0
ESPO.US,D,20181127,000000,27.092,27.241,27.019,27.241,1334,0
ESPO.US,D,20181128,000000,27.82,28.045,27.82,28.045,2283,0
ESPO.US,D,20181129,000000,28.196,28.381,28.195,28.246,3004,0
ESPO.US,D,20181130,000000,28.076,28.106,28.076,28.082,619,0
ESPO.US,D,20181203,000000,28.783,28.783,28.436,28.436,911,0
ESPO.US,D,20181204,000000,28.216,28.336,27.52,27.52,8276,0
ESPO.US,D,20181206,000000,26.723,27.371,26.574,27.371,8430,0
ESPO.US,D,20181207,000000,27.677,27.677,27.032,27.032,1715,0
ESPO.US,D,20181210,000000,26.932,27.124,26.932,27.124,696,0
ESPO.US,D,20181211,000000,27.53,27.53,27.131,27.201,9087,0
ESPO.US,D,20181212,000000,27.46,27.72,27.46,27.524,5552,0
ESPO.US,D,20181213,000000,27.682,27.682,27.543,27.564,2357,0
ESPO.US,D,20181214,000000,27.151,27.151,26.976,26.976,1045,0
ESPO.US,D,20181217,000000,26.763,26.882,26.504,26.504,1537,0
ESPO.US,D,20181218,000000,26.494,26.693,26.464,26.524,3886,0
ESPO.US,D,20181219,000000,26.922,26.982,26.284,26.284,1647,0
ESPO.US,D,20181220,000000,26.174,26.174,25.986,26.076,17126,0
ESPO.US,D,20181221,000000,26.644,26.743,26.057,26.057,10258,0
ESPO.US,D,20181224,000000,25.767,26.026,25.712,25.712,973,0
ESPO.US,D,20181226,000000,25.996,26.527,25.747,26.497,2026,0
ESPO.US,D,20181227,000000,26.689,26.689,26.274,26.689,477,0
ESPO.US,D,20181228,000000,26.733,26.952,26.693,26.719,1258,0
ESPO.US,D,20181231,000000,27.012,27.012,26.723,26.723,2701,0
ESPO.US,D,20190102,000000,26.504,26.952,26.504,26.862,1496,0
ESPO.US,D,20190103,000000,26.294,26.369,26.093,26.105,47361,0
ESPO.US,D,20190104,000000,26.675,27.371,26.675,27.251,786,0
ESPO.US,D,20190107,000000,27.714,27.978,27.714,27.978,835,0
ESPO.US,D,20190108,000000,28.267,28.267,28.028,28.227,4022,0
ESPO.US,D,20190109,000000,28.615,28.779,28.615,28.755,3164,0
ESPO.US,D,20190110,000000,28.507,28.874,28.507,28.874,1084,0
ESPO.US,D,20190111,000000,28.427,28.484,28.367,28.467,6260,0
ESPO.US,D,20190114,000000,28.197,28.367,28.197,28.362,2462,0
ESPO.US,D,20190115,000000,28.575,28.585,28.536,28.536,1297,0
ESPO.US,D,20190116,000000,28.635,28.745,28.635,28.635,2737,0
ESPO.US,D,20190117,000000,28.635,29.083,28.635,28.884,1778,0
ESPO.US,D,20190118,000000,29.253,29.512,29.253,29.455,28717,0
ESPO.US,D,20190122,000000,29.103,29.103,28.691,28.691,8307,0
ESPO.US,D,20190123,000000,29.233,29.243,28.774,28.774,4854,0
ESPO.US,D,20190124,000000,29.173,29.263,29.073,29.223,6206,0
ESPO.US,D,20190125,000000,29.556,29.681,29.541,29.651,4908,0
ESPO.US,D,20190128,000000,28.874,28.904,28.675,28.89,5323,0
ESPO.US,D,20190129,000000,29.063,29.063,28.745,28.745,3594,0
ESPO.US,D,20190130,000000,29.008,29.541,29,29.452,2177,0
ESPO.US,D,20190131,000000,29.283,29.741,29.283,29.686,16984,0
ESPO.US,D,20190201,000000,29.403,29.496,29.32,29.364,4719,0
ESPO.US,D,20190204,000000,29.611,29.751,29.591,29.691,2387,0
ESPO.US,D,20190205,000000,29.661,29.887,29.661,29.887,4096,0
ESPO.US,D,20190206,000000,29.113,29.183,28.746,28.755,25356,0
ESPO.US,D,20190207,000000,28.387,28.625,28.187,28.377,40018,0
ESPO.US,D,20190208,000000,28.267,28.705,28.267,28.645,5362,0
ESPO.US,D,20190211,000000,28.824,28.824,28.536,28.536,5443,0
ESPO.US,D,20190212,000000,28.695,28.964,28.695,28.874,36772,0
ESPO.US,D,20190213,000000,29.113,29.113,28.984,28.984,7294,0
ESPO.US,D,20190214,000000,28.874,29.223,28.755,29.216,29963,0
ESPO.US,D,20190215,000000,29.263,29.263,29.213,29.213,6659,0
ESPO.US,D,20190219,000000,28.924,29.073,28.884,28.984,23448,0
ESPO.US,D,20190220,000000,28.994,29.183,28.774,28.774,10358,0
ESPO.US,D,20190221,000000,28.685,28.695,28.585,28.585,4509,0
ESPO.US,D,20190222,000000,28.665,28.803,28.665,28.715,8920,0
ESPO.US,D,20190225,000000,29.033,29.203,28.894,28.894,6149,0
ESPO.US,D,20190226,000000,28.824,28.984,28.814,28.934,2295,0
ESPO.US,D,20190227,000000,29.023,29.148,29.023,29.098,4168,0
ESPO.US,D,20190228,000000,29.098,29.098,28.924,28.924,9727,0
ESPO.US,D,20190301,000000,29.333,29.343,29.173,29.316,4850,0
ESPO.US,D,20190304,000000,29.343,29.373,28.857,29.224,10141,0
ESPO.US,D,20190305,000000,29.353,29.573,29.273,29.521,2298,0
ESPO.US,D,20190306,000000,29.521,29.551,29.413,29.413,7652,0
ESPO.US,D,20190307,000000,29.173,29.173,28.982,29.033,11714,0
ESPO.US,D,20190308,000000,28.725,28.934,28.715,28.934,4670,0
ESPO.US,D,20190311,000000,29.173,29.606,29.173,29.606,8225,0
ESPO.US,D,20190312,000000,29.651,29.721,29.611,29.661,10231,0
ESPO.US,D,20190313,000000,29.901,30.289,29.901,30.259,14427,0
ESPO.US,D,20190314,000000,29.97,29.97,29.721,29.822,8891,0
ESPO.US,D,20190315,000000,30.159,30.368,30.159,30.318,8517,0
ESPO.US,D,20190318,000000,30.597,30.727,30.597,30.617,16646,0
ESPO.US,D,20190319,000000,30.707,30.965,30.707,30.916,22114,0
ESPO.US,D,20190320,000000,30.946,31.225,30.877,30.976,15223,0
ESPO.US,D,20190321,000000,30.787,31.708,30.787,31.663,17782,0
ESPO.US,D,20190322,000000,31.673,31.833,31.166,31.205,31463,0
ESPO.US,D,20190325,000000,31.235,31.245,30.949,31.116,13387,0
ESPO.US,D,20190326,000000,31.355,31.663,31.157,31.249,10246,0
ESPO.US,D,20190327,000000,31.503,31.503,31.136,31.176,11945,0
ESPO.US,D,20190328,000000,31.394,31.493,31.186,31.493,30565,0
ESPO.US,D,20190329,000000,31.673,31.673,31.404,31.613,15627,0
