<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
EUFN.US,D,20100203,000000,14.9323,14.9323,14.9323,14.9323,1081.6214327172,0
EUFN.US,D,20100209,000000,13.8842,13.9304,13.8842,13.9304,2711.846243412,0
EUFN.US,D,20100211,000000,13.7841,13.9304,13.7841,13.9304,1507.6202678892,0
EUFN.US,D,20100212,000000,13.5656,13.5656,13.5656,13.5656,753.29062317,0
EUFN.US,D,20100216,000000,13.8602,13.8602,13.8602,13.8602,753.29062317,0
EUFN.US,D,20100217,000000,14.3626,14.3626,14.3626,14.3626,375.0867792612,0
EUFN.US,D,20100218,000000,14.3443,14.3693,14.2172,14.3693,8225.9336050164,0
EUFN.US,D,20100219,000000,14.2374,14.2374,14.2374,14.2374,330.4088526456,0
EUFN.US,D,20100224,000000,14.2086,14.2172,14.2086,14.2172,753.29062317,0
EUFN.US,D,20100225,000000,14.1017,14.1017,14.1017,14.1017,286.7699475792,0
EUFN.US,D,20100226,000000,14.3164,14.3164,14.3164,14.3164,150.658124634,0
EUFN.US,D,20100301,000000,14.0834,14.0969,14.0834,14.0969,3093.1671519684,0
EUFN.US,D,20100303,000000,14.6272,14.6272,14.6272,14.6272,150.658124634,0
EUFN.US,D,20100319,000000,15.3115,15.3115,15.1181,15.1181,1207.3430401704,0
EUFN.US,D,20100322,000000,14.8601,14.8601,14.8313,14.8313,906.0267909024,0
EUFN.US,D,20100323,000000,15.1325,15.1325,15.1325,15.1325,150.658124634,0
EUFN.US,D,20100405,000000,15.6772,15.6772,15.6772,15.6772,150.658124634,0
EUFN.US,D,20100408,000000,15.1922,15.2653,15.1922,15.2653,2711.846243412,0
EUFN.US,D,20100409,000000,15.6445,15.6821,15.6445,15.6821,649.38846825,0
EUFN.US,D,20100412,000000,15.8948,15.9015,15.8948,15.9015,1960.6336633404,0
EUFN.US,D,20100413,000000,15.9284,15.9284,15.9284,15.9284,150.658124634,0
EUFN.US,D,20100416,000000,16.0873,16.0873,15.7311,15.7311,303.3942923664,0
EUFN.US,D,20100419,000000,15.3433,15.5223,15.3433,15.5223,451.974373902,0
EUFN.US,D,20100422,000000,15.0132,15.0247,15.0132,15.0247,1806.8584740588,0
EUFN.US,D,20100423,000000,15.1056,15.1056,15.0796,15.0796,4368.0465928368,0
EUFN.US,D,20100427,000000,14.8005,14.8005,14.3539,14.428,2711.846243412,0
EUFN.US,D,20100428,000000,14.3962,14.4357,14.3539,14.3693,8584.3960394904,0
EUFN.US,D,20100429,000000,14.6349,14.6349,14.6349,14.6349,1507.6202678892,0
EUFN.US,D,20100504,000000,14.0507,14.0507,13.7601,13.7668,4383.6319160748,0
EUFN.US,D,20100505,000000,13.2673,13.4068,13.2673,13.3202,3720.7361676852,0
EUFN.US,D,20100506,000000,13.0142,13.0142,11.6205,12.3039,7849.807804206,0
EUFN.US,D,20100507,000000,12.6022,12.6022,12.0796,12.2192,10141.889341741,0
EUFN.US,D,20100510,000000,13.8958,13.9824,13.7668,13.7841,23787.359347385,0
EUFN.US,D,20100511,000000,13.3943,13.7774,13.2942,13.5907,4668.3238205556,0
EUFN.US,D,20100513,000000,13.5589,13.6407,13.4656,13.4656,1280.0745486144,0
EUFN.US,D,20100514,000000,12.942,12.9622,12.6831,12.7168,12805.94059389,0
EUFN.US,D,20100517,000000,12.8871,12.8967,12.7283,12.8554,3466.1758881312,0
EUFN.US,D,20100518,000000,13.0286,13.1008,12.5435,12.5772,6059.5736749344,0
EUFN.US,D,20100519,000000,12.6022,12.6369,12.5435,12.557,8544.9132206208,0
EUFN.US,D,20100520,000000,12.1268,12.3847,12.0662,12.225,13264.149097087,0
EUFN.US,D,20100521,000000,12.6109,12.6109,12.6109,12.6109,662.8957483896,0
EUFN.US,D,20100525,000000,11.865,12.0979,11.7072,12.0796,10761.146185064,0
EUFN.US,D,20100526,000000,12.225,12.2317,11.9122,11.9122,9553.803144894,0
EUFN.US,D,20100527,000000,12.4107,12.7485,12.4059,12.6369,20612.10949303,0
EUFN.US,D,20100528,000000,12.6561,12.6561,12.4107,12.4107,5569.155503712,0
EUFN.US,D,20100601,000000,12.6513,12.6513,12.3251,12.3251,1266.5672684748,0
EUFN.US,D,20100602,000000,12.3251,12.5185,12.3251,12.5185,3183.5620267488,0
EUFN.US,D,20100603,000000,12.4848,12.4848,12.4848,12.4848,150.658124634,0
EUFN.US,D,20100604,000000,12.0267,12.0267,11.66,11.6658,25088.214326983,0
EUFN.US,D,20100607,000000,11.8352,11.8352,11.5946,11.5946,906.0267909024,0
EUFN.US,D,20100608,000000,11.6292,11.6947,11.5551,11.6947,2860.4263249476,0
EUFN.US,D,20100609,000000,11.6744,11.6744,11.6744,11.6744,1806.8584740588,0
EUFN.US,D,20100610,000000,12.1855,12.3453,12.0662,12.3453,167428.97145964,0
EUFN.US,D,20100611,000000,12.4059,12.5041,12.4059,12.4579,5336.4146766912,0
EUFN.US,D,20100614,000000,12.8409,12.8409,12.6831,12.6831,451.974373902,0
EUFN.US,D,20100615,000000,13.0402,13.2047,13.0402,13.1951,3013.16249268,0
EUFN.US,D,20100616,000000,13.1287,13.1999,13.1152,13.1999,1684.2539312532,0
EUFN.US,D,20100617,000000,13.3529,13.3529,13.2047,13.2625,9418.730343498,0
EUFN.US,D,20100618,000000,13.4001,13.453,13.3481,13.3481,2198.5695981072,0
EUFN.US,D,20100621,000000,13.6118,13.6118,13.3886,13.3886,753.29062317,0
EUFN.US,D,20100622,000000,13.3308,13.3308,12.7899,13.1075,2560.1490972288,0
EUFN.US,D,20100623,000000,13.0402,13.327,12.9901,13.0469,1354.8841001568,0
EUFN.US,D,20100624,000000,12.9689,12.9737,12.7822,12.7822,601.5934769868,0
EUFN.US,D,20100625,000000,12.761,12.8756,12.6696,12.7899,3161.7425742156,0
EUFN.US,D,20100628,000000,12.8053,12.8101,12.7428,12.7553,1354.8841001568,0
EUFN.US,D,20100629,000000,12.2317,12.2317,12.2317,12.2317,1503.4641816924,0
EUFN.US,D,20100630,000000,12.223,12.223,12.1075,12.1075,1207.3430401704,0
EUFN.US,D,20100701,000000,12.3693,12.3693,12.2837,12.2837,1960.6336633404,0
EUFN.US,D,20100702,000000,12.3578,12.3578,12.3385,12.3491,840.5684333028,0
EUFN.US,D,20100706,000000,12.6696,12.7957,12.5628,12.5628,9340.803727308,0
EUFN.US,D,20100708,000000,13.4733,13.5252,13.1152,13.453,10850.502038296,0
EUFN.US,D,20100709,000000,13.5108,13.5589,13.5108,13.5589,660743.93476121,0
EUFN.US,D,20100712,000000,13.4396,13.5175,13.3943,13.4858,254345.20209332,0
EUFN.US,D,20100713,000000,13.8043,13.9237,13.7841,13.9237,13634.040768602,0
EUFN.US,D,20100714,000000,13.7601,13.889,13.7042,13.889,27775.124053214,0
EUFN.US,D,20100715,000000,13.7841,13.8525,13.7042,13.8525,1607.3663366124,0
EUFN.US,D,20100716,000000,13.658,13.658,13.3674,13.3674,5635.6528828608,0
EUFN.US,D,20100719,000000,13.4068,13.4068,13.4068,13.4068,151055.03086579,0
EUFN.US,D,20100720,000000,13.1884,13.5753,13.1884,13.5753,148264.21898464,0
EUFN.US,D,20100721,000000,13.634,13.634,13.2461,13.3125,97829.073964926,0
EUFN.US,D,20100722,000000,13.7774,13.9372,13.7774,13.9372,34581.754222024,0
EUFN.US,D,20100723,000000,13.7524,15.1922,13.7524,14.0834,32098.492719436,0
EUFN.US,D,20100726,000000,14.0623,14.2692,14.0623,14.2692,11752.372743001,0
EUFN.US,D,20100727,000000,14.9256,14.9323,14.6542,14.8264,12910.881770359,0
EUFN.US,D,20100728,000000,14.8919,14.8919,14.7398,14.7398,14082.898077857,0
EUFN.US,D,20100729,000000,14.7273,14.8207,14.7273,14.8207,489.3791496732,0
EUFN.US,D,20100730,000000,14.5955,14.6648,14.5955,14.6648,1656.2003494248,0
EUFN.US,D,20100802,000000,15.1874,15.4568,15.1874,15.4568,37664.5311585,0
EUFN.US,D,20100803,000000,15.3972,15.5579,15.3914,15.4645,194096.4985414,0
EUFN.US,D,20100804,000000,15.3827,15.4039,15.2653,15.3722,34193.160162623,0
