<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
EWZS.US,D,20101004,000000,20.4215,20.5751,20.197,20.2708,85060.244524626,0
EWZS.US,D,20101005,000000,20.7858,20.7858,20.3043,20.6824,59218.617668998,0
EWZS.US,D,20101006,000000,20.8016,20.8016,20.6046,20.6283,211825.98657657,0
EWZS.US,D,20101007,000000,21.1521,21.1521,20.5278,20.6283,154724.78586874,0
EWZS.US,D,20101008,000000,20.643,21.1206,20.643,21.0999,59105.891873943,0
EWZS.US,D,20101011,000000,21.9891,21.9891,21.1886,21.2033,74695.564665766,0
EWZS.US,D,20101012,000000,21.5509,21.5598,20.9906,21.3461,109324.72579718,0
EWZS.US,D,20101013,000000,21.3294,21.9379,21.3294,21.8838,54433.35689152,0
EWZS.US,D,20101014,000000,22.1486,22.1486,21.6189,21.7154,97913.016256325,0
EWZS.US,D,20101015,000000,21.8985,21.8985,21.6484,21.8168,61245.650884586,0
EWZS.US,D,20101018,000000,21.8926,21.8985,21.7006,21.7006,98305.01766976,0
EWZS.US,D,20101019,000000,21.5805,21.7006,19.1306,21.0054,116068.97809413,0
EWZS.US,D,20101020,000000,21.1127,21.5598,21.1127,21.3382,77627.450884905,0
EWZS.US,D,20101021,000000,21.5726,21.6868,21.0655,21.2122,82769.168906206,0
EWZS.US,D,20101022,000000,21.2122,21.3461,21.0586,21.1285,21439.227562255,0
EWZS.US,D,20101025,000000,21.3757,21.4141,21.2319,21.3294,42974.932156314,0
EWZS.US,D,20101026,000000,21.4062,21.4909,21.1364,21.4367,28969.513781483,0
EWZS.US,D,20101027,000000,21.483,21.483,21.0812,21.1127,34670.798587248,0
EWZS.US,D,20101028,000000,21.4219,21.4219,21.158,21.2703,24469.621908604,0
EWZS.US,D,20101029,000000,21.0734,21.5509,21.0734,21.5509,33416.597173796,0
EWZS.US,D,20101101,000000,21.7912,21.8237,21.6327,21.8168,35314.655831077,0
EWZS.US,D,20101102,000000,22.4224,22.4224,21.9743,22.1634,56530.462898628,0
EWZS.US,D,20101103,000000,22.4588,22.4588,21.9379,22.2461,54825.358304955,0
EWZS.US,D,20101104,000000,22.9502,22.9502,22.4667,22.7621,279142.58163088,0
EWZS.US,D,20101105,000000,22.9502,22.9502,22.5494,22.6479,190259.81555141,0
EWZS.US,D,20101108,000000,22.5553,22.5553,22.2392,22.45,34624.083392901,0
EWZS.US,D,20101109,000000,22.5849,22.6912,21.9507,21.999,74998.19788132,0
EWZS.US,D,20101110,000000,22.2077,23.8699,21.5224,21.8394,113898.7526524,0
EWZS.US,D,20101111,000000,21.8306,21.8838,21.7341,21.8532,77174.516609278,0
EWZS.US,D,20101112,000000,21.4219,21.8237,21.4219,21.6484,46063.212721746,0
EWZS.US,D,20101115,000000,21.8838,21.9202,21.7085,21.7085,14679.742049756,0
EWZS.US,D,20101116,000000,21.5352,21.5352,20.8991,20.8991,37524.48763324,0
EWZS.US,D,20101117,000000,20.9522,21.4446,20.9522,21.2319,77356.29964815,0
EWZS.US,D,20101118,000000,21.8532,21.8591,21.6711,21.7843,27294.875618906,0
EWZS.US,D,20101119,000000,21.9291,21.9596,21.7085,21.8237,64586.802828114,0
EWZS.US,D,20101122,000000,21.5805,21.9291,21.5598,21.9202,15771.455830696,0
EWZS.US,D,20101123,000000,21.5726,21.5726,21.1433,21.2545,11599.58586595,0
EWZS.US,D,20101124,000000,21.8591,21.8591,21.7085,21.8532,16160.410601022,0
EWZS.US,D,20101126,000000,21.8532,21.8532,21.4515,21.7006,3138.042402888,0
EWZS.US,D,20101129,000000,21.6711,21.8079,21.3826,21.8079,7295.6946997888,0
EWZS.US,D,20101130,000000,21.739,22.1486,21.5145,22.125,21025.899647053,0
EWZS.US,D,20101201,000000,21.8985,22.254,21.8306,21.9054,82172.026856725,0
EWZS.US,D,20101202,000000,22.4588,22.4588,21.9291,22.1329,19443.676325467,0
EWZS.US,D,20101203,000000,22.1998,22.3594,21.9379,22.3456,7291.632508976,0
EWZS.US,D,20101206,000000,21.8926,22.5405,21.8926,22.5189,19982.932155866,0
EWZS.US,D,20101207,000000,22.6912,22.7532,22.125,22.125,21632.181625863,0
EWZS.US,D,20101208,000000,22.382,22.382,21.8306,21.9291,7270.3060072088,0
EWZS.US,D,20101209,000000,21.8985,21.8985,21.4662,21.7154,20502.892579905,0
EWZS.US,D,20101210,000000,21.7085,21.7085,21.2624,21.5726,9015.0169613064,0
EWZS.US,D,20101213,000000,21.9291,22.0876,21.7085,22.0876,39791.190106782,0
EWZS.US,D,20101214,000000,22.2077,22.3141,22.0551,22.2077,20079.40918767,0
EWZS.US,D,20101215,000000,22.1703,22.2619,21.9379,21.9379,11375.149823543,0
EWZS.US,D,20101216,000000,22.3219,22.3219,21.8463,21.9379,19552.33992971,0
EWZS.US,D,20101217,000000,21.9665,21.9665,21.7459,21.8749,27534.544876862,0
EWZS.US,D,20101220,000000,22.0551,22.125,21.8237,21.9743,86473.88692748,0
EWZS.US,D,20101221,000000,22.2077,22.2835,21.9743,22.1014,22177.530742482,0
EWZS.US,D,20101222,000000,22.2077,22.2461,21.7715,21.9507,29475.256537677,0
EWZS.US,D,20101223,000000,21.9507,22.1417,21.8237,22.064,11336.559010822,0
EWZS.US,D,20101227,000000,22.0551,22.3082,21.6484,21.8079,404937.46007856,0
EWZS.US,D,20101228,000000,22.2461,22.2461,21.7242,21.9291,30284.648057127,0
EWZS.US,D,20101229,000000,21.9379,22.0433,21.6189,22.0433,13015.259364211,0
