<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FAAR.US,D,20160523,000000,26.021,26.072,26.021,26.021,573,0
FAAR.US,D,20160527,000000,26.072,26.09,26.037,26.047,1609,0
FAAR.US,D,20160531,000000,26.134,26.134,26.134,26.134,115,0
FAAR.US,D,20160601,000000,25.951,25.951,25.915,25.915,345,0
FAAR.US,D,20160602,000000,27.004,27.004,26.061,26.061,364,0
FAAR.US,D,20160603,000000,26.012,26.012,26.012,26.012,115,0
FAAR.US,D,20160617,000000,26.063,26.063,26.003,26.003,3214,0
FAAR.US,D,20160620,000000,25.915,25.915,25.915,25.915,573,0
FAAR.US,D,20160621,000000,25.706,25.741,25.706,25.741,458,0
FAAR.US,D,20160623,000000,25.785,25.785,25.785,25.785,229,0
FAAR.US,D,20160627,000000,25.741,25.758,25.741,25.758,229,0
FAAR.US,D,20160705,000000,26.09,26.09,26.09,26.09,229,0
FAAR.US,D,20160711,000000,26.072,26.159,26.072,26.159,345,0
FAAR.US,D,20160713,000000,26.151,26.309,26.081,26.309,573,0
FAAR.US,D,20160719,000000,25.807,25.807,25.807,25.807,687,0
FAAR.US,D,20160725,000000,25.619,25.619,25.559,25.559,229,0
FAAR.US,D,20160726,000000,25.688,25.688,25.688,25.688,1147,0
FAAR.US,D,20160801,000000,25.811,25.811,25.809,25.809,402,0
FAAR.US,D,20160802,000000,25.854,25.854,25.854,25.854,1147,0
FAAR.US,D,20160803,000000,25.811,30.488,25.749,25.941,14608,0
FAAR.US,D,20160805,000000,25.941,25.941,25.941,25.941,229,0
FAAR.US,D,20160808,000000,25.976,25.976,25.976,25.976,744,0
FAAR.US,D,20160809,000000,25.941,25.941,25.941,25.941,754,0
FAAR.US,D,20160810,000000,25.96,25.96,25.872,25.898,2296,0
FAAR.US,D,20160812,000000,25.623,25.623,25.623,25.623,309,0
FAAR.US,D,20160819,000000,25.333,25.375,25.333,25.341,345,0
FAAR.US,D,20160823,000000,25.524,25.524,25.523,25.523,345,0
FAAR.US,D,20160824,000000,25.418,25.454,25.403,25.403,425,0
FAAR.US,D,20160825,000000,25.411,25.411,25.399,25.399,1838,0
FAAR.US,D,20160831,000000,25.436,25.436,25.436,25.436,115,0
FAAR.US,D,20160907,000000,25.375,25.375,25.375,25.375,11044,0
FAAR.US,D,20160929,000000,25.49,25.49,25.49,25.49,306,0
FAAR.US,D,20160930,000000,25.495,25.495,25.495,25.495,918,0
FAAR.US,D,20161003,000000,25.48,25.48,25.48,25.48,229,0
FAAR.US,D,20161007,000000,25.515,25.515,25.515,25.515,115,0
FAAR.US,D,20161010,000000,25.372,25.372,25.334,25.334,1033,0
FAAR.US,D,20161101,000000,25.174,25.174,25.174,25.174,245,0
FAAR.US,D,20161102,000000,25.112,25.112,25.112,25.112,138,0
FAAR.US,D,20161104,000000,25.079,25.123,25.031,25.123,1838,0
FAAR.US,D,20161108,000000,25.082,25.082,25.077,25.077,511,0
FAAR.US,D,20161109,000000,25.166,25.166,25.15,25.15,820,0
FAAR.US,D,20161110,000000,25.236,25.236,25.166,25.166,332,0
FAAR.US,D,20161111,000000,25.096,25.096,25.094,25.094,3986,0
FAAR.US,D,20161114,000000,25.075,25.075,25.075,25.075,261,0
FAAR.US,D,20161115,000000,25.15,25.182,25.111,25.146,1444,0
FAAR.US,D,20161116,000000,25.082,25.082,25.069,25.069,533,0
FAAR.US,D,20161118,000000,25.018,25.018,25.018,25.018,286,0
FAAR.US,D,20161121,000000,25.201,25.201,25.15,25.15,1616,0
FAAR.US,D,20161122,000000,25.201,25.254,25.184,25.246,3269,0
FAAR.US,D,20161123,000000,25.296,25.357,25.268,25.357,939,0
FAAR.US,D,20161125,000000,25.445,25.454,25.442,25.454,1050,0
FAAR.US,D,20161128,000000,25.558,25.558,25.463,25.55,1977,0
FAAR.US,D,20161129,000000,25.343,25.403,25.343,25.403,1422,0
FAAR.US,D,20161130,000000,25.311,25.311,25.311,25.311,396,0
FAAR.US,D,20161202,000000,25.393,25.393,25.384,25.384,390,0
FAAR.US,D,20161205,000000,25.367,25.367,25.271,25.333,588,0
FAAR.US,D,20161206,000000,25.333,25.375,25.333,25.375,2425,0
FAAR.US,D,20161208,000000,25.095,25.192,25.095,25.192,67037,0
FAAR.US,D,20161209,000000,25.15,25.15,25.15,25.15,2599,0
FAAR.US,D,20161212,000000,25.201,25.201,25.201,25.201,440,0
FAAR.US,D,20161214,000000,25.228,25.228,25.228,25.228,761,0
FAAR.US,D,20161215,000000,25.188,25.201,25.174,25.201,1825,0
FAAR.US,D,20161216,000000,25.141,25.184,25.088,25.15,1815,0
FAAR.US,D,20161219,000000,25.079,25.132,25.041,25.114,24912,0
FAAR.US,D,20161220,000000,25.071,25.088,25,25.088,4262,0
FAAR.US,D,20161222,000000,25.088,25.088,25.072,25.079,1965,0
FAAR.US,D,20161223,000000,25.088,25.088,25.071,25.088,1445,0
FAAR.US,D,20161227,000000,25,25.071,25,25.062,3364,0
FAAR.US,D,20161228,000000,25.062,25.114,25.062,25.114,2506,0
