<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FAB.US,D,20070511,000000,25.2935,25.2935,25.2935,25.2935,113.96706985126,0
FAB.US,D,20070523,000000,25.7843,25.7843,25.7843,25.7843,239.02827924557,0
FAB.US,D,20070525,000000,25.3878,25.3976,25.3878,25.3976,1417.0241870887,0
FAB.US,D,20070601,000000,25.944,25.9787,25.944,25.9787,2487.1043739223,0
FAB.US,D,20070604,000000,26.0381,26.0381,26.0381,26.0381,113.96706985126,0
FAB.US,D,20070608,000000,25.0416,25.3035,25.0318,25.3035,3674.1773050279,0
FAB.US,D,20070611,000000,25.3163,25.3163,25.3163,25.3163,113.96706985126,0
FAB.US,D,20070615,000000,25.8339,25.8339,25.8339,25.8339,356.02102351767,0
FAB.US,D,20070619,000000,25.706,25.706,25.706,25.706,1897.0978618604,0
FAB.US,D,20070621,000000,25.4294,25.5285,25.4294,25.5285,2253.1188853781,0
FAB.US,D,20070622,000000,25.3163,25.3163,25.2856,25.2856,591.01507020213,0
FAB.US,D,20070625,000000,25.236,25.236,25.1666,25.1666,1417.0241870887,0
FAB.US,D,20070626,000000,25.0764,25.0764,25.0764,25.0764,948.04465186008,0
FAB.US,D,20070627,000000,24.9148,24.9148,24.9148,24.9148,113.96706985126,0
FAB.US,D,20070629,000000,25.3253,25.3253,25.3253,25.3253,712.04204703533,0
FAB.US,D,20070702,000000,25.4899,25.4899,25.4899,25.4899,356.02102351767,0
FAB.US,D,20070705,000000,25.5127,25.6078,25.5127,25.6078,591.01507020213,0
FAB.US,D,20070706,000000,25.6971,25.6971,25.6971,25.6971,356.02102351767,0
FAB.US,D,20070710,000000,25.4899,25.4899,25.473,25.473,469.98809336893,0
FAB.US,D,20070712,000000,25.706,25.706,25.706,25.706,469.98809336893,0
FAB.US,D,20070716,000000,25.7655,25.7655,25.7655,25.7655,356.02102351767,0
FAB.US,D,20070717,000000,25.9262,25.9262,25.9262,25.9262,113.96706985126,0
FAB.US,D,20070720,000000,25.5712,25.6327,25.5712,25.6327,4032.2154448261,0
FAB.US,D,20070723,000000,25.5553,25.5553,25.5553,25.5553,356.02102351767,0
FAB.US,D,20070726,000000,24.4676,24.4676,24.4676,24.4676,1068.063070553,0
FAB.US,D,20070727,000000,24.1305,24.1305,24.1305,24.1305,948.04465186008,0
FAB.US,D,20070801,000000,23.7418,23.7587,23.3085,23.6298,4389.2450264841,0
FAB.US,D,20070802,000000,23.7924,23.7924,23.7924,23.7924,113.96706985126,0
FAB.US,D,20070803,000000,23.1241,23.1241,23.1241,23.1241,1897.0978618604,0
FAB.US,D,20070806,000000,22.897,22.897,22.7196,22.7196,591.01507020213,0
FAB.US,D,20070807,000000,23.4622,23.5207,23.4622,23.5207,1183.0386985445,0
FAB.US,D,20070808,000000,23.8082,23.8082,23.2956,23.2956,2487.1043739223,0
FAB.US,D,20070809,000000,23.2173,23.3928,23.1747,23.1826,8534.4189830212,0
FAB.US,D,20070810,000000,22.6938,23.3839,22.6938,23.3839,2725.1240950276,0
FAB.US,D,20070814,000000,23.3085,23.3085,23.3085,23.3085,239.02827924557,0
FAB.US,D,20070815,000000,22.8703,22.8703,22.4389,22.4389,2487.1043739223,0
FAB.US,D,20070816,000000,22.2218,22.667,22.0354,22.6333,7109.3263308103,0
FAB.US,D,20070817,000000,23.4206,23.4206,23.0131,23.0131,356.02102351767,0
FAB.US,D,20070820,000000,23.1747,23.1747,23.1747,23.1747,239.02827924557,0
FAB.US,D,20070821,000000,23.2084,23.2956,23.1826,23.2372,31871.445790883,0
FAB.US,D,20070822,000000,23.4622,23.4622,23.3839,23.3839,12323.571916041,0
FAB.US,D,20070823,000000,23.4285,23.4702,23.4285,23.4454,10071.461588802,0
FAB.US,D,20070824,000000,23.4532,23.7161,23.4532,23.7161,1661.0952570357,0
FAB.US,D,20070827,000000,23.5207,23.5297,23.4702,23.4702,3318.1562815103,0
FAB.US,D,20070828,000000,23.3343,23.3343,23.133,23.1409,6633.2868885997,0
FAB.US,D,20070829,000000,23.3611,23.3611,23.3611,23.3611,239.02827924557,0
FAB.US,D,20070831,000000,23.5029,23.5127,23.4017,23.4374,2846.1510718608,0
FAB.US,D,20070904,000000,23.4106,23.8023,23.4106,23.8023,10543.466798453,0
FAB.US,D,20070905,000000,23.5029,23.5029,23.3779,23.3779,2846.1510718608,0
FAB.US,D,20070906,000000,23.3016,23.3016,23.3016,23.3016,239.02827924557,0
FAB.US,D,20070907,000000,22.9803,22.9803,22.9803,22.9803,113.96706985126,0
FAB.US,D,20070913,000000,23.1578,23.1578,23.1578,23.1578,469.98809336893,0
FAB.US,D,20070914,000000,22.8534,22.9555,22.8534,22.9555,2132.0919085449,0
FAB.US,D,20070918,000000,23.0229,23.1578,23.0229,23.1578,3199.1464209576,0
FAB.US,D,20070921,000000,23.8737,23.9203,23.833,23.9203,2725.1240950276,0
FAB.US,D,20070924,000000,23.7775,23.7775,23.7329,23.7329,356.02102351767,0
FAB.US,D,20070925,000000,23.3254,23.3254,23.3254,23.3254,1068.063070553,0
FAB.US,D,20070926,000000,23.6387,23.6387,23.6387,23.6387,469.98809336893,0
FAB.US,D,20071002,000000,24.0343,24.1126,24.0343,24.0879,7464.3387961877,0
FAB.US,D,20071004,000000,24.0621,24.0621,24.0621,24.0621,591.01507020213,0
FAB.US,D,20071008,000000,24.1979,24.1979,24.1979,24.1979,113.96706985126,0
FAB.US,D,20071010,000000,24.2535,24.2535,24.2535,24.2535,239.02827924557,0
