<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FAD.US,D,20070510,000000,28.6444,28.6634,28.6444,28.6634,1874.475946266,0
FAD.US,D,20070511,000000,28.6634,28.6734,28.6534,28.6734,2395.7205944255,0
FAD.US,D,20070523,000000,29.3877,29.3877,29.3677,29.3677,1147.7406195051,0
FAD.US,D,20070525,000000,28.9317,28.9707,28.9317,28.9707,1566.741125141,0
FAD.US,D,20070529,000000,29.0075,29.0075,29.0075,29.0075,939.24276024129,0
FAD.US,D,20070601,000000,29.692,29.7009,29.663,29.663,1978.7248758979,0
FAD.US,D,20070607,000000,28.9707,28.9707,28.7312,28.7412,1251.989549137,0
FAD.US,D,20070608,000000,28.6634,28.6634,28.6634,28.6634,939.24276024129,0
FAD.US,D,20070614,000000,29.2999,29.3089,29.2999,29.3089,729.74250742333,0
FAD.US,D,20070615,000000,29.653,29.653,29.653,29.653,307.73482112495,0
FAD.US,D,20070618,000000,29.6052,29.6052,29.4824,29.5014,4070.720223415,0
FAD.US,D,20070619,000000,29.3388,29.4824,29.3388,29.4824,3022.2165657711,0
FAD.US,D,20070621,000000,28.9417,29.2619,28.9417,29.2619,3125.4631018488,0
FAD.US,D,20070622,000000,29.2121,29.2121,28.9507,28.9507,3022.2165657711,0
FAD.US,D,20070626,000000,28.9118,28.9118,28.7612,28.7612,1772.2318037424,0
FAD.US,D,20070627,000000,28.6444,28.9707,28.6444,28.9707,4273.2037213539,0
FAD.US,D,20070628,000000,29.1233,29.1831,29.1233,29.1831,5629.4422001228,0
FAD.US,D,20070629,000000,29.2999,29.2999,28.9896,28.9896,3857.2103963804,0
FAD.US,D,20070702,000000,29.3089,29.3089,29.3089,29.3089,1669.9876612188,0
FAD.US,D,20070703,000000,29.5393,29.5482,29.5104,29.5482,9900.6411343684,0
FAD.US,D,20070705,000000,29.5662,29.6052,29.4924,29.6052,5733.6911297547,0
FAD.US,D,20070706,000000,29.7378,29.8067,29.7378,29.8067,6357.1799204378,0
FAD.US,D,20070710,000000,29.682,29.7009,29.4445,29.4445,12303.378483673,0
FAD.US,D,20070711,000000,29.5762,29.5762,29.5762,29.5762,3022.2165657711,0
FAD.US,D,20070712,000000,29.8655,30.0681,29.8655,30.0681,6357.1799204378,0
FAD.US,D,20070713,000000,30.0979,30.2117,30.0781,30.2117,7505.9229334971,0
FAD.US,D,20070716,000000,30.1249,30.2506,30.0101,30.0101,4897.6949055912,0
FAD.US,D,20070717,000000,30.2307,30.2307,30.1628,30.1628,4588.9576909121,0
FAD.US,D,20070718,000000,29.9423,29.9423,29.9423,29.9423,1251.989549137,0
FAD.US,D,20070719,000000,30.2506,30.2506,30.2307,30.2307,2499.9695240574,0
FAD.US,D,20070720,000000,30.1079,30.1079,29.7767,30.0201,4171.9619723845,0
FAD.US,D,20070723,000000,30.0501,30.0681,29.9034,29.9034,2818.730674278,0
FAD.US,D,20070724,000000,29.6231,29.6231,29.6231,29.6231,939.24276024129,0
FAD.US,D,20070725,000000,29.242,29.252,29.2321,29.252,6880.4293557056,0
FAD.US,D,20070726,000000,28.826,28.9797,28.2265,28.389,10629.381248238,0
FAD.US,D,20070727,000000,28.3801,28.5218,28.1865,28.1865,3857.2103963804,0
FAD.US,D,20070730,000000,28.0339,28.2753,28.0339,28.2553,7298.4274677874,0
FAD.US,D,20070731,000000,28.6834,28.6834,28.1497,28.1497,6357.1799204378,0
