<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FALN.US,D,20160617,000000,19.2059,19.2128,19.2,19.2128,686.90776090142,0
FALN.US,D,20160620,000000,19.4197,19.4197,19.3802,19.3802,5665.9788689648,0
FALN.US,D,20160621,000000,19.391,19.391,19.391,19.391,1303.1044287689,0
FALN.US,D,20160622,000000,19.4742,19.4742,19.4653,19.4653,516.19097914798,0
FALN.US,D,20160623,000000,19.6286,19.6286,19.5811,19.5831,2194.0642009969,0
FALN.US,D,20160624,000000,19.2534,19.5563,19.2534,19.2831,4882.0958947596,0
FALN.US,D,20160627,000000,19.0742,19.0742,18.9614,18.9614,1111.1743191052,0
FALN.US,D,20160628,000000,19.2,19.2613,19.2,19.2613,921.26452638543,0
FALN.US,D,20160629,000000,19.5603,19.5603,19.5603,19.5603,1303.1044287689,0
FALN.US,D,20160630,000000,19.6821,19.6821,19.6821,19.6821,665.69443299123,0
FALN.US,D,20160701,000000,19.7217,19.8097,19.7217,19.8097,404.06338876554,0
FALN.US,D,20160705,000000,19.6939,19.6939,19.6939,19.6939,147.48313689942,0
FALN.US,D,20160707,000000,19.7642,19.7642,19.6652,19.6939,1986.9817142545,0
FALN.US,D,20160708,000000,19.9553,19.9553,19.9553,19.9553,645.49126355295,0
FALN.US,D,20160711,000000,19.9889,20.0117,19.9889,20.0117,2222.3486382105,0
FALN.US,D,20160712,000000,20.1285,20.1285,20.0989,20.0989,3133.5115798768,0
FALN.US,D,20160713,000000,19.9731,20.0642,19.9355,20.0642,1439.4758224772,0
FALN.US,D,20160714,000000,20.0989,20.0989,20.0969,20.0969,731.35473366563,0
FALN.US,D,20160715,000000,20.0176,20.0176,20.0176,20.0176,404.06338876554,0
FALN.US,D,20160719,000000,20.0622,20.0622,20.0622,20.0622,258.60056880995,0
FALN.US,D,20160720,000000,20.1206,20.1958,20.1206,20.1958,1198.0479476898,0
FALN.US,D,20160721,000000,20.2384,20.2384,20.1374,20.1542,1703.1271836468,0
FALN.US,D,20160722,000000,20.1374,20.179,20.1374,20.179,2744.6005681899,0
FALN.US,D,20160727,000000,20.0344,20.0889,20.0344,20.0889,7256.9784622291,0
FALN.US,D,20160728,000000,20.0691,20.0691,20.0691,20.0691,492.95733429396,0
FALN.US,D,20160729,000000,20.0186,20.0671,20.0186,20.0671,384.87037779918,0
FALN.US,D,20160801,000000,20.0602,20.0602,20.0018,20.0018,697.00934562056,0
FALN.US,D,20160802,000000,19.885,19.885,19.8761,19.8761,402.04307182171,0
FALN.US,D,20160803,000000,20.0286,20.1137,20.0286,20.1137,1823.3360418045,0
FALN.US,D,20160804,000000,20.2245,20.2245,20.2117,20.2245,1814.2446155573,0
FALN.US,D,20160805,000000,20.3235,20.3235,20.2711,20.2711,402.04307182171,0
FALN.US,D,20160808,000000,20.2632,20.3641,20.2632,20.3641,513.16050373224,0
FALN.US,D,20160809,000000,20.4087,20.4087,20.376,20.376,1311.1856965442,0
FALN.US,D,20160810,000000,20.3948,20.3948,20.3809,20.3809,7786.301501512,0
FALN.US,D,20160811,000000,20.4711,20.5087,20.4651,20.5087,7753.9764304107,0
FALN.US,D,20160812,000000,20.4919,20.4997,20.4919,20.4997,257.59041033803,0
FALN.US,D,20160815,000000,20.4562,20.5968,20.4562,20.567,2957.7440057638,0
FALN.US,D,20160816,000000,20.4829,20.5502,20.476,20.5502,4046.6948384869,0
