<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FBZ.US,D,20110502,000000,15.4581,15.4637,15.3857,15.3857,2384.9293679097,0
FBZ.US,D,20110503,000000,15.2853,15.2853,14.9937,14.9937,3954.7835522945,0
FBZ.US,D,20110504,000000,15.0736,15.0736,14.7291,14.7291,32340.288259384,0
FBZ.US,D,20110505,000000,14.8906,14.9222,14.6631,14.6631,1859.4912046863,0
FBZ.US,D,20110506,000000,15.1432,15.1804,14.9148,15.0782,4651.4198055847,0
FBZ.US,D,20110509,000000,15.1339,15.1488,15.0132,15.1488,1685.0629619768,0
FBZ.US,D,20110510,000000,15.1339,15.2658,15.1042,15.2658,8810.7796919211,0
FBZ.US,D,20110511,000000,14.9826,14.9872,14.9148,14.9872,2608.8866178082,0
FBZ.US,D,20110512,000000,14.8692,15.1042,14.7291,15.1042,4752.631255058,0
FBZ.US,D,20110513,000000,14.7708,14.8553,14.6427,14.6733,10786.556391747,0
FBZ.US,D,20110516,000000,14.7383,14.8553,14.7383,14.8553,790.31067993036,0
FBZ.US,D,20110517,000000,14.6993,14.7708,14.69,14.7708,2577.6618089282,0
FBZ.US,D,20110518,000000,14.8748,15.0188,14.8748,15.0188,329677.99246119,0
FBZ.US,D,20110520,000000,14.7662,15.0467,14.7662,14.9983,1185.4660198955,0
FBZ.US,D,20110523,000000,14.7811,14.8117,14.703,14.8117,2067.297691371,0
FBZ.US,D,20110524,000000,14.9148,14.9148,14.9148,14.9148,790.31067993036,0
FBZ.US,D,20110525,000000,15.003,15.0876,15.003,15.0643,3954.7835522945,0
FBZ.US,D,20110526,000000,15.0736,15.1627,15.0736,15.1627,790.31067993036,0
FBZ.US,D,20110527,000000,15.3104,15.342,15.3104,15.3104,1560.1637264565,0
FBZ.US,D,20110531,000000,15.3568,15.6541,15.3568,15.6541,9724.9128898242,0
FBZ.US,D,20110601,000000,15.4377,15.4377,15.2445,15.2445,1247.9156376557,0
FBZ.US,D,20110602,000000,15.3606,15.4711,15.29,15.4711,3760.9743937285,0
FBZ.US,D,20110603,000000,15.7358,15.7358,15.7358,15.7358,194.88587611362,0
FBZ.US,D,20110606,000000,15.4869,15.4869,15.3652,15.4266,4344.5553045218,0
FBZ.US,D,20110607,000000,15.4423,15.4924,15.4423,15.4423,3760.9743937285,0
FBZ.US,D,20110608,000000,15.29,15.3299,15.2036,15.2658,2946.9759277512,0
FBZ.US,D,20110609,000000,15.1488,15.2788,15.1488,15.2138,5596.7778123678,0
FBZ.US,D,20110610,000000,14.9937,14.9937,14.8656,14.8656,400.53892770312,0
FBZ.US,D,20110613,000000,15.0828,15.0828,14.8795,14.9148,36479.190512317,0
FBZ.US,D,20110615,000000,14.8795,14.8795,14.8405,14.8795,1498.7908262439,0
FBZ.US,D,20110616,000000,14.7188,14.7467,14.5665,14.6027,3954.7835522945,0
FBZ.US,D,20110617,000000,14.6993,14.7123,14.6993,14.7123,3219.3854672912,0
FBZ.US,D,20110620,000000,14.6733,14.69,14.6473,14.6473,1404.0396820561,0
