<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FCA.US,D,20110502,000000,21.1368,21.1368,21.1368,21.1368,287.99050851625,0
FCA.US,D,20110504,000000,19.9166,19.9166,19.8826,19.8826,2884.0192352842,0
FCA.US,D,20110506,000000,20.2841,20.2841,20.2841,20.2841,1442.0096176421,0
FCA.US,D,20110509,000000,20.1879,20.2647,20.1121,20.2647,2865.5055597367,0
FCA.US,D,20110511,000000,20.2647,20.2647,20.2647,20.2647,139.88110413647,0
FCA.US,D,20110512,000000,19.9701,19.9701,19.9701,19.9701,551.29611630254,0
FCA.US,D,20110513,000000,19.5899,19.5899,19.5695,19.5695,415.52916228774,0
FCA.US,D,20110516,000000,19.833,19.8903,19.7581,19.7581,1167.3900970212,0
FCA.US,D,20110517,000000,19.8126,19.8126,19.694,19.694,490.61240200805,0
FCA.US,D,20110518,000000,20.2841,20.2841,20.2841,20.2841,255.07730754297,0
FCA.US,D,20110520,000000,19.8971,19.8971,19.8971,19.8971,182.05114288349,0
FCA.US,D,20110523,000000,19.5015,19.5015,19.377,19.4461,2330.6660439208,0
FCA.US,D,20110524,000000,19.556,19.556,19.4383,19.4383,431.98576277438,0
FCA.US,D,20110526,000000,19.5821,19.5821,19.5821,19.5821,214.96434385678,0
FCA.US,D,20110531,000000,19.7941,19.8807,19.7941,19.8807,1115.9632205005,0
FCA.US,D,20110603,000000,19.7164,19.7164,19.7018,19.7018,2884.0192352842,0
FCA.US,D,20110606,000000,19.5899,19.5899,19.4325,19.4325,2899.4472982404,0
FCA.US,D,20110607,000000,19.377,19.377,19.377,19.377,1442.0096176421,0
FCA.US,D,20110608,000000,19.1612,19.2166,19.029,19.029,1053.2224311452,0
FCA.US,D,20110613,000000,18.3815,18.396,18.2239,18.2239,23113.29538349,0
FCA.US,D,20110614,000000,18.8189,19.029,18.8189,18.8559,3170.98120627,0
FCA.US,D,20110615,000000,18.5166,18.6196,18.4826,18.5768,11472.307614251,0
FCA.US,D,20110616,000000,18.3853,18.3853,18.3853,18.3853,431.98576277438,0
FCA.US,D,20110620,000000,18.2997,18.2997,18.2997,18.2997,579.06662962375,0
FCA.US,D,20110623,000000,18.5983,18.5983,18.5885,18.5983,1628.1749106473,0
FCA.US,D,20110629,000000,19.4101,19.4101,19.3653,19.3653,942.14037786032,0
FCA.US,D,20110630,000000,19.7349,19.7349,19.694,19.694,5453.3059862614,0
FCA.US,D,20110707,000000,20.152,20.152,20.152,20.152,854.71468777503,0
FCA.US,D,20110708,000000,20.2044,20.2044,19.9866,19.9866,3229.6078455037,0
FCA.US,D,20110711,000000,19.7941,19.7941,19.4441,19.4441,1277.4436127757,0
FCA.US,D,20110713,000000,19.8009,19.8009,19.6415,19.6415,1450.2379178854,0
FCA.US,D,20110715,000000,19.2253,19.2253,19.2253,19.2253,570.83832938043,0
FCA.US,D,20110721,000000,18.9998,18.9998,18.9765,18.9765,710.7194335169,0
FCA.US,D,20110725,000000,19.1329,19.1398,19.1262,19.1398,1393.6683537126,0
FCA.US,D,20110728,000000,19.0533,19.1038,19.0533,19.1038,984.31041660734,0
FCA.US,D,20110729,000000,18.7665,18.7665,18.7607,18.7607,823.85856186257,0
FCA.US,D,20110803,000000,18.2813,18.3775,18.2813,18.3775,3096.9265040801,0
FCA.US,D,20110804,000000,18.1822,18.1822,18.1501,18.1501,570.83832938043,0
FCA.US,D,20110805,000000,16.8307,17.17,16.7967,17.17,2707.1107800528,0
FCA.US,D,20110809,000000,16.9143,16.9143,16.5838,16.8871,2272.0394046872,0
FCA.US,D,20110810,000000,16.6965,16.7743,16.3446,16.4379,4127.5211095562,0
FCA.US,D,20110812,000000,16.7452,16.7452,16.4904,16.4904,428.90015018314,0
FCA.US,D,20110815,000000,17.2808,17.2808,16.994,17.0145,4464.8814195324,0
FCA.US,D,20110817,000000,17.1097,17.17,16.9853,16.9853,946.25452798198,0
FCA.US,D,20110822,000000,15.6708,15.8516,15.6708,15.8516,12213.883173681,0
FCA.US,D,20110826,000000,15.4909,15.5269,15.4909,15.5055,4556.4212597393,0
FCA.US,D,20110831,000000,16.6363,16.6363,16.6187,16.6187,513.24022767718,0
FCA.US,D,20110902,000000,16.6187,16.6187,16.5147,16.5147,3111.326029506,0
FCA.US,D,20110912,000000,15.1253,15.1253,14.999,15.0563,1843.139254504,0
