<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FCAL.US,D,20170627,000000,45.7265,45.7265,45.7165,45.7165,542.14328907466,0
FCAL.US,D,20170628,000000,45.7075,45.7075,45.7075,45.7075,203.80571792992,0
FCAL.US,D,20170706,000000,45.4944,45.4944,45.4944,45.4944,984.89364181896,0
FCAL.US,D,20170712,000000,45.5831,45.5831,45.5681,45.5681,603.38540135902,0
FCAL.US,D,20170717,000000,45.7663,45.7663,45.7663,45.7663,307.21453047564,0
FCAL.US,D,20170718,000000,45.7863,45.7863,45.7863,45.7863,100.3969053842,0
FCAL.US,D,20170720,000000,45.9367,45.9367,45.9297,45.9297,203.80571792992,0
FCAL.US,D,20170724,000000,46.0402,46.0492,46.0402,46.0492,16062.500892417,0
FCAL.US,D,20170728,000000,46.0024,46.0024,46.0024,46.0024,541.13932002082,0
FCAL.US,D,20170731,000000,46.0214,46.0214,46.0124,46.0214,2726.7799502348,0
FCAL.US,D,20170801,000000,45.9944,46.0044,45.9944,46.0044,203.80571792992,0
FCAL.US,D,20170803,000000,46.0732,46.0801,46.0732,46.0801,647.56003972807,0
FCAL.US,D,20170804,000000,46.0732,46.1478,46.0732,46.1418,6334.0407606889,0
FCAL.US,D,20170807,000000,46.2444,46.2644,46.2146,46.2146,2262.9462473598,0
FCAL.US,D,20170808,000000,46.2146,46.2146,46.2146,46.2146,1088.3024543647,0
FCAL.US,D,20170809,000000,46.2444,46.2594,46.1976,46.1976,3217.7208175635,0
FCAL.US,D,20170815,000000,46.7306,46.7306,46.7306,46.7306,268.0597373758,0
FCAL.US,D,20170816,000000,46.4127,46.4127,46.3889,46.4127,1205.7668336642,0
FCAL.US,D,20170817,000000,46.3709,46.3849,46.3211,46.3211,1088.3024543647,0
FCAL.US,D,20170822,000000,46.354,46.354,46.354,46.354,100.3969053842,0
FCAL.US,D,20170823,000000,46.4507,46.4507,46.4507,46.4507,100.3969053842,0
FCAL.US,D,20170824,000000,46.4127,46.4327,46.3271,46.3271,540.13535096698,0
FCAL.US,D,20170825,000000,46.361,46.3929,46.361,46.3929,10254.539915942,0
FCAL.US,D,20170829,000000,46.4327,46.4755,46.4327,46.4595,4468.6662586506,0
FCAL.US,D,20170831,000000,46.5781,46.5781,46.5781,46.5781,150.59535807629,0
FCAL.US,D,20170901,000000,46.5283,46.5681,46.5283,46.5283,1702.731515316,0
FCAL.US,D,20170905,000000,46.5781,46.618,46.5781,46.618,2393.4622243592,0
FCAL.US,D,20170907,000000,46.6857,46.6857,46.6857,46.6857,590.33380365907,0
FCAL.US,D,20170911,000000,46.7654,46.7654,46.6658,46.6658,3160.4945814945,0
FCAL.US,D,20170912,000000,46.7306,46.7424,46.7306,46.7306,686.7148328279,0
FCAL.US,D,20170913,000000,46.6857,46.7306,46.5881,46.5881,6566.9615811803,0
FCAL.US,D,20170914,000000,46.6568,46.6658,46.6568,46.6658,439.73844558278,0
FCAL.US,D,20170915,000000,46.6568,46.6568,46.6568,46.6568,439.73844558278,0
FCAL.US,D,20170918,000000,46.5931,46.6618,46.5931,46.5931,882.48879832708,0
FCAL.US,D,20170920,000000,46.6279,46.6369,46.4955,46.4955,4087.1580181906,0
FCAL.US,D,20170921,000000,46.618,46.618,46.618,46.618,538.12741285929,0
FCAL.US,D,20170926,000000,46.5691,46.6469,46.5691,46.5971,1029.068280188,0
FCAL.US,D,20170927,000000,46.5691,46.5851,46.4595,46.4595,4394.3725486663,0
FCAL.US,D,20170928,000000,46.5045,46.5045,46.4595,46.4595,1075.2508566647,0
FCAL.US,D,20170929,000000,46.4755,46.4855,46.4527,46.4755,6585.0330241494,0
FCAL.US,D,20171004,000000,46.5045,46.5045,46.5045,46.5045,338.33757114474,0
FCAL.US,D,20171005,000000,46.4595,46.4675,46.4507,46.4675,1304.1558009407,0
FCAL.US,D,20171006,000000,46.3979,46.3979,46.3979,46.3979,589.32983460523,0
FCAL.US,D,20171010,000000,46.4855,46.4855,46.4855,46.4855,875.46101495019,0
FCAL.US,D,20171011,000000,46.5143,46.5143,46.5143,46.5143,64458.82913287,0
FCAL.US,D,20171013,000000,46.5981,46.5981,46.4845,46.4845,1868.3864091999,0
FCAL.US,D,20171016,000000,46.6568,46.6568,46.601,46.601,438.73447652894,0
FCAL.US,D,20171017,000000,46.6758,46.6758,46.6758,46.6758,1784.0530086772,0
FCAL.US,D,20171018,000000,46.7306,46.7306,46.6758,46.6758,1005.9769919496,0
FCAL.US,D,20171019,000000,46.7734,46.7734,46.7734,46.7734,150.59535807629,0
FCAL.US,D,20171020,000000,46.7216,46.7216,46.7216,46.7216,2932.5936062724,0
FCAL.US,D,20171023,000000,46.7734,46.7734,46.7734,46.7734,140.55566753787,0
FCAL.US,D,20171024,000000,46.7306,46.8112,46.7306,46.7564,2165.5612491371,0
FCAL.US,D,20171026,000000,46.622,46.6648,46.622,46.6648,398.57571437526,0
FCAL.US,D,20171027,000000,46.6758,46.6758,46.6279,46.6279,628.48462770507,0
FCAL.US,D,20171030,000000,46.5652,46.6469,46.5652,46.6469,2279.0097522213,0
FCAL.US,D,20171031,000000,46.6638,46.6638,46.6568,46.6568,234.92875859902,0
