<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FCEF.US,D,20160929,000000,15.7786,15.7786,15.7031,15.7031,1917.8918876173,0
FCEF.US,D,20161003,000000,15.7786,15.7786,15.7786,15.7786,1276.2180218718,0
FCEF.US,D,20161005,000000,15.7492,15.7492,15.7492,15.7492,3198.1840292716,0
FCEF.US,D,20161006,000000,15.7786,15.7786,15.7786,15.7786,386.02284939297,0
FCEF.US,D,20161010,000000,15.8453,16.3697,15.8453,16.0015,6400.4421783256,0
FCEF.US,D,20161011,000000,15.6854,15.6854,15.6854,15.6854,641.67386574556,0
FCEF.US,D,20161012,000000,15.7031,15.7031,15.5911,15.5911,6400.4421783256,0
FCEF.US,D,20161013,000000,15.5784,15.5931,15.539,15.545,1647.9814520259,0
FCEF.US,D,20161014,000000,15.545,15.5627,15.545,15.5627,4152.5465883249,0
FCEF.US,D,20161017,000000,15.49,15.49,15.49,15.49,962.51079861835,0
FCEF.US,D,20161018,000000,15.4536,15.4536,15.4163,15.4536,4992.8337934678,0
FCEF.US,D,20161020,000000,15.4605,15.538,15.4605,15.5165,2429.1939203225,0
FCEF.US,D,20161021,000000,15.5547,15.5547,15.5352,15.5352,958.43667883584,0
FCEF.US,D,20161025,000000,15.6196,15.6196,15.5862,15.5862,2715.4008350439,0
FCEF.US,D,20161026,000000,15.545,16.887,15.5253,15.5322,12928.200599855,0
FCEF.US,D,20161027,000000,15.5547,15.5547,15.4458,15.4458,5601.9147009533,0
FCEF.US,D,20161031,000000,15.3654,15.3654,15.2907,15.3457,1185.5688567108,0
FCEF.US,D,20161102,000000,15.1218,15.1218,15.1218,15.1218,2537.1580945591,0
FCEF.US,D,20161103,000000,14.9274,14.9687,14.9274,14.9313,2788.7349911292,0
FCEF.US,D,20161104,000000,14.8754,14.9421,14.8754,14.8901,1849.6503812602,0
FCEF.US,D,20161107,000000,14.9775,15.0747,14.9421,14.9421,3856.1543741471,0
FCEF.US,D,20161108,000000,15.1218,15.1218,15.1218,15.1218,307.59604357962,0
FCEF.US,D,20161109,000000,15.1885,15.2328,15.1885,15.2328,762.87892927528,0
FCEF.US,D,20161110,000000,15.2573,15.2573,15.1484,15.2012,9003.8047193505,0
FCEF.US,D,20161111,000000,15.0904,15.0904,15.0904,15.0904,784.26805813346,0
FCEF.US,D,20161114,000000,15.0825,15.0894,15.0363,15.0363,17629.734828873,0
FCEF.US,D,20161115,000000,18.0437,18.0437,15.1641,15.1641,2334.4706353791,0
FCEF.US,D,20161116,000000,15.2495,15.2495,15.2495,15.2495,1207.9765155147,0
FCEF.US,D,20161117,000000,15.2799,16.7722,15.2583,15.2877,10189.373576061,0
FCEF.US,D,20161118,000000,15.271,15.2877,15.271,15.2877,16427.869493032,0
FCEF.US,D,20161121,000000,15.3908,15.3908,15.3908,15.3908,956.39961894458,0
FCEF.US,D,20161122,000000,15.4478,15.4693,15.4478,15.4693,5693.5823960599,0
FCEF.US,D,20161123,000000,15.4536,15.4615,15.4536,15.4615,306.577513634,0
FCEF.US,D,20161125,000000,15.539,15.5636,15.539,15.5557,9343.9937211902,0
FCEF.US,D,20161128,000000,15.5557,15.5557,15.5243,15.539,2657.3446281431,0
FCEF.US,D,20161129,000000,15.4693,15.4693,15.4693,15.4693,253.61395646134,0
FCEF.US,D,20161130,000000,15.486,15.486,15.486,15.486,770.00863889468,0
FCEF.US,D,20161201,000000,15.4605,15.4605,15.4035,15.4035,1909.7436480523,0
FCEF.US,D,20161202,000000,15.4262,15.4291,15.4262,15.4291,1152.9758984508,0
FCEF.US,D,20161205,000000,15.4762,15.4762,15.4762,15.4762,1262.9771325786,0
FCEF.US,D,20161206,000000,15.4703,17.0206,15.4703,15.5871,152993.38313276,0
FCEF.US,D,20161207,000000,15.5951,15.6814,15.5607,15.6814,2258.080889457,0
FCEF.US,D,20161208,000000,15.6647,15.7747,15.5989,15.6647,13024.960944689,0
FCEF.US,D,20161209,000000,15.7216,15.7216,15.6883,15.7216,93981.795142976,0
FCEF.US,D,20161212,000000,15.6215,15.6981,15.6215,15.6588,22144.878077841,0
FCEF.US,D,20161213,000000,15.7138,15.8523,15.6834,15.7629,11838.373558032,0
FCEF.US,D,20161214,000000,15.6726,15.756,15.6726,15.7049,8064.7201094815,0
FCEF.US,D,20161215,000000,15.7059,15.7059,15.6755,15.7059,3008.7374593848,0
FCEF.US,D,20161216,000000,15.7531,15.7541,15.7305,15.7462,19199.289475085,0
FCEF.US,D,20161219,000000,15.8012,15.8091,15.758,15.758,72143.494578769,0
FCEF.US,D,20161220,000000,15.8179,15.8179,15.7462,15.8179,38958.770420267,0
FCEF.US,D,20161221,000000,15.8179,15.8179,15.8032,15.8071,10966.511924576,0
FCEF.US,D,20161222,000000,15.8503,15.8503,15.8032,15.8101,4456.068512122,0
FCEF.US,D,20161223,000000,15.8268,15.8847,15.8268,15.8807,3164.5725410658,0
FCEF.US,D,20161227,000000,15.921,15.9308,15.8887,15.8887,2141.9684756554,0
FCEF.US,D,20161228,000000,15.8807,15.8807,15.8807,15.8807,433.89375683748,0
FCEF.US,D,20161229,000000,15.862,15.8857,15.862,15.8857,813.80542655668,0
FCEF.US,D,20161230,000000,15.9524,15.9691,15.8857,15.8857,1603.1661344183,0
FCEF.US,D,20170103,000000,15.9612,15.9926,15.9612,15.9926,743.52686030836,0
FCEF.US,D,20170104,000000,16.1252,16.1438,15.9691,15.9838,16129.440218963,0
FCEF.US,D,20170105,000000,16.0633,16.0633,16.026,16.0417,5483.7652272605,0
FCEF.US,D,20170106,000000,16.079,16.1261,16.079,16.1261,813.80542655668,0
FCEF.US,D,20170109,000000,16.135,16.1438,16.1184,16.1438,4112.8239204454,0
FCEF.US,D,20170110,000000,16.1517,16.1772,16.1517,16.1772,1728.4453177305,0
FCEF.US,D,20170111,000000,16.1821,16.1841,16.1821,16.1841,1732.519437513,0
FCEF.US,D,20170112,000000,16.2519,16.2519,16.1213,16.1704,19306.235119377,0
FCEF.US,D,20170113,000000,16.1801,16.2115,16.1615,16.192,9777.8874780277,0
FCEF.US,D,20170117,000000,16.1851,16.2292,16.1851,16.2225,2868.1803268881,0
