<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FCVT.US,D,20151106,000000,18.6634,18.6634,18.6634,18.6634,1333.8071780671,0
FCVT.US,D,20151112,000000,18.5598,18.5598,18.5598,18.5598,125.54660938131,0
FCVT.US,D,20151113,000000,18.6484,18.6564,18.528,18.6564,1208.2605686858,0
FCVT.US,D,20151117,000000,18.536,19.1632,18.536,19.1632,255.11071026283,0
FCVT.US,D,20151120,000000,18.5429,18.5429,18.5429,18.5429,255.11071026283,0
FCVT.US,D,20151124,000000,18.4384,18.4384,18.4384,18.4384,125.54660938131,0
FCVT.US,D,20151125,000000,18.5897,18.5897,18.4821,18.4901,382.66606539424,0
FCVT.US,D,20151130,000000,18.514,18.514,18.514,18.514,1080.7052135543,0
FCVT.US,D,20151202,000000,18.6266,18.6266,18.6196,18.6196,1080.7052135543,0
FCVT.US,D,20151203,000000,18.5071,18.5071,18.4991,18.4991,1208.2605686858,0
FCVT.US,D,20151204,000000,18.4304,18.4463,18.4304,18.4384,6762.4425677151,0
FCVT.US,D,20151207,000000,18.514,18.536,18.4384,18.4384,2157.3929356085,0
FCVT.US,D,20151210,000000,18.4384,18.4384,18.301,18.301,2976.9612016497,0
FCVT.US,D,20151211,000000,18.3288,18.3288,18.1964,18.315,2841.3708635179,0
FCVT.US,D,20151216,000000,18.3657,18.3657,18.3657,18.3657,125.54660938131,0
FCVT.US,D,20151217,000000,18.3657,19.0238,18.3577,19.0238,1333.8071780671,0
FCVT.US,D,20151218,000000,18.2641,18.2641,18.1317,18.2641,1333.8071780671,0
FCVT.US,D,20151221,000000,18.066,18.1397,18.066,18.1018,2437.6129677476,0
FCVT.US,D,20151222,000000,18.074,18.1257,18.074,18.1257,547.38321690253,0
FCVT.US,D,20151231,000000,18.2601,18.3338,18.2601,18.2601,1618.0447017064,0
FCVT.US,D,20160104,000000,18.284,18.284,18.2233,18.2233,1276.5579241892,0
FCVT.US,D,20160105,000000,18.2233,18.2233,18.2233,18.2233,1074.678976304,0
FCVT.US,D,20160106,000000,18.2233,20.7632,18.1646,18.2373,4028.5396018276,0
FCVT.US,D,20160107,000000,18.0978,18.1058,17.9844,17.9844,5521.0376941526,0
FCVT.US,D,20160108,000000,17.9306,17.9306,17.8081,17.8081,253.10196451273,0
FCVT.US,D,20160111,000000,17.7932,17.8081,17.7852,17.8001,1838.0023613424,0
FCVT.US,D,20160113,000000,17.7464,17.7464,17.7394,17.7394,2018.7894788515,0
FCVT.US,D,20160114,000000,17.5851,17.5851,17.5572,17.5572,1326.7765679417,0
FCVT.US,D,20160119,000000,17.4338,17.4338,17.4338,17.4338,1481.4499906995,0
FCVT.US,D,20160120,000000,17.2207,17.2994,17.2207,17.2994,394.71853989485,0
FCVT.US,D,20160122,000000,17.3511,17.3511,17.2735,17.2735,1110.8363998059,0
FCVT.US,D,20160126,000000,17.4497,17.4497,17.4268,17.4268,1201.2299585604,0
FCVT.US,D,20160201,000000,17.5035,17.5194,17.5035,17.5194,1794.8143277153,0
FCVT.US,D,20160202,000000,17.3969,18.3797,17.3969,18.3797,2493.8578487504,0
FCVT.US,D,20160203,000000,17.5114,17.7404,17.5114,17.7404,693.01728378485,0
FCVT.US,D,20160204,000000,17.2505,17.4039,17.2505,17.3432,1073.674603429,0
FCVT.US,D,20160205,000000,17.4118,17.4118,17.4118,17.4118,124.54223650626,0
FCVT.US,D,20160208,000000,17.0205,17.3731,17.0205,17.3731,651.83799590778,0
FCVT.US,D,20160211,000000,16.7398,16.8294,16.5646,16.8294,9290.4490942172,0
FCVT.US,D,20160212,000000,16.9598,16.9598,16.6801,16.6801,1325.7721950667,0
FCVT.US,D,20160216,000000,16.8135,16.8135,16.7608,16.7608,702.05663966031,0
FCVT.US,D,20160217,000000,17.3681,17.3681,17.3681,17.3681,124.54223650626,0
FCVT.US,D,20160218,000000,16.7538,16.7538,16.7538,16.7538,1325.7721950667,0
FCVT.US,D,20160223,000000,17.2914,17.2914,17.2914,17.2914,538.34386102707,0
FCVT.US,D,20160225,000000,17.5622,17.5622,17.5622,17.5622,1135.9457216821,0
FCVT.US,D,20160229,000000,17.4158,17.4158,17.4158,17.4158,124.54223650626,0
FCVT.US,D,20160309,000000,18.5549,20.1369,17.7115,17.7115,3741.2889595631,0
FCVT.US,D,20160314,000000,17.8151,17.8151,17.4507,17.4657,1322.7590764415,0
FCVT.US,D,20160315,000000,17.9874,17.9874,17.9874,17.9874,379.65294676909,0
FCVT.US,D,20160317,000000,17.8589,17.8589,17.8579,17.8579,555.41819990293,0
FCVT.US,D,20160322,000000,18.0421,18.0501,18.0421,18.0501,282.22877788919,0
FCVT.US,D,20160323,000000,17.9247,17.9247,17.9087,17.9087,390.70104839465,0
FCVT.US,D,20160331,000000,18.0112,18.0112,18.0112,18.0112,538.34386102707,0
FCVT.US,D,20160401,000000,17.9644,17.9953,17.9644,17.9953,1746.6044297128,0
FCVT.US,D,20160405,000000,18.079,18.079,18.079,18.079,714.10911416091,0
FCVT.US,D,20160413,000000,18.1307,18.3956,18.1307,18.3956,2346.215036118,0
FCVT.US,D,20160420,000000,18.3747,22.1381,18.3747,22.1381,1321.7547035665,0
FCVT.US,D,20160421,000000,18.3876,18.3876,18.3876,18.3876,940.09301104728,0
FCVT.US,D,20160503,000000,18.1934,18.1934,18.1934,18.1934,1068.6527390537,0
FCVT.US,D,20160504,000000,18.082,18.1038,17.6927,17.6927,4598.0190219812,0
FCVT.US,D,20160506,000000,17.8619,17.8619,17.8619,17.8619,333.45179451677,0
FCVT.US,D,20160510,000000,17.9744,18.1267,17.9744,17.9904,1265.5098225636,0
FCVT.US,D,20160512,000000,18.1636,18.1636,18.1636,18.1636,205.89643938535,0
FCVT.US,D,20160517,000000,18.061,18.076,18.0222,18.0222,3206.9625900363,0
FCVT.US,D,20160527,000000,18.3886,18.4753,18.1198,18.3567,9487.3061777271,0
FCVT.US,D,20160531,000000,18.3797,18.4095,18.1118,18.1118,19909.683502126,0
FCVT.US,D,20160601,000000,18.4095,18.4174,18.1556,18.2462,13627.331168685,0
FCVT.US,D,20160602,000000,18.3647,18.3727,18.3199,18.3727,1258.4792124383,0
FCVT.US,D,20160603,000000,18.5747,18.5747,18.5747,18.5747,538.34386102707,0
FCVT.US,D,20160610,000000,18.5071,18.5519,18.5041,18.5041,1842.0198528426,0
FCVT.US,D,20160613,000000,18.4991,18.6733,18.2601,18.5897,11193.735692438,0
FCVT.US,D,20160614,000000,18.514,18.514,18.514,18.514,253.10196451273,0
FCVT.US,D,20160615,000000,18.4174,18.7849,18.3268,18.4613,7346.9875809945,0
FCVT.US,D,20160616,000000,18.4015,18.6574,18.315,18.4991,5519.0289484025,0
FCVT.US,D,20160617,000000,18.5897,18.5897,18.5897,18.5897,145.63406688232,0
FCVT.US,D,20160620,000000,18.5598,18.7928,18.4583,18.7849,8950.9710624501,0
FCVT.US,D,20160621,000000,18.5977,18.6345,18.4821,18.5977,6137.7226394337,0
FCVT.US,D,20160622,000000,18.5897,18.6266,18.5897,18.6266,1379.0039574443,0
FCVT.US,D,20160624,000000,18.6574,19.0159,18.6574,18.9342,7945.5938145246,0
FCVT.US,D,20160627,000000,18.6206,19.194,18.6206,19.194,15226.292785766,0
FCVT.US,D,20160628,000000,18.7331,18.7331,18.7331,18.7331,4004.4346528264,0
FCVT.US,D,20160629,000000,18.3886,18.6206,18.3886,18.4384,2671.6318476344,0
FCVT.US,D,20160701,000000,18.6037,18.6644,18.4901,18.4901,4358.9782777192,0
FCVT.US,D,20160705,000000,18.5071,18.8694,18.5071,18.8694,2444.6435778729,0
FCVT.US,D,20160706,000000,18.7331,18.8008,18.7331,18.7331,2257.8302231135,0
FCVT.US,D,20160707,000000,18.8008,19.645,18.8008,19.3305,4675.3557333601,0
FCVT.US,D,20160708,000000,18.8844,18.9412,18.7928,18.7928,3735.2627223128,0
FCVT.US,D,20160711,000000,18.9033,18.9123,18.8884,18.9123,1065.6396204286,0
FCVT.US,D,20160712,000000,18.986,19.6979,18.986,19.6979,3861.8137045692,0
FCVT.US,D,20160713,000000,18.9551,18.9551,18.9551,18.9551,5344.2680681438,0
FCVT.US,D,20160726,000000,19.4769,19.4848,19.4679,19.4679,1194.1993484351,0
FCVT.US,D,20160728,000000,19.4977,19.4977,19.4977,19.4977,3327.4873350423,0
FCVT.US,D,20160802,000000,19.3952,19.3952,19.3952,19.3952,253.10196451273,0
FCVT.US,D,20160803,000000,19.2429,19.2429,19.2429,19.2429,13332.04554342,0
FCVT.US,D,20160810,000000,19.6382,19.6382,19.6382,19.6382,253.10196451273,0
FCVT.US,D,20160815,000000,19.4539,19.6093,19.4539,19.6093,2127.261749357,0
FCVT.US,D,20160909,000000,19.6162,19.6162,19.6162,19.6162,253.10196451273,0
FCVT.US,D,20160912,000000,19.3384,19.3384,19.3384,19.3384,538.34386102707,0
FCVT.US,D,20160919,000000,18.9253,18.9332,18.9253,18.9332,1602.9791085806,0
FCVT.US,D,20160920,000000,19.6899,19.7069,19.5206,19.5206,937.07989242212,0
FCVT.US,D,20160922,000000,19.6162,19.6242,19.6162,19.6242,2922.725066397,0
FCVT.US,D,20160929,000000,19.7148,19.7148,19.7069,19.7148,725.15721578647,0
FCVT.US,D,20161006,000000,19.6162,19.6162,19.6162,19.6162,124.54223650626,0
FCVT.US,D,20161007,000000,19.6382,19.6382,19.6382,19.6382,253.10196451273,0
FCVT.US,D,20161012,000000,19.1861,19.2419,19.1861,19.2309,2780.1041181398,0
FCVT.US,D,20161013,000000,19.0557,19.0866,18.977,19.0806,306373.9018054,0
FCVT.US,D,20161014,000000,19.9239,19.9239,18.977,19.0985,172797.33128807,0
FCVT.US,D,20161017,000000,18.995,18.995,18.995,18.995,201.87894788515,0
FCVT.US,D,20161018,000000,19.0109,19.0109,18.9959,19.0019,1748.6131754629,0
FCVT.US,D,20161019,000000,19.1781,19.1781,19.1781,19.1781,830.61636766677,0
FCVT.US,D,20161020,000000,19.1702,19.2259,19.1702,19.202,5285.0100685158,0
FCVT.US,D,20161021,000000,19.2339,19.2339,19.218,19.218,952.14548554788,0
FCVT.US,D,20161027,000000,19.1632,19.1861,19.0726,19.1861,2347.219408993,0
FCVT.US,D,20161028,000000,19.1323,19.2727,18.9451,19.1602,2144.3360882328,0
FCVT.US,D,20161031,000000,19.1403,19.1403,19.1403,19.1403,742.23155466233,0
FCVT.US,D,20161101,000000,18.968,19.1104,18.968,19.0139,7333.9307336188,0
FCVT.US,D,20161102,000000,18.8207,18.9163,18.7978,18.8665,17800.50046452,0
FCVT.US,D,20161103,000000,18.7978,18.8346,18.7241,18.8346,8705.9040809378,0
FCVT.US,D,20161104,000000,18.7082,18.9163,18.7082,18.9163,21948.560438479,0
FCVT.US,D,20161107,000000,18.7161,18.8754,18.6783,18.761,137908.43072744,0
FCVT.US,D,20161108,000000,18.8207,19.0009,18.8207,18.9451,48237.016070051,0
FCVT.US,D,20161109,000000,18.968,19.0447,18.7829,18.9023,20573.573972534,0
FCVT.US,D,20161110,000000,18.8944,19.0009,18.8656,19.0009,9468.2230931011,0
FCVT.US,D,20161111,000000,18.8586,19.0806,18.8506,19.0806,19091.11960896,0
FCVT.US,D,20161114,000000,18.8586,18.9163,18.8586,18.8884,1061.6221289284,0
FCVT.US,D,20161115,000000,19.1184,19.1632,19.0009,19.1632,3129.6258786574,0
FCVT.US,D,20161116,000000,18.993,19.0447,18.993,19.0287,2566.172695754,0
FCVT.US,D,20161117,000000,19.1403,19.5206,19.1184,19.5206,11007.926710554,0
FCVT.US,D,20161118,000000,19.4977,19.5446,19.423,19.423,7543.8446645044,0
