<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FDT.US,D,20110502,000000,41.0323,41.0323,40.9026,40.9026,2525.5318729836,0
FDT.US,D,20110503,000000,40.6628,40.7847,40.5626,40.5626,1152.871721229,0
FDT.US,D,20110504,000000,39.9532,39.9532,39.9532,39.9532,126.17483974616,0
FDT.US,D,20110505,000000,39.7439,39.7439,39.5719,39.5798,721.43517241956,0
FDT.US,D,20110510,000000,40.0722,40.2913,39.8894,40.2913,4569.7677846773,0
FDT.US,D,20110511,000000,39.7665,39.9532,39.2752,39.2752,6147.9708205345,0
FDT.US,D,20110512,000000,39.2584,39.508,38.9449,39.3135,25290.932595893,0
FDT.US,D,20110516,000000,38.6638,38.6638,38.6325,38.6325,7543.0168309537,0
FDT.US,D,20110520,000000,39.3911,39.3911,38.8988,38.8988,935.11836876386,0
FDT.US,D,20110524,000000,38.084,38.1882,38.084,38.1882,546.41845922328,0
FDT.US,D,20110525,000000,38.1539,38.1539,38.1539,38.1539,768.24196780926,0
FDT.US,D,20110526,000000,38.6147,38.6147,38.6147,38.6147,234.03397694852,0
FDT.US,D,20110527,000000,38.6413,38.8271,38.5557,38.8271,23739.185574821,0
FDT.US,D,20110531,000000,39.3548,39.6555,39.3548,39.6476,1432.694954537,0
FDT.US,D,20110601,000000,39.508,39.508,39.2584,39.2584,1139.6437138363,0
FDT.US,D,20110602,000000,39.2398,39.2584,39.2398,39.2584,375.47190214784,0
FDT.US,D,20110603,000000,39.0009,39.336,39.0009,39.2752,2210.0947736182,0
FDT.US,D,20110606,000000,38.9921,39.0078,38.6943,38.6943,1179.3277360145,0
FDT.US,D,20110607,000000,39.1415,39.166,39.0216,39.166,3094.3361908715,0
FDT.US,D,20110608,000000,38.5332,38.604,38.5332,38.604,5660.5696250635,0
FDT.US,D,20110609,000000,38.5636,38.8024,38.5636,38.7798,2018.7974359385,0
FDT.US,D,20110610,000000,37.8954,38.0084,37.8875,37.8875,1586.3433480989,0
FDT.US,D,20110613,000000,38.032,38.032,38.032,38.032,659.36529157669,0
FDT.US,D,20110615,000000,37.5543,37.6339,37.4826,37.4826,1544.6242478602,0
FDT.US,D,20110617,000000,37.6703,37.6703,37.4826,37.5298,1710.4831097846,0
FDT.US,D,20110620,000000,37.3823,37.3981,37.3823,37.3981,492.4888906221,0
