<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FDTS.US,D,20120228,000000,24.9634,24.9634,24.9634,24.9634,124.68138756082,0
FDTS.US,D,20120313,000000,24.5945,24.5945,24.4995,24.4995,3745.5515197575,0
FDTS.US,D,20120411,000000,23.5455,23.6786,23.5455,23.6786,546.75854381181,0
FDTS.US,D,20120412,000000,23.8097,24.2001,23.8097,24.2001,3102.7269888086,0
FDTS.US,D,20120413,000000,23.9839,23.9839,23.9437,23.9437,250.38475370821,0
FDTS.US,D,20120515,000000,21.3576,21.3654,20.4603,20.8292,99984.253037914,0
FDTS.US,D,20120516,000000,20.5885,20.5885,20.5885,20.5885,428.20902777037,0
FDTS.US,D,20120604,000000,20.5728,20.5728,20.5728,20.5728,124.68138756082,0
FDTS.US,D,20120613,000000,21.1795,21.1795,21.1795,21.1795,300.46170444985,0
FDTS.US,D,20120615,000000,21.3976,21.3976,21.3976,21.3976,1511.5063295283,0
FDTS.US,D,20120619,000000,21.84,21.84,21.84,21.84,136.9451305996,0
FDTS.US,D,20120705,000000,21.8048,21.8048,21.8048,21.8048,254.47266805447,0
FDTS.US,D,20120706,000000,21.8115,21.8115,21.7431,21.7431,913.64885638832,0
FDTS.US,D,20120712,000000,21.1795,21.1795,21.1629,21.1629,300.46170444985,0
FDTS.US,D,20120724,000000,20.657,20.657,20.657,20.657,499.74752882985,0
FDTS.US,D,20120727,000000,21.6296,21.6677,21.5935,21.6677,1555.4514087506,0
FDTS.US,D,20120802,000000,20.8693,20.8693,20.8693,20.8693,11715.962516371,0
FDTS.US,D,20120809,000000,21.4056,21.9897,21.4056,21.933,499.74752882985,0
FDTS.US,D,20120810,000000,21.9976,21.9976,21.9976,21.9976,569.24207271621,0
FDTS.US,D,20120813,000000,21.797,21.797,21.7431,21.7431,499.74752882985,0
FDTS.US,D,20120828,000000,21.8733,22.0622,21.8733,22.0622,270.82432543949,0
FDTS.US,D,20120917,000000,23.2803,23.2803,23.2001,23.2167,2117.5396313609,0
FDTS.US,D,20120921,000000,23.386,23.386,23.3792,23.3792,806.34110479909,0
FDTS.US,D,20120924,000000,23.0983,23.3186,22.7206,23.3186,2086.8802737639,0
FDTS.US,D,20121002,000000,23.0817,23.0817,23.0817,23.0817,249.36277512165,0
FDTS.US,D,20121004,000000,23.3635,23.3635,23.3635,23.3635,124.68138756082,0
FDTS.US,D,20121005,000000,23.525,23.525,23.525,23.525,124.68138756082,0
FDTS.US,D,20121010,000000,23.1257,23.1257,23.1257,23.1257,124.68138756082,0
FDTS.US,D,20121017,000000,23.7666,23.7666,23.7666,23.7666,124.68138756082,0
FDTS.US,D,20121107,000000,23.4114,23.4114,23.4114,23.4114,179.86823123529,0
FDTS.US,D,20121113,000000,23.0592,23.0592,23.0592,23.0592,168.62646678308,0
FDTS.US,D,20121204,000000,23.8763,23.8929,23.8693,23.8929,806.34110479909,0
FDTS.US,D,20121211,000000,24.024,24.0387,24.024,24.0387,909.56094204207,0
FDTS.US,D,20121212,000000,24.2569,24.2569,24.2246,24.2246,500.76950741642,0
FDTS.US,D,20121217,000000,24.3048,24.3048,24.1443,24.1443,427.18704918381,0
FDTS.US,D,20121221,000000,23.9897,24.0543,23.9897,24.0543,498.72555024329,0
FDTS.US,D,20121224,000000,24.0476,24.0699,24.0328,24.0328,1122.1324880474,0
FDTS.US,D,20121228,000000,24.2569,24.2813,24.2569,24.2813,2242.2210189217,0
FDTS.US,D,20130102,000000,24.889,24.9076,24.889,24.9076,249.36277512165,0
FDTS.US,D,20130104,000000,24.7872,24.8831,24.7872,24.8831,1492.0887363836,0
FDTS.US,D,20130107,000000,24.8234,24.9076,24.7207,24.9076,2989.2873657,0
FDTS.US,D,20130108,000000,24.7207,24.752,24.7207,24.7295,747.06634677837,0
FDTS.US,D,20130111,000000,25.4282,25.4282,25.4282,25.4282,774.65976861561,0
FDTS.US,D,20130115,000000,25.158,25.158,25.158,25.158,249.36277512165,0
FDTS.US,D,20130123,000000,25.2041,25.2041,25.1659,25.1659,3235.584205062,0
FDTS.US,D,20130124,000000,25.158,25.158,25.1307,25.1307,249.36277512165,0
FDTS.US,D,20130131,000000,25.1629,25.1629,25.1629,25.1629,401.6375845197,0
