<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FEM.US,D,20110502,000000,21.1931,21.2937,21.1352,21.1352,4971.1956563849,0
FEM.US,D,20110503,000000,20.9462,20.952,20.6576,20.7269,4647.8572948361,0
FEM.US,D,20110504,000000,20.574,20.574,20.4981,20.4981,1728.3330661287,0
FEM.US,D,20110505,000000,20.4079,20.4231,20.3158,20.4231,1134.3173139675,0
FEM.US,D,20110506,000000,20.6186,20.6254,20.3595,20.3595,1582.9887863446,0
FEM.US,D,20110509,000000,20.4507,20.5807,20.4507,20.5475,4542.5353529636,0
FEM.US,D,20110510,000000,20.5674,20.6642,20.3879,20.462,29703.947266318,0
FEM.US,D,20110511,000000,20.5588,20.5588,20.2807,20.2807,884.70431172951,0
FEM.US,D,20110512,000000,20.3319,20.4231,20.1866,20.3937,13887.751255316,0
FEM.US,D,20110513,000000,20.2256,20.4687,19.8288,19.898,29501.729137923,0
FEM.US,D,20110516,000000,20.0243,20.0243,19.898,19.898,899.44938359167,0
FEM.US,D,20110517,000000,19.8582,19.9503,19.8068,19.9331,1426.0590929545,0
FEM.US,D,20110518,000000,20.0376,20.2883,20.0376,20.217,129994.65997563,0
FEM.US,D,20110519,000000,20.2256,20.2256,20.1212,20.2048,3002.7285627867,0
FEM.US,D,20110520,000000,20.0376,20.0376,19.9417,19.9959,1438.6977259792,0
FEM.US,D,20110523,000000,19.6322,19.6464,19.5647,19.6322,1536.6471319207,0
FEM.US,D,20110524,000000,19.8524,20.0119,19.8524,19.9417,8809.127218221,0
FEM.US,D,20110525,000000,19.8847,19.9959,19.7992,19.9635,5232.3940722288,0
FEM.US,D,20110526,000000,20.0376,20.1582,20.0376,20.1582,4639.4315394863,0
FEM.US,D,20110527,000000,20.2598,20.3234,20.217,20.255,6436.2238678322,0
FEM.US,D,20110531,000000,20.5655,20.6006,20.5009,20.6006,6029.6811722041,0
FEM.US,D,20110601,000000,20.5807,20.5807,20.3727,20.3727,6448.8625008569,0
FEM.US,D,20110602,000000,20.5323,20.5532,20.4895,20.519,1391.3028521365,0
FEM.US,D,20110603,000000,20.4687,20.5674,20.4687,20.5674,7057.6233248803,0
FEM.US,D,20110606,000000,20.4355,20.4507,20.1734,20.1734,4009.6063270884,0
FEM.US,D,20110607,000000,20.5171,20.5171,20.4877,20.5085,3969.5839891768,0
FEM.US,D,20110608,000000,20.3073,20.3073,20.0851,20.1762,40963.916071914,0
FEM.US,D,20110609,000000,20.1762,20.2389,20.0604,20.2389,13862.473989267,0
FEM.US,D,20110610,000000,19.9379,19.9379,19.825,19.8326,11485.357761203,0
FEM.US,D,20110613,000000,19.7992,19.8288,19.7518,19.7794,5449.3572724863,0
FEM.US,D,20110614,000000,20.0243,20.2,19.786,19.9873,12019.340006497,0
FEM.US,D,20110615,000000,19.5791,19.7794,19.5429,19.6398,15158.987093718,0
FEM.US,D,20110616,000000,19.5183,19.5183,19.2229,19.448,6468.8736698127,0
FEM.US,D,20110617,000000,19.5049,19.6227,19.4062,19.5601,4652.070172511,0
FEM.US,D,20110620,000000,19.4024,19.4385,19.2059,19.2704,9812.8453242665,0
FEM.US,D,20110621,000000,19.7044,19.7044,19.7044,19.7044,2605.6648419272,0
FEM.US,D,20110622,000000,19.6854,19.7328,19.636,19.636,4553.0675471508,0
FEM.US,D,20110623,000000,19.3084,19.5515,19.2581,19.5515,2906.8855956827,0
FEM.US,D,20110624,000000,19.5306,19.5306,19.4414,19.4746,3684.1615267022,0
FEM.US,D,20110627,000000,19.6977,19.7756,19.6797,19.7756,30639.206110146,0
FEM.US,D,20110628,000000,19.692,19.825,19.692,19.825,11710.74671681,0
FEM.US,D,20110629,000000,19.8676,20.0139,19.8106,19.8106,2203.335023974,0
FEM.US,D,20110630,000000,20.179,20.2351,20.179,20.2351,614.02692111703,0
FEM.US,D,20110701,000000,20.6376,20.6376,20.2854,20.594,28573.842830026,0
FEM.US,D,20110705,000000,20.707,20.707,20.4554,20.594,8358.3493070065,0
FEM.US,D,20110706,000000,20.3301,20.4962,20.3301,20.4962,18530.342453059,0
FEM.US,D,20110707,000000,20.7981,20.7981,20.726,20.7345,3151.232500827,0
FEM.US,D,20110708,000000,20.6852,20.6852,20.4962,20.537,6753.2429128686,0
FEM.US,D,20110711,000000,20.0661,20.198,20.0081,20.0917,16348.071817459,0
FEM.US,D,20110712,000000,19.9921,19.9921,19.9151,19.9151,2240.1977036294,0
FEM.US,D,20110713,000000,20.1762,20.3491,20.0851,20.2921,18736.773459129,0
FEM.US,D,20110714,000000,20.2854,20.3643,20.0661,20.0661,2591.9729894837,0
FEM.US,D,20110715,000000,20.1117,20.162,19.8952,19.9541,28430.60498908,0
FEM.US,D,20110718,000000,19.825,19.9018,19.6854,19.6854,5144.9768604746,0
FEM.US,D,20110719,000000,19.9541,20.0984,19.9541,20.0519,8864.9478474135,0
FEM.US,D,20110720,000000,20.2076,20.2532,20.0604,20.1838,6186.6108655942,0
FEM.US,D,20110721,000000,20.4601,20.4601,20.3871,20.4269,1784.1536953212,0
FEM.US,D,20110722,000000,20.5446,20.5446,20.4326,20.4326,428.66030342132,0
FEM.US,D,20110725,000000,20.2854,20.4487,20.2854,20.3871,3820.0268317178,0
FEM.US,D,20110726,000000,20.5256,20.6158,20.2664,20.4962,8192.9938582665,0
FEM.US,D,20110727,000000,20.5304,20.556,20.143,20.3415,3965.3711115019,0
FEM.US,D,20110728,000000,20.4744,20.556,20.2778,20.2778,5346.1417694512,0
FEM.US,D,20110729,000000,20.0139,20.4069,19.8952,20.3491,13760.31170565,0
FEM.US,D,20110801,000000,20.4601,20.4601,20.0347,20.3073,7002.8559151066,0
FEM.US,D,20110802,000000,20.1344,20.1344,19.7974,19.7974,5333.5031364265,0
