<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FEMB.US,D,20141107,000000,35.2482,35.2482,35.2482,35.2482,147.65589462029,0
FEMB.US,D,20141113,000000,35.4776,35.4944,35.4776,35.4944,464.20586048435,0
FEMB.US,D,20141118,000000,35.5755,35.5755,35.5755,35.5755,170.91675473171,0
FEMB.US,D,20141121,000000,35.8652,35.8652,35.8652,35.8652,1050.7840719896,0
FEMB.US,D,20141125,000000,35.9344,35.9344,35.9176,35.9344,449.03573432473,0
FEMB.US,D,20141202,000000,35.4698,35.4698,35.4698,35.4698,325.65204155983,0
FEMB.US,D,20141204,000000,35.4312,35.4312,35.4312,35.4312,279.13032133699,0
FEMB.US,D,20141205,000000,35.0723,35.0723,35.0663,35.0663,428.80889944524,0
FEMB.US,D,20141216,000000,34.036,34.036,34.036,34.036,147.65589462029,0
FEMB.US,D,20141218,000000,34.3662,34.3662,34.3524,34.3524,1722.3149899888,0
FEMB.US,D,20141226,000000,34.3217,34.3217,34.3217,34.3217,208.33639925877,0
FEMB.US,D,20150112,000000,34.7232,34.7232,34.7232,34.7232,728.16605566172,0
FEMB.US,D,20150128,000000,35.1988,35.2057,35.1988,35.1988,796.937294252,0
FEMB.US,D,20150204,000000,34.7834,34.7834,34.7103,34.7103,543.09051651437,0
FEMB.US,D,20150210,000000,34.301,34.301,33.9509,33.9509,437.91097514101,0
FEMB.US,D,20150218,000000,34.1616,34.1616,34.1616,34.1616,163.83736252389,0
FEMB.US,D,20150310,000000,32.3333,32.3333,32.3333,32.3333,147.65589462029,0
FEMB.US,D,20150312,000000,32.2236,32.2236,32.1019,32.1019,424.76353246934,0
FEMB.US,D,20150318,000000,32.3016,32.3016,32.3016,32.3016,147.65589462029,0
FEMB.US,D,20150408,000000,33.3873,33.3873,33.3873,33.3873,275.08495436109,0
FEMB.US,D,20150409,000000,33.4101,33.4101,33.4101,33.4101,147.65589462029,0
FEMB.US,D,20150415,000000,33.0699,33.0699,33.0699,33.0699,235.64262634609,0
FEMB.US,D,20150420,000000,32.9592,33.0254,32.9394,33.0254,1670.7365610461,0
FEMB.US,D,20150421,000000,33.2499,33.2499,33.2499,33.2499,234.63128460211,0
FEMB.US,D,20150422,000000,32.7535,32.7535,32.7535,32.7535,217.43847495454,0
FEMB.US,D,20150428,000000,33.4388,33.4388,33.4388,33.4388,147.65589462029,0
FEMB.US,D,20150514,000000,33.2558,33.2558,33.2153,33.2153,274.07361261712,0
FEMB.US,D,20150603,000000,32.0752,32.0831,31.8805,32.0831,1929.6400475036,0
FEMB.US,D,20150604,000000,31.9961,31.9961,31.9961,31.9961,147.65589462029,0
FEMB.US,D,20150612,000000,32.0673,32.0673,31.8319,31.8429,4405.4046367534,0
FEMB.US,D,20150630,000000,31.8261,31.8261,31.8261,31.8261,9055.5539755487,0
FEMB.US,D,20150713,000000,31.9872,32.0189,31.737,31.8122,3572.0590397183,0
FEMB.US,D,20150715,000000,31.7044,31.7044,31.6876,31.6876,659.39481707145,0
FEMB.US,D,20150720,000000,31.5264,31.5264,31.3593,31.5264,1507.9105402661,0
FEMB.US,D,20150731,000000,31.5056,31.5056,31.4839,31.4839,685.68970241479,0
FEMB.US,D,20150803,000000,31.2269,31.2269,31.2269,31.2269,656.36079183952,0
FEMB.US,D,20150806,000000,31.0756,31.0756,30.7403,30.7403,315.53862412008,0
FEMB.US,D,20150807,000000,30.9569,31.0439,30.9569,31.0439,1226.7575354412,0
FEMB.US,D,20150812,000000,30.9569,31.0657,30.9569,30.9569,540.05649128244,0
FEMB.US,D,20150819,000000,30.7918,30.7918,30.6741,30.6741,1090.2264000046,0
FEMB.US,D,20150820,000000,30.7483,30.7483,30.7483,30.7483,147.65589462029,0
FEMB.US,D,20150824,000000,30.506,30.9836,30.5001,30.5001,1652.5324096545,0
FEMB.US,D,20150831,000000,30.4922,30.4922,30.4922,30.4922,683.66701892684,0
FEMB.US,D,20150908,000000,30.506,30.506,30.0799,30.1936,4897.9280660691,0
FEMB.US,D,20150914,000000,30.1936,30.1936,30.1936,30.1936,147.65589462029,0
FEMB.US,D,20150915,000000,30.2222,30.6919,30.1006,30.2272,4086.8319874014,0
FEMB.US,D,20150921,000000,30.247,30.2538,30.247,30.2538,1631.2942330311,0
FEMB.US,D,20150922,000000,30.2064,30.2064,30.2064,30.2064,147.65589462029,0
FEMB.US,D,20150923,000000,29.7901,29.7901,29.7901,29.7901,147.65589462029,0
FEMB.US,D,20150925,000000,29.8683,29.8683,29.8683,29.8683,1219.6781432334,0
FEMB.US,D,20150928,000000,30.4981,30.4981,30.0957,30.1046,5278.1925618035,0
FEMB.US,D,20150930,000000,29.7565,29.7565,29.7565,29.7565,1359.2433039019,0
FEMB.US,D,20151002,000000,30.1708,30.2816,30.1708,30.2736,3256.5204155983,0
FEMB.US,D,20151023,000000,30.9786,30.9786,30.9786,30.9786,147.65589462029,0
FEMB.US,D,20151030,000000,30.3755,30.3755,30.3755,30.3755,1355.197936926,0
FEMB.US,D,20151102,000000,30.7601,30.7601,30.7601,30.7601,534.99978256257,0
FEMB.US,D,20151110,000000,30.0393,30.0453,30.0393,30.0393,412.62743154164,0
FEMB.US,D,20151111,000000,30.5258,30.5604,30.5258,30.5604,412.62743154164,0
FEMB.US,D,20151118,000000,30.153,30.153,30.153,30.153,147.65589462029,0
FEMB.US,D,20151201,000000,30.3014,30.3014,30.3014,30.3014,147.65589462029,0
FEMB.US,D,20151221,000000,29.888,29.978,29.6062,29.6774,15900.314898769,0
FEMB.US,D,20151222,000000,29.6062,29.8959,29.6062,29.8643,9079.8261774041,0
FEMB.US,D,20151223,000000,29.9415,30.1055,29.717,29.8336,37054.550157485,0
FEMB.US,D,20151224,000000,30.0195,30.1194,29.717,29.9256,65924.311580985,0
FEMB.US,D,20151228,000000,29.8683,30.1402,29.8683,29.9563,44804.461941563,0
FEMB.US,D,20151229,000000,29.9415,29.9829,29.9415,29.9829,615.90712208054,0
FEMB.US,D,20151230,000000,29.7555,29.7555,29.7031,29.7031,1476.5589462029,0
FEMB.US,D,20151231,000000,29.5716,29.7704,29.4806,29.4806,19198.30032587,0
FEMB.US,D,20160105,000000,29.5637,29.5637,29.5568,29.5568,668.49689276722,0
FEMB.US,D,20160108,000000,29.4065,29.4114,29.1266,29.1266,27122.162889911,0
FEMB.US,D,20160121,000000,28.7262,28.7687,28.7262,28.7687,26218.023370797,0
FEMB.US,D,20160126,000000,28.655,28.7815,28.5957,28.5957,27225.319747797,0
FEMB.US,D,20160127,000000,28.6461,28.8577,28.5601,28.5601,14574.445872419,0
FEMB.US,D,20160128,000000,29.0713,29.1682,28.8419,29.008,201135.64604167,0
FEMB.US,D,20160129,000000,29.008,29.1227,28.9358,29.0624,11099.475640121,0
FEMB.US,D,20160201,000000,29.3165,29.4549,29.1603,29.4163,96843.051377777,0
FEMB.US,D,20160202,000000,29.2661,29.4856,29.2295,29.2661,120892.75804949,0
FEMB.US,D,20160203,000000,29.3481,29.6062,29.3481,29.4787,52207.483507457,0
FEMB.US,D,20160204,000000,29.7536,30.1253,29.7248,29.7248,128689.19155379,0
FEMB.US,D,20160205,000000,29.6804,29.6804,29.4638,29.5162,5217.512057165,0
FEMB.US,D,20160208,000000,29.6062,29.9107,29.532,29.6804,125481.21554191,0
FEMB.US,D,20160210,000000,29.8544,29.9483,29.8465,29.9483,5621.0374130109,0
FEMB.US,D,20160211,000000,29.8178,29.8722,29.6804,29.7911,31057.293615716,0
FEMB.US,D,20160212,000000,29.6438,29.801,29.6438,29.7318,4821.066093527,0
FEMB.US,D,20160218,000000,29.7318,29.7318,29.7318,29.7318,670.51957625517,0
FEMB.US,D,20160224,000000,29.4925,29.4925,29.4925,29.4925,262.9488534334,0
FEMB.US,D,20160225,000000,29.6636,29.8732,29.6636,29.7387,2928.8456905505,0
FEMB.US,D,20160229,000000,29.5528,29.5528,29.5528,29.5528,2664.8854953731,0
FEMB.US,D,20160301,000000,29.4361,29.6863,29.4361,29.628,406.55938107779,0
FEMB.US,D,20160304,000000,30.2726,30.2726,30.2302,30.2302,2930.8683740384,0
FEMB.US,D,20160311,000000,31.0054,31.0103,31.0054,31.0103,816.15278738751,0
FEMB.US,D,20160315,000000,30.684,30.6899,30.6563,30.6563,1047.7500467577,0
