<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FEMS.US,D,20120224,000000,21.3977,21.3977,21.3977,21.3977,171.46745456249,0
FEMS.US,D,20120227,000000,21.2389,21.2389,21.2389,21.2389,142.19252329572,0
FEMS.US,D,20120228,000000,21.3279,21.3279,21.3279,21.3279,1460.6099635597,0
FEMS.US,D,20120313,000000,31.8689,31.8689,31.8689,31.8689,142.19252329572,0
FEMS.US,D,20120314,000000,21.4407,21.4407,21.2686,21.2686,1933.1909968661,0
FEMS.US,D,20120316,000000,21.3977,21.4436,21.3977,21.4436,3069.6856499724,0
FEMS.US,D,20120320,000000,21.0199,21.0199,21.0199,21.0199,658.68595350224,0
FEMS.US,D,20120322,000000,20.8286,20.8286,20.8286,20.8286,218.51645124122,0
FEMS.US,D,20120323,000000,20.8831,20.8831,20.8831,20.8831,144.28358981478,0
FEMS.US,D,20120327,000000,21.0486,21.0486,21.0486,21.0486,246.74584924846,0
FEMS.US,D,20120416,000000,20.1084,20.1084,20.1084,20.1084,403.57583817756,0
FEMS.US,D,20120423,000000,19.8444,19.8444,19.8444,19.8444,292.74931266766,0
FEMS.US,D,20120503,000000,20.3561,20.3561,20.3561,20.3561,591.77182489249,0
FEMS.US,D,20120510,000000,19.5766,19.5766,19.5766,19.5766,186.10492019587,0
FEMS.US,D,20120511,000000,19.4026,19.4026,19.4026,19.4026,142.19252329572,0
FEMS.US,D,20120516,000000,18.3935,18.3935,18.3935,18.3935,2924.3565268981,0
FEMS.US,D,20120517,000000,18.2988,18.2988,18.2988,18.2988,392.07497232276,0
FEMS.US,D,20120530,000000,18.0386,18.0386,18.0386,18.0386,218.51645124122,0
FEMS.US,D,20120604,000000,17.3767,17.3767,17.3767,17.3767,292.74931266766,0
FEMS.US,D,20120605,000000,17.5939,17.6293,17.5939,17.6293,292.74931266766,0
FEMS.US,D,20120618,000000,18.5733,18.5733,18.5733,18.5733,1167.8606508921,0
FEMS.US,D,20120621,000000,18.3255,18.3255,18.3255,18.3255,272.88418073664,0
FEMS.US,D,20120622,000000,18.0941,18.0941,18.0941,18.0941,142.19252329572,0
FEMS.US,D,20120627,000000,18.0319,18.0319,18.0319,18.0319,292.74931266766,0
FEMS.US,D,20120702,000000,18.6469,18.6469,18.6192,18.6192,292.74931266766,0
FEMS.US,D,20120705,000000,18.8095,18.8095,18.8095,18.8095,218.51645124122,0
FEMS.US,D,20120808,000000,19.0295,19.0295,19.0295,19.0295,2924.3565268981,0
FEMS.US,D,20120817,000000,19.2055,19.2055,19.2055,19.2055,588.63522511391,0
