<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FEP.US,D,20110503,000000,24.8779,24.8779,24.8779,24.8779,1190.57165779,0
FEP.US,D,20110504,000000,24.6663,24.6663,24.6663,24.6663,1170.9864963198,0
FEP.US,D,20110506,000000,24.3918,24.3918,24.3918,24.3918,1031.8287700846,0
FEP.US,D,20110509,000000,24.1007,24.1007,24.1007,24.1007,379.33365373741,0
FEP.US,D,20110510,000000,24.352,24.4393,24.352,24.4393,21190.113912717,0
FEP.US,D,20110512,000000,23.8903,23.8903,23.8738,23.8738,412.31918884501,0
FEP.US,D,20110519,000000,23.8805,23.8805,23.8805,23.8805,171.11246337068,0
FEP.US,D,20110520,000000,23.6758,23.7088,23.605,23.605,2136.8441961893,0
FEP.US,D,20110524,000000,23.1597,23.1597,23.0851,23.0851,1141.0933551286,0
FEP.US,D,20110603,000000,23.7951,23.7951,23.7951,23.7951,353.5637044346,0
FEP.US,D,20110607,000000,23.8573,23.8573,23.8485,23.8573,20633.483007776,0
FEP.US,D,20110614,000000,23.2674,23.3159,23.2674,23.3159,4457.1704314146,0
FEP.US,D,20110616,000000,22.2304,22.2885,22.2304,22.2885,25719.44020218,0
FEP.US,D,20110628,000000,22.2885,22.2885,22.2885,22.2885,160.80448364955,0
FEP.US,D,20110705,000000,23.5197,23.5197,23.4236,23.4392,6624.9385667672,0
FEP.US,D,20110711,000000,21.8947,21.918,21.8947,21.918,4206.6865241912,0
FEP.US,D,20110712,000000,21.6609,21.6842,21.6201,21.6289,28652.06043284,0
FEP.US,D,20110728,000000,21.6444,21.6444,21.6289,21.6289,463.85908745064,0
FEP.US,D,20110729,000000,21.4397,21.4397,21.4397,21.4397,358.71769429516,0
FEP.US,D,20110803,000000,20.1592,20.1592,20.1592,20.1592,250.48390722334,0
FEP.US,D,20110808,000000,18.0366,18.0366,17.5776,17.5776,890.60944790522,0
FEP.US,D,20110811,000000,18.5759,18.5759,18.5759,18.5759,545.29212724753,0
FEP.US,D,20110815,000000,19.6944,19.6944,19.6469,19.6469,1360.6533231885,0
FEP.US,D,20110816,000000,19.2016,19.2016,19.1396,19.2016,250.48390722334,0
FEP.US,D,20110817,000000,19.4024,19.4024,19.2103,19.2103,3673.763972609,0
FEP.US,D,20110818,000000,18.2034,18.2034,18.2034,18.2034,250.48390722334,0
FEP.US,D,20110819,000000,18.282,18.282,18.282,18.282,123.6957566535,0
FEP.US,D,20110824,000000,18.6176,18.6176,18.6176,18.6176,1535.8889784477,0
FEP.US,D,20110902,000000,18.8175,18.833,18.7767,18.833,8274.2153221472,0
FEP.US,D,20110908,000000,18.054,18.054,18.054,18.054,709.18900481342,0
FEP.US,D,20110913,000000,16.9316,16.9316,16.9316,16.9316,638.06394473765,0
FEP.US,D,20110915,000000,17.857,18.0083,17.8338,18.0083,979.2580735069,0
FEP.US,D,20110920,000000,17.5039,17.5039,17.5039,17.5039,123.6957566535,0
FEP.US,D,20110922,000000,16.1303,16.1428,16.1303,16.1428,377.27205779318,0
FEP.US,D,20110929,000000,16.9771,16.9771,16.9771,16.9771,1658.5539371291,0
FEP.US,D,20111007,000000,16.8364,17.0392,16.8364,17.0392,1697.7242600693,0
FEP.US,D,20111012,000000,18.2897,18.2897,18.2897,18.2897,1011.2128106424,0
FEP.US,D,20111013,000000,18.1412,18.1879,18.1015,18.1248,14917.708252412,0
FEP.US,D,20111018,000000,17.7406,17.7406,17.7193,17.7193,4329.3514828726,0
FEP.US,D,20111019,000000,18.0462,18.0462,18.0171,18.0171,942.14934651085,0
FEP.US,D,20111020,000000,17.6795,17.6795,17.6795,17.6795,414.38078478924,0
FEP.US,D,20111021,000000,18.3528,18.3528,18.3528,18.3528,150.49650392843,0
FEP.US,D,20111024,000000,18.7855,18.7855,18.7855,18.7855,394.7956233191,0
FEP.US,D,20111026,000000,18.6273,18.6583,18.6273,18.6428,5549.8162818538,0
FEP.US,D,20111027,000000,19.3966,19.5761,19.3966,19.5761,598.89362179738,0
FEP.US,D,20111104,000000,18.377,18.377,18.377,18.377,170.08166539857,0
FEP.US,D,20111115,000000,17.8493,18.377,17.793,18.1161,131954.51000607,0
FEP.US,D,20111116,000000,17.8813,17.8813,17.8735,17.8735,1115.3234058258,0
FEP.US,D,20111117,000000,17.5039,17.5039,17.3884,17.3884,2954.2669880745,0
FEP.US,D,20111121,000000,16.624,16.9092,16.3582,16.8753,21424.105052386,0
FEP.US,D,20111122,000000,16.5561,16.7365,16.4756,16.6163,5832.2549262127,0
FEP.US,D,20111128,000000,16.7754,16.7754,16.7685,16.7754,3464.5119842702,0
FEP.US,D,20111129,000000,16.8452,17.047,16.7754,17.0227,10662.574223532,0
FEP.US,D,20111130,000000,17.4952,17.8425,17.4952,17.6135,12809.726399442,0
FEP.US,D,20111201,000000,17.6465,17.7678,17.6465,17.7678,1985.3168942887,0
FEP.US,D,20111202,000000,17.8813,17.8813,17.5213,17.5213,4838.5656810962,0
FEP.US,D,20111205,000000,17.889,17.9822,17.8735,17.9822,1832.7587944161,0
FEP.US,D,20111206,000000,17.6611,17.6611,17.6465,17.6465,1683.2930884598,0
FEP.US,D,20111207,000000,17.5213,17.5213,17.5213,17.5213,687.54224739905,0
FEP.US,D,20111213,000000,16.8927,17.2119,16.6328,16.6328,124009.11923703,0
FEP.US,D,20111214,000000,16.365,16.3815,16.0099,16.2883,17816.312149992,0
FEP.US,D,20111216,000000,16.4532,16.6104,16.4532,16.6104,11399.594773592,0
FEP.US,D,20111219,000000,16.7685,16.7685,16.5396,16.5697,4774.6562068252,0
FEP.US,D,20111220,000000,17.2041,17.2041,17.2041,17.2041,1400.8544441009,0
FEP.US,D,20111221,000000,17.0305,17.0945,16.9771,17.0877,5855.9632795713,0
FEP.US,D,20111222,000000,16.8142,16.8268,16.8142,16.8268,10926.458504393,0
FEP.US,D,20111223,000000,17.3022,17.339,17.1876,17.1876,9158.6399822198,0
FEP.US,D,20111228,000000,16.9626,16.9626,16.9626,16.9626,1356.5301313001,0
FEP.US,D,20111229,000000,17.1042,17.1042,17.1042,17.1042,1658.5539371291,0
FEP.US,D,20120105,000000,17.175,17.4632,17.175,17.4632,1582.2748871927,0
FEP.US,D,20120106,000000,17.3089,17.3089,17.0305,17.0392,4227.3024836335,0
FEP.US,D,20120110,000000,17.5854,17.6795,17.4486,17.5776,32091.833265779,0
FEP.US,D,20120111,000000,17.2449,17.4952,17.2041,17.4331,21114.865660753,0
FEP.US,D,20120112,000000,17.6699,17.6872,17.4719,17.6872,31715.592005958,0
FEP.US,D,20120113,000000,17.1954,17.3022,17.1954,17.3022,250.48390722334,0
FEP.US,D,20120117,000000,17.4719,17.5932,17.2449,17.4952,5373.5498286226,0
FEP.US,D,20120118,000000,17.631,17.824,17.6135,17.8163,3281.0299452342,0
FEP.US,D,20120119,000000,18.2344,18.2344,17.8968,18.0083,2764.6001612058,0
FEP.US,D,20120120,000000,17.8968,17.9909,17.8968,17.9909,949.36493231564,0
FEP.US,D,20120123,000000,18.086,18.086,18.0617,18.0617,655.58751026357,0
FEP.US,D,20120124,000000,17.9347,17.9347,17.9104,17.9347,766.91369125172,0
FEP.US,D,20120125,000000,17.9909,18.1946,17.9909,18.1326,3548.0066200113,0
FEP.US,D,20120130,000000,18.1558,18.1558,18.1558,18.1558,123.6957566535,0
FEP.US,D,20120131,000000,18.1646,18.1704,18.086,18.1248,11071.801018461,0
FEP.US,D,20120201,000000,18.6031,18.6031,18.5158,18.5158,1356.5301313001,0
FEP.US,D,20120202,000000,18.6506,18.6506,18.6506,18.6506,431.90435031515,0
FEP.US,D,20120203,000000,18.995,18.995,18.9804,18.995,2546.0709911179,0
FEP.US,D,20120206,000000,18.9727,18.9727,18.9727,18.9727,254.60709911179,0
FEP.US,D,20120207,000000,19.0746,19.0746,18.8738,19.0095,2756.3537774289,0
FEP.US,D,20120208,000000,19.1396,19.1396,19.1396,19.1396,1018.4283964472,0
FEP.US,D,20120210,000000,18.8786,18.8786,18.8786,18.8786,1124.6005875748,0
FEP.US,D,20120214,000000,18.6506,20.9605,18.2751,18.9096,3725.3038712147,0
FEP.US,D,20120216,000000,18.5478,19.0435,18.5478,18.8078,102161.3562181,0
FEP.US,D,20120223,000000,18.8573,19.2259,18.8573,19.2259,9192.6563152995,0
FEP.US,D,20120224,000000,19.5479,19.5926,19.5479,19.5926,5475.5988278617,0
FEP.US,D,20120227,000000,19.2181,19.4121,19.2181,19.4121,377.27205779318,0
FEP.US,D,20120301,000000,19.5053,19.5053,19.5053,19.5053,446.33552192472,0
FEP.US,D,20120302,000000,19.1453,19.1453,19.1453,19.1453,136.06533231885,0
FEP.US,D,20120306,000000,18.4178,18.4178,18.4178,18.4178,1531.7657865592,0
FEP.US,D,20120307,000000,18.6913,18.6913,18.6913,18.6913,250.48390722334,0
FEP.US,D,20120309,000000,19.0358,19.1231,18.9863,19.0358,7769.1243158121,0
FEP.US,D,20120312,000000,19.1076,19.1861,18.9804,19.1861,8186.5974945177,0
FEP.US,D,20120313,000000,19.2433,19.4024,19.2181,19.2695,9679.1929581366,0
FEP.US,D,20120314,000000,19.3171,19.3869,19.1928,19.2016,8659.7337637173,0
FEP.US,D,20120315,000000,19.2627,19.4364,19.2181,19.3491,7253.7253297558,0
FEP.US,D,20120316,000000,19.6168,19.6333,19.515,19.5218,6296.1140136633,0
FEP.US,D,20120319,000000,19.5218,19.774,19.5218,19.7517,8075.2713135295,0
FEP.US,D,20120320,000000,19.4985,19.4985,19.2841,19.4588,6238.389327225,0
FEP.US,D,20120321,000000,19.2937,19.4364,19.2937,19.3404,4727.239500108,0
FEP.US,D,20120322,000000,19.0823,19.1541,19.027,19.027,5619.9105439575,0
FEP.US,D,20120323,000000,19.4364,19.4364,19.4121,19.4121,1355.499333328,0
FEP.US,D,20120326,000000,19.742,19.8322,19.6246,19.6944,5093.172780208,0
FEP.US,D,20120327,000000,19.7963,19.7963,19.5295,19.5295,7251.6637338116,0
FEP.US,D,20120328,000000,19.4509,19.4509,19.2695,19.4121,2364.6505480261,0
FEP.US,D,20120330,000000,19.3579,19.515,19.3579,19.515,513.33739011204,0
FEP.US,D,20120404,000000,18.6913,18.833,18.6913,18.7117,890.60944790522,0
FEP.US,D,20120409,000000,18.8078,18.8078,18.8078,18.8078,952.45732623197,0
FEP.US,D,20120410,000000,18.0307,18.0617,18.0307,18.0617,319.54737135488,0
FEP.US,D,20120413,000000,18.5244,18.5244,18.5244,18.5244,491.69063269767,0
FEP.US,D,20120416,000000,18.3683,18.3683,18.3683,18.3683,128.84974651407,0
FEP.US,D,20120417,000000,18.9339,18.9339,18.9174,18.9174,886.48625601677,0
FEP.US,D,20120419,000000,18.6031,18.6031,18.6031,18.6031,1009.1512146982,0
FEP.US,D,20120423,000000,18.2034,18.2199,18.1879,18.2199,3602.6389125333,0
FEP.US,D,20120425,000000,18.9863,18.9863,18.9863,18.9863,319.54737135488,0
FEP.US,D,20120426,000000,18.7292,18.7292,18.7292,18.7292,123.6957566535,0
FEP.US,D,20120427,000000,19.2511,19.2511,19.0823,19.1007,4722.0855102475,0
FEP.US,D,20120430,000000,18.9174,18.995,18.9174,18.995,5855.9632795713,0
FEP.US,D,20120501,000000,19.0435,19.2937,19.0008,19.2937,4966.3846296381,0
FEP.US,D,20120503,000000,18.8786,18.8786,18.8786,18.8786,123.6957566535,0
