<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FEUZ.US,D,20141030,000000,26.2886,26.2886,26.2886,26.2886,588.17922931817,0
FEUZ.US,D,20141103,000000,26.6781,26.7014,26.6694,26.6694,2583.8610354609,0
FEUZ.US,D,20141104,000000,26.6432,26.6432,26.6432,26.6432,232.17601157296,0
FEUZ.US,D,20141106,000000,26.5725,26.6171,26.5579,26.6006,4845.7713348739,0
FEUZ.US,D,20141110,000000,26.6355,26.6355,26.6084,26.6084,352.9075375909,0
FEUZ.US,D,20141111,000000,26.6413,26.746,26.6413,26.746,305.44044189154,0
FEUZ.US,D,20141113,000000,26.6103,26.6103,26.6103,26.6103,192.96406295175,0
FEUZ.US,D,20141118,000000,27.119,27.215,27.119,27.215,1351.780334047,0
FEUZ.US,D,20141119,000000,27.3313,27.3313,27.3313,27.3313,469.51149006977,0
FEUZ.US,D,20141121,000000,27.2072,27.2072,27.2072,27.2072,1597.370959622,0
FEUZ.US,D,20141124,000000,27.6056,27.6947,27.5804,27.6947,1505566.5008592,0
FEUZ.US,D,20141125,000000,27.9467,27.9525,27.8275,27.8352,3913.9716084278,0
FEUZ.US,D,20141126,000000,27.845,27.9884,27.845,27.845,2672.603866551,0
FEUZ.US,D,20141128,000000,27.8536,27.8536,27.7597,27.7597,545.87160054265,0
FEUZ.US,D,20141201,000000,27.8788,27.9564,27.8536,27.8536,11445270.242603,0
FEUZ.US,D,20141202,000000,27.8633,27.8633,27.717,27.7509,56707.700959966,0
FEUZ.US,D,20141203,000000,29.1803,29.1803,27.5987,27.6821,103000.50198746,0
FEUZ.US,D,20141204,000000,27.7683,27.9051,27.5987,27.717,39688.683364974,0
FEUZ.US,D,20141205,000000,27.8536,27.9699,27.8275,27.8536,52045.60664758,0
FEUZ.US,D,20141208,000000,27.9631,27.9631,27.6143,27.6298,215313.84177245,0
FEUZ.US,D,20141209,000000,27.402,27.5396,27.1617,27.2829,47791.110222178,0
