<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FEX.US,D,20070510,000000,26.1424,26.1424,26.1146,26.1146,2298.8530611036,0
FEX.US,D,20070514,000000,26.1424,26.1424,26.1424,26.1424,574.46130856163,0
FEX.US,D,20070515,000000,26.1582,26.1582,26.0035,26.0035,1145.8991365519,0
FEX.US,D,20070516,000000,26.1146,26.1146,26.1146,26.1146,102.79833942682,0
FEX.US,D,20070517,000000,26.1582,26.1762,26.1582,26.1762,2755.3986273816,0
FEX.US,D,20070518,000000,26.324,26.324,26.324,26.324,689.35357027395,0
FEX.US,D,20070524,000000,26.445,26.445,26.445,26.445,346.69243885123,0
FEX.US,D,20070529,000000,26.2684,26.2882,26.2684,26.2882,1034.0303554109,0
FEX.US,D,20070530,000000,26.195,26.2277,26.195,26.2277,12064.695306652,0
FEX.US,D,20070531,000000,26.5502,26.586,26.5065,26.5502,9077.4965021308,0
FEX.US,D,20070601,000000,26.707,26.707,26.707,26.707,574.46130856163,0
FEX.US,D,20070604,000000,26.6713,26.7228,26.6713,26.7228,4021.2291599314,0
FEX.US,D,20070605,000000,26.6127,26.6127,26.6127,26.6127,456.54556627792,0
FEX.US,D,20070606,000000,26.3339,26.3339,26.3339,26.3339,2873.3143696653,0
FEX.US,D,20070607,000000,25.9876,25.9876,25.9429,25.9429,1263.8148788356,0
FEX.US,D,20070608,000000,25.8725,25.8725,25.8725,25.8725,918.13026684148,0
FEX.US,D,20070612,000000,25.9707,26.0114,25.8725,25.8725,29534.366048067,0
FEX.US,D,20070613,000000,26.0541,26.0879,26.0541,26.0879,806.26148570053,0
FEX.US,D,20070614,000000,26.3944,26.3944,26.3944,26.3944,456.54556627792,0
FEX.US,D,20070615,000000,26.6296,26.6296,26.567,26.567,806.26148570053,0
FEX.US,D,20070618,000000,26.6216,26.6216,26.5502,26.5502,6894.5435295966,0
FEX.US,D,20070619,000000,26.5065,26.5065,26.5065,26.5065,102.79833942682,0
FEX.US,D,20070620,000000,26.5224,26.5224,26.1762,26.1762,918.13026684148,0
FEX.US,D,20070621,000000,26.1325,26.3428,26.1325,26.3428,17351.754999132,0
FEX.US,D,20070622,000000,26.2882,26.2882,26.186,26.2129,18731.469966538,0
FEX.US,D,20070625,000000,26.2525,26.2525,25.9807,25.9807,1034.0303554109,0
FEX.US,D,20070626,000000,25.9936,25.9936,25.8269,25.8269,1722.3760988278,0
FEX.US,D,20070627,000000,25.9529,25.9529,25.9529,25.9529,102.79833942682,0
FEX.US,D,20070628,000000,26.0967,26.0967,26.0967,26.0967,346.69243885123,0
FEX.US,D,20070629,000000,26.0809,26.0809,25.8725,25.9936,27350.405248676,0
FEX.US,D,20070703,000000,26.4292,26.4292,26.4292,26.4292,102.79833942682,0
FEX.US,D,20070705,000000,26.4728,26.4728,26.4728,26.4728,456.54556627792,0
FEX.US,D,20070706,000000,26.5224,26.6475,26.4897,26.6475,5517.852042763,0
