<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FGM.US,D,20120223,000000,24.4302,24.4302,24.4302,24.4302,622.97860822216,0
FGM.US,D,20120228,000000,24.9183,25.6336,24.9183,24.9336,622.97860822216,0
FGM.US,D,20120229,000000,24.7883,24.7883,24.7444,24.7444,994.67172741353,0
FGM.US,D,20120301,000000,24.9603,24.9994,24.9603,24.9994,1244.9101935734,0
FGM.US,D,20120302,000000,24.8381,24.8381,24.8381,24.8381,1346.4714120566,0
FGM.US,D,20120309,000000,24.3901,24.3901,24.3901,24.3901,247.09739754694,0
FGM.US,D,20120314,000000,24.775,24.775,24.775,24.775,247.09739754694,0
FGM.US,D,20120316,000000,25.1131,25.1131,25.1131,25.1131,393.68059948157,0
FGM.US,D,20120323,000000,25.201,25.201,25.201,25.201,393.68059948157,0
FGM.US,D,20120417,000000,24.4302,24.4302,24.4302,24.4302,247.09739754694,0
FGM.US,D,20120418,000000,24.4045,24.4045,24.4045,24.4045,358.08182186887,0
FGM.US,D,20120424,000000,23.9202,23.9202,23.9202,23.9202,247.09739754694,0
FGM.US,D,20120517,000000,22.1676,22.2249,22.096,22.096,557.01616735158,0
FGM.US,D,20120523,000000,21.7989,22.1122,21.7989,22.1037,19729.05195753,0
FGM.US,D,20120524,000000,21.9202,21.9202,21.7598,21.8324,2198.7480290194,0
FGM.US,D,20120525,000000,21.8257,22.0731,21.8257,21.8935,64785.587163621,0
FGM.US,D,20120529,000000,22.2641,22.2641,22.1275,22.1275,1117.173403316,0
FGM.US,D,20120530,000000,21.6041,21.6041,20.8419,21.3166,22407.336461449,0
FGM.US,D,20120605,000000,20.5296,20.5449,20.5296,20.5449,274.31999219194,0
FGM.US,D,20120606,000000,21.3204,21.3615,21.3204,21.3615,497.33586370677,0
FGM.US,D,20120608,000000,21.4016,21.4016,21.4016,21.4016,247.09739754694,0
FGM.US,D,20120611,000000,21.4847,21.4847,21.4847,21.4847,247.09739754694,0
FGM.US,D,20120613,000000,21.3663,21.3663,21.3663,21.3663,931.85035515584,0
FGM.US,D,20120615,000000,21.4504,21.7856,21.4437,21.7789,9313.2684372036,0
FGM.US,D,20120618,000000,21.6203,21.6939,21.6203,21.6624,22632.446378706,0
FGM.US,D,20120619,000000,22.2889,22.33,22.2889,22.33,1274.2268339603,0
FGM.US,D,20120621,000000,22.0482,22.0482,22.0482,22.0482,130.8778588702,0
FGM.US,D,20120625,000000,21.3778,21.3778,21.3281,21.3367,568.53341893216,0
FGM.US,D,20120626,000000,21.2297,21.2297,21.2297,21.2297,451.26685738446,0
FGM.US,D,20120627,000000,21.2383,21.2383,21.2383,21.2383,243.95632893406,0
FGM.US,D,20120629,000000,22.1514,22.1848,22.1103,22.1437,2147.4439083423,0
FGM.US,D,20120703,000000,22.5601,22.5601,22.3654,22.3654,488.95968073907,0
FGM.US,D,20120706,000000,21.5478,21.6462,21.5478,21.5631,2260.5223784061,0
FGM.US,D,20120711,000000,21.6376,21.6376,21.6376,21.6376,1223.9697361541,0
FGM.US,D,20120713,000000,21.6719,21.6719,21.6633,21.6633,614.60242525447,0
FGM.US,D,20120720,000000,21.9814,21.9814,21.8973,21.9165,2280.4158129544,0
FGM.US,D,20120723,000000,21.9165,21.9165,21.0282,21.1667,1033.4115736391,0
FGM.US,D,20120725,000000,21.2784,21.2784,21.2135,21.2135,243.95632893406,0
FGM.US,D,20120727,000000,22.1351,22.1351,22.1351,22.1351,186.37007103117,0
FGM.US,D,20120802,000000,22.4618,22.4618,21.3939,21.3939,10627.28214026,0
FGM.US,D,20120803,000000,22.2431,22.5344,22.2431,22.5344,709.88150651197,0
FGM.US,D,20120807,000000,22.9919,22.9919,22.9919,22.9919,197.88732261175,0
FGM.US,D,20120808,000000,22.6012,22.6012,22.6012,22.6012,225.10991725675,0
FGM.US,D,20120809,000000,22.6175,22.861,22.6012,22.8514,1839.6191842796,0
FGM.US,D,20120810,000000,22.8123,22.8123,22.8123,22.8123,532.93464131946,0
FGM.US,D,20120813,000000,22.8037,22.8037,22.8037,22.8037,441.8436515458,0
FGM.US,D,20120815,000000,22.8868,22.8868,22.6671,22.6671,797.83142767275,0
FGM.US,D,20120817,000000,23.2115,23.3663,23.1648,23.3261,8592.916701982,0
FGM.US,D,20120821,000000,23.6786,23.7425,23.6518,23.6786,3738.9186722039,0
FGM.US,D,20120824,000000,23.2707,23.2707,23.2707,23.2707,328.76518148195,0
FGM.US,D,20120827,000000,23.4322,23.4408,23.4255,23.4322,737.10410115698,0
FGM.US,D,20120828,000000,23.4255,23.4837,23.4255,23.4742,2546.3596221786,0
FGM.US,D,20120829,000000,23.4322,23.5314,23.3663,23.5314,6498.8709600587,0
FGM.US,D,20120830,000000,23.1571,23.1571,22.9269,22.9451,1410.3398071853,0
FGM.US,D,20120831,000000,23.3261,23.3261,23.2383,23.285,736.05707828602,0
FGM.US,D,20120904,000000,22.9527,23.0482,22.9527,23.0482,923.47417218814,0
FGM.US,D,20120905,000000,23.031,23.0386,22.9603,23.0005,4580.7250604571,0
FGM.US,D,20120906,000000,23.3089,23.6872,23.3089,23.5057,11573.790815609,0
FGM.US,D,20120907,000000,23.8982,24.094,23.8982,24.094,4489.6340706834,0
FGM.US,D,20120910,000000,24.0701,24.0701,23.819,23.819,2019.707118085,0
FGM.US,D,20120911,000000,24.0701,24.2563,24.0701,24.1742,3431.0939481412,0
FGM.US,D,20120912,000000,24.4531,24.5582,24.372,24.4207,2993.4383880793,0
FGM.US,D,20120913,000000,24.2392,24.2392,24.2392,24.2392,120.40763016059,0
FGM.US,D,20120914,000000,25.2611,25.3748,25.073,25.2278,2201.8890976323,0
FGM.US,D,20120917,000000,25.0128,25.0128,25.0128,25.0128,243.95632893406,0
FGM.US,D,20120918,000000,24.7712,24.7883,24.7712,24.7883,1158.0072952835,0
FGM.US,D,20120919,000000,24.8744,24.9412,24.8744,24.924,2776.7046537902,0
FGM.US,D,20120920,000000,24.518,24.6976,24.4952,24.5926,1628.1205643453,0
FGM.US,D,20120921,000000,24.8428,24.8839,24.3882,24.3959,35373.667695438,0
FGM.US,D,20120924,000000,24.3137,24.3481,24.2822,24.3137,2082.5284903427,0
FGM.US,D,20120926,000000,23.6031,23.6356,23.5878,23.6127,13205.052448568,0
FGM.US,D,20120927,000000,23.6031,23.9374,23.6031,23.9374,9808.5102551684,0
FGM.US,D,20120928,000000,23.6919,23.6919,23.5926,23.6585,1148.5840894449,0
FGM.US,D,20121002,000000,24.1007,24.1007,24.0864,24.0864,1420.8100358949,0
FGM.US,D,20121003,000000,24.223,24.223,24.2144,24.2144,2390.3532144054,0
FGM.US,D,20121004,000000,24.372,24.4617,24.2563,24.4369,1827.054909828,0
FGM.US,D,20121005,000000,24.8352,24.8352,24.7789,24.7789,1052.2579853164,0
FGM.US,D,20121008,000000,24.2392,24.2392,24.2144,24.2144,286.88426664348,0
FGM.US,D,20121011,000000,24.3404,24.6011,24.3318,24.518,11358.104104191,0
FGM.US,D,20121012,000000,24.6327,24.6327,24.4703,24.4703,10324.692530552,0
FGM.US,D,20121015,000000,24.4952,24.4952,24.4292,24.4876,973.7312699943,0
FGM.US,D,20121016,000000,24.754,24.754,24.754,24.754,981.06043009103,0
FGM.US,D,20121017,000000,24.9412,25.1064,24.8839,25.1064,2330.6729107606,0
FGM.US,D,20121018,000000,25.0902,25.0902,25.0902,25.0902,167.52365935386,0
FGM.US,D,20121019,000000,24.818,24.818,24.7444,24.7444,1297.2613371214,0
FGM.US,D,20121022,000000,25.3319,25.3319,24.9593,24.9593,888.92241744641,0
FGM.US,D,20121023,000000,24.7979,24.7979,24.4207,24.4207,2082.5284903427,0
FGM.US,D,20121024,000000,24.4035,24.4035,24.3959,24.3959,364.36395909464,0
FGM.US,D,20121025,000000,24.4531,24.5276,24.4531,24.5276,930.80333228488,0
FGM.US,D,20121102,000000,24.9822,25.0826,24.9822,25.0826,374.83418780426,0
FGM.US,D,20121106,000000,25.1456,25.1456,25.1456,25.1456,364.36395909464,0
FGM.US,D,20121108,000000,24.4207,24.4876,24.4207,24.4617,1200.935232993,0
FGM.US,D,20121109,000000,24.3404,24.3404,24.2563,24.2563,1142.3019522191,0
FGM.US,D,20121114,000000,24.223,24.223,24.0616,24.0616,488.95968073907,0
FGM.US,D,20121116,000000,23.7331,23.7331,23.7331,23.7331,120.40763016059,0
FGM.US,D,20121119,000000,24.3318,24.3318,24.3318,24.3318,243.95632893406,0
FGM.US,D,20121123,000000,25.1456,25.1456,25.1456,25.1456,120.40763016059,0
FGM.US,D,20121127,000000,25.3137,25.3137,25.2029,25.2029,334.00029583676,0
FGM.US,D,20121128,000000,25.0902,25.3137,25.0902,25.3137,488.95968073907,0
FGM.US,D,20121129,000000,25.5677,25.5677,25.4541,25.4703,981.06043009103,0
FGM.US,D,20121130,000000,25.7731,25.8619,25.7731,25.8619,444.98472015869,0
FGM.US,D,20121203,000000,25.838,25.8457,25.838,25.8457,6864.2819420243,0
FGM.US,D,20121204,000000,25.8791,25.8791,25.8791,25.8791,1962.1208601821,0
FGM.US,D,20121205,000000,26.0815,26.0815,25.9364,25.9861,535.02868706139,0
FGM.US,D,20121206,000000,26.0576,26.0576,26.0319,26.0405,7930.1512246633,0
FGM.US,D,20121207,000000,25.8304,25.9517,25.7798,25.9517,2495.0555015015,0
FGM.US,D,20121210,000000,26.0166,26.0166,26.0013,26.0013,694.17616344755,0
FGM.US,D,20121211,000000,26.2897,26.3681,26.2897,26.328,3154.6799102073,0
FGM.US,D,20121212,000000,26.5324,26.5324,26.5324,26.5324,393.68059948157,0
FGM.US,D,20121213,000000,26.4827,26.5496,26.4741,26.5496,563.29830457735,0
FGM.US,D,20121214,000000,26.6059,26.7588,26.6059,26.7024,1578.9104894101,0
FGM.US,D,20121217,000000,26.8504,26.8504,26.8017,26.8017,1115.0793575741,0
FGM.US,D,20121218,000000,27.0634,27.242,27.0634,27.2238,625.07265396408,0
FGM.US,D,20121219,000000,27.4788,27.5505,27.4702,27.4702,612.50837951254,0
FGM.US,D,20121221,000000,27.113,27.113,27.113,27.113,149.72427054751,0
FGM.US,D,20121224,000000,27.2324,27.3624,27.1465,27.1465,694.17616344755,0
FGM.US,D,20121226,000000,27.2324,27.2324,27.2324,27.2324,243.95632893406,0
FGM.US,D,20121228,000000,27.0061,27.0558,27.0061,27.0558,2062.6350557944,0
FGM.US,D,20121231,000000,27.2229,27.3385,27.1933,27.3385,923.47417218814,0
FGM.US,D,20130102,000000,27.7319,27.7893,27.5915,27.6154,2392.4472601473,0
FGM.US,D,20130104,000000,27.4368,27.6756,27.4368,27.667,2797.6451112094,0
FGM.US,D,20130107,000000,27.4541,27.5915,27.4541,27.5772,2445.8454265663,0
FGM.US,D,20130108,000000,27.2822,27.3059,27.1542,27.3059,859.60577705949,0
FGM.US,D,20130109,000000,27.4788,27.5505,27.4702,27.5362,8249.4932003066,0
FGM.US,D,20130110,000000,28.0022,28.0902,27.7893,28.0902,5262.3369494531,0
FGM.US,D,20130111,000000,27.943,28.0577,27.8944,28.0175,2083.5755132136,0
FGM.US,D,20130114,000000,28.0242,28.0491,27.9832,28.0491,1346.4714120566,0
FGM.US,D,20130116,000000,27.8685,27.8685,27.8685,27.8685,551.78105299677,0
FGM.US,D,20130117,000000,28.2296,28.2296,28.2037,28.2037,737.10410115698,0
FGM.US,D,20130118,000000,28.1713,28.1713,27.9183,28.1322,18901.90388947,0
FGM.US,D,20130122,000000,28.0089,28.0902,27.9755,28.0902,6097.8612004804,0
FGM.US,D,20130123,000000,28.0729,28.0729,28.0729,28.0729,243.95632893406,0
FGM.US,D,20130124,000000,28.3843,28.4177,28.3423,28.3423,1201.9822558639,0
FGM.US,D,20130125,000000,28.602,28.7024,28.4721,28.6852,4602.7125407473,0
