<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FICS.US,D,20201217,000000,29.8498,29.8498,29.8389,29.8399,1032.8088975499,0
FICS.US,D,20201218,000000,29.7877,29.7877,29.7807,29.7807,548.86995439536,0
FICS.US,D,20201221,000000,29.1697,29.5422,29.1697,29.5422,349.0041854196,0
FICS.US,D,20201222,000000,29.5009,29.5768,29.4812,29.5551,4627.3490979616,0
FICS.US,D,20201223,000000,29.695,29.7039,29.6851,29.6851,1076.4344207273,0
FICS.US,D,20201229,000000,30.2391,30.2401,30.2036,30.2036,531.62265453451,0
FICS.US,D,20201230,000000,30.315,30.315,30.183,30.183,682.79016507963,0
FICS.US,D,20201231,000000,30.0844,30.1415,30.0755,30.0893,4249.9375951242,0
FICS.US,D,20210105,000000,30.5781,30.5781,30.5506,30.5703,4018.6208675786,0
FICS.US,D,20210106,000000,30.3574,30.6087,30.3574,30.6087,607.71368333239,0
FICS.US,D,20210107,000000,30.5298,30.5298,30.4944,30.4944,856.27771073879,0
FICS.US,D,20210111,000000,30.589,30.589,30.5308,30.5308,2573.9058674696,0
FICS.US,D,20210112,000000,30.5407,30.6876,30.528,30.6876,1237.7474017788,0
FICS.US,D,20210113,000000,30.6462,30.7152,30.6087,30.6087,773.08485258644,0
FICS.US,D,20210114,000000,30.7743,30.7743,30.7309,30.7309,535.68084273706,0
FICS.US,D,20210115,000000,30.4825,30.4825,30.4116,30.4116,356.10601477407,0
FICS.US,D,20210119,000000,30.6186,30.6274,30.6028,30.6127,937.44147478986,0
FICS.US,D,20210120,000000,30.6757,30.7152,30.6757,30.7152,1748.0645682499,0
FICS.US,D,20210121,000000,30.7743,30.8325,30.7349,30.8325,642.20828305409,0
FICS.US,D,20210122,000000,30.8325,30.9104,30.7743,30.7911,2637.8223316598,0
FICS.US,D,20210125,000000,30.8512,30.8522,30.8315,30.8453,877.5831988022,0
FICS.US,D,20210127,000000,30.3081,30.4234,30.181,30.181,1419.3513238431,0
FICS.US,D,20210128,000000,30.3564,30.521,30.3475,30.3849,8158.9873812338,0
FICS.US,D,20210129,000000,30.0647,30.0647,29.6064,29.6813,1542.1115169703,0
FICS.US,D,20210201,000000,30.0055,30.0055,30.0055,30.0055,241.46219805193,0
FICS.US,D,20210202,000000,30.3179,30.4481,30.3179,30.4481,1579.649757844,0
FICS.US,D,20210203,000000,30.4777,30.4777,30.4737,30.4737,102.46925211448,0
FICS.US,D,20210204,000000,30.181,30.3751,30.181,30.3623,1954.0176195295,0
FICS.US,D,20210205,000000,30.4727,30.4727,30.4332,30.4332,337.84416786258,0
FICS.US,D,20210209,000000,30.7349,30.7349,30.7349,30.7349,202.90941012768,0
FICS.US,D,20210210,000000,30.7152,30.7931,30.7063,30.7063,3560.0456006901,0
FICS.US,D,20210212,000000,31.1577,31.2356,31.1577,31.2356,634.09190664899,0
FICS.US,D,20210216,000000,31.4633,31.4731,31.4633,31.4731,361.17875002726,0
FICS.US,D,20210217,000000,31.0563,31.135,31.0563,31.135,459.58981393919,0
FICS.US,D,20210218,000000,30.9478,31.138,30.9478,31.138,3753.824087362,0
FICS.US,D,20210222,000000,31.0168,31.0178,31.0168,31.0178,1028.7507093473,0
FICS.US,D,20210223,000000,30.6757,30.7496,30.6757,30.7496,4159.6429076174,0
FICS.US,D,20210224,000000,30.4825,30.6462,30.4825,30.6462,2735.2188485211,0
FICS.US,D,20210226,000000,29.8212,29.8212,29.6753,29.6753,165.37116925406,0
FICS.US,D,20210301,000000,30.2391,30.2391,30.1869,30.1869,1421.3804179444,0
FICS.US,D,20210302,000000,30.2982,30.2982,30.2982,30.2982,356.10601477407,0
FICS.US,D,20210303,000000,30.1031,30.1031,29.9286,29.9286,537.70993683834,0
FICS.US,D,20210305,000000,29.4279,29.5235,29.4279,29.5235,306.39320929279,0
FICS.US,D,20210308,000000,29.4033,29.4033,29.2298,29.2298,1326.0129951844,0
FICS.US,D,20210310,000000,29.9188,29.9729,29.8695,29.9729,529.59356043323,0
FICS.US,D,20210311,000000,30.3574,30.3574,30.2982,30.2982,1717.6281567308,0
