<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FID.US,D,20130828,000000,13.1584,13.173,13.1516,13.1516,18693.133008163,0
FID.US,D,20130829,000000,13.1457,13.1457,13.1457,13.1457,6557.8749405049,0
FID.US,D,20130830,000000,13.2323,13.2323,13.0991,13.1457,17473.948539306,0
FID.US,D,20130903,000000,13.243,13.243,13.243,13.243,151.24060499752,0
FID.US,D,20130904,000000,13.2361,13.3373,13.1886,13.243,23325.005142169,0
FID.US,D,20130905,000000,13.1759,13.1759,13.1759,13.1759,145.06751907926,0
FID.US,D,20130906,000000,13.2644,13.2644,13.2644,13.2644,416.68329948297,0
FID.US,D,20130909,000000,13.3907,13.4665,13.3907,13.4529,7794.5498194642,0
FID.US,D,20130910,000000,13.5035,13.5035,13.4578,13.4578,604.96241999009,0
FID.US,D,20130911,000000,13.5239,13.5385,13.5239,13.5385,11911.998126948,0
FID.US,D,20130913,000000,13.5365,13.5365,13.5365,13.5365,145.06751907926,0
FID.US,D,20130916,000000,13.6755,13.6813,13.6755,13.6813,2635.9076870997,0
FID.US,D,20130917,000000,13.7416,13.7474,13.6872,13.7153,29847.899262471,0
FID.US,D,20130918,000000,13.7367,14.1411,13.6726,13.9885,89711.399954857,0
FID.US,D,20130919,000000,14.0186,14.0691,13.9078,13.9078,15545.888037501,0
FID.US,D,20130920,000000,13.9953,13.9953,13.7212,13.8154,2361.2053637368,0
FID.US,D,20130923,000000,13.9331,13.9331,13.7309,13.867,16061.340711676,0
FID.US,D,20130924,000000,13.9146,13.9204,13.867,13.8747,4206.9580532985,0
FID.US,D,20130925,000000,13.9146,13.9146,13.8583,13.8583,443.43333846213,0
FID.US,D,20130926,000000,13.8524,13.8524,13.8524,13.8524,1654.3870260954,0
FID.US,D,20130927,000000,13.8378,13.8456,13.8378,13.8456,602.904724684,0
FID.US,D,20130930,000000,13.6998,13.6998,13.6998,13.6998,296.30812407678,0
FID.US,D,20131001,000000,13.5423,13.83,13.5423,13.8009,1505.2041164039,0
FID.US,D,20131002,000000,13.8378,13.8621,13.794,13.794,3601.9956333084,0
FID.US,D,20131003,000000,13.8077,13.8077,13.8077,13.8077,296.30812407678,0
FID.US,D,20131004,000000,13.8378,13.867,13.7737,13.7737,15618.936220867,0
FID.US,D,20131007,000000,13.8621,13.8747,13.7795,13.7795,5104.1132067531,0
FID.US,D,20131009,000000,13.8223,13.8223,13.7474,13.8154,15412.137842605,0
FID.US,D,20131011,000000,13.9467,13.9467,13.8747,13.8747,1505.2041164039,0
