<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FINX.US,D,20160915,000000,14.4073,14.4093,14.4073,14.4093,211.479109893,0
FINX.US,D,20160919,000000,14.3813,14.3913,14.3674,14.3813,4580.37692991,0
FINX.US,D,20160920,000000,14.2686,14.2686,14.2686,14.2686,561.27157128,0
FINX.US,D,20160921,000000,14.2397,14.2397,14.2307,14.2307,232.526793816,0
FINX.US,D,20160922,000000,14.4951,14.4951,14.4951,14.4951,1056.393278802,0
FINX.US,D,20160923,000000,14.5899,14.5899,14.4402,14.4671,4639.510899027,0
FINX.US,D,20160929,000000,14.6088,14.6278,14.514,14.514,5050.441870857,0
FINX.US,D,20160930,000000,14.5619,14.5989,14.5619,14.5989,475.076294262,0
FINX.US,D,20161003,000000,14.7036,14.7036,14.6437,14.6847,1416.208446819,0
FINX.US,D,20161004,000000,14.6028,14.6028,14.6028,14.6028,207.470027241,0
FINX.US,D,20161005,000000,14.6847,14.6847,14.6318,14.6318,921.086739297,0
FINX.US,D,20161006,000000,14.6847,14.6847,14.543,14.6188,1734.930517653,0
FINX.US,D,20161007,000000,14.4861,14.4861,14.4292,14.4292,211.479109893,0
FINX.US,D,20161010,000000,14.514,14.514,14.4981,14.4981,422.958219786,0
FINX.US,D,20161011,000000,14.4911,14.4911,14.2397,14.2397,1774.01907351,0
FINX.US,D,20161012,000000,14.1928,14.2965,14.1928,14.2965,940.129881894,0
FINX.US,D,20161013,000000,14.1928,14.1928,14.1828,14.1928,6459.634423035,0
FINX.US,D,20161018,000000,14.1928,14.1928,14.1928,14.1928,105.238419615,0
FINX.US,D,20161025,000000,14.3724,14.3724,14.2776,14.2776,2811.369209715,0
FINX.US,D,20161028,000000,14.0571,14.0571,14.0501,14.0501,211.479109893,0
FINX.US,D,20161101,000000,14.0411,14.0501,13.9653,13.9653,7992.106266762,0
FINX.US,D,20161102,000000,13.8705,13.8705,13.8047,13.8047,214.485921882,0
FINX.US,D,20161104,000000,13.8047,13.8047,13.7677,13.7677,422.958219786,0
FINX.US,D,20161107,000000,14.2307,14.2496,14.2307,14.2496,388.881017244,0
FINX.US,D,20161109,000000,14.1319,14.1798,14.1319,14.1798,420.95367846,0
FINX.US,D,20161111,000000,13.9653,14.088,13.9653,14.088,7233.387374871,0
FINX.US,D,20161114,000000,14.1738,14.1738,14.0032,14.0471,2334.288374127,0
FINX.US,D,20161115,000000,14.0501,14.0501,14.0501,14.0501,1056.393278802,0
FINX.US,D,20161116,000000,14.1718,14.1928,14.1429,14.1429,2743.214804631,0
FINX.US,D,20161117,000000,14.2636,14.3155,14.2586,14.2876,2519.708446782,0
FINX.US,D,20161118,000000,14.3813,14.3813,14.3813,14.3813,356.808356028,0
FINX.US,D,20161121,000000,14.3155,14.3255,14.3155,14.3255,723.639418686,0
FINX.US,D,20161122,000000,14.4003,14.4193,14.4003,14.4193,1595.614895496,0
FINX.US,D,20161123,000000,14.4103,14.4103,14.4103,14.4103,1398.167574885,0
FINX.US,D,20161125,000000,14.5709,14.5709,14.3724,14.4482,791.79382377,0
FINX.US,D,20161128,000000,14.3724,14.3724,14.3444,14.3444,216.490463208,0
FINX.US,D,20161129,000000,14.4193,14.4193,14.3444,14.3444,1306.960944552,0
FINX.US,D,20161130,000000,14.2397,14.2536,14.1738,14.1828,533.207992716,0
FINX.US,D,20161201,000000,14.0501,14.0501,13.8426,13.8426,1700.853315111,0
FINX.US,D,20161202,000000,13.7857,13.7857,13.7478,13.7478,563.276112606,0
FINX.US,D,20161205,000000,13.9653,13.9942,13.9224,13.9224,1451.287920024,0
FINX.US,D,20161206,000000,13.9653,13.9653,13.7647,13.7647,1014.297910956,0
FINX.US,D,20161207,000000,13.7947,14.0032,13.7947,14.0032,1361.083560354,0
FINX.US,D,20161208,000000,14.0032,14.0032,14.0032,14.0032,105.238419615,0
FINX.US,D,20161212,000000,14.0032,14.0032,13.9842,13.9842,1598.621707485,0
FINX.US,D,20161213,000000,13.9184,13.9184,13.9084,13.9084,797.807447748,0
FINX.US,D,20161214,000000,13.9014,13.9014,13.9014,13.9014,181.410990003,0
FINX.US,D,20161215,000000,13.9653,13.9653,13.9453,13.9653,528.196639401,0
FINX.US,D,20161219,000000,13.8615,13.8994,13.8047,13.8047,5026.387374945,0
FINX.US,D,20161220,000000,13.9084,13.9084,13.8795,13.8795,316.717529508,0
FINX.US,D,20161223,000000,13.8496,13.8496,13.8496,13.8496,337.765213431,0
FINX.US,D,20161227,000000,13.9523,13.9603,13.9523,13.9603,723.639418686,0
FINX.US,D,20161228,000000,13.9184,13.9184,13.8795,13.8795,889.014078081,0
FINX.US,D,20161229,000000,14.0032,14.0032,13.8655,13.8655,2073.698001747,0
FINX.US,D,20170103,000000,13.9563,14.0132,13.9563,13.9832,865.961852832,0
FINX.US,D,20170104,000000,14.0501,14.0501,14.0421,14.0501,1690.830608481,0
FINX.US,D,20170105,000000,14.2287,14.2287,14.2117,14.2117,422.958219786,0
FINX.US,D,20170106,000000,14.2496,14.2766,14.2427,14.2766,917.077656645,0
FINX.US,D,20170109,000000,14.2347,14.2347,14.2347,14.2347,359.815168017,0
FINX.US,D,20170110,000000,14.3813,14.4103,14.3813,14.4103,1067.418256095,0
FINX.US,D,20170111,000000,14.4292,14.4292,14.2965,14.2965,721.63487736,0
FINX.US,D,20170113,000000,14.4412,14.5051,14.4412,14.4861,2274.152134347,0
FINX.US,D,20170117,000000,14.3474,14.3474,14.2965,14.2965,267.606267021,0
FINX.US,D,20170119,000000,14.3813,14.4382,14.3784,14.4382,723.639418686,0
FINX.US,D,20170120,000000,14.4572,14.4572,14.4093,14.4093,1267.872388695,0
FINX.US,D,20170123,000000,14.514,14.514,14.4173,14.4173,402.912806526,0
FINX.US,D,20170124,000000,14.4292,14.4921,14.4292,14.4921,563.276112606,0
FINX.US,D,20170125,000000,14.5998,14.6088,14.5998,14.6088,364.826521332,0
FINX.US,D,20170126,000000,14.6088,14.6088,14.5709,14.5709,415.942325145,0
FINX.US,D,20170127,000000,14.6188,14.6188,14.4811,14.5989,1404.181198863,0
FINX.US,D,20170130,000000,14.4193,14.4671,14.3714,14.4671,5294.995912629,0
FINX.US,D,20170131,000000,14.4572,14.4861,14.4292,14.4572,1113.522706593,0
FINX.US,D,20170201,000000,14.4671,14.5619,14.4582,14.4761,3454.826975361,0
FINX.US,D,20170202,000000,14.7186,14.7186,14.6447,14.6447,762.727974543,0
FINX.US,D,20170206,000000,14.6926,14.6946,14.6757,14.6946,2328.274750149,0
FINX.US,D,20170208,000000,14.6657,14.7036,14.5659,14.7026,1102.4977293,0
FINX.US,D,20170209,000000,14.7126,14.7555,14.6088,14.7555,1920.350590308,0
FINX.US,D,20170210,000000,14.8553,14.8553,14.8553,14.8553,513.162579456,0
FINX.US,D,20170213,000000,15.0728,15.0728,14.9969,14.9969,881.99818344,0
FINX.US,D,20170214,000000,14.9022,14.978,14.8922,14.978,3391.683923592,0
FINX.US,D,20170215,000000,14.8174,14.9401,14.8174,14.9401,3862.751135202,0
FINX.US,D,20170216,000000,14.9501,14.9501,14.9022,14.9151,1872.241598484,0
FINX.US,D,20170217,000000,14.8672,14.9501,14.8672,14.9501,2332.283832801,0
FINX.US,D,20170221,000000,14.959,15.0109,14.9501,15.0109,627.421435038,0
FINX.US,D,20170222,000000,14.9401,15.0818,14.9401,15.0468,2552.783378661,0
FINX.US,D,20170223,000000,15.0568,15.1865,15.0568,15.1177,2461.576748328,0
FINX.US,D,20170224,000000,15.1007,15.1007,14.9969,15.0887,811.83923703,0
FINX.US,D,20170227,000000,15.1646,15.1646,15.1646,15.1646,105.238419615,0
FINX.US,D,20170228,000000,15.2334,15.2334,15.1386,15.1386,959.173024491,0
FINX.US,D,20170301,000000,15.1386,15.1626,15.1087,15.1626,2376.383741973,0
FINX.US,D,20170302,000000,15.1386,15.1386,15.0818,15.0818,748.696185261,0
FINX.US,D,20170303,000000,15.1197,15.1386,15.0648,15.0648,442.001362383,0
FINX.US,D,20170306,000000,15.2434,15.2434,15.1296,15.1925,2421.485921808,0
FINX.US,D,20170307,000000,15.2713,15.2713,15.1376,15.1945,5726.974568382,0
FINX.US,D,20170308,000000,15.2334,15.2334,15.2005,15.2005,602.364668463,0
FINX.US,D,20170309,000000,15.1107,15.1576,15.1007,15.1047,1730.921435001,0
FINX.US,D,20170313,000000,15.3751,15.3751,15.3013,15.3472,2136.841053516,0
FINX.US,D,20170314,000000,15.2813,15.3382,15.2055,15.3382,47697.058581507,0
FINX.US,D,20170315,000000,15.394,15.394,15.394,15.394,535.212534042,0
FINX.US,D,20170316,000000,15.6125,15.6125,15.5178,15.5228,1284.910989966,0
FINX.US,D,20170317,000000,15.5836,15.5836,15.5078,15.5078,8582.443687269,0
FINX.US,D,20170320,000000,15.5267,15.5267,15.3851,15.404,1555.524068976,0
FINX.US,D,20170321,000000,15.1386,15.1386,15.0957,15.0957,1249.831516761,0
FINX.US,D,20170322,000000,15.0728,15.0728,15.0349,15.0349,402.912806526,0
FINX.US,D,20170323,000000,15.0349,15.1765,15.0349,15.1765,1746.957765609,0
FINX.US,D,20170324,000000,15.2524,15.2524,15.2434,15.2434,440.99909172,0
FINX.US,D,20170327,000000,15.1386,15.2145,14.9969,15.2145,1736.935058979,0
FINX.US,D,20170328,000000,15.1955,15.3092,15.1955,15.3092,1311.972297867,0
FINX.US,D,20170329,000000,15.2334,15.3192,15.2055,15.3192,1801.080381411,0
FINX.US,D,20170330,000000,15.3851,15.3851,15.3282,15.3851,5864.285649213,0
FINX.US,D,20170331,000000,15.2783,15.404,15.2783,15.404,4362.884196039,0
FINX.US,D,20170403,000000,15.4419,15.4419,15.2055,15.2793,3195.238873644,0
FINX.US,D,20170404,000000,15.2623,15.2813,15.2623,15.2813,229.519981827,0
FINX.US,D,20170405,000000,15.2763,15.3023,15.1955,15.2334,3496.922343207,0
