<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FIXD.US,D,20170327,000000,45.028,45.028,44.8971,45.019,2010.0530173709,0
FIXD.US,D,20170328,000000,44.7069,44.9328,44.7069,44.8643,5136.1294469969,0
FIXD.US,D,20170329,000000,44.9596,44.9596,44.915,44.915,1241.1471944609,0
FIXD.US,D,20170330,000000,44.9228,44.9328,44.8882,44.9051,2791.0675933975,0
FIXD.US,D,20170331,000000,44.9417,44.9417,44.8951,44.8971,25705.873803977,0
FIXD.US,D,20170403,000000,45.0021,45.0923,44.9853,45.0923,6615.4154527528,0
FIXD.US,D,20170404,000000,45.1102,45.1102,45.0021,45.0021,5251.1626016055,0
FIXD.US,D,20170405,000000,44.9853,45.0021,44.9328,45.0021,6029.1499893529,0
FIXD.US,D,20170406,000000,45.0111,45.0111,44.8882,44.9675,27268.91201879,0
FIXD.US,D,20170407,000000,45.0358,45.0368,44.9328,44.9328,13591.066310728,0
FIXD.US,D,20170410,000000,44.9823,44.9823,44.9516,44.9596,6581.1073189221,0
FIXD.US,D,20170411,000000,45.0825,45.2004,45.0597,45.2004,12613.284496554,0
FIXD.US,D,20170412,000000,45.2004,45.2836,45.1825,45.1825,57818.287069446,0
FIXD.US,D,20170413,000000,45.2836,45.2876,45.2836,45.2876,590.30171443874,0
FIXD.US,D,20170417,000000,45.3144,45.4016,45.2102,45.2102,7254.1521796583,0
FIXD.US,D,20170418,000000,45.4045,45.4749,45.3351,45.3351,4529.6827284025,0
FIXD.US,D,20170419,000000,45.3509,45.3649,45.3351,45.3451,2179.5755610046,0
FIXD.US,D,20170420,000000,45.3411,45.3411,45.3194,45.3271,104450.10438459,0
FIXD.US,D,20170421,000000,45.3896,45.3896,45.128,45.3351,34835.873653963,0
FIXD.US,D,20170424,000000,45.1825,45.242,45.1736,45.242,28813.787103928,0
FIXD.US,D,20170425,000000,45.1657,45.1915,45.134,45.1915,32300.098938776,0
