<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FJP.US,D,20110503,000000,36.76,36.76,36.5294,36.5294,234.404615759,0
FJP.US,D,20110505,000000,36.4088,36.4088,36.4088,36.4088,178.3513380775,0
FJP.US,D,20110510,000000,36.9406,36.9406,36.9406,36.9406,234.404615759,0
FJP.US,D,20110512,000000,36.3263,36.3263,36.3263,36.3263,117.2023078795,0
FJP.US,D,20110517,000000,35.1979,35.1979,35.1979,35.1979,349.5686226319,0
FJP.US,D,20110518,000000,35.8465,35.8465,35.8465,35.8465,234.404615759,0
FJP.US,D,20110523,000000,34.2746,34.2746,34.2746,34.2746,223.1939602227,0
FJP.US,D,20110525,000000,34.4699,34.4699,34.4699,34.4699,882.5843358578,0
FJP.US,D,20110609,000000,35.5149,35.5149,35.3755,35.3755,837.7417137126,0
FJP.US,D,20110610,000000,35.0449,35.1479,35.0351,35.1479,1166.9273262785,0
FJP.US,D,20110615,000000,35.1979,35.1979,35.1636,35.1636,315.936656023,0
FJP.US,D,20110616,000000,35.0949,35.0949,35.0007,35.0007,1667.3302233988,0
FJP.US,D,20110617,000000,35.141,35.141,35.141,35.141,170.1981340511,0
FJP.US,D,20110621,000000,35.7356,35.8043,35.7356,35.8043,246.6344217986,0
FJP.US,D,20110622,000000,36.1693,36.1693,36.0359,36.0359,1448.2128651893,0
FJP.US,D,20110624,000000,35.8122,35.8122,35.8122,35.8122,586.0115393975,0
FJP.US,D,20110627,000000,35.7533,35.9397,35.7533,35.9397,2344.04615759,0
FJP.US,D,20110628,000000,35.8966,36.1007,35.8966,36.1007,348.5494721286,0
FJP.US,D,20110629,000000,36.607,36.607,36.607,36.607,2601.8912349249,0
FJP.US,D,20110705,000000,37.1427,37.1427,37.1427,37.1427,1171.0039282917,0
FJP.US,D,20110706,000000,37.3497,37.3586,37.2192,37.2192,2460.2293149662,0
FJP.US,D,20110707,000000,37.6569,37.6569,37.6048,37.6048,1605.1620426975,0
FJP.US,D,20110708,000000,37.2379,37.2634,37.2055,37.2634,1693.8281364846,0
FJP.US,D,20110711,000000,36.6992,36.9141,36.6678,36.8954,2365.4483181593,0
FJP.US,D,20110712,000000,37.179,37.2133,37.179,37.2133,1147.5634667158,0
FJP.US,D,20110713,000000,41.2903,41.2903,37.647,37.6981,2460.2293149662,0
FJP.US,D,20110714,000000,37.6981,37.6981,37.6981,37.6981,117.2023078795,0
FJP.US,D,20110715,000000,37.7255,37.7255,37.6981,37.6981,1637.7748588031,0
FJP.US,D,20110718,000000,37.2447,37.2546,37.2447,37.2546,1662.2344708823,0
FJP.US,D,20110720,000000,38.0994,38.5085,38.0915,38.5085,4103.0999262858,0
FJP.US,D,20110721,000000,38.3986,38.5184,38.1435,38.5184,3175.6729682828,0
FJP.US,D,20110722,000000,38.3633,38.3633,38.33,38.33,302.6876994801,0
FJP.US,D,20110725,000000,38.3388,38.5341,38.3388,38.4752,13266.282101456,0
FJP.US,D,20110726,000000,38.3633,38.5694,38.33,38.5694,3654.6737048338,0
FJP.US,D,20110727,000000,38.065,38.065,38.065,38.065,157.9683280115,0
FJP.US,D,20110729,000000,37.3988,37.8521,37.3988,37.8521,1090.491038531,0
FJP.US,D,20110801,000000,37.7756,37.7756,37.7756,37.7756,348.5494721286,0
FJP.US,D,20110802,000000,37.4881,40.8919,37.4881,39.319,1876.2560765753,0
FJP.US,D,20110803,000000,37.2712,37.5695,36.9896,37.3056,3913.537932672,0
FJP.US,D,20110805,000000,35.4285,35.5247,34.6514,35.4354,5967.1261968215,0
FJP.US,D,20110808,000000,34.7721,34.883,34.5229,34.566,7307.309108661,0
FJP.US,D,20110809,000000,34.5916,34.9497,33.8802,34.9497,1012.0164497769,0
FJP.US,D,20110810,000000,34.7279,34.7279,34.5749,34.5749,900.9290449172,0
FJP.US,D,20110811,000000,35.0174,35.0174,35.0174,35.0174,117.2023078795,0
FJP.US,D,20110812,000000,35.0596,35.0596,34.8212,34.8212,3897.2315246192,0
FJP.US,D,20110815,000000,35.1714,35.1714,35.0449,35.0449,1175.0805303049,0
FJP.US,D,20110817,000000,35.1214,35.1214,35.0007,35.0007,1175.0805303049,0
FJP.US,D,20110818,000000,34.1637,34.1637,33.9763,33.9763,756.2096734486,0
FJP.US,D,20110819,000000,33.8576,33.8576,33.8576,33.8576,178.3513380775,0
FJP.US,D,20110823,000000,33.3444,33.3444,33.3444,33.3444,144.7193714686,0
FJP.US,D,20110824,000000,33.1943,33.1943,33.1943,33.1943,194.6577461303,0
FJP.US,D,20110825,000000,32.9873,32.9873,32.9873,32.9873,892.7758408908,0
FJP.US,D,20110907,000000,33.89,33.89,33.89,33.89,149.8151239851,0
FJP.US,D,20110908,000000,33.7634,33.7634,33.7634,33.7634,156.9491775082,0
FJP.US,D,20110909,000000,33.1158,33.1158,32.9363,32.9363,234.404615759,0
FJP.US,D,20110914,000000,33.5593,33.6525,33.5593,33.6005,387.277191254,0
FJP.US,D,20110919,000000,33.5407,33.5407,33.4043,33.4043,4802.2371715496,0
FJP.US,D,20110921,000000,33.7458,33.7458,33.7458,33.7458,297.5919469636,0
FJP.US,D,20110922,000000,32.7243,32.7243,32.7243,32.7243,1211.7699484237,0
FJP.US,D,20110929,000000,34.4277,34.4277,34.4277,34.4277,234.404615759,0
FJP.US,D,20111011,000000,33.4906,33.5407,33.4906,33.5407,669.5818806681,0
FJP.US,D,20111018,000000,33.9763,33.9763,33.9763,33.9763,724.6160078463,0
FJP.US,D,20111024,000000,34.1402,34.1402,34.1402,34.1402,1171.0039282917,0
FJP.US,D,20111027,000000,34.1402,34.1402,34.1402,34.1402,701.1755462704,0
FJP.US,D,20111031,000000,33.7124,33.7124,33.2267,33.2267,265.9982813613,0
FJP.US,D,20111101,000000,32.4064,32.4064,32.4064,32.4064,117.2023078795,0
FJP.US,D,20111108,000000,32.74,32.74,32.74,32.74,130.4512644224,0
FJP.US,D,20111109,000000,32.3652,32.3652,32.3652,32.3652,146.7576724752,0
FJP.US,D,20111122,000000,31.4684,31.7156,31.4684,31.7156,919.2737539766,0
FJP.US,D,20111128,000000,31.4173,31.4173,31.4173,31.4173,178.3513380775,0
FJP.US,D,20111130,000000,32.7243,32.7989,32.5016,32.7243,2328.7589000405,0
FJP.US,D,20111205,000000,32.9029,32.9029,32.9029,32.9029,234.404615759,0
FJP.US,D,20111207,000000,32.7479,32.7479,32.7479,32.7479,373.0090842078,0
FJP.US,D,20111215,000000,31.749,31.749,31.749,31.749,234.404615759,0
FJP.US,D,20111216,000000,31.6989,31.7333,31.6989,31.7333,1408.4659955606,0
FJP.US,D,20111219,000000,31.7068,31.7068,31.3379,31.3379,10252.654063198,0
FJP.US,D,20111220,000000,32.116,32.22,32.116,32.22,4476.1090104936,0
FJP.US,D,20111221,000000,31.7421,31.7421,31.7156,31.7421,2482.6506260388,0
FJP.US,D,20111227,000000,31.6558,31.8785,31.6558,31.8697,4445.5344953946,0
FJP.US,D,20111228,000000,33.1345,33.1345,31.5361,31.5626,2074.9904247188,0
FJP.US,D,20111229,000000,31.9707,31.9707,31.9707,31.9707,1517.5150994137,0
FJP.US,D,20120104,000000,32.8519,33.0059,32.8519,32.9284,525.8816597028,0
FJP.US,D,20120105,000000,32.6301,32.6301,32.6301,32.6301,427.0240608827,0
FJP.US,D,20120106,000000,32.007,32.22,32.007,32.22,2717.0552417978,0
FJP.US,D,20120109,000000,32.2023,32.2023,32.0326,32.0326,729.7117603628,0
FJP.US,D,20120110,000000,32.2798,32.2798,32.2111,32.2798,2814.8936901146,0
FJP.US,D,20120111,000000,32.0326,32.1346,32.0247,32.1346,1734.5941566166,0
FJP.US,D,20120112,000000,31.9462,31.9796,31.6725,31.7068,21982.057205678,0
FJP.US,D,20120117,000000,31.7245,31.8353,31.7068,31.8353,6435.9354283395,0
FJP.US,D,20120118,000000,32.1434,32.1601,32.1434,32.1601,1777.3984777552,0
FJP.US,D,20120119,000000,32.4751,32.4751,32.1748,32.1748,882.5843358578,0
FJP.US,D,20120120,000000,32.168,32.5271,32.168,32.4339,1631.6599557833,0
FJP.US,D,20120123,000000,32.2867,32.5506,32.2798,32.3407,994.6908912208,0
FJP.US,D,20120125,000000,32.5428,32.5428,32.1071,32.2386,2344.04615759,0
FJP.US,D,20120127,000000,32.7331,32.7331,32.7331,32.7331,630.8541615427,0
FJP.US,D,20120130,000000,32.6703,32.6703,32.5958,32.5958,1030.3611588363,0
FJP.US,D,20120131,000000,32.7871,32.7871,32.7871,32.7871,123.3172108993,0
FJP.US,D,20120202,000000,33.0893,33.2022,32.7067,33.2022,13174.558556159,0
FJP.US,D,20120203,000000,33.1659,33.1659,33.1659,33.1659,265.9982813613,0
FJP.US,D,20120206,000000,33.055,33.055,33.055,33.055,117.2023078795,0
FJP.US,D,20120207,000000,33.2022,33.473,33.2022,33.473,915.1971519634,0
FJP.US,D,20120208,000000,33.3022,33.3444,33.2856,33.3444,1274.9572796283,0
FJP.US,D,20120209,000000,33.2758,33.2856,33.2758,33.2856,517.7284556764,0
FJP.US,D,20120210,000000,32.9873,32.9873,32.5094,32.5094,566.6476798348,0
FJP.US,D,20120213,000000,33.158,33.158,33.158,33.158,249.6918733085,0
FJP.US,D,20120214,000000,32.9196,33.0726,32.9196,33.0638,10309.726491383,0
FJP.US,D,20120215,000000,33.3189,33.5152,33.3189,33.5152,1216.8657009402,0
FJP.US,D,20120222,000000,33.6692,33.6692,33.6692,33.6692,204.8492511633,0
FJP.US,D,20120228,000000,33.8576,33.8576,33.8576,33.8576,455.5602749751,0
FJP.US,D,20120229,000000,33.4416,33.4416,33.4416,33.4416,234.404615759,0
FJP.US,D,20120301,000000,33.4043,33.4043,33.4043,33.4043,455.5602749751,0
FJP.US,D,20120305,000000,33.4043,33.4043,33.1659,33.1659,1963.9030198591,0
FJP.US,D,20120306,000000,33.055,33.107,33.055,33.107,2948.4024060469,0
FJP.US,D,20120307,000000,33.3366,33.473,33.3278,33.3709,7734.3331695437,0
FJP.US,D,20120308,000000,33.6947,33.8802,33.679,33.7536,7848.4780259133,0
FJP.US,D,20120309,000000,33.7202,33.8655,33.7124,33.7458,7967.7186347994,0
FJP.US,D,20120312,000000,33.5309,33.6005,33.4818,33.5682,6326.8863244864,0
FJP.US,D,20120313,000000,33.4406,33.4995,33.4318,33.4995,468.809231518,0
FJP.US,D,20120314,000000,33.473,33.5407,33.1345,33.1845,6497.0844585375,0
FJP.US,D,20120315,000000,33.3444,33.4995,33.2345,33.3788,6725.3741712767,0
FJP.US,D,20120316,000000,33.5152,33.679,33.4906,33.679,6308.541615427,0
FJP.US,D,20120319,000000,33.0638,33.7732,33.0638,33.6094,8243.9084211937,0
FJP.US,D,20120320,000000,33.2669,33.3111,33.1757,33.2581,6023.179474503,0
FJP.US,D,20120321,000000,33.4563,33.6525,32.2612,33.0726,3396.8286274989,0
FJP.US,D,20120322,000000,33.209,33.6005,33.0893,33.1757,6911.8787133806,0
FJP.US,D,20120323,000000,33.4318,33.4563,33.4229,33.4484,5589.0213600972,0
FJP.US,D,20120326,000000,33.5309,33.5593,33.3444,33.5309,6562.3100907487,0
FJP.US,D,20120327,000000,33.5682,33.9685,33.5593,33.7369,4103.0999262858,0
FJP.US,D,20120328,000000,33.6692,33.7458,33.5917,33.5917,2814.8936901146,0
FJP.US,D,20120329,000000,33.7732,33.7732,33.7732,33.7732,468.809231518,0
FJP.US,D,20120330,000000,34.3541,34.3541,33.8272,33.9822,6350.3267860623,0
FJP.US,D,20120402,000000,33.8527,33.8655,33.5682,33.8655,8588.3812913091,0
FJP.US,D,20120403,000000,33.5505,33.9852,33.2856,33.4651,17255.237171372,0
FJP.US,D,20120404,000000,32.8852,33.1845,32.5683,32.7744,7684.394794882,0
FJP.US,D,20120405,000000,32.7067,32.9608,32.6046,32.6635,10196.600785516,0
FJP.US,D,20120409,000000,32.8597,32.8941,32.6546,32.8764,4604.5219739094,0
FJP.US,D,20120410,000000,32.7067,32.7067,32.1748,32.1748,10601.203535327,0
FJP.US,D,20120412,000000,32.6546,32.7989,32.6546,32.7989,539.1306162457,0
FJP.US,D,20120413,000000,32.5094,32.5094,32.5094,32.5094,239.5003682755,0
FJP.US,D,20120416,000000,32.8332,32.9127,32.6968,32.7067,5025.4311317723,0
FJP.US,D,20120417,000000,33.0471,33.0893,33.0471,33.0726,1994.4775349581,0
FJP.US,D,20120419,000000,32.5683,32.6134,32.5683,32.5958,3719.899337045,0
FJP.US,D,20120420,000000,32.6782,32.791,32.6703,32.6703,7031.1193222667,0
FJP.US,D,20120423,000000,32.2965,32.3976,32.2965,32.3318,7969.756935806,0
FJP.US,D,20120424,000000,32.5683,32.688,32.5683,32.6301,2193.2118831016,0
FJP.US,D,20120426,000000,32.8941,32.9873,32.8941,32.952,8439.5853178273,0
FJP.US,D,20120430,000000,32.7351,33.1482,32.6075,32.6154,9959.1387182476,0
FJP.US,D,20120501,000000,32.4162,32.5958,32.4162,32.5271,10662.352565525,0
FJP.US,D,20120503,000000,32.0247,32.0326,32.0159,32.0326,2109.641541831,0
FJP.US,D,20120504,000000,31.9629,31.9629,31.9629,31.9629,189.5619936138,0
FJP.US,D,20120507,000000,31.9629,32.1748,31.9011,32.1748,36556.928553371,0
FJP.US,D,20120508,000000,31.749,31.8353,31.4605,31.6391,7060.6746868624,0
FJP.US,D,20120509,000000,31.3899,31.4262,31.3545,31.4262,821.4353056598,0
FJP.US,D,20120510,000000,31.9011,31.9011,31.8177,31.8177,374.0282347111,0
FJP.US,D,20120514,000000,30.8531,30.9316,30.8129,30.8698,13123.601030994,0
FJP.US,D,20120515,000000,30.7491,30.8129,30.5706,30.5804,3455.9393566903,0
FJP.US,D,20120516,000000,30.18,30.2634,30.0593,30.0858,7637.5138717302,0
FJP.US,D,20120517,000000,30.3743,30.5019,30.2634,30.3822,6079.2327521845,0
FJP.US,D,20120521,000000,30.2134,30.2134,30.2134,30.2134,178.3513380775,0
FJP.US,D,20120522,000000,30.3086,30.3439,30.3086,30.3439,234.404615759,0
FJP.US,D,20120523,000000,29.6747,29.7954,29.659,29.7179,2460.2293149662,0
FJP.US,D,20120524,000000,29.8347,29.8347,29.8347,29.8347,534.0348637292,0
FJP.US,D,20120525,000000,29.7444,29.7719,29.7444,29.7719,701.1755462704,0
FJP.US,D,20120604,000000,29.1282,29.1635,29.1282,29.1635,411.7368033332,0
FJP.US,D,20120608,000000,29.4068,29.4461,29.4068,29.4461,411.7368033332,0
FJP.US,D,20120611,000000,29.4176,29.4176,29.4176,29.4176,179.3704885808,0
FJP.US,D,20120613,000000,29.5648,29.6502,29.3431,29.6502,2217.6714951808,0
FJP.US,D,20120615,000000,30.0338,30.0338,30.0338,30.0338,158.9874785148,0
FJP.US,D,20120618,000000,30.2369,30.3174,30.2134,30.3174,1276.9955806349,0
FJP.US,D,20120621,000000,30.6108,30.6108,30.6108,30.6108,232.3663147524,0
FJP.US,D,20120627,000000,30.6706,30.6706,30.3851,30.3851,19767.443162007,0
FJP.US,D,20120702,000000,31.3065,31.3163,31.3065,31.3163,1752.938865676,0
FJP.US,D,20120705,000000,31.3918,31.3918,31.3918,31.3918,581.9349373843,0
FJP.US,D,20120706,000000,31.1858,31.1858,31.1858,31.1858,232.3663147524,0
FJP.US,D,20120709,000000,31.0229,31.0229,31.0229,31.0229,346.511171122,0
FJP.US,D,20120725,000000,30.1025,30.1025,30.1025,30.1025,116.1831573762,0
FJP.US,D,20120802,000000,30.2733,30.2733,30.1957,30.1957,719.5202553298,0
FJP.US,D,20120803,000000,30.5058,30.5058,30.5058,30.5058,138.6044684488,0
FJP.US,D,20120808,000000,31.0582,31.0582,31.0582,31.0582,644.1031180856,0
FJP.US,D,20120823,000000,31.2986,31.2986,31.2986,31.2986,148.7959734818,0
FJP.US,D,20120829,000000,31.0396,31.0827,31.0396,31.0827,463.7134790015,0
FJP.US,D,20120910,000000,30.651,30.651,30.497,30.497,639.0073655691,0
FJP.US,D,20120911,000000,30.705,30.705,30.6608,30.6608,346.511171122,0
FJP.US,D,20120913,000000,31.0827,31.5459,31.0827,31.5459,928.4461085063,0
FJP.US,D,20120921,000000,31.5557,31.642,31.5557,31.642,406.6410508167,0
FJP.US,D,20120925,000000,31.6077,31.6077,31.6077,31.6077,176.3130370709,0
FJP.US,D,20120928,000000,31.3379,31.3379,31.278,31.278,2323.663147524,0
FJP.US,D,20121010,000000,30.5333,30.5333,30.5333,30.5333,176.3130370709,0
FJP.US,D,20121011,000000,30.7148,30.7148,30.7148,30.7148,1162.8507242653,0
FJP.US,D,20121018,000000,31.5557,31.5557,31.4801,31.4801,232.3663147524,0
FJP.US,D,20121019,000000,30.8855,30.9199,30.8855,30.9199,1648.9855143394,0
FJP.US,D,20121022,000000,31.2211,31.2898,31.2211,31.2898,232.3663147524,0
