<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FKU.US,D,20120229,000000,22.3308,22.3815,22.3308,22.3815,1129.6932744865,0
FKU.US,D,20120301,000000,22.393,22.4388,22.3452,22.4388,7405.3016964252,0
FKU.US,D,20120302,000000,22.0443,22.2172,22.0443,22.2172,844.91424699775,0
FKU.US,D,20120306,000000,21.2191,21.2191,21.2191,21.2191,5071.5794454239,0
FKU.US,D,20120307,000000,21.2258,21.2258,21.2258,21.2258,139.24856858823,0
FKU.US,D,20120308,000000,21.9603,21.9603,21.9603,21.9603,521.39689591683,0
FKU.US,D,20120315,000000,22.3022,22.3452,22.3022,22.3452,443.9202487324,0
FKU.US,D,20120321,000000,22.3786,22.4082,22.3786,22.4082,485.79951748074,0
FKU.US,D,20120322,000000,22.3022,22.3022,22.0748,22.0748,2246.8227683484,0
FKU.US,D,20120327,000000,22.286,22.329,22.1293,22.1293,9996.5814502287,0
FKU.US,D,20120328,000000,22.2229,22.2229,22.2229,22.2229,479.51762716849,0
FKU.US,D,20120329,000000,21.9823,21.9823,21.4598,21.4598,964.27016293052,0
FKU.US,D,20120330,000000,21.9392,21.9392,21.9392,21.9392,419.83966920211,0
FKU.US,D,20120405,000000,21.6575,21.7195,21.6155,21.6479,76703.974676021,0
FKU.US,D,20120409,000000,21.5945,24.0787,21.5391,21.6155,7915.1817934362,0
FKU.US,D,20120410,000000,21.0921,21.0921,21.0538,21.0538,640.7528118496,0
FKU.US,D,20120411,000000,21.4398,21.4398,21.4398,21.4398,414.60476060856,0
FKU.US,D,20120412,000000,21.8743,21.9536,21.8743,21.9536,6923.6901058193,0
FKU.US,D,20120413,000000,21.4398,21.5104,21.3748,21.4521,8994.6199454247,0
FKU.US,D,20120416,000000,21.5868,21.5868,21.5801,21.5801,390.52418107827,0
FKU.US,D,20120418,000000,22.0271,22.0443,22.0118,22.0118,1935.869197892,0
FKU.US,D,20120419,000000,21.9746,22.0921,21.9746,22.0921,8818.7270166816,0
FKU.US,D,20120420,000000,22.3022,22.329,22.3022,22.329,963.22318121181,0
FKU.US,D,20120423,000000,21.88,21.902,21.88,21.902,564.32314638388,0
FKU.US,D,20120425,000000,22.2287,22.2287,22.2287,22.2287,278.49713717646,0
FKU.US,D,20120426,000000,22.6221,22.6221,22.5505,22.5505,1006.1494316789,0
FKU.US,D,20120427,000000,22.647,22.647,22.6413,22.647,2445.749294903,0
FKU.US,D,20120430,000000,22.3376,22.4034,22.3376,22.4034,977.88092527373,0
FKU.US,D,20120503,000000,22.5057,22.5057,22.4082,22.4082,1027.089066053,0
FKU.US,D,20120504,000000,21.8132,21.946,21.7759,21.8228,3808.9194926615,0
FKU.US,D,20120507,000000,21.9879,21.9879,21.9879,21.9879,419.83966920211,0
FKU.US,D,20120509,000000,21.3395,21.3395,21.1427,21.2907,1691.9224574329,0
FKU.US,D,20120510,000000,21.5544,21.5544,21.5544,21.5544,139.24856858823,0
FKU.US,D,20120511,000000,21.6537,21.7692,21.5038,21.5945,18785.992978786,0
FKU.US,D,20120514,000000,21.2324,21.2324,21.2324,21.2324,355.97378436089,0
FKU.US,D,20120517,000000,21.3174,21.3174,20.4712,20.4712,2278.2322199097,0
FKU.US,D,20120518,000000,20.2525,20.2945,20.0041,20.0882,3333.5897923678,0
FKU.US,D,20120525,000000,20.2019,20.2019,20.0729,20.0806,1428.0830643184,0
FKU.US,D,20120530,000000,20.0041,20.0041,19.7033,19.7033,25944.206989596,0
FKU.US,D,20120531,000000,19.773,19.8342,19.773,19.8342,982.06885214857,0
FKU.US,D,20120604,000000,19.476,19.4979,19.263,19.4598,60590.926025098,0
FKU.US,D,20120605,000000,19.4683,19.5276,19.3728,19.4492,22345.730822395,0
FKU.US,D,20120606,000000,19.7864,20.1312,19.7644,20.1217,33317.052252741,0
FKU.US,D,20120607,000000,20.5476,20.88,20.3986,20.3986,12506.196629972,0
FKU.US,D,20120608,000000,20.0223,20.2745,20.0166,20.2477,13072.613739794,0
FKU.US,D,20120611,000000,20.411,20.411,20.114,20.1742,51028.841988133,0
FKU.US,D,20120612,000000,20.2334,20.3585,20.0232,20.3585,57219.644890856,0
FKU.US,D,20120613,000000,20.0443,20.2592,19.9736,19.9899,57241.631506949,0
FKU.US,D,20120614,000000,20.0232,20.2525,19.9526,20.2248,50326.31725488,0
FKU.US,D,20120615,000000,20.3662,20.5906,20.2745,20.455,73036.397715386,0
FKU.US,D,20120618,000000,20.4369,20.5992,20.4024,20.4941,118647.1093092,0
FKU.US,D,20120619,000000,20.7292,20.9344,20.6937,20.8867,34183.953115832,0
FKU.US,D,20120620,000000,21.0921,21.3174,20.9545,21.1274,93906.931296121,0
FKU.US,D,20120621,000000,21.0071,21.0949,20.5705,20.5705,39374.888477189,0
FKU.US,D,20120622,000000,20.539,20.5705,20.4473,20.5562,54840.902425951,0
FKU.US,D,20120625,000000,20.0958,20.2545,20.0357,20.1542,125945.61887032,0
FKU.US,D,20120626,000000,20.2678,20.3986,20.1064,20.3614,56498.274486666,0
FKU.US,D,20120627,000000,20.2678,20.3815,20.1961,20.3815,11267.61725674,0
FKU.US,D,20120628,000000,20.1465,20.5257,19.9592,20.3547,25321.252866964,0
FKU.US,D,20120629,000000,21.1493,21.1493,20.8628,20.925,53967.719672548,0
