<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FLN.US,D,20110503,000000,20.8561,20.8561,20.5346,20.5346,586.3618649351,0
FLN.US,D,20110506,000000,20.5605,20.5605,20.5346,20.5346,929.19019238379,0
FLN.US,D,20110509,000000,20.4706,20.4706,20.4706,20.4706,144.23874752414,0
FLN.US,D,20110510,000000,20.7193,20.7193,20.3979,20.5749,42680.03635073,0
FLN.US,D,20110511,000000,20.526,20.526,20.2219,20.2219,293.70353662525,0
FLN.US,D,20110516,000000,20.174,20.3443,20.174,20.3108,2837.7405762902,0
FLN.US,D,20110517,000000,20.0907,20.0907,20.0907,20.0907,437.94228414939,0
FLN.US,D,20110518,000000,20.4189,20.4189,20.4189,20.4189,3988.5149315372,0
FLN.US,D,20110519,000000,20.4046,20.483,20.4046,20.483,4103.4878462303,0
FLN.US,D,20110520,000000,20.3863,20.4332,20.3863,20.4189,875.88456829878,0
FLN.US,D,20110523,000000,20.0084,20.0764,19.9147,20.0764,7178.4907101146,0
FLN.US,D,20110526,000000,20.5471,20.5749,20.5471,20.5749,819.4433192676,0
FLN.US,D,20110527,000000,20.637,20.7805,20.6006,20.7471,8558.1656864325,0
FLN.US,D,20110531,000000,21.0666,21.0666,21.0666,21.0666,239.35270422485,0
FLN.US,D,20110601,000000,20.6849,20.7556,20.6849,20.7556,3221.3320280392,0
FLN.US,D,20110602,000000,20.8705,20.9308,20.8705,20.9031,3372.8872337711,0
FLN.US,D,20110603,000000,21.3326,21.3326,21.2503,21.2503,1061.9316484386,0
FLN.US,D,20110607,000000,21.08,21.08,21.0599,21.0599,623.98936428923,0
FLN.US,D,20110609,000000,20.7193,20.7193,20.7136,20.7136,337.60228587173,0
FLN.US,D,20110615,000000,20.2879,20.3252,20.2879,20.2879,503.79040801911,0
FLN.US,D,20110616,000000,20.084,20.1261,20.084,20.1261,339.69270250251,0
FLN.US,D,20110617,000000,20.0764,20.0907,19.7167,19.7167,9209.3304669219,0
FLN.US,D,20110623,000000,19.6592,19.8314,19.6095,19.8238,1316.9624773944,0
FLN.US,D,20110624,000000,19.9204,19.9204,19.909,19.909,1904.3695506448,0
FLN.US,D,20110628,000000,20.084,20.2285,20.084,20.2285,619.80853102766,0
FLN.US,D,20110630,000000,20.6006,20.7318,20.6006,20.7318,880.06540156035,0
FLN.US,D,20110701,000000,20.9997,20.9997,20.9997,20.9997,144.23874752414,0
FLN.US,D,20110705,000000,20.9575,20.9575,20.9575,20.9575,266.52812042505,0
FLN.US,D,20110708,000000,20.393,20.4409,20.393,20.4409,437.94228414939,0
FLN.US,D,20110711,000000,20.0764,20.084,20.0304,20.0304,1881.3749677062,0
FLN.US,D,20110712,000000,19.9893,19.9893,19.9539,19.9539,4977.2819978983,0
FLN.US,D,20110713,000000,20.0228,20.3252,20.0228,20.1396,1123.5989390468,0
FLN.US,D,20110718,000000,20.0151,20.0151,19.8448,19.9319,7620.6138275256,0
