<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FMB.US,D,20140519,000000,41.9237,41.9237,41.8403,41.8403,13623.879307527,0
FMB.US,D,20140520,000000,41.863,41.9317,41.8562,41.8562,7945.8369600011,0
FMB.US,D,20140521,000000,41.87,41.9317,41.8403,41.8403,13114.55659385,0
FMB.US,D,20140522,000000,41.8213,41.8303,41.7966,41.8303,6105.8331643485,0
FMB.US,D,20140523,000000,41.8483,41.889,41.8483,41.88,6678.5695755773,0
FMB.US,D,20140527,000000,41.863,41.9038,41.8483,41.863,15529.309933988,0
FMB.US,D,20140528,000000,41.889,41.889,41.8562,41.863,3112.3040132155,0
FMB.US,D,20140529,000000,41.8483,41.8503,41.8443,41.8483,8131.0452195198,0
FMB.US,D,20140530,000000,41.8483,41.863,41.8483,41.863,432.82364996206,0
FMB.US,D,20140602,000000,41.8123,41.8123,41.8123,41.8123,205.33959207502,0
FMB.US,D,20140603,000000,41.8036,41.8036,41.8036,41.8036,205.33959207502,0
FMB.US,D,20140604,000000,41.719,41.719,41.719,41.719,692.51783993929,0
FMB.US,D,20140605,000000,41.6763,41.6763,41.5839,41.6426,2734.8415277835,0
FMB.US,D,20140606,000000,41.7896,41.8036,41.7519,41.7608,8141.1108857979,0
FMB.US,D,20140609,000000,41.7091,42.0111,41.7091,41.8123,11517.135355502,0
FMB.US,D,20140610,000000,41.719,41.719,41.5919,41.5919,1322.6285489538,0
FMB.US,D,20140611,000000,41.6763,41.6763,41.5919,41.6117,10591.094057909,0
FMB.US,D,20140612,000000,41.5919,41.5919,41.5919,41.5919,1179.6960878035,0
FMB.US,D,20140613,000000,41.5422,41.5919,41.4935,41.5919,1925.5619590172,0
FMB.US,D,20140616,000000,41.5919,41.9317,41.5919,41.9317,22022.671250046,0
FMB.US,D,20140617,000000,41.9614,41.9614,41.7519,41.9614,1451.4690773146,0
FMB.US,D,20140618,000000,41.9614,41.9614,41.8483,41.8562,3331.73553808,0
FMB.US,D,20140619,000000,41.577,41.6087,41.5342,41.5342,9381.2009712706,0
FMB.US,D,20140620,000000,41.5263,41.5263,41.4875,41.4875,2170.1576495772,0
FMB.US,D,20140623,000000,41.5263,42.0111,41.5035,41.5342,3980.9710130231,0
FMB.US,D,20140624,000000,41.9704,41.9704,41.5422,41.7101,4402.7224300791,0
FMB.US,D,20140626,000000,42.0519,42.1423,42.0519,42.0539,1946.6998582015,0
FMB.US,D,20140630,000000,41.9704,41.9704,41.9704,41.9704,402.6266511275,0
FMB.US,D,20140702,000000,41.6773,41.6773,41.6773,41.6773,381.4887519433,0
FMB.US,D,20140703,000000,41.9535,41.9803,41.9535,41.9803,748.88557109713,0
FMB.US,D,20140709,000000,41.6594,41.6594,41.569,41.569,1073.0000252548,0
FMB.US,D,20140711,000000,41.6256,41.6942,41.6256,41.6942,1118.2955235066,0
FMB.US,D,20140714,000000,41.6942,41.6942,41.6942,41.6942,331.16042055237,0
FMB.US,D,20140717,000000,41.871,41.871,41.871,41.871,102.66979603751,0
FMB.US,D,20140718,000000,41.871,41.9317,41.871,41.9317,1550.1126068408,0
FMB.US,D,20140721,000000,41.9466,41.9873,41.8453,41.9048,3082.107014381,0
FMB.US,D,20140722,000000,42.035,42.035,42.035,42.035,203.32645881938,0
FMB.US,D,20140729,000000,42.1304,42.1383,42.0549,42.0549,2213.4400145734,0
FMB.US,D,20140730,000000,42.0787,42.0787,42.0787,42.0787,1173.6566880366,0
FMB.US,D,20140801,000000,42.1304,42.2655,42.1304,42.183,3212.9606759974,0
FMB.US,D,20140804,000000,42.0787,42.0946,42.0787,42.0946,5332.7899941836,0
FMB.US,D,20140805,000000,42.1045,42.1045,42.1045,42.1045,625.07787587544,0
FMB.US,D,20140807,000000,42.4333,42.4333,42.3579,42.3579,1173.6566880366,0
FMB.US,D,20140811,000000,42.1999,42.2266,42.183,42.1999,3307.5779390123,0
FMB.US,D,20140812,000000,42.0867,42.2426,42.0867,42.2426,1000.5272280518,0
FMB.US,D,20140813,000000,42.2426,42.2426,42.2426,42.2426,332.16698718018,0
FMB.US,D,20140814,000000,42.1859,42.2079,42.1859,42.2079,963.28426282253,0
FMB.US,D,20140815,000000,42.2188,42.4731,42.2188,42.4731,467.04691530789,0
FMB.US,D,20140818,000000,42.2763,42.3628,42.2763,42.3628,410.67918415004,0
FMB.US,D,20140819,000000,42.3777,42.3777,42.2356,42.32,3246.1773747154,0
FMB.US,D,20140820,000000,42.4066,42.4284,42.3777,42.3777,483.151981353,0
FMB.US,D,20140821,000000,42.3887,42.3887,42.2466,42.3737,4734.8894172594,0
FMB.US,D,20140822,000000,42.4373,42.4373,42.4373,42.4373,379.47561868766,0
FMB.US,D,20140825,000000,42.3717,42.497,42.3717,42.497,701.57693958966,0
FMB.US,D,20140827,000000,42.5992,42.6072,42.5992,42.5992,2735.8480944113,0
FMB.US,D,20140905,000000,42.5744,42.5744,42.5049,42.5049,685.47187354456,0
FMB.US,D,20140909,000000,42.6351,42.6619,42.5615,42.5864,5584.4316511384,0
FMB.US,D,20140910,000000,42.6449,42.6619,42.6449,42.6619,2005.0807226149,0
FMB.US,D,20140911,000000,42.5516,42.5516,42.5327,42.5327,379.47561868766,0
FMB.US,D,20140912,000000,42.5566,42.6529,42.4443,42.5317,6878.8763345133,0
FMB.US,D,20140915,000000,42.5327,42.5327,42.4443,42.4443,8721.8998300493,0
FMB.US,D,20140916,000000,42.5992,42.5992,42.4284,42.4284,1341.7533148823,0
FMB.US,D,20140917,000000,42.5556,42.5556,42.5556,42.5556,168.09662684573,0
FMB.US,D,20140922,000000,42.6788,42.6788,42.5377,42.6121,1765.517865194,0
FMB.US,D,20140924,000000,42.5427,42.7145,42.5427,42.5864,851.55536713466,0
FMB.US,D,20140926,000000,42.5704,42.6827,42.5704,42.6032,2829.4587907984,0
FMB.US,D,20140929,000000,42.7642,42.7642,42.6221,42.6221,11012.845474965,0
FMB.US,D,20140930,000000,42.7563,42.7642,42.6906,42.7403,1663.8546357844,0
FMB.US,D,20141001,000000,42.8158,42.8158,42.7563,42.7563,1001.5337946796,0
FMB.US,D,20141002,000000,42.799,42.799,42.6489,42.7145,4146.0479399854,0
FMB.US,D,20141003,000000,42.6906,42.6906,42.6896,42.6906,6706.7534411562,0
