<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FMHI.US,D,20171103,000000,44.9365,45.2069,44.9365,45.0608,7176.9421278223,0
FMHI.US,D,20171107,000000,45.2069,45.2069,45.2059,45.2059,675.03899183751,0
FMHI.US,D,20171108,000000,45.0886,45.1592,45.0786,45.1592,3328.91806854,0
FMHI.US,D,20171109,000000,45.1522,45.1592,45.1403,45.1522,6577.3545881276,0
FMHI.US,D,20171113,000000,45.1084,45.1084,45.0419,45.0419,18897.067694003,0
FMHI.US,D,20171114,000000,45.1592,45.1592,45.1592,45.1592,1310.8432285608,0
FMHI.US,D,20171115,000000,45.1592,45.1592,45.1592,45.1592,456.73279030437,0
FMHI.US,D,20171117,000000,45.2248,45.2248,45.2149,45.2149,1888.2983422936,0
FMHI.US,D,20171120,000000,45.2517,45.2517,45.2437,45.2437,675.03899183751,0
FMHI.US,D,20171121,000000,45.2297,45.2297,45.2297,45.2297,338.02250559971,0
FMHI.US,D,20171207,000000,45.6263,45.6691,45.6263,45.6691,879.260922304,0
FMHI.US,D,20171208,000000,45.525,45.5439,45.2555,45.2555,1679.0463150176,0
FMHI.US,D,20171213,000000,45.516,45.516,45.516,45.516,441.64249987581,0
FMHI.US,D,20171214,000000,45.4981,45.7158,45.4256,45.5895,2726.3124707595,0
FMHI.US,D,20171215,000000,45.5538,45.5538,45.5538,45.5538,338.02250559971,0
FMHI.US,D,20171218,000000,45.5339,45.5885,45.5339,45.5885,1816.8709675984,0
FMHI.US,D,20171220,000000,45.3441,45.3441,45.3222,45.3222,267.60115026643,0
FMHI.US,D,20171221,000000,45.4574,45.4574,45.4574,45.4574,100.60193619039,0
FMHI.US,D,20171222,000000,45.4296,45.4384,45.4296,45.4384,265.58911154263,0
FMHI.US,D,20171227,000000,45.6025,45.8291,45.6025,45.6313,1146.8620725704,0
FMHI.US,D,20171228,000000,45.5847,45.5847,45.5837,45.5837,556.32870713285,0
FMHI.US,D,20171229,000000,45.5498,45.5498,45.5498,45.5498,123.74038151418,0
FMHI.US,D,20180102,000000,45.9375,48.2426,45.4902,45.6313,21958.384612276,0
FMHI.US,D,20180103,000000,45.693,45.7029,45.693,45.693,13632.56837316,0
FMHI.US,D,20180105,000000,45.693,45.693,45.6741,45.6741,1426.5354551797,0
FMHI.US,D,20180108,000000,45.684,45.684,45.6661,45.6661,875.23684485638,0
FMHI.US,D,20180109,000000,45.8122,45.855,45.6313,45.6313,21906.071605457,0
FMHI.US,D,20180110,000000,45.4902,45.4942,45.4902,45.4942,437.61842242819,0
FMHI.US,D,20180111,000000,45.4663,45.4663,45.4663,45.4663,100.60193619039,0
FMHI.US,D,20180112,000000,45.4902,45.4902,45.4037,45.4902,989.92305211343,0
FMHI.US,D,20180117,000000,45.4216,45.4216,45.4216,45.4216,236.41455004741,0
FMHI.US,D,20180122,000000,45.4474,45.4942,45.1074,45.4942,10629.600577876,0
FMHI.US,D,20180123,000000,45.6621,45.6621,45.6373,45.6621,4417.43101812,0
FMHI.US,D,20180124,000000,45.5995,45.5995,45.5817,45.5817,436.61240306629,0
FMHI.US,D,20180126,000000,45.526,45.526,45.526,45.526,100.60193619039,0
FMHI.US,D,20180129,000000,45.4037,45.5647,45.4037,45.4384,7700.0721960124,0
FMHI.US,D,20180130,000000,45.2287,45.2287,45.2218,45.2287,476.85317754244,0
FMHI.US,D,20180131,000000,45.3729,45.4902,45.3729,45.3729,1327.9455577131,0
FMHI.US,D,20180201,000000,45.2337,45.3113,45.1314,45.1314,23140.457362513,0
FMHI.US,D,20180202,000000,44.9445,44.9445,44.9445,44.9445,773.62888930409,0
FMHI.US,D,20180205,000000,45.0309,45.0309,45.026,45.026,686.10520481845,0
FMHI.US,D,20180207,000000,45.2923,45.2923,45.193,45.193,1834.9793161127,0
FMHI.US,D,20180208,000000,45.1999,45.1999,45.1999,45.1999,388.3234736949,0
FMHI.US,D,20180209,000000,45.1731,45.3918,45.1731,45.3918,1580.456417551,0
FMHI.US,D,20180214,000000,45.2188,45.2188,44.847,45.1334,1392.330796875,0
FMHI.US,D,20180215,000000,45.2467,45.2546,45.2467,45.2546,998.97722637056,0
FMHI.US,D,20180216,000000,45.0349,45.0349,45.026,45.026,1914.4548457031,0
FMHI.US,D,20180220,000000,45.0111,45.0866,44.847,44.9047,6915.3770937273,0
FMHI.US,D,20180221,000000,45.0309,45.0309,44.859,44.9047,5496.8897934429,0
FMHI.US,D,20180222,000000,45.0876,46.021,45.0876,45.7804,5071.3436033575,0
FMHI.US,D,20180223,000000,45.179,45.179,45.1761,45.179,920.50771614206,0
FMHI.US,D,20180227,000000,45.2884,45.4782,45.2705,45.2705,3717.2415422349,0
FMHI.US,D,20180228,000000,45.2983,45.3073,45.2983,45.2983,1669.9921407605,0
FMHI.US,D,20180301,000000,45.2983,45.2983,45.2983,45.2983,6634.6976917561,0
FMHI.US,D,20180302,000000,45.2705,45.2705,45.2705,45.2705,420.51609327583,0
FMHI.US,D,20180305,000000,45.1074,45.3162,45.0638,45.0776,3313.8277781114,0
FMHI.US,D,20180306,000000,45.0399,45.0399,44.8719,45.0309,11145.688510533,0
FMHI.US,D,20180308,000000,45.1074,45.1074,45.1074,45.1074,693.14734035178,0
FMHI.US,D,20180309,000000,45.1074,45.1074,44.9703,44.9793,6280.578876366,0
FMHI.US,D,20180314,000000,45.1154,45.1154,45.1154,45.1154,11022.954148381,0
FMHI.US,D,20180315,000000,45.2437,45.3878,45.2297,45.2605,4405.3587857771,0
FMHI.US,D,20180316,000000,45.1244,45.1244,45.1134,45.1134,1124.7296466085,0
FMHI.US,D,20180320,000000,45.1432,45.4057,45.1432,45.3778,36867.591555692,0
FMHI.US,D,20180321,000000,45.3421,45.5865,45.3421,45.4047,120869.2022553,0
FMHI.US,D,20180322,000000,45.4047,45.5707,45.3639,45.5567,19208.933696193,0
FMHI.US,D,20180323,000000,45.4316,45.7973,45.4216,45.5051,140548.95301287,0
FMHI.US,D,20180326,000000,45.5797,45.5875,45.5329,45.5617,93666.438709424,0
FMHI.US,D,20180327,000000,45.5707,45.6343,45.5707,45.6343,38288.0908947,0
FMHI.US,D,20180328,000000,45.5875,45.7426,45.5875,45.7426,11790.546921514,0
FMHI.US,D,20180329,000000,45.3421,45.697,45.3331,45.3878,10244.295162267,0
FMHI.US,D,20180402,000000,45.6502,45.7973,45.6055,45.6502,19342.734271326,0
FMHI.US,D,20180403,000000,45.6343,45.7864,45.5875,45.5875,13169.799466684,0
FMHI.US,D,20180404,000000,45.6492,45.7258,45.6055,45.6055,5933.5021965091,0
FMHI.US,D,20180405,000000,45.5935,45.5935,45.5935,45.5935,579.46715245664,0
FMHI.US,D,20180406,000000,45.4782,45.6502,45.4782,45.6502,2828.9264456737,0
FMHI.US,D,20180409,000000,45.4872,45.678,45.4733,45.678,3858.0842529014,0
FMHI.US,D,20180410,000000,45.6155,45.7059,45.6155,45.7059,531.17822308525,0
FMHI.US,D,20180411,000000,45.697,45.697,45.697,45.697,462.76890647579,0
FMHI.US,D,20180412,000000,45.6423,45.7198,45.6423,45.7078,1130.76576278,0
FMHI.US,D,20180413,000000,45.6403,45.6403,45.5847,45.5847,1699.1667022557,0
FMHI.US,D,20180417,000000,45.6253,45.6253,45.6253,45.6253,3331.9361266257,0
FMHI.US,D,20180418,000000,45.7784,45.7874,45.7108,45.7108,9117.5534769349,0
FMHI.US,D,20180419,000000,45.7516,45.7516,45.6482,45.6482,448.68463540913,0
FMHI.US,D,20180420,000000,45.6155,45.7049,45.6155,45.6741,2480.843746455,0
FMHI.US,D,20180423,000000,45.6552,46.6174,45.5797,45.7148,35213.695724722,0
FMHI.US,D,20180424,000000,45.5329,45.7059,45.5329,45.6373,12896.162200246,0
FMHI.US,D,20180425,000000,45.3232,45.3232,45.3232,45.3232,364.17900900921,0
FMHI.US,D,20180426,000000,45.5329,45.5797,45.4743,45.5797,1560.3360303129,0
FMHI.US,D,20180427,000000,45.5329,45.6502,45.5329,45.6502,1470.8003071035,0
FMHI.US,D,20180430,000000,45.678,45.7059,45.6492,45.7059,2397.344139417,0
FMHI.US,D,20180501,000000,45.5955,45.697,45.5955,45.6691,3685.0489226539,0
FMHI.US,D,20180502,000000,45.6691,45.697,45.6691,45.697,1578.4443788272,0
FMHI.US,D,20180504,000000,45.6155,45.7894,45.6155,45.6253,6425.4456644801,0
FMHI.US,D,20180507,000000,46.0608,46.0608,45.8172,45.8172,1589.5105918081,0
FMHI.US,D,20180508,000000,45.8411,45.8411,45.6343,45.6343,6093.4592750519,0
FMHI.US,D,20180509,000000,45.6343,45.6671,45.6204,45.6671,749.4844246184,0
FMHI.US,D,20180510,000000,45.7506,45.7506,45.7506,45.7506,1402.390990494,0
FMHI.US,D,20180514,000000,45.7794,45.7794,45.7794,45.7794,731.37607610413,0
FMHI.US,D,20180515,000000,45.5548,45.5797,45.5548,45.5797,822.92383803738,0
FMHI.US,D,20180516,000000,45.6253,45.6403,45.6253,45.6403,281.68542133309,0
FMHI.US,D,20180518,000000,45.6155,45.7426,45.6155,45.6502,1476.8364232749,0
FMHI.US,D,20180521,000000,45.7426,45.7516,45.7396,45.7396,4218.239184463,0
FMHI.US,D,20180522,000000,45.7874,45.7874,45.7874,45.7874,115.69222661895,0
FMHI.US,D,20180523,000000,45.7784,45.7904,45.688,45.7904,1469.7942877416,0
FMHI.US,D,20180524,000000,45.7695,45.7784,45.7695,45.7784,231.38445323789,0
FMHI.US,D,20180525,000000,45.851,45.8897,45.851,45.8897,497.97958414243,0
FMHI.US,D,20180529,000000,45.9802,45.9802,45.9802,45.9802,349.08871858065,0
FMHI.US,D,20180530,000000,46.3381,46.3381,45.8799,45.8799,2060.3276531792,0
FMHI.US,D,20180531,000000,46.3281,46.3281,46.0448,46.0448,346.07066049494,0
FMHI.US,D,20180601,000000,45.8897,45.9792,45.8887,45.9792,1283.6807057894,0
FMHI.US,D,20180604,000000,45.9573,45.9573,45.9305,45.9305,1093.5430463895,0
FMHI.US,D,20180605,000000,45.9653,46.0071,45.9345,45.9345,2342.0130745123,0
FMHI.US,D,20180607,000000,45.8907,45.9981,45.8421,45.9832,1816.8709675984,0
FMHI.US,D,20180608,000000,45.8699,45.8848,45.851,45.8848,5990.8453001377,0
FMHI.US,D,20180611,000000,46.027,46.027,45.9842,45.9842,3249.4425389496,0
FMHI.US,D,20180612,000000,45.9157,45.9157,45.9157,45.9157,1116.6814917133,0
FMHI.US,D,20180613,000000,45.9157,45.9157,45.9157,45.9157,988.91703275152,0
FMHI.US,D,20180614,000000,45.8799,45.9981,45.8799,45.9077,2917.4561495213,0
FMHI.US,D,20180615,000000,45.9703,45.9882,45.9703,45.9703,4168.9442357297,0
FMHI.US,D,20180618,000000,46.0359,46.0806,45.9971,46.023,15353.867501377,0
FMHI.US,D,20180619,000000,46.1274,46.1274,46.1274,46.1274,616.68986884708,0
FMHI.US,D,20180620,000000,46.0618,46.0726,46.0618,46.0726,2010.026685084,0
FMHI.US,D,20180621,000000,46.1084,46.1084,45.9703,46.1084,354.11881539017,0
FMHI.US,D,20180622,000000,45.9852,46.017,45.9435,45.9435,1195.1510019418,0
FMHI.US,D,20180625,000000,46.1084,46.1373,46.0359,46.1373,785.70112164694,0
FMHI.US,D,20180626,000000,46.0806,46.0806,45.9782,46.0578,1531.1614688177,0
FMHI.US,D,20180627,000000,46.0806,46.0816,46.0488,46.0488,1183.078769599,0
FMHI.US,D,20180628,000000,46.0796,46.0906,46.0796,46.0906,3517.043689216,0
FMHI.US,D,20180629,000000,46.1462,46.1462,46.1462,46.1462,673.0269531137,0
FMHI.US,D,20180702,000000,46.0071,46.0706,45.8887,46.0706,5051.2232161194,0
FMHI.US,D,20180703,000000,46.1909,46.2187,46.1323,46.2187,938.61606465633,0
FMHI.US,D,20180705,000000,46.0448,46.1601,46.0448,46.1601,425.54619008535,0
FMHI.US,D,20180706,000000,46.1204,46.1651,46.1204,46.1651,532.18424244716,0
FMHI.US,D,20180709,000000,46.2635,46.2635,46.1711,46.1711,1456.7160360368,0
FMHI.US,D,20180710,000000,46.181,46.3092,46.181,46.3092,3070.3710925307,0
FMHI.US,D,20180711,000000,46.1462,46.1462,46.1462,46.1462,230.37843387599,0
FMHI.US,D,20180712,000000,46.3291,46.3291,46.2874,46.3291,10097.416335429,0
FMHI.US,D,20180713,000000,46.3659,46.3659,46.3192,46.339,4303.7508302248,0
FMHI.US,D,20180716,000000,46.1909,46.3659,46.1909,46.3659,1308.831189837,0
FMHI.US,D,20180717,000000,46.1999,46.1999,46.1999,46.1999,367.19706709492,0
FMHI.US,D,20180718,000000,46.3291,46.339,46.3291,46.339,1203.1991568371,0
FMHI.US,D,20180719,000000,46.4007,46.4921,46.358,46.358,7004.9128169368,0
FMHI.US,D,20180720,000000,46.3738,46.5309,46.2993,46.3679,1698.1606828938,0
FMHI.US,D,20180723,000000,46.358,46.4385,46.3291,46.3291,1096.5611044752,0
FMHI.US,D,20180724,000000,46.2625,46.2993,46.2615,46.2615,1392.330796875,0
FMHI.US,D,20180725,000000,46.3291,46.348,46.3192,46.339,1091.5310076657,0
FMHI.US,D,20180726,000000,46.4574,46.4574,46.1711,46.1711,1541.2216624368,0
FMHI.US,D,20180727,000000,46.2089,46.2963,46.18,46.2963,4421.4550955676,0
FMHI.US,D,20180730,000000,46.1899,46.348,46.1899,46.3291,1541.2216624368,0
FMHI.US,D,20180731,000000,46.3321,46.4663,46.2874,46.4484,4596.5024645389,0
FMHI.US,D,20180801,000000,46.2834,46.2834,46.2397,46.2397,570.41297819951,0
FMHI.US,D,20180802,000000,46.348,46.4007,46.2129,46.2129,3479.8209728256,0
FMHI.US,D,20180803,000000,46.4385,46.4385,46.2993,46.3092,768.59879249457,0
FMHI.US,D,20180806,000000,46.3828,46.3828,46.2963,46.3659,1837.9973741984,0
FMHI.US,D,20180807,000000,46.339,46.339,46.339,46.339,225.34833706647,0
FMHI.US,D,20180808,000000,46.2993,46.4484,46.1969,46.1969,3193.1054546829,0
FMHI.US,D,20180809,000000,46.1711,46.1711,46.1711,46.1711,441.64249987581,0
FMHI.US,D,20180810,000000,46.4007,46.4106,46.4007,46.4106,774.63490866599,0
FMHI.US,D,20180813,000000,46.5219,46.5219,46.4862,46.4862,1078.452755961,0
FMHI.US,D,20180814,000000,46.513,46.5309,46.3918,46.5309,6547.1740072705,0
FMHI.US,D,20180815,000000,46.6422,46.6422,46.5856,46.6144,1145.8560532085,0
FMHI.US,D,20180816,000000,46.6045,46.6055,46.5557,46.5557,1782.6663092937,0
FMHI.US,D,20180817,000000,46.6422,46.6422,46.5399,46.6045,4367.1300500248,0
FMHI.US,D,20180820,000000,46.6522,46.7178,46.5219,46.7178,5103.5362229384,0
FMHI.US,D,20180821,000000,46.688,46.688,46.688,46.688,428.56424817106,0
FMHI.US,D,20180822,000000,46.7337,46.7337,46.6263,46.6263,2327.9288034456,0
FMHI.US,D,20180823,000000,46.7248,46.7248,46.7238,46.7248,2558.3072373216,0
FMHI.US,D,20180824,000000,46.6522,46.6701,46.6522,46.6701,7339.9172644508,0
FMHI.US,D,20180827,000000,46.7178,46.7178,46.6323,46.7078,1254.5061442942,0
FMHI.US,D,20180829,000000,46.5727,46.679,46.4743,46.4931,8916.3496045542,0
FMHI.US,D,20180830,000000,46.6144,46.688,46.4931,46.679,8428.4302140308,0
FMHI.US,D,20180831,000000,46.6095,46.7426,46.5209,46.7426,7042.1355333272,0
FMHI.US,D,20180904,000000,46.6522,46.6522,46.5905,46.5905,3132.7442929687,0
FMHI.US,D,20180905,000000,46.6144,46.6144,46.5667,46.5667,629.76812055183,0
FMHI.US,D,20180906,000000,46.6522,46.6522,46.6085,46.6085,656.93064332324,0
FMHI.US,D,20180907,000000,46.4424,46.5489,46.4424,46.5489,4108.5830740155,0
FMHI.US,D,20180910,000000,46.5856,46.5856,46.513,46.5757,1650.8777728843,0
FMHI.US,D,20180911,000000,46.4991,46.4991,46.4753,46.4832,828.9599542088,0
FMHI.US,D,20180912,000000,46.5856,46.5856,46.4414,46.5209,1802.7866965318,0
FMHI.US,D,20180913,000000,46.5489,46.5489,46.4931,46.5121,1471.8063264654,0
FMHI.US,D,20180914,000000,46.5399,46.5399,46.358,46.3978,932.57994848491,0
FMHI.US,D,20180917,000000,46.3649,46.5469,46.3649,46.4126,2276.6218159885,0
FMHI.US,D,20180918,000000,46.4286,46.4872,46.3659,46.3708,8993.8130954208,0
FMHI.US,D,20180919,000000,46.4653,46.4653,46.3938,46.4653,1749.4676703509,0
FMHI.US,D,20180920,000000,46.3908,46.4375,46.364,46.4375,2510.0183079502,0
FMHI.US,D,20180921,000000,46.5031,46.5031,46.3649,46.4653,9133.6497867254,0
FMHI.US,D,20180924,000000,46.5031,46.5031,46.4474,46.4474,7099.4786369557,0
FMHI.US,D,20180925,000000,46.4653,46.4653,46.2159,46.2715,4374.1721855581,0
FMHI.US,D,20180926,000000,46.2715,46.2715,46.2715,46.2715,1326.9395383512,0
FMHI.US,D,20180927,000000,46.2715,46.3728,46.2715,46.3649,1376.2344870845,0
FMHI.US,D,20180928,000000,46.5577,46.5577,46.2894,46.2894,496.97356478052,0
FMHI.US,D,20181001,000000,46.4286,46.4286,46.4196,46.4196,3472.7788372922,0
FMHI.US,D,20181002,000000,46.4066,46.4653,46.349,46.4653,1749.4676703509,0
FMHI.US,D,20181003,000000,46.346,46.346,46.2427,46.2625,2256.5014287504,0
FMHI.US,D,20181004,000000,46.2447,46.3371,46.1999,46.2535,19671.702602669,0
FMHI.US,D,20181005,000000,46.2535,46.2535,46.1691,46.1691,1027.1457685039,0
FMHI.US,D,20181008,000000,46.2814,46.2814,46.2814,46.2814,614.67783012328,0
FMHI.US,D,20181009,000000,46.1522,46.2814,46.0966,46.2814,9018.9635794684,0
FMHI.US,D,20181010,000000,46.1959,46.2059,46.0498,46.1601,3015.040027626,0
FMHI.US,D,20181011,000000,46.2535,46.2625,45.9196,45.9196,30365.688419707,0
FMHI.US,D,20181012,000000,45.8719,46.1691,45.8719,46.0668,5141.7649586908,0
FMHI.US,D,20181016,000000,46.0668,46.0766,45.8917,46.0766,907.42946443731,0
FMHI.US,D,20181017,000000,45.9107,45.9107,45.9107,45.9107,281.68542133309,0
FMHI.US,D,20181018,000000,45.9673,46.0866,45.9673,46.0866,3674.9887290349,0
FMHI.US,D,20181019,000000,45.9763,46.0498,45.9285,46.0498,826.947915485,0
FMHI.US,D,20181022,000000,46.0438,46.0966,46.0438,46.0966,817.89374122786,0
FMHI.US,D,20181023,000000,46.1054,46.1114,46.0628,46.0628,1304.8071123893,0
FMHI.US,D,20181024,000000,46.1522,46.1522,45.9753,45.9932,2335.9769583408,0
FMHI.US,D,20181026,000000,46.0866,46.1919,45.9186,46.0866,12981.673846008,0
FMHI.US,D,20181029,000000,46.0668,46.0766,46.0668,46.0766,502.00366159004,0
FMHI.US,D,20181030,000000,45.8858,45.8858,45.8858,45.8858,239.43260813313,0
FMHI.US,D,20181031,000000,46.011,46.011,45.9653,45.9653,2476.8196690074,0
FMHI.US,D,20181101,000000,46.0766,46.0766,45.9663,45.9663,2476.8196690074,0
FMHI.US,D,20181102,000000,45.9097,45.9733,45.9097,45.9465,1749.4676703509,0
FMHI.US,D,20181106,000000,46.018,46.026,45.9484,45.9484,2237.3870608742,0
FMHI.US,D,20181107,000000,46.0388,46.1333,45.9445,46.0339,2346.0371519599,0
FMHI.US,D,20181108,000000,46.1432,46.1432,46.0329,46.0329,677.05103056132,0
FMHI.US,D,20181112,000000,46.1432,46.2447,46.1432,46.2447,1254.5061442942,0
FMHI.US,D,20181114,000000,46.0448,46.0448,46.0448,46.0448,251.50484047597,0
FMHI.US,D,20181115,000000,46.0428,46.1522,46.0428,46.1432,2776.6134388547,0
FMHI.US,D,20181116,000000,46.0618,46.1432,46.0618,46.0946,9341.8957946395,0
FMHI.US,D,20181119,000000,45.9802,46.1572,45.9255,46.0886,5711.1719175284,0
FMHI.US,D,20181120,000000,46.1601,46.2357,46.1293,46.2059,4919.43467971,0
FMHI.US,D,20181121,000000,46.0041,46.2257,46.0041,46.2257,1260.5422604656,0
FMHI.US,D,20181123,000000,46.2725,46.3083,46.2725,46.3083,3131.7382736068,0
FMHI.US,D,20181126,000000,45.7973,46.1144,45.7973,46.0538,3419.4598111113,0
FMHI.US,D,20181127,000000,46.2545,46.2545,46.0926,46.1959,5545.1787228142,0
FMHI.US,D,20181128,000000,46.3182,46.3182,46.0995,46.2545,14857.899955959,0
FMHI.US,D,20181129,000000,46.2347,46.2973,46.1333,46.2973,48534.398095691,0
FMHI.US,D,20181130,000000,46.2079,46.4305,46.2079,46.357,10808.672024295,0
FMHI.US,D,20181203,000000,46.1771,46.2059,46.1601,46.1959,10315.722536962,0
FMHI.US,D,20181204,000000,46.4394,46.4394,46.2059,46.3281,15772.371555929,0
FMHI.US,D,20181206,000000,46.3281,46.5309,46.2257,46.3928,9232.239684192,0
FMHI.US,D,20181207,000000,46.4494,46.5507,46.2685,46.5507,3535.1520377303,0
FMHI.US,D,20181210,000000,46.359,46.4216,46.2159,46.4216,2390.3020038836,0
FMHI.US,D,20181212,000000,46.4216,46.4584,46.4116,46.4494,1137.8078983133,0
FMHI.US,D,20181213,000000,46.344,46.3848,46.344,46.3848,656.93064332324,0
FMHI.US,D,20181214,000000,46.4584,46.5229,46.356,46.356,9030.0297924493,0
FMHI.US,D,20181217,000000,46.2824,46.4166,46.2447,46.4166,7010.9489331082,0
FMHI.US,D,20181218,000000,46.3898,46.4951,46.3898,46.4385,4692.0743039197,0
FMHI.US,D,20181219,000000,46.4802,46.6363,46.4802,46.6363,3406.3815594066,0
FMHI.US,D,20181220,000000,46.7138,46.7218,46.514,46.5925,9166.8484256682,0
FMHI.US,D,20181221,000000,46.685,46.7298,46.5607,46.7298,9955.5676054009,0
FMHI.US,D,20181224,000000,46.6134,46.7048,46.6134,46.7048,804.81548952311,0
FMHI.US,D,20181226,000000,46.6701,46.7576,46.6681,46.7566,5127.6806876241,0
