<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FNK.US,D,20110503,000000,17.6872,17.6872,17.6614,17.6614,38419.428811623,0
FNK.US,D,20110504,000000,17.5642,17.6356,17.5642,17.6356,1648.0156917569,0
FNK.US,D,20110509,000000,17.7398,17.7576,17.7398,17.7576,629.97541733825,0
FNK.US,D,20110510,000000,17.9193,17.9193,17.9104,17.9104,444.51065447387,0
FNK.US,D,20110511,000000,17.7209,17.7209,17.6783,17.6783,1743.7719551923,0
FNK.US,D,20110512,000000,17.9293,17.9293,17.9293,17.9293,335.65090235782,0
FNK.US,D,20110516,000000,17.6783,17.6783,17.6783,17.6783,277.18918362883,0
FNK.US,D,20110517,000000,17.4372,17.4372,17.4372,17.4372,11612.714853046,0
FNK.US,D,20110518,000000,17.4987,17.5562,17.4987,17.5562,1069.4462684734,0
FNK.US,D,20110519,000000,17.6108,17.712,17.6108,17.712,1189.3935879346,0
FNK.US,D,20110520,000000,17.7904,17.7904,17.582,17.582,1243.8234639926,0
FNK.US,D,20110523,000000,17.4273,17.4273,17.3946,17.3946,523.13158655768,0
FNK.US,D,20110524,000000,17.3608,17.3608,17.2318,17.2318,2808.178420327,0
FNK.US,D,20110526,000000,17.4461,17.4461,17.4461,17.4461,432.41512646097,0
FNK.US,D,20110527,000000,17.5642,17.6108,17.5642,17.6108,833.58347222197,0
FNK.US,D,20110531,000000,17.7576,17.7576,17.6971,17.7209,37093.960533543,0
FNK.US,D,20110601,000000,17.7299,17.7299,17.3876,17.3876,2181.2268849919,0
FNK.US,D,20110603,000000,16.9342,17.2567,16.9342,17.0939,9517.1646248123,0
FNK.US,D,20110607,000000,17.0225,17.0225,16.9342,16.9342,462.65394649321,0
FNK.US,D,20110608,000000,16.9243,16.9243,16.8241,16.8509,2094.5422675662,0
FNK.US,D,20110609,000000,16.9342,16.9342,16.9342,16.9342,1003.9288250702,0
FNK.US,D,20110613,000000,16.6375,16.6375,16.6375,16.6375,108.85975211605,0
FNK.US,D,20110615,000000,16.8925,16.8925,16.8925,16.8925,108.85975211605,0
FNK.US,D,20110616,000000,16.8597,16.963,16.6991,16.6991,4832.1634411513,0
FNK.US,D,20110617,000000,16.9987,16.9987,16.7993,16.7993,4860.386339848,0
FNK.US,D,20110620,000000,16.9005,16.9005,16.9005,16.9005,294.32451498043,0
FNK.US,D,20110621,000000,16.8082,17.1436,16.8082,17.1197,73740.38653061,0
FNK.US,D,20110622,000000,17.0761,17.1514,17.0761,17.0939,64827.998306442,0
FNK.US,D,20110623,000000,16.7636,17.0155,16.7636,16.9818,7533.4980306977,0
FNK.US,D,20110624,000000,16.8925,16.8925,16.8925,16.8925,4762.6141550771,0
FNK.US,D,20110627,000000,16.9342,16.9342,16.8509,16.8865,910.1884829703,0
FNK.US,D,20110629,000000,17.2567,17.3072,17.2567,17.2825,8070.7410666037,0
FNK.US,D,20110630,000000,17.4253,17.4253,17.4094,17.4094,549.33856391895,0
FNK.US,D,20110701,000000,17.582,17.6108,17.582,17.6108,1697.4057644762,0
FNK.US,D,20110705,000000,17.6356,17.6356,17.6356,17.6356,1164.1945712411,0
FNK.US,D,20110706,000000,17.7398,17.7398,17.7299,17.7299,404.19222776422,0
FNK.US,D,20110707,000000,17.9193,17.9193,17.9015,17.9193,1046.2631731154,0
FNK.US,D,20110708,000000,17.7398,17.7398,17.712,17.712,698.51674274465,0
FNK.US,D,20110712,000000,17.4719,17.4719,17.4719,17.4719,1164.1945712411,0
FNK.US,D,20110713,000000,17.582,17.582,17.4809,17.4809,982.76165104766,0
FNK.US,D,20110714,000000,17.3946,17.3946,17.3946,17.3946,941.43526367027,0
FNK.US,D,20110718,000000,17.0155,17.1356,16.8865,16.9718,6147.5521125535,0
FNK.US,D,20110720,000000,17.2903,17.2903,17.2903,17.2903,333.63498102233,0
FNK.US,D,20110722,000000,17.4907,17.4907,17.4907,17.4907,530.18731123187,0
FNK.US,D,20110725,000000,17.4273,17.4273,17.4114,17.4183,6440.8686668662,0
FNK.US,D,20110726,000000,17.3072,17.3072,17.2755,17.2755,329.60313835137,0
FNK.US,D,20110727,000000,16.7894,16.7894,16.7894,16.7894,582.60126595441,0
FNK.US,D,20110801,000000,16.4233,16.4847,16.3786,16.4332,30427.308677104,0
FNK.US,D,20110802,000000,16.3618,16.3618,16.1386,16.1386,2069.3432508727,0
FNK.US,D,20110803,000000,15.7844,15.7844,15.7844,15.7844,120.95528012894,0
FNK.US,D,20110804,000000,15.1127,15.1127,15.1127,15.1127,108.85975211605,0
FNK.US,D,20110805,000000,14.8795,15.0006,14.5859,15.0006,16691.828657794,0
