<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FNX.US,D,20070510,000000,26.7992,26.9096,26.7923,26.8241,14899.842089705,0
FNX.US,D,20070511,000000,26.8797,26.9354,26.8797,26.8996,17122.092523583,0
FNX.US,D,20070514,000000,26.9454,26.9454,26.8519,26.8519,13344.568585506,0
FNX.US,D,20070515,000000,26.8797,26.9812,26.8331,26.9722,5785.4967158123,0
FNX.US,D,20070516,000000,26.7734,26.7734,26.6641,26.7009,7339.7642216252,0
FNX.US,D,20070517,000000,26.9553,26.9971,26.9454,26.9891,12229.922374219,0
FNX.US,D,20070518,000000,26.9812,27.1571,26.9812,27.1571,9785.3462971146,0
FNX.US,D,20070521,000000,27.3738,27.3738,27.3738,27.3738,3332.8726516234,0
FNX.US,D,20070522,000000,27.4007,27.511,27.4007,27.511,7229.1043992049,0
FNX.US,D,20070523,000000,27.502,27.502,27.4842,27.4842,891.31456967653,0
FNX.US,D,20070524,000000,27.3331,27.3331,26.9553,26.9553,16349.485763412,0
FNX.US,D,20070525,000000,27.0865,27.1322,27.0865,27.1322,14345.536979218,0
FNX.US,D,20070529,000000,27.2874,27.3738,27.2117,27.2207,22235.582317788,0
FNX.US,D,20070530,000000,27.2874,27.3927,27.2874,27.3927,664.96493290766,0
FNX.US,D,20070531,000000,27.7059,27.7059,27.7059,27.7059,664.96493290766,0
FNX.US,D,20070604,000000,27.8609,27.9145,27.8609,27.8797,9785.3462971146,0
FNX.US,D,20070605,000000,27.7972,27.8172,27.7972,27.8172,2335.9282514547,0
FNX.US,D,20070607,000000,27.3738,27.3738,27.3738,27.3738,336.00346080357,0
FNX.US,D,20070608,000000,26.7923,26.9553,26.7923,26.9553,12788.251478248,0
FNX.US,D,20070612,000000,27.0935,27.0935,26.8241,26.8241,1001.9743920969,0
FNX.US,D,20070614,000000,27.3827,27.3827,27.3649,27.3649,2669.919715487,0
FNX.US,D,20070615,000000,27.6272,27.6502,27.6272,27.6502,1444.6136817782,0
FNX.US,D,20070618,000000,27.5627,27.5627,27.5627,27.5627,1222.2880385519,0
FNX.US,D,20070619,000000,27.5537,27.5537,27.4106,27.5189,664.96493290766,0
FNX.US,D,20070620,000000,27.502,27.5537,27.1849,27.1849,1444.6136817782,0
FNX.US,D,20070621,000000,27.2874,27.4106,27.2874,27.4106,336.00346080357,0
FNX.US,D,20070622,000000,27.2019,27.2307,27.2019,27.2307,447.66928160954,0
FNX.US,D,20070626,000000,26.8996,26.8996,26.8996,26.8996,101.60583694958,0
FNX.US,D,20070627,000000,26.6641,27.1412,26.6641,27.1412,1335.9658561291,0
FNX.US,D,20070629,000000,27.3579,27.3649,27.1412,27.1412,1335.9658561291,0
FNX.US,D,20070702,000000,27.3827,27.4662,27.3649,27.4285,16349.485763412,0
FNX.US,D,20070705,000000,27.5437,27.6502,27.4931,27.4931,3891.2017556533,0
FNX.US,D,20070706,000000,27.835,27.835,27.7972,27.8072,33579.220114258,0
FNX.US,D,20070709,000000,27.8529,27.8967,27.7327,27.8877,3000.8931843624,0
FNX.US,D,20070710,000000,27.7714,27.7714,27.4374,27.4374,664.96493290766,0
FNX.US,D,20070711,000000,27.4564,27.5537,27.4564,27.5349,3000.8931843624,0
FNX.US,D,20070712,000000,27.844,28.013,27.844,28.013,5003.8359701705,0
FNX.US,D,20070713,000000,27.9951,28.005,27.9662,27.9662,664.96493290766,0
FNX.US,D,20070716,000000,27.9951,28.0299,27.8967,27.8967,2110.5846130715,0
FNX.US,D,20070718,000000,27.6432,27.7972,27.6432,27.7972,776.63075371363,0
FNX.US,D,20070719,000000,27.9334,27.9662,27.9245,27.9334,15900.810483417,0
FNX.US,D,20070720,000000,27.9066,27.9066,27.5905,27.5905,1001.9743920969,0
FNX.US,D,20070723,000000,27.7147,27.7147,27.5806,27.5806,1556.2795025842,0
FNX.US,D,20070724,000000,27.1412,27.1949,26.8241,26.8331,89511.724357424,0
FNX.US,D,20070725,000000,27.1034,27.1034,26.7466,26.7466,1666.9393250045,0
FNX.US,D,20070726,000000,26.2138,26.2604,25.9096,26.1969,6002.7923671104,0
FNX.US,D,20070727,000000,26.1144,26.3857,25.9384,26.1531,5003.8359701705,0
FNX.US,D,20070730,000000,25.7296,25.7296,25.7296,25.7296,101.60583694958,0
FNX.US,D,20070731,000000,25.6471,25.6471,25.6471,25.6471,1001.9743920969,0
FNX.US,D,20070801,000000,25.7556,25.9196,25.4215,25.5866,10228.991585182,0
FNX.US,D,20070802,000000,25.8828,25.8828,25.8022,25.8022,2335.9282514547,0
FNX.US,D,20070803,000000,25.6849,25.6849,25.0816,25.0816,4556.1666885609,0
FNX.US,D,20070806,000000,24.8549,25.3181,24.7486,25.3181,3110.5470083971,0
FNX.US,D,20070807,000000,25.3271,25.5418,25.2883,25.5219,9565.0326506596,0
FNX.US,D,20070808,000000,25.6849,26.0289,25.6849,25.9553,4003.8735748449,0
FNX.US,D,20070809,000000,25.2595,25.4573,25.1889,25.1889,5673.8308950063,0
FNX.US,D,20070810,000000,24.7943,25.5517,24.7943,25.5517,3225.23082436,0
FNX.US,D,20070813,000000,25.7108,25.8022,25.5666,25.5666,1108.6102209746,0
FNX.US,D,20070814,000000,25.3986,25.4066,25.1104,25.1104,2892.2453587133,0
FNX.US,D,20070815,000000,24.4245,24.4434,24.4245,24.4344,3000.8931843624,0
FNX.US,D,20070816,000000,24.3261,24.5408,23.7763,24.5408,3110.5470083971,0
