<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FNY.US,D,20110502,000000,20.4286,20.4286,20.4286,20.4286,261.0951512823,0
FNY.US,D,20110504,000000,20.1836,20.1836,19.9237,19.9237,834.3040466262,0
FNY.US,D,20110505,000000,20.0667,20.0667,20.0667,20.0667,275.1002551825,0
FNY.US,D,20110506,000000,19.9047,19.9047,19.9047,19.9047,513.1870214859,0
FNY.US,D,20110509,000000,19.9317,20.1836,19.9317,20.1557,1888.6882973984,0
FNY.US,D,20110510,000000,20.3116,20.3116,20.3116,20.3116,389.1418155127,0
FNY.US,D,20110511,000000,20.3786,20.3786,20.2616,20.2616,570.207801651,0
FNY.US,D,20110512,000000,20.0567,20.3016,20.0567,20.3016,608.2216550944,0
FNY.US,D,20110513,000000,20.1167,20.1167,20.1167,20.1167,100.03645643,0
FNY.US,D,20110517,000000,19.5359,19.5939,19.5359,19.5939,10915.978125642,0
FNY.US,D,20110518,000000,19.6718,19.7768,19.6718,19.7768,902.3288369986,0
FNY.US,D,20110519,000000,20.0367,20.0967,19.9977,19.9977,695.2533721885,0
FNY.US,D,20110520,000000,19.7588,19.9497,19.7588,19.8848,1139.4152387377,0
FNY.US,D,20110523,000000,19.5259,19.5259,19.4489,19.4489,791.2883703613,0
FNY.US,D,20110524,000000,19.4889,19.4889,19.4889,19.4889,316.1152023188,0
FNY.US,D,20110525,000000,19.6318,19.6318,19.3989,19.6318,306.1115566758,0
FNY.US,D,20110526,000000,19.6128,19.8947,19.6128,19.8748,1347.4910681121,0
FNY.US,D,20110527,000000,19.9587,19.9977,19.9587,19.9977,824.3004009832,0
FNY.US,D,20110531,000000,20.1557,20.1557,19.9977,20.0277,10116.686838766,0
FNY.US,D,20110601,000000,20.0077,20.0077,19.6318,19.6318,7793.8403204613,0
FNY.US,D,20110602,000000,19.6039,19.7408,19.6039,19.7408,456.1662413208,0
FNY.US,D,20110603,000000,19.332,19.5639,19.322,19.5059,8289.0207797898,0
FNY.US,D,20110607,000000,19.214,19.214,19.195,19.195,772.2814436396,0
FNY.US,D,20110608,000000,18.9631,18.9631,18.9441,18.9441,989.3605540927,0
FNY.US,D,20110609,000000,18.9931,19.079,18.9931,19.079,1870.681735241,0
FNY.US,D,20110615,000000,18.8081,18.8081,18.8081,18.8081,618.2253007374,0
FNY.US,D,20110616,000000,18.7892,18.7991,18.5862,18.5862,2643.9635434449,0
FNY.US,D,20110617,000000,18.8281,18.8281,18.7112,18.7112,1548.5643455364,0
FNY.US,D,20110620,000000,18.8761,18.9051,18.8761,18.9051,1289.4699233827,0
FNY.US,D,20110621,000000,19.3519,19.3519,19.3519,19.3519,298.1086401614,0
FNY.US,D,20110622,000000,19.332,19.3989,19.332,19.3989,532.1939482076,0
FNY.US,D,20110623,000000,19.195,19.4089,19.195,19.4089,383.1396281269,0
FNY.US,D,20110624,000000,19.313,19.313,19.313,19.313,410.149471363,0
FNY.US,D,20110627,000000,19.332,19.4489,19.274,19.4389,2011.7331388073,0
FNY.US,D,20110628,000000,19.5259,19.7408,19.5259,19.7408,818.2982135974,0
FNY.US,D,20110629,000000,19.7488,19.9587,19.7488,19.9497,2407.8775062701,0
FNY.US,D,20110630,000000,20.0867,20.1457,20.0867,20.1457,623.2271235589,0
FNY.US,D,20110701,000000,20.2716,20.4575,20.2616,20.4086,112415.96791321,0
FNY.US,D,20110705,000000,20.5265,20.5265,20.5265,20.5265,332.1210353476,0
FNY.US,D,20110706,000000,20.6145,20.6915,20.6145,20.6915,2669.9730221167,0
FNY.US,D,20110707,000000,20.8744,20.9903,20.8744,20.9204,191501.78927308,0
FNY.US,D,20110708,000000,20.6435,20.7864,20.6435,20.7864,12150.427997988,0
FNY.US,D,20110711,000000,20.6435,20.6435,20.2716,20.2716,1010.368209943,0
FNY.US,D,20110712,000000,20.3016,20.3316,20.1936,20.1936,7318.6671524188,0
FNY.US,D,20110713,000000,20.4865,20.5465,20.3016,20.3216,3816.3908128045,0
FNY.US,D,20110714,000000,20.4575,20.4965,19.9497,20.1067,16880.151657998,0
FNY.US,D,20110715,000000,20.0967,20.1457,20.0367,20.1457,1462.5329930066,0
FNY.US,D,20110718,000000,20.1457,20.1457,19.7968,19.9137,20144.341231309,0
FNY.US,D,20110719,000000,20.2616,20.4186,20.2126,20.3986,4881.779073784,0
FNY.US,D,20110720,000000,20.2126,20.2916,20.1557,20.2426,4141.509296202,0
FNY.US,D,20110721,000000,20.4086,20.4086,20.3316,20.3786,2398.8742251914,0
FNY.US,D,20110722,000000,20.3986,20.5465,20.3216,20.4765,8166.9763029452,0
FNY.US,D,20110725,000000,20.4186,20.4665,20.2916,20.2916,2220.809332746,0
FNY.US,D,20110726,000000,20.1656,20.1756,20.1656,20.1756,677.2468100311,0
FNY.US,D,20110727,000000,19.5939,19.5939,19.5939,19.5939,116.0422894588,0
FNY.US,D,20110728,000000,19.6128,19.6228,19.5259,19.5259,1647.6004374021,0
FNY.US,D,20110729,000000,19.4089,19.4089,19.3989,19.3989,559.2037914437,0
FNY.US,D,20110801,000000,19.332,19.332,19.069,19.244,11713.268683389,0
FNY.US,D,20110802,000000,19.224,19.283,18.8181,18.8181,618.2253007374,0
FNY.US,D,20110803,000000,18.7312,18.7991,18.5662,18.7991,13421.891359213,0
FNY.US,D,20110804,000000,18.4403,18.4403,17.6826,17.6826,30822.232590647,0
FNY.US,D,20110805,000000,17.7205,17.7305,16.9628,17.3717,299132.01311068,0
FNY.US,D,20110808,000000,16.8299,16.8299,16.2171,16.2961,6885.5092960769,0
FNY.US,D,20110809,000000,16.558,16.578,16.0312,16.459,26437.63470532,0
FNY.US,D,20110810,000000,16.6759,16.8858,16.6759,16.8768,3330.2136345547,0
FNY.US,D,20110811,000000,16.8119,17.3527,16.578,17.3527,2307.8410498401,0
FNY.US,D,20110812,000000,17.6726,17.6726,17.3327,17.5766,3695.3467005242,0
FNY.US,D,20110815,000000,17.8665,17.8665,17.5766,17.8465,50596.438933165,0
FNY.US,D,20110816,000000,17.6826,17.6826,17.4496,17.4496,545.1986875435,0
FNY.US,D,20110817,000000,17.5266,17.5266,17.2837,17.3627,5535.0171342719,0
FNY.US,D,20110818,000000,16.518,16.518,16.439,16.439,6887.5100252055,0
FNY.US,D,20110819,000000,16.1971,16.429,16.1971,16.344,2259.8235507537,0
FNY.US,D,20110822,000000,16.1581,16.1581,16.1581,16.1581,1153.4203426379,0
FNY.US,D,20110823,000000,16.459,16.8389,16.459,16.7749,4772.7393362753,0
FNY.US,D,20110824,000000,16.8768,16.8858,16.8768,16.8858,2592.9449506656,0
FNY.US,D,20110825,000000,16.7749,16.7749,16.6959,16.6959,7126.5971560732,0
FNY.US,D,20110826,000000,17.1887,17.1887,17.1887,17.1887,1030.375501229,0
FNY.US,D,20110830,000000,17.9645,17.9934,17.8765,17.9345,57828.07436849,0
FNY.US,D,20110831,000000,18.1884,18.1884,17.7985,17.9545,2657.9686473451,0
FNY.US,D,20110901,000000,18.1104,18.1104,17.6626,17.6626,84007.615016221,0
FNY.US,D,20110902,000000,17.2467,17.2467,17.1408,17.2177,15429.623039763,0
FNY.US,D,20110907,000000,17.4216,17.6236,17.4216,17.5666,11603.228581316,0
FNY.US,D,20110908,000000,17.4966,17.7405,17.4017,17.4216,13919.07254767,0
