<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FPA.US,D,20110503,000000,21.869,21.869,21.869,21.869,418.55663570282,0
FPA.US,D,20110504,000000,21.7764,21.7764,21.492,21.492,738.5695974659,0
FPA.US,D,20110505,000000,21.3669,21.3896,21.2253,21.2253,697.93303089282,0
FPA.US,D,20110509,000000,21.6789,21.6789,21.6789,21.6789,330.17210340635,0
FPA.US,D,20110512,000000,21.3749,21.3749,21.3749,21.3749,165.59400878534,0
FPA.US,D,20110513,000000,21.4044,21.4044,21.0756,21.0756,835.08144307699,0
FPA.US,D,20110516,000000,21.1533,21.1533,21.1533,21.1533,141.21206884149,0
FPA.US,D,20110518,000000,21.5323,21.5323,21.5323,21.5323,3767.0097213254,0
FPA.US,D,20110519,000000,21.3591,21.4545,21.3591,21.4044,22903.784834758,0
FPA.US,D,20110520,000000,21.3669,21.5383,21.3669,21.3669,835.08144307699,0
FPA.US,D,20110526,000000,21.1406,21.2596,21.1406,21.2596,1275.988190395,0
FPA.US,D,20110531,000000,21.9182,21.9182,21.9182,21.9182,418.55663570282,0
FPA.US,D,20110602,000000,21.9891,21.9891,21.9891,21.9891,462.2409447689,0
FPA.US,D,20110603,000000,21.8365,21.8365,21.7617,21.7617,835.08144307699,0
FPA.US,D,20110606,000000,21.6938,21.6938,21.6111,21.6111,1250.5903362868,0
FPA.US,D,20110608,000000,21.4142,21.4142,21.3207,21.3207,2081.6081227065,0
FPA.US,D,20110609,000000,21.4142,21.43,21.2853,21.2853,3211.3046734384,0
FPA.US,D,20110615,000000,21.0155,21.239,21.0155,21.0155,1988.1440195884,0
FPA.US,D,20110621,000000,21.0067,21.1475,21.0067,21.1475,1286.1473320383,0
FPA.US,D,20110622,000000,21.1533,21.1533,21.1475,21.1475,765.99927990274,0
FPA.US,D,20110623,000000,20.7586,20.7586,20.7586,20.7586,460.20911644024,0
FPA.US,D,20110627,000000,21.0559,21.0559,21.0559,21.0559,694.88528839983,0
FPA.US,D,20110628,000000,21.0835,21.2488,21.0835,21.2488,831.01778641968,0
FPA.US,D,20110629,000000,21.7036,21.7036,21.6662,21.6662,694.88528839983,0
FPA.US,D,20110701,000000,22.2667,22.2667,22.2667,22.2667,694.88528839983,0
FPA.US,D,20110705,000000,22.2814,22.2814,22.178,22.178,1084.9963275015,0
FPA.US,D,20110707,000000,22.5157,22.5157,22.5009,22.5009,1291.2269028599,0
FPA.US,D,20110708,000000,22.3503,22.3503,22.3336,22.3336,1104.2986966237,0
FPA.US,D,20110711,000000,21.9408,21.9408,21.9408,21.9408,694.88528839983,0
FPA.US,D,20110712,000000,21.7499,21.7499,21.6977,21.6977,623.77129689693,0
FPA.US,D,20110718,000000,21.9468,21.9468,21.8758,21.8758,286.48779434028,0
FPA.US,D,20110719,000000,22.1564,22.1564,22.0767,22.0767,1037.2483617781,0
FPA.US,D,20110720,000000,22.2145,22.243,22.178,22.178,2595.6606898561,0
FPA.US,D,20110721,000000,22.4684,22.5304,22.4606,22.5304,5125.2869590309,0
FPA.US,D,20110722,000000,22.6525,22.6525,22.6525,22.6525,460.20911644024,0
FPA.US,D,20110725,000000,22.5531,22.5659,22.4931,22.5304,3947.8424425757,0
FPA.US,D,20110726,000000,22.6475,22.7057,22.6475,22.7057,3186.9227334946,0
FPA.US,D,20110727,000000,22.6407,22.6407,22.4802,22.4802,7676.2474256566,0
FPA.US,D,20110728,000000,22.7195,22.7195,22.5393,22.6132,2222.820191548,0
FPA.US,D,20110729,000000,22.5236,22.5236,22.5236,22.5236,1104.2986966237,0
FPA.US,D,20110801,000000,22.5531,22.5531,22.5531,22.5531,528.27536545017,0
FPA.US,D,20110802,000000,22.2214,22.2214,22.2214,22.2214,140.19615467716,0
FPA.US,D,20110803,000000,21.6013,21.6013,21.6013,21.6013,140.19615467716,0
FPA.US,D,20110804,000000,20.7429,20.7429,20.3944,20.3944,2702.3316771105,0
FPA.US,D,20110805,000000,20.3668,21.2253,19.6178,21.2253,7684.3747389713,0
FPA.US,D,20110808,000000,19.0262,19.0764,18.2782,18.2782,8422.9443364372,0
FPA.US,D,20110809,000000,18.7595,18.7595,18.4641,18.4641,273.28091020403,0
FPA.US,D,20110811,000000,19.2408,19.2408,18.5804,19.2408,273.28091020403,0
FPA.US,D,20110815,000000,19.4731,19.6591,19.4731,19.48,9174.7208180393,0
FPA.US,D,20110816,000000,19.48,19.5518,19.48,19.5518,967.15028443953,0
FPA.US,D,20110817,000000,20.0214,20.0214,19.6896,19.6896,2012.5259595323,0
FPA.US,D,20110818,000000,19.0469,19.0469,19.0469,19.0469,1382.6591776494,0
FPA.US,D,20110822,000000,17.8214,17.8342,17.8214,17.8342,1908.9027147709,0
FPA.US,D,20110824,000000,18.5134,18.5134,18.5134,18.5134,221.46928782334,0
FPA.US,D,20110825,000000,18.3273,18.3273,18.2329,18.2329,357.60178584319,0
FPA.US,D,20110826,000000,18.225,18.5419,18.225,18.5419,1286.1473320383,0
FPA.US,D,20110829,000000,19.4229,19.4229,19.4229,19.4229,556.72096205133,0
FPA.US,D,20110830,000000,19.2477,19.2546,19.2477,19.2546,693.86937423551,0
FPA.US,D,20110901,000000,19.7852,20.1592,19.7852,20.1592,2034.8760711475,0
FPA.US,D,20110902,000000,19.3865,19.3865,19.3865,19.3865,565.86418953027,0
FPA.US,D,20110906,000000,18.4848,18.5872,18.4573,18.5872,6002.0208828453,0
FPA.US,D,20110907,000000,19.2133,19.5666,19.1483,19.3944,7908.8917692876,0
FPA.US,D,20110909,000000,18.5724,18.5724,18.5724,18.5724,1664.067401168,0
FPA.US,D,20110912,000000,17.9936,17.9936,17.8952,17.8952,1805.2794700095,0
FPA.US,D,20110914,000000,17.6058,17.6924,17.6058,17.6924,416.52480737417,0
FPA.US,D,20110915,000000,17.9936,17.9936,17.9858,17.9936,1280.0518470523,0
FPA.US,D,20110916,000000,18.3116,18.3116,18.1669,18.1669,1246.5266796295,0
FPA.US,D,20110919,000000,17.5763,17.7407,17.5763,17.7407,273.28091020403,0
FPA.US,D,20110920,000000,17.8805,17.8883,17.6166,17.6166,1805.2794700095,0
FPA.US,D,20110922,000000,16.2347,16.2347,15.6499,15.9078,10570.586879825,0
FPA.US,D,20110923,000000,15.9236,16.0791,15.8822,16.0791,2697.2521062888,0
FPA.US,D,20110926,000000,15.5397,15.5397,15.5131,15.5397,2220.7883632194,0
FPA.US,D,20110927,000000,16.5221,16.5221,16.5221,16.5221,1032.1687909565,0
FPA.US,D,20110929,000000,16.1972,16.3291,16.1972,16.3291,416.52480737417,0
FPA.US,D,20110930,000000,15.8084,15.9797,15.5033,15.5033,2675.917908838,0
FPA.US,D,20111003,000000,14.6745,14.9344,14.1262,14.1262,3325.0870598431,0
FPA.US,D,20111004,000000,14.3595,14.3595,14.3595,14.3595,23962.367393986,0
FPA.US,D,20111006,000000,15.4245,15.4245,15.4245,15.4245,273.28091020403,0
FPA.US,D,20111007,000000,15.9236,15.9236,15.9236,15.9236,357.60178584319,0
FPA.US,D,20111012,000000,17.3725,17.3725,17.3725,17.3725,891.97263627932,0
