<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FPXE.US,D,20181008,000000,18.0179,18.1024,18.0179,18.1024,745.94060818262,0
FPXE.US,D,20181009,000000,17.8764,18.0091,17.8764,18.0091,729.65813924548,0
FPXE.US,D,20181015,000000,17.2553,17.2553,17.2553,17.2553,104.81839378282,0
FPXE.US,D,20181016,000000,17.7261,17.7261,17.7261,17.7261,213.70740479993,0
FPXE.US,D,20181017,000000,17.6327,17.6327,17.6327,17.6327,213.70740479993,0
FPXE.US,D,20181023,000000,16.9075,16.9262,16.9075,16.9262,552.58628955411,0
FPXE.US,D,20181026,000000,16.5675,16.5675,16.5675,16.5675,213.70740479993,0
FPXE.US,D,20181031,000000,16.8976,16.8976,16.8976,16.8976,104.81839378282,0
FPXE.US,D,20181101,000000,17.2553,17.2553,17.2553,17.2553,213.70740479993,0
FPXE.US,D,20181102,000000,17.3124,17.3124,17.3124,17.3124,213.70740479993,0
FPXE.US,D,20181105,000000,17.2357,17.2357,17.2357,17.2357,214.7250591085,0
FPXE.US,D,20181106,000000,17.274,17.274,17.274,17.274,213.70740479993,0
FPXE.US,D,20181107,000000,17.557,17.557,17.557,17.557,213.70740479993,0
FPXE.US,D,20181108,000000,17.4155,17.4155,17.4155,17.4155,104.81839378282,0
FPXE.US,D,20181112,000000,17.0215,17.0215,16.8309,16.8309,331.75530459418,0
FPXE.US,D,20181114,000000,16.9537,16.9537,16.9537,16.9537,104.81839378282,0
FPXE.US,D,20181115,000000,16.8879,16.8879,16.8879,16.8879,332.77295890275,0
FPXE.US,D,20181120,000000,16.1538,16.1538,16.1145,16.1145,319.54345289133,0
FPXE.US,D,20181123,000000,16.3248,16.3248,16.3248,16.3248,104.81839378282,0
FPXE.US,D,20181127,000000,16.4919,16.4919,16.4919,16.4919,214.7250591085,0
FPXE.US,D,20181128,000000,16.708,16.708,16.708,16.708,213.70740479993,0
FPXE.US,D,20181129,000000,16.653,16.653,16.653,16.653,104.81839378282,0
FPXE.US,D,20181204,000000,16.315,16.315,16.315,16.315,105.8360480914,0
FPXE.US,D,20181206,000000,16.2953,16.2953,16.2953,16.2953,223.88394788564,0
FPXE.US,D,20181207,000000,16.1145,16.1145,16.1145,16.1145,111.94197394282,0
FPXE.US,D,20181221,000000,15.4748,15.4748,15.4748,15.4748,437.59135268558,0
FPXE.US,D,20181226,000000,15.5986,15.5986,15.5986,15.5986,105.8360480914,0
FPXE.US,D,20181227,000000,15.6084,15.6084,15.6084,15.6084,223.88394788564,0
FPXE.US,D,20190108,000000,16.3976,16.3976,16.3976,16.3976,106.85370239997,0
FPXE.US,D,20190110,000000,16.5862,16.5862,16.5862,16.5862,214.7250591085,0
FPXE.US,D,20190117,000000,16.6245,16.6245,16.6245,16.6245,104.81839378282,0
FPXE.US,D,20190123,000000,16.8397,16.8397,16.8397,16.8397,104.81839378282,0
FPXE.US,D,20190124,000000,16.822,16.822,16.822,16.822,213.70740479993,0
FPXE.US,D,20190128,000000,16.8682,16.8682,16.8682,16.8682,104.81839378282,0
FPXE.US,D,20190204,000000,17.16,17.16,17.16,17.16,105.8360480914,0
FPXE.US,D,20190208,000000,16.9734,16.9734,16.9734,16.9734,216.76036772565,0
FPXE.US,D,20190212,000000,17.1797,17.1797,17.1797,17.1797,104.81839378282,0
FPXE.US,D,20190213,000000,17.1503,17.1503,17.1503,17.1503,104.81839378282,0
FPXE.US,D,20190215,000000,17.3871,17.3871,17.3871,17.3871,184.19542985137,0
FPXE.US,D,20190221,000000,17.4706,17.4706,17.4706,17.4706,106.85370239997,0
FPXE.US,D,20190222,000000,17.5177,17.5177,17.5177,17.5177,104.81839378282,0
FPXE.US,D,20190301,000000,17.8381,17.8381,17.8381,17.8381,104.81839378282,0
FPXE.US,D,20190307,000000,17.4981,17.4981,17.4981,17.4981,104.81839378282,0
FPXE.US,D,20190308,000000,17.5846,17.5846,17.5846,17.5846,110.92431963425,0
FPXE.US,D,20190321,000000,18.3107,18.3107,18.3107,18.3107,104.81839378282,0
FPXE.US,D,20190401,000000,18.236,18.236,18.236,18.236,223.88394788564,0
FPXE.US,D,20190408,000000,18.348,18.348,18.348,18.348,104.81839378282,0
FPXE.US,D,20190416,000000,18.4709,18.4709,18.4709,18.4709,104.81839378282,0
FPXE.US,D,20190423,000000,18.3776,18.3776,18.3776,18.3776,104.81839378282,0
FPXE.US,D,20190425,000000,18.3864,18.3864,18.3864,18.3864,104.81839378282,0
FPXE.US,D,20190503,000000,18.6026,18.6026,18.6026,18.6026,229.98987373707,0
FPXE.US,D,20190510,000000,18.5751,18.5751,18.5751,18.5751,212.68975049136,0
FPXE.US,D,20190514,000000,18.2449,18.2449,18.2449,18.2449,150.61283766852,0
FPXE.US,D,20190515,000000,18.3579,18.4345,18.3579,18.4345,257.46654006849,0
FPXE.US,D,20190516,000000,18.5653,18.5653,18.5653,18.5653,104.81839378282,0
FPXE.US,D,20190521,000000,18.4994,18.4994,18.4994,18.4994,212.68975049136,0
FPXE.US,D,20190522,000000,18.4994,18.4994,18.4994,18.4994,104.81839378282,0
FPXE.US,D,20190523,000000,18.348,18.348,18.348,18.348,104.81839378282,0
FPXE.US,D,20190530,000000,18.4345,18.4345,18.4345,18.4345,212.68975049136,0
